* Measurement data measured by REW V5.30 beta 3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Nov-2023 17:12:32
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 1More Q30 Pistonbuds Pro
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.809	99.2915
20.600000	74.849	98.0480
20.900000	74.899	96.4591
21.200001	74.953	94.7149
21.400000	74.992	93.5038
21.799999	75.082	91.0105
22.000000	75.133	89.7454
22.400000	75.244	87.2291
22.700001	75.331	85.4000
23.000000	75.419	83.6595
23.299999	75.504	82.0305
23.600000	75.585	80.5201
24.000000	75.682	78.6731
24.299999	75.747	77.3843
24.700001	75.821	75.7426
25.000000	75.867	74.5388
25.400000	75.917	72.9429
25.799999	75.956	71.3520
26.200001	75.988	69.7805
26.500000	76.009	68.6291
26.900000	76.035	67.1473
27.200001	76.056	66.0820
27.600000	76.084	64.7212
28.000000	76.113	63.4171
28.500000	76.147	61.8435
29.000000	76.175	60.3159
29.500000	76.196	58.8363
30.000000	76.214	57.4179
30.400000	76.227	56.3332
30.700001	76.237	55.5484
31.100000	76.249	54.5371
31.500000	76.261	53.5615
32.000000	76.273	52.3842
32.500000	76.283	51.2415
33.000000	76.293	50.1176
33.500000	76.303	49.0038
34.000000	76.312	47.9093
34.500000	76.320	46.8567
35.000000	76.329	45.8609
35.500000	76.341	44.9133
36.000000	76.355	43.9893
36.500000	76.369	43.0713
37.000000	76.381	42.1612
37.500000	76.391	41.2724
38.200001	76.406	40.0778
38.700001	76.418	39.2557
39.500000	76.440	37.9827
40.000000	76.453	37.2072
40.599998	76.471	36.2800
41.200001	76.489	35.3395
41.799999	76.504	34.3925
42.500000	76.518	33.3171
43.099998	76.532	32.4349
43.700001	76.549	31.5704
44.400002	76.571	30.5620
45.000000	76.589	29.7084
45.500000	76.604	29.0151
46.200001	76.627	28.0636
46.799999	76.649	27.2499
47.500000	76.671	26.3060
48.200001	76.690	25.3790
48.700001	76.703	24.7173
49.400002	76.716	23.7722
50.000000	76.721	22.9495
50.799999	76.718	21.8670
51.500000	76.714	20.9411
52.200001	76.710	20.0240
53.000000	76.707	18.9844
53.799999	76.702	17.9531
54.500000	76.698	17.0488
55.200001	76.691	16.1413
56.000000	76.681	15.1114
57.000000	76.663	13.8450
58.000000	76.639	12.5897
59.000000	76.610	11.3378
60.000000	76.576	10.1000
60.799999	76.548	9.1241
61.500000	76.521	8.2811
62.200001	76.492	7.4496
63.000000	76.456	6.5174
64.000000	76.406	5.3854
65.000000	76.353	4.2806
66.000000	76.297	3.1821
67.000000	76.235	2.0955
68.000000	76.168	1.0480
69.000000	76.098	0.0439
70.000000	76.026	-0.9374
71.000000	75.953	-1.9037
72.000000	75.876	-2.8390
73.000000	75.793	-3.7285
74.000000	75.705	-4.5742
75.000000	75.615	-5.3849
76.199997	75.508	-6.3182
77.500000	75.393	-7.2789
78.800003	75.273	-8.1915
80.000000	75.158	-9.0056
81.199997	75.044	-9.7984
82.500000	74.920	-10.6277
83.800003	74.793	-11.4124
85.000000	74.674	-12.0907
86.199997	74.554	-12.7120
87.500000	74.426	-13.3243
88.500000	74.329	-13.7678
90.000000	74.182	-14.4086
91.199997	74.065	-14.9023
92.500000	73.940	-15.4172
93.800003	73.815	-15.9021
95.000000	73.700	-16.3149
96.199997	73.586	-16.7001
97.500000	73.466	-17.0872
98.800003	73.344	-17.4337
100.000000	73.230	-17.7117
101.500000	73.091	-18.0239
103.000000	72.958	-18.3217
104.400002	72.834	-18.5833
106.000000	72.692	-18.8478
107.500000	72.561	-19.0698
109.000000	72.433	-19.2851
110.599998	72.297	-19.4901
112.000000	72.179	-19.6328
113.800003	72.031	-19.7845
115.000000	71.934	-19.8717
117.199997	71.757	-19.9937
118.000000	71.694	-20.0240
120.599998	71.493	-20.0554
122.000000	71.388	-20.0454
124.099998	71.232	-20.0045
125.000000	71.166	-19.9753
126.500000	71.056	-19.9141
128.000000	70.950	-19.8360
131.500000	70.729	-19.5621
132.000000	70.700	-19.5140
134.000000	70.588	-19.3046
136.000000	70.482	-19.0736
138.000000	70.379	-18.8410
140.000000	70.274	-18.5925
143.000000	70.120	-18.1968
145.000000	70.023	-17.9275
147.500000	69.914	-17.5671
150.000000	69.815	-17.1862
152.500000	69.721	-16.8157
155.000000	69.628	-16.4501
157.500000	69.538	-16.0829
160.000000	69.455	-15.7117
162.500000	69.375	-15.3239
165.000000	69.297	-14.9020
167.500000	69.222	-14.4526
170.000000	69.152	-13.9709
172.500000	69.087	-13.4808
175.000000	69.027	-12.9905
177.500000	68.972	-12.4982
180.000000	68.921	-12.0143
182.500000	68.872	-11.5362
185.000000	68.823	-11.0734
187.500000	68.776	-10.6420
190.000000	68.735	-10.2322
192.500000	68.701	-9.8276
195.000000	68.671	-9.4367
197.500000	68.644	-9.0582
200.000000	68.619	-8.6842
203.000000	68.592	-8.2456
206.000000	68.565	-7.8219
209.000000	68.537	-7.3886
212.000000	68.512	-6.9343
214.000000	68.498	-6.6231
218.000000	68.475	-5.9839
220.000000	68.464	-5.6602
224.000000	68.438	-5.0083
227.000000	68.417	-4.5165
230.000000	68.395	-4.0266
233.000000	68.370	-3.5368
236.000000	68.346	-3.0407
240.000000	68.312	-2.3443
243.000000	68.285	-1.7753
247.000000	68.247	-0.9423
250.000000	68.222	-0.2623
254.000000	68.200	0.6946
258.000000	68.200	1.6543
262.000000	68.224	2.5236
265.000000	68.253	3.0770
269.000000	68.293	3.6970
272.000000	68.316	4.1000
276.000000	68.333	4.5874
280.000000	68.334	5.0467
285.000000	68.314	5.6299
290.000000	68.282	6.2284
295.000000	68.247	6.7855
300.000000	68.211	7.3020
304.000000	68.180	7.7245
