* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.900
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 24-Jul-2025 14:07:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Acefast Acefit Air R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	32.451	100.4602
20.600000	31.308	96.3196
20.900000	30.598	92.9101
21.200001	31.415	92.5368
21.400000	32.702	93.4046
21.799999	35.669	94.6502
22.000000	36.987	94.6085
22.400000	39.013	93.7039
22.700001	39.974	92.8514
23.000000	40.482	92.2559
23.299999	40.587	92.2171
23.600000	40.365	92.9683
24.000000	39.774	95.2339
24.299999	39.321	97.3356
24.700001	39.023	98.9589
25.000000	39.129	98.3214
25.400000	39.658	95.1956
25.799999	40.480	91.3000
26.200001	41.482	88.4167
26.500000	42.302	87.1180
26.900000	43.400	85.8124
27.200001	44.157	84.5418
27.600000	44.990	81.9637
28.000000	45.595	78.4200
28.500000	46.112	73.3596
29.000000	46.532	68.6915
29.500000	46.949	65.3238
30.000000	47.307	63.7494
30.400000	47.511	63.8487
30.700001	47.634	64.5245
31.100000	47.812	65.5767
31.500000	48.051	65.8169
32.000000	48.435	63.9508
32.500000	48.920	60.3518
33.000000	49.622	57.1900
33.500000	50.646	55.8884
34.000000	51.841	55.7409
34.500000	52.874	55.3719
35.000000	53.494	54.3985
35.500000	53.650	53.2639
36.000000	53.474	52.4089
36.500000	53.209	51.7473
37.000000	53.075	50.7656
37.500000	53.150	49.1610
38.200001	53.499	46.4339
38.700001	53.832	44.7196
39.500000	54.473	42.4794
40.000000	54.962	40.9689
40.599998	55.609	38.6424
41.200001	56.209	35.8552
41.799999	56.654	33.1148
42.500000	56.985	30.4910
43.099998	57.237	28.5361
43.700001	57.585	26.3375
44.400002	58.138	23.3113
45.000000	58.653	20.8125
45.500000	59.034	19.1556
46.200001	59.435	17.4836
46.799999	59.668	15.9958
47.500000	59.843	13.0675
48.200001	59.942	8.7910
48.700001	60.025	5.7977
49.400002	60.313	3.0318
50.000000	60.777	2.0004
50.799999	61.506	0.9552
51.500000	62.021	-0.4928
52.200001	62.394	-2.3633
53.000000	62.751	-4.7899
53.799999	63.098	-7.3318
54.500000	63.401	-9.4867
55.200001	63.711	-11.6111
56.000000	64.067	-14.1508
57.000000	64.493	-17.4152
58.000000	64.896	-20.5192
59.000000	65.294	-23.5746
60.000000	65.683	-26.8326
60.799999	65.976	-29.5210
61.500000	66.218	-31.8303
62.200001	66.454	-34.1068
63.000000	66.719	-36.7515
64.000000	67.034	-40.2047
65.000000	67.315	-43.7673
66.000000	67.549	-47.3007
67.000000	67.746	-50.6409
68.000000	67.936	-53.6891
69.000000	68.141	-56.5020
70.000000	68.362	-59.2184
71.000000	68.588	-61.9407
72.000000	68.815	-64.7137
73.000000	69.041	-67.5530
74.000000	69.264	-70.4446
75.000000	69.480	-73.3504
76.199997	69.722	-76.8268
77.500000	69.965	-80.5462
78.800003	70.187	-84.1510
80.000000	70.375	-87.3541
81.199997	70.553	-90.4803
82.500000	70.742	-93.8230
83.800003	70.943	-97.1475
85.000000	71.143	-100.2232
86.199997	71.333	-103.3296
87.500000	71.501	-106.7130
88.500000	71.613	-109.2776
90.000000	71.779	-113.0168
91.199997	71.917	-115.9540
92.500000	72.068	-119.1245
93.800003	72.219	-122.2228
95.000000	72.354	-124.9944
96.199997	72.478	-127.7618
97.500000	72.600	-130.8094
98.800003	72.711	-133.8958
100.000000	72.799	-136.7950
101.500000	72.879	-140.4810
103.000000	72.932	-144.1035
104.400002	72.958	-147.3569
106.000000	72.959	-150.8674
107.500000	72.943	-153.9021
109.000000	72.933	-156.7065
110.599998	72.943	-159.4896
112.000000	72.967	-161.8049
113.800003	73.020	-164.7757
115.000000	73.065	-166.8380
117.199997	73.150	-170.6362
118.000000	73.180	-171.9463
120.599998	73.257	-176.0102
122.000000	73.286	-178.2691
124.099998	73.328	178.0915
125.000000	73.351	176.4865
126.500000	73.396	173.8430
128.000000	73.441	171.2641
131.500000	73.509	165.2661
132.000000	73.512	164.4015
134.000000	73.504	160.9506
136.000000	73.465	157.5716
138.000000	73.417	154.3515
140.000000	73.391	151.3375
143.000000	73.393	147.0142
145.000000	73.411	144.0986
147.500000	73.435	140.3752
150.000000	73.446	136.5315
152.500000	73.426	132.6847
155.000000	73.370	128.9805
157.500000	73.287	125.3619
160.000000	73.192	121.8077
162.500000	73.097	118.4294
165.000000	73.003	115.2772
167.500000	72.909	112.3080
170.000000	72.828	109.4461
172.500000	72.763	106.6578
175.000000	72.706	103.9026
177.500000	72.654	101.1456
180.000000	72.597	98.3766
182.500000	72.528	95.6009
185.000000	72.447	92.8606
187.500000	72.357	90.1561
190.000000	72.268	87.4621
192.500000	72.182	84.7975
195.000000	72.102	82.2236
197.500000	72.035	79.8101
200.000000	71.974	77.5377
203.000000	71.913	74.8539
206.000000	71.868	72.1714
209.000000	71.833	69.4892
212.000000	71.800	66.8058
214.000000	71.780	65.0718
218.000000	71.741	61.8309
220.000000	71.715	60.3026
224.000000	71.656	57.3369
227.000000	71.614	55.1673
230.000000	71.579	53.0135
233.000000	71.557	50.8608
236.000000	71.547	48.7500
240.000000	71.544	46.0346
243.000000	71.546	44.0855
247.000000	71.544	41.5737
250.000000	71.537	39.7081
254.000000	71.532	37.2671
258.000000	71.543	34.9579
262.000000	71.565	32.8079
265.000000	71.583	31.2468
269.000000	71.612	29.1414
272.000000	71.642	27.5371
276.000000	71.691	25.3916
280.000000	71.746	23.2839
285.000000	71.817	20.7643
290.000000	71.888	18.3488
295.000000	71.956	15.9826
300.000000	72.030	13.6628
