* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.900
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 24-Jul-2025 13:24:12
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Acefast Acefit Pro L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	37.980	34.9468
20.600000	39.128	30.6577
20.900000	39.866	26.6258
21.200001	39.991	23.9565
21.400000	39.774	23.3366
21.799999	38.945	25.4249
22.000000	38.555	27.6534
22.400000	38.319	30.4555
22.700001	38.646	27.6386
23.000000	39.167	19.7691
23.299999	39.684	8.3734
23.600000	40.076	-3.9763
24.000000	40.282	-17.7257
24.299999	40.169	-24.0599
24.700001	39.812	-25.7418
25.000000	39.654	-21.9906
25.400000	39.949	-13.5386
25.799999	40.700	-6.8383
26.200001	41.457	-4.5836
26.500000	41.876	-5.3715
26.900000	42.257	-8.7420
27.200001	42.495	-12.6077
27.600000	42.860	-19.2100
28.000000	43.316	-27.0181
28.500000	43.914	-37.2800
29.000000	44.404	-46.5032
29.500000	44.767	-53.5394
30.000000	45.089	-58.3128
30.400000	45.352	-61.0340
30.700001	45.538	-62.7370
31.100000	45.741	-64.6794
31.500000	45.913	-66.1516
32.000000	46.235	-67.3219
32.500000	46.860	-68.6287
33.000000	47.723	-71.3007
33.500000	48.555	-75.1988
34.000000	49.199	-78.7877
34.500000	49.732	-80.6543
35.000000	50.334	-80.9708
35.500000	51.028	-81.5270
36.000000	51.627	-83.9077
36.500000	51.951	-88.2266
37.000000	51.997	-93.5843
37.500000	51.943	-98.9178
38.200001	52.158	-105.2763
38.700001	52.621	-109.1765
39.500000	53.559	-115.1912
40.000000	54.078	-119.1275
40.599998	54.554	-124.2558
41.200001	54.861	-129.6918
41.799999	55.036	-134.6985
42.500000	55.234	-138.8751
43.099998	55.547	-141.1200
43.700001	55.988	-143.2509
44.400002	56.504	-146.7262
45.000000	56.852	-150.5159
45.500000	57.083	-153.8779
46.200001	57.382	-158.4372
46.799999	57.672	-162.1791
47.500000	58.096	-166.8085
48.200001	58.589	-172.2369
48.700001	58.936	-176.5144
49.400002	59.360	177.6430
50.000000	59.667	173.3827
50.799999	60.041	168.9112
51.500000	60.362	165.4983
52.200001	60.679	161.8606
53.000000	61.020	157.0330
53.799999	61.315	151.6254
54.500000	61.551	146.7927
55.200001	61.813	142.1280
56.000000	62.170	137.0742
57.000000	62.649	131.0802
58.000000	63.083	125.1537
59.000000	63.461	119.0416
60.000000	63.826	112.8475
60.799999	64.111	107.9897
61.500000	64.349	103.8369
62.200001	64.581	99.6835
63.000000	64.841	94.8146
64.000000	65.148	88.5838
65.000000	65.439	82.3966
66.000000	65.724	76.2967
67.000000	66.001	70.2662
68.000000	66.268	64.3315
69.000000	66.529	58.4244
70.000000	66.786	52.4504
71.000000	67.031	46.4534
