* Measurement data measured by REW V5.30 beta 1
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 19-Nov-2023 22:26:54
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Alpha and Delta AD15 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	80.017	-134.1698
20.600000	80.094	-134.6415
20.900000	80.186	-135.1930
21.200001	80.277	-135.7396
21.400000	80.333	-136.0913
21.799999	80.429	-136.7739
22.000000	80.471	-137.1133
22.400000	80.542	-137.8088
22.700001	80.589	-138.3577
23.000000	80.632	-138.9384
23.299999	80.674	-139.5545
23.600000	80.717	-140.2057
24.000000	80.772	-141.1209
24.299999	80.814	-141.8321
24.700001	80.871	-142.7961
25.000000	80.914	-143.5215
25.400000	80.976	-144.4849
25.799999	81.039	-145.4436
26.200001	81.104	-146.3984
26.500000	81.152	-147.1093
26.900000	81.213	-148.0415
27.200001	81.256	-148.7227
27.600000	81.311	-149.6035
28.000000	81.364	-150.4598
28.500000	81.427	-151.5219
29.000000	81.485	-152.6017
29.500000	81.537	-153.7020
30.000000	81.585	-154.8025
30.400000	81.623	-155.6698
30.700001	81.651	-156.3106
31.100000	81.688	-157.1537
31.500000	81.725	-157.9856
32.000000	81.768	-159.0090
32.500000	81.807	-160.0122
33.000000	81.842	-161.0016
33.500000	81.876	-161.9910
34.000000	81.907	-162.9878
34.500000	81.934	-163.9830
35.000000	81.957	-164.9598
35.500000	81.978	-165.9119
36.000000	82.000	-166.8492
36.500000	82.022	-167.7865
37.000000	82.042	-168.7262
37.500000	82.056	-169.6555
38.200001	82.068	-170.9141
38.700001	82.074	-171.7875
39.500000	82.085	-173.1862
40.000000	82.091	-174.0735
40.599998	82.095	-175.1360
