* Measurement data measured by REW V5.30 beta 1
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 19-Nov-2023 22:27:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Alpha and Delta AD15 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	80.444	-123.4584
20.600000	80.520	-123.7657
20.900000	80.610	-124.1225
21.200001	80.698	-124.4813
21.400000	80.751	-124.7198
21.799999	80.839	-125.2096
22.000000	80.875	-125.4677
22.400000	80.932	-126.0222
22.700001	80.967	-126.4778
23.000000	81.001	-126.9714
23.299999	81.037	-127.5039
23.600000	81.076	-128.0729
24.000000	81.135	-128.8765
24.299999	81.183	-129.4990
24.700001	81.251	-130.3310
25.000000	81.304	-130.9413
25.400000	81.373	-131.7208
25.799999	81.441	-132.4539
26.200001	81.504	-133.1430
26.500000	81.548	-133.6372
26.900000	81.604	-134.2777
27.200001	81.645	-134.7531
27.600000	81.698	-135.3922
28.000000	81.751	-136.0458
28.500000	81.816	-136.8861
29.000000	81.878	-137.7403
29.500000	81.938	-138.5879
30.000000	81.994	-139.4142
30.400000	82.036	-140.0581
30.700001	82.066	-140.5330
31.100000	82.103	-141.1582
31.500000	82.138	-141.7758
32.000000	82.178	-142.5369
32.500000	82.216	-143.2852
33.000000	82.254	-144.0227
33.500000	82.291	-144.7520
34.000000	82.325	-145.4709
34.500000	82.355	-146.1736
35.000000	82.382	-146.8596
35.500000	82.406	-147.5385
36.000000	82.428	-148.2238
36.500000	82.448	-148.9200
37.000000	82.464	-149.6174
37.500000	82.476	-150.3015
38.200001	82.490	-151.2265
38.700001	82.498	-151.8709
39.500000	82.506	-152.8829
40.000000	82.509	-153.4954
40.599998	82.510	-154.2018
41.200001	82.512	-154.8844
41.799999	82.515	-155.5620
42.500000	82.515	-156.3655
43.099998	82.512	-157.0645
43.700001	82.504	-157.7579
44.400002	82.492	-158.5352
45.000000	82.480	-159.1628
45.500000	82.467	-159.6613
46.200001	82.446	-160.3378
46.799999	82.426	-160.9087
47.500000	82.402	-161.5644
48.200001	82.382	-162.1996
48.700001	82.370	-162.6393
49.400002	82.355	-163.2444
50.000000	82.336	-163.7642
50.799999	82.293	-164.4657
51.500000	82.246	-165.0792
52.200001	82.199	-165.6796
53.000000	82.150	-166.3383
53.799999	82.101	-166.9622
54.500000	82.055	-167.4852
55.200001	82.004	-168.0011
56.000000	81.944	-168.5948
57.000000	81.868	-169.3256
58.000000	81.793	-170.0027
59.000000	81.716	-170.6229
60.000000	81.633	-171.2286
60.799999	81.562	-171.7240
61.500000	81.498	-172.1586
62.200001	81.435	-172.5821
63.000000	81.363	-173.0484
64.000000	81.276	-173.6124
65.000000	81.191	-174.1618
66.000000	81.105	-174.6914
67.000000	81.013	-175.1792
68.000000	80.915	-175.6026
69.000000	80.814	-175.9686
70.000000	80.712	-176.3143
71.000000	80.611	-176.6713
72.000000	80.510	-177.0432
73.000000	80.410	-177.4194
74.000000	80.309	-177.7931
75.000000	80.206	-178.1589
76.199997	80.079	-178.5719
77.500000	79.935	-178.9570
78.800003	79.785	-179.2716
80.000000	79.646	-179.5201
81.199997	79.510	-179.7504
82.500000	79.364	-179.9884
83.800003	79.216	179.8034
85.000000	79.075	179.6565
86.199997	78.929	179.5639
87.500000	78.772	179.5064
88.500000	78.652	179.4847
90.000000	78.474	179.4962
91.199997	78.334	179.5514
92.500000	78.183	179.6599
93.800003	78.032	179.8099
95.000000	77.890	179.9817
96.199997	77.743	-179.8182
97.500000	77.578	-179.5809
98.800003	77.412	-179.3333
100.000000	77.260	-179.1008
101.500000	77.077	-178.8044
103.000000	76.902	-178.4737
104.400002	76.737	-178.0947
106.000000	76.541	-177.5894
107.500000	76.354	-177.0960
109.000000	76.172	-176.5928
110.599998	75.983	-176.0304
112.000000	75.820	-175.5231
113.800003	75.610	-174.8439
115.000000	75.469	-174.3519
117.199997	75.205	-173.3437
118.000000	75.109	-172.9448
120.599998	74.800	-171.6001
122.000000	74.636	-170.8745
124.099998	74.394	-169.7653
125.000000	74.291	-169.2756
126.500000	74.121	-168.4384
128.000000	73.950	-167.5780
131.500000	73.560	-165.4794
132.000000	73.506	-165.1629
134.000000	73.295	-163.8458
136.000000	73.092	-162.4628
138.000000	72.895	-161.0456
140.000000	72.703	-159.6048
143.000000	72.420	-157.3750
145.000000	72.238	-155.8098
147.500000	72.018	-153.7975
150.000000	71.807	-151.7538
152.500000	71.603	-149.6772
155.000000	71.409	-147.5561
157.500000	71.222	-145.3819
160.000000	71.046	-143.1877
162.500000	70.883	-141.0079
165.000000	70.732	-138.8133
167.500000	70.593	-136.5957
170.000000	70.467	-134.3726
172.500000	70.351	-132.1405
175.000000	70.239	-129.8785
177.500000	70.130	-127.5866
180.000000	70.026	-125.2971
182.500000	69.927	-123.0145
185.000000	69.824	-120.7320
187.500000	69.718	-118.4531
190.000000	69.617	-116.1747
192.500000	69.531	-113.8945
195.000000	69.462	-111.6178
197.500000	69.410	-109.3485
200.000000	69.377	-107.0887
203.000000	69.360	-104.4046
206.000000	69.365	-101.7618
209.000000	69.380	-99.1427
212.000000	69.394	-96.5420
214.000000	69.401	-94.8345
218.000000	69.415	-91.5268
220.000000	69.421	-89.9210
224.000000	69.425	-86.7555
227.000000	69.425	-84.4088
230.000000	69.430	-82.0739
233.000000	69.442	-79.7474
236.000000	69.457	-77.4662
240.000000	69.480	-74.5173
243.000000	69.497	-72.3560
247.000000	69.517	-69.5111
250.000000	69.532	-67.3804
254.000000	69.554	-64.5306
258.000000	69.579	-61.6810
262.000000	69.603	-58.8350
265.000000	69.621	-56.7073
269.000000	69.648	-53.9001
272.000000	69.668	-51.8240
276.000000	69.696	-49.0823
280.000000	69.728	-46.3619
285.000000	69.774	-42.9986
290.000000	69.823	-39.7230
295.000000	69.864	-36.5368
300.000000	69.904	-33.4058
304.000000	69.939	-30.9681
307.000000	69.964	-29.1998
311.000000	69.994	-26.9173
315.000000	70.017	-24.7068
320.000000	70.036	-22.0444
325.000000	70.049	-19.5013
330.000000	70.061	-17.0622
335.000000	70.078	-14.7120
340.000000	70.097	-12.4285
345.000000	70.111	-10.1529
350.000000	70.113	-7.8723
355.000000	70.106	-5.6099
360.000000	70.102	-3.3388
365.000000	70.109	-1.0363
370.000000	70.123	1.2648
375.000000	70.132	3.5511
382.000000	70.130	6.7627
387.000000	70.123	9.0492
395.000000	70.113	12.6771
400.000000	70.111	14.9339
406.000000	70.110	17.6247
412.000000	70.109	20.2856
418.000000	70.103	22.9235
425.000000	70.092	25.9774
431.000000	70.079	28.5350
437.000000	70.061	31.0162
444.000000	70.039	33.8522
450.000000	70.024	36.2788
455.000000	70.017	38.2984
462.000000	70.009	41.0859
468.000000	70.002	43.4192
475.000000	69.989	46.0983
482.000000	69.963	48.7718
487.000000	69.937	50.6901
494.000000	69.897	53.3999
500.000000	69.867	55.7664
508.000000	69.839	59.0066
515.000000	69.820	61.9260
522.000000	69.805	64.9096
530.000000	69.788	68.3336
538.000000	69.763	71.7168
545.000000	69.733	74.6550
552.000000	69.700	77.5924
560.000000	69.662	80.9510
570.000000	69.616	85.1500
580.000000	69.575	89.3504
590.000000	69.538	93.5240
600.000000	69.491	97.6720
608.000000	69.447	101.0135
615.000000	69.405	103.9650
622.000000	69.364	106.9162
630.000000	69.320	110.2645
640.000000	69.271	114.3989
650.000000	69.227	118.4392
660.000000	69.177	122.3833
670.000000	69.117	126.2517
680.000000	69.046	130.0601
690.000000	68.974	133.8789
700.000000	68.908	137.7569
710.000000	68.848	141.6845
720.000000	68.790	145.6387
730.000000	68.733	149.6086
740.000000	68.681	153.6081
750.000000	68.633	157.6633
762.000000	68.578	162.6453
775.000000	68.526	168.2011
788.000000	68.498	173.8864
800.000000	68.498	179.2432
812.000000	68.525	-175.3653
825.000000	68.595	-169.5315
838.000000	68.709	-163.7078
850.000000	68.853	-158.4005
862.000000	69.028	-153.2275
875.000000	69.247	-147.8393
885.000000	69.430	-143.8870
900.000000	69.711	-138.2826
912.000000	69.935	-134.0208
925.000000	70.175	-129.5300
938.000000	70.404	-125.1246
950.000000	70.600	-121.1431
962.000000	70.777	-117.2723
975.000000	70.948	-113.2314
988.000000	71.099	-109.3398
1000.000000	71.225	-105.8280
1015.000000	71.369	-101.4800
1030.000000	71.498	-97.1755
1044.000000	71.608	-93.2218
1060.000000	71.720	-88.8277
1075.000000	71.809	-84.8736
1090.000000	71.884	-81.1004
1106.000000	71.956	-77.2640
1120.000000	72.018	-74.0134
1138.000000	72.093	-69.8494
1150.000000	72.139	-67.0186
1172.000000	72.220	-61.6885
1180.000000	72.251	-59.7155
1206.000000	72.355	-53.2007
1220.000000	72.414	-49.6465
1241.000000	72.514	-44.3091
1250.000000	72.561	-42.0310
1265.000000	72.642	-38.2626
1280.000000	72.726	-34.5481
1315.000000	72.899	-26.1706
1320.000000	72.917	-24.9985
1340.000000	72.960	-20.3245
1360.000000	72.956	-15.6434
1380.000000	72.917	-10.9640
1400.000000	72.863	-6.2943
1430.000000	72.809	0.7074
1450.000000	72.811	5.3353
1475.000000	72.850	10.9739
1500.000000	72.915	16.3265
1525.000000	72.996	21.3386
1550.000000	73.088	26.0624
1575.000000	73.185	30.6235
1600.000000	73.284	35.1165
1625.000000	73.384	39.5604
1650.000000	73.487	43.9480
1675.000000	73.595	48.3282
1700.000000	73.712	52.7101
1725.000000	73.836	57.0451
1750.000000	73.964	61.2917
1775.000000	74.093	65.4062
1800.000000	74.222	69.3642
1825.000000	74.354	73.1937
