* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Sep-2024 12:10:27
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Airpod 4 ANC (ANC on) L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	63.677	-129.5559
20.600000	63.915	-130.6890
20.900000	64.209	-132.1454
21.200001	64.515	-133.7562
21.400000	64.718	-134.8766
21.799999	65.120	-137.1621
22.000000	65.319	-138.2993
22.400000	65.712	-140.4985
22.700001	66.005	-142.0432
23.000000	66.298	-143.4853
23.299999	66.592	-144.8389
23.600000	66.884	-146.1377
24.000000	67.267	-147.8550
24.299999	67.545	-149.1732
24.700001	67.898	-150.9937
25.000000	68.149	-152.3954
25.400000	68.472	-154.2777
25.799999	68.792	-156.1419
26.200001	69.116	-157.9764
26.500000	69.365	-159.3404
26.900000	69.700	-161.1600
27.200001	69.951	-162.5341
27.600000	70.280	-164.3834
28.000000	70.598	-166.2527
28.500000	70.978	-168.6187
29.000000	71.338	-171.0211
29.500000	71.675	-173.4477
30.000000	71.988	-175.8500
30.400000	72.221	-177.7061
30.700001	72.388	-179.0382
31.100000	72.605	179.2755
31.500000	72.820	177.6820
32.000000	73.091	175.7776
32.500000	73.361	173.9203
33.000000	73.625	172.0870
33.500000	73.880	170.2849
34.000000	74.126	168.5265
34.500000	74.364	166.8151
35.000000	74.598	165.1479
35.500000	74.830	163.5205
36.000000	75.062	161.9234
36.500000	75.292	160.3431
37.000000	75.514	158.7730
37.500000	75.720	157.2192
38.200001	75.978	155.0778
38.700001	76.140	153.5488
39.500000	76.369	151.0479
40.000000	76.494	149.4709
40.599998	76.637	147.6260
41.200001	76.779	145.8533
41.799999	76.919	144.1081
42.500000	77.066	142.0350
43.099998	77.170	140.2100
43.700001	77.264	138.3510
44.400002	77.372	136.1649
45.000000	77.468	134.3199
45.500000	77.548	132.8337
46.200001	77.656	130.8367
46.799999	77.741	129.1699
47.500000	77.832	127.2429
48.200001	77.922	125.3408
48.700001	77.988	124.0114
49.400002	78.073	122.2141
50.000000	78.130	120.7561
50.799999	78.183	118.9356
51.500000	78.222	117.4037
52.200001	78.269	115.8713
53.000000	78.332	114.1331
53.799999	78.395	112.4722
54.500000	78.445	111.0992
