* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Sep-2024 12:07:14
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Airpod 4 ANC (ANC on) R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	63.355	-146.3160
20.600000	63.557	-147.7214
20.900000	63.813	-149.2054
21.200001	64.102	-150.5246
21.400000	64.314	-151.3407
21.799999	64.768	-153.0477
22.000000	64.999	-154.0201
22.400000	65.428	-156.2444
22.700001	65.704	-158.0622
23.000000	65.938	-159.8710
23.299999	66.145	-161.5688
23.600000	66.346	-163.1176
24.000000	66.635	-165.0198
24.299999	66.879	-166.4305
24.700001	67.232	-168.4287
25.000000	67.509	-170.0491
25.400000	67.880	-172.3423
25.799999	68.251	-174.7225
26.200001	68.619	-177.1465
26.500000	68.891	-178.9873
26.900000	69.238	178.5370
27.200001	69.480	176.6855
27.600000	69.777	174.2746
28.000000	70.048	171.9809
28.500000	70.369	169.2959
29.000000	70.690	166.7341
29.500000	71.013	164.1760
30.000000	71.327	161.5635
30.400000	71.566	159.4471
30.700001	71.736	157.8613
31.100000	71.952	155.7640
31.500000	72.159	153.6901
32.000000	72.410	151.1125
32.500000	72.655	148.5201
33.000000	72.889	145.8989
33.500000	73.106	143.2831
34.000000	73.302	140.7487
34.500000	73.481	138.3666
35.000000	73.653	136.1444
35.500000	73.830	134.0096
36.000000	74.013	131.8582
36.500000	74.196	129.6308
37.000000	74.372	127.3509
37.500000	74.541	125.0970
38.200001	74.775	122.1108
38.700001	74.947	120.1112
39.500000	75.227	117.0387
40.000000	75.400	115.1284
40.599998	75.602	112.7951
41.200001	75.791	110.4045
41.799999	75.962	107.9922
42.500000	76.138	105.2265
43.099998	76.277	102.9070
43.700001	76.414	100.5787
44.400002	76.563	97.7990
45.000000	76.676	95.3953
45.500000	76.759	93.4196
46.200001	76.865	90.7141
46.799999	76.954	88.4155
47.500000	77.061	85.6974
48.200001	77.166	82.9426
48.700001	77.236	81.0102
49.400002	77.320	78.4642
50.000000	77.385	76.4662
50.799999	77.476	73.9507
51.500000	77.556	71.7442
52.200001	77.628	69.5098
53.000000	77.696	67.0111
53.799999	77.755	64.6087
54.500000	77.803	62.5389
55.200001	77.854	60.4576
56.000000	77.924	58.0844
57.000000	78.027	55.2249
58.000000	78.118	52.5187
59.000000	78.178	49.8578
60.000000	78.229	47.1569
60.799999	78.278	45.0261
61.500000	78.328	43.2531
62.200001	78.379	41.5723
63.000000	78.434	39.7050
64.000000	78.496	37.3304
65.000000	78.551	34.8894
66.000000	78.601	32.4769
67.000000	78.646	30.1321
68.000000	78.688	27.8232
69.000000	78.726	25.5551
70.000000	78.761	23.3587
71.000000	78.794	21.2261
72.000000	78.827	19.1170
73.000000	78.858	17.0232
74.000000	78.884	14.9615
75.000000	78.904	12.9283
76.199997	78.926	10.5002
77.500000	78.952	7.8972
78.800003	78.977	5.3676
80.000000	78.994	3.0797
81.199997	79.008	0.7925
82.500000	79.013	-1.6696
83.800003	79.004	-4.0659
85.000000	78.984	-6.2317
86.199997	78.960	-8.3831
87.500000	78.933	-10.7028
88.500000	78.909	-12.4651
90.000000	78.864	-15.0446
91.199997	78.817	-17.0494
92.500000	78.755	-19.1769
93.800003	78.688	-21.2697
95.000000	78.626	-23.1597
96.199997	78.567	-25.0023
97.500000	78.507	-26.9351
98.800003	78.447	-28.7816
100.000000	78.392	-30.4102
101.500000	78.318	-32.3931
103.000000	78.238	-34.3694
104.400002	78.162	-36.1968
106.000000	78.074	-38.1954
107.500000	77.990	-39.9865
109.000000	77.901	-41.7630
110.599998	77.804	-43.6508
112.000000	77.718	-45.2725
113.800003	77.607	-47.3165
115.000000	77.531	-48.6472
117.199997	77.391	-50.9791
118.000000	77.341	-51.7969
120.599998	77.177	-54.4325
122.000000	77.085	-55.8728
124.099998	76.942	-58.0482
125.000000	76.881	-58.9639
126.500000	76.779	-60.4460
128.000000	76.678	-61.8812
131.500000	76.445	-65.1274
132.000000	76.411	-65.5785
134.000000	76.271	-67.3494
136.000000	76.123	-69.0807
138.000000	75.972	-70.7827
140.000000	75.824	-72.4305
143.000000	75.615	-74.7094
145.000000	75.481	-76.0930
147.500000	75.315	-77.6862
150.000000	75.147	-79.1637
152.500000	74.981	-80.5350
155.000000	74.829	-81.7529
157.500000	74.688	-82.8053
160.000000	74.554	-83.7245
162.500000	74.434	-84.5480
165.000000	74.335	-85.3181
167.500000	74.254	-86.0531
170.000000	74.191	-86.7147
172.500000	74.142	-87.3163
175.000000	74.109	-87.9107
177.500000	74.092	-88.5540
180.000000	74.086	-89.2582
182.500000	74.086	-90.0208
185.000000	74.094	-90.8605
187.500000	74.112	-91.7538
190.000000	74.141	-92.6728
192.500000	74.185	-93.6400
195.000000	74.244	-94.6627
197.500000	74.311	-95.7195
200.000000	74.383	-96.8141
203.000000	74.472	-98.2046
206.000000	74.553	-99.6888
209.000000	74.622	-101.2329
212.000000	74.687	-102.8016
214.000000	74.729	-103.8633
218.000000	74.806	-106.0250
220.000000	74.842	-107.1146
224.000000	74.913	-109.2908
227.000000	74.969	-110.9332
230.000000	75.023	-112.5997
233.000000	75.073	-114.2946
236.000000	75.114	-116.0029
240.000000	75.155	-118.2728
243.000000	75.179	-120.0131
247.000000	75.199	-122.4177
250.000000	75.204	-124.2419
254.000000	75.201	-126.6444
258.000000	75.188	-128.9990
262.000000	75.164	-131.3141
265.000000	75.143	-133.0153
269.000000	75.118	-135.1921
272.000000	75.102	-136.7434
276.000000	75.080	-138.7111
280.000000	75.051	-140.5798
285.000000	75.005	-142.8042
290.000000	74.957	-144.9238
295.000000	74.909	-146.9723
300.000000	74.866	-148.9712
304.000000	74.842	-150.5430
307.000000	74.829	-151.7191
311.000000	74.820	-153.3029
315.000000	74.812	-154.8953
320.000000	74.795	-156.8643
325.000000	74.771	-158.7855
330.000000	74.750	-160.6462
335.000000	74.737	-162.4578
340.000000	74.727	-164.2254
345.000000	74.715	-166.0043
350.000000	74.704	-167.7733
355.000000	74.693	-169.4767
360.000000	74.682	-171.1451
365.000000	74.671	-172.8015
370.000000	74.660	-174.4567
375.000000	74.651	-176.1366
382.000000	74.642	-178.4814
387.000000	74.634	179.8890
395.000000	74.603	177.3633
400.000000	74.579	175.8209
406.000000	74.552	174.0121
412.000000	74.529	172.2250
418.000000	74.512	170.4263
425.000000	74.503	168.3574
431.000000	74.498	166.6368
437.000000	74.491	164.9235
444.000000	74.480	162.8721
450.000000	74.472	161.0923
455.000000	74.467	159.6308
462.000000	74.462	157.6494
468.000000	74.457	155.9955
475.000000	74.454	154.0698
482.000000	74.448	152.1017
487.000000	74.443	150.6820
494.000000	74.434	148.7116
500.000000	74.429	147.0591
508.000000	74.427	144.9082
515.000000	74.432	143.0682
522.000000	74.436	141.2623
530.000000	74.438	139.2114
538.000000	74.433	137.1883
545.000000	74.423	135.4572
552.000000	74.415	133.7411
560.000000	74.413	131.7895
570.000000	74.428	129.4069
580.000000	74.453	127.1253
590.000000	74.479	124.8580
600.000000	74.504	122.5677
608.000000	74.523	120.7601
615.000000	74.540	119.2070
622.000000	74.556	117.6604
630.000000	74.576	115.8712
640.000000	74.613	113.6180
650.000000	74.666	111.3844
660.000000	74.728	109.1160
670.000000	74.789	106.6993
680.000000	74.846	104.1567
690.000000	74.909	101.5923
700.000000	74.981	99.0693
710.000000	75.064	96.5444
720.000000	75.154	93.9485
730.000000	75.247	91.2960
740.000000	75.345	88.6342
750.000000	75.446	85.9688
762.000000	75.564	82.7315
775.000000	75.686	79.1085
788.000000	75.810	75.2978
800.000000	75.928	71.6547
