* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Sep-2024 12:09:10
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Airpod 4 ANC (Tr on) L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	60.681	-137.1340
20.600000	60.862	-138.1833
20.900000	61.095	-139.6774
21.200001	61.345	-141.5332
21.400000	61.511	-142.9465
21.799999	61.829	-146.1093
22.000000	61.978	-147.8061
22.400000	62.259	-151.2787
22.700001	62.465	-153.8347
23.000000	62.677	-156.2689
23.299999	62.908	-158.5529
23.600000	63.163	-160.7022
24.000000	63.534	-163.4369
24.299999	63.821	-165.4476
24.700001	64.186	-168.1100
25.000000	64.432	-170.0755
25.400000	64.712	-172.6025
25.799999	64.948	-174.9938
26.200001	65.161	-177.2907
26.500000	65.320	-179.0097
26.900000	65.540	178.6341
27.200001	65.714	176.8096
27.600000	65.962	174.3527
28.000000	66.232	171.9630
28.500000	66.606	169.1668
29.000000	67.007	166.5285
29.500000	67.390	163.8781
30.000000	67.705	161.1085
30.400000	67.896	158.8239
30.700001	68.011	157.1014
31.100000	68.148	154.8219
31.500000	68.293	152.5677
32.000000	68.513	149.7580
32.500000	68.773	146.9368
33.000000	69.048	144.1372
33.500000	69.310	141.4188
34.000000	69.549	138.8033
34.500000	69.770	136.2609
35.000000	69.981	133.7574
35.500000	70.186	131.3001
36.000000	70.384	128.9265
36.500000	70.571	126.6540
37.000000	70.745	124.4493
37.500000	70.908	122.2474
38.200001	71.131	119.0764
38.700001	71.290	116.7577
39.500000	71.519	113.1848
40.000000	71.616	111.2279
40.599998	71.686	109.2510
41.200001	71.746	107.4524
41.799999	71.848	105.3455
42.500000	72.031	102.1013
43.099998	72.208	98.9319
43.700001	72.381	95.9739
44.400002	72.571	93.1792
45.000000	72.725	91.2078
45.500000	72.848	89.6519
46.200001	73.021	87.3825
46.799999	73.172	85.3085
47.500000	73.326	82.8766
48.200001	73.421	80.6914
48.700001	73.465	79.3232
49.400002	73.541	77.4177
50.000000	73.637	75.4911
50.799999	73.787	72.4870
51.500000	73.918	69.8817
52.200001	74.054	67.5847
53.000000	74.213	65.2112
53.799999	74.358	62.8767
54.500000	74.473	60.8287
55.200001	74.582	58.8250
56.000000	74.696	56.6515
57.000000	74.823	54.1284
58.000000	74.947	51.7211
59.000000	75.079	49.3563
60.000000	75.222	47.0233
60.799999	75.340	45.1575
61.500000	75.440	43.5154
62.200001	75.540	41.8442
63.000000	75.649	39.8637
64.000000	75.775	37.2986
65.000000	75.902	34.7095
66.000000	76.037	32.0844
67.000000	76.162	29.4183
68.000000	76.273	26.7675
69.000000	76.377	24.1638
70.000000	76.483	21.5913
71.000000	76.585	18.9960
72.000000	76.672	16.3273
73.000000	76.741	13.5825
74.000000	76.797	10.8097
75.000000	76.850	8.0492
76.199997	76.921	4.7457
