* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09-Oct-2023 10:31:45
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: BASN MMCX R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	73.152	-80.4022
20.600000	73.209	-80.9709
20.900000	73.346	-82.1600
21.200001	73.495	-83.4260
21.400000	73.593	-84.2521
21.799999	73.780	-85.8503
22.000000	73.865	-86.6237
22.400000	74.016	-88.1375
22.700001	74.112	-89.2429
23.000000	74.198	-90.3224
23.299999	74.277	-91.3884
23.600000	74.354	-92.4588
24.000000	74.455	-93.9204
24.299999	74.533	-95.0511
24.700001	74.637	-96.5888
25.000000	74.716	-97.7371
25.400000	74.824	-99.2220
25.799999	74.930	-100.6229
26.200001	75.030	-101.9290
26.500000	75.100	-102.8508
26.900000	75.183	-104.0182
27.200001	75.241	-104.8705
27.600000	75.318	-106.0244
28.000000	75.400	-107.2712
28.500000	75.507	-109.0395
29.000000	75.607	-110.9833
29.500000	75.687	-112.8743
30.000000	75.752	-114.4412
30.400000	75.806	-115.3955
30.700001	75.854	-115.9739
31.100000	75.925	-116.6699
31.500000	76.001	-117.3885
32.000000	76.085	-118.4189
32.500000	76.150	-119.5887
33.000000	76.199	-120.8140
33.500000	76.243	-122.0227
34.000000	76.287	-123.1792
34.500000	76.334	-124.2818
35.000000	76.385	-125.3516
35.500000	76.437	-126.4241
36.000000	76.487	-127.5200
36.500000	76.532	-128.6244
37.000000	76.568	-129.6935
37.500000	76.599	-130.6955
38.200001	76.635	-132.0035
38.700001	76.659	-132.9215
39.500000	76.695	-134.4337
40.000000	76.715	-135.3896
40.599998	76.738	-136.5046
41.200001	76.763	-137.5694
41.799999	76.789	-138.6162
42.500000	76.819	-139.8661
43.099998	76.840	-140.9526
43.700001	76.858	-141.9967
44.400002	76.873	-143.1117
45.000000	76.876	-143.9938
45.500000	76.869	-144.7190
46.200001	76.849	-145.7840
46.799999	76.838	-146.7738
47.500000	76.850	-147.9919
48.200001	76.890	-149.1869
48.700001	76.922	-149.9577
49.400002	76.950	-150.8454
50.000000	76.952	-151.4376
50.799999	76.935	-152.1592
51.500000	76.914	-152.8946
52.200001	76.890	-153.7059
53.000000	76.873	-154.5554
53.799999	76.877	-155.2876
54.500000	76.888	-155.9326
55.200001	76.891	-156.6379
56.000000	76.882	-157.5396
57.000000	76.852	-158.8528
58.000000	76.781	-160.2142
59.000000	76.684	-161.3338
60.000000	76.604	-162.2735
60.799999	76.567	-163.0245
61.500000	76.554	-163.6644
62.200001	76.553	-164.2471
63.000000	76.550	-164.8533
64.000000	76.532	-165.6251
65.000000	76.515	-166.5041
66.000000	76.530	-167.4214
67.000000	76.558	-168.2273
68.000000	76.547	-168.9534
69.000000	76.466	-169.7322
70.000000	76.356	-170.5742
71.000000	76.285	-171.4647
72.000000	76.270	-172.3423
73.000000	76.285	-173.0939
74.000000	76.296	-173.7061
75.000000	76.286	-174.2266
76.199997	76.249	-174.7909
77.500000	76.193	-175.3806
78.800003	76.119	-175.9879
80.000000	76.043	-176.6129
81.199997	75.981	-177.3013
82.500000	75.938	-178.0939
83.800003	75.902	-178.8853
85.000000	75.865	-179.5388
86.199997	75.819	179.9048
87.500000	75.758	179.3439
88.500000	75.708	178.9062
90.000000	75.638	178.2510
91.199997	75.588	177.7518
92.500000	75.532	177.2480
93.800003	75.470	176.7722
95.000000	75.409	176.3448
96.199997	75.348	175.9331
97.500000	75.285	175.5187
98.800003	75.226	175.1426
100.000000	75.174	174.8163
101.500000	75.116	174.3962
103.000000	75.063	173.9511
104.400002	75.014	173.5369
106.000000	74.956	173.0500
107.500000	74.903	172.5560
109.000000	74.846	172.0549
110.599998	74.783	171.5530
112.000000	74.729	171.1523
113.800003	74.657	170.6718
115.000000	74.608	170.3580
117.199997	74.516	169.7963
118.000000	74.482	169.6028
120.599998	74.367	169.0201
122.000000	74.307	168.7268
124.099998	74.218	168.3191
125.000000	74.180	168.1545
126.500000	74.118	167.8833
128.000000	74.056	167.6048
131.500000	73.925	166.9280
132.000000	73.907	166.8344
134.000000	73.833	166.4940
136.000000	73.753	166.2563
138.000000	73.665	166.1153
140.000000	73.577	165.9741
143.000000	73.452	165.6950
145.000000	73.373	165.5085
147.500000	73.276	165.3061
150.000000	73.188	165.1224
152.500000	73.108	164.9598
155.000000	73.033	164.8161
157.500000	72.956	164.6783
160.000000	72.879	164.5814
162.500000	72.797	164.4887
165.000000	72.709	164.2971
167.500000	72.613	164.0517
170.000000	72.517	163.8712
172.500000	72.432	163.7860
175.000000	72.350	163.7745
177.500000	72.265	163.8225
180.000000	72.171	163.9059
182.500000	72.068	164.0009
185.000000	71.950	164.0975
187.500000	71.823	164.2018
190.000000	71.698	164.3213
192.500000	71.587	164.4492
195.000000	71.495	164.5857
197.500000	71.417	164.7473
200.000000	71.341	164.9585
203.000000	71.247	165.3031
206.000000	71.160	165.7548
209.000000	71.086	166.3409
212.000000	71.021	167.0642
214.000000	70.983	167.5938
218.000000	70.915	168.7242
220.000000	70.892	169.3381
224.000000	70.889	170.6560
227.000000	70.936	171.6469
230.000000	71.031	172.5169
233.000000	71.168	173.1077
236.000000	71.326	173.2912
240.000000	71.520	172.9258
243.000000	71.623	172.3340
247.000000	71.687	171.3053
250.000000	71.686	170.4551
254.000000	71.642	169.4815
258.000000	71.577	168.9234
262.000000	71.504	168.6399
265.000000	71.444	168.4636
269.000000	71.363	168.2488
272.000000	71.303	168.1379
276.000000	71.227	168.0624
280.000000	71.153	168.0422
285.000000	71.058	168.0797
290.000000	70.965	168.1602
295.000000	70.879	168.2509
300.000000	70.797	168.3804
304.000000	70.734	168.5302
307.000000	70.688	168.6725
311.000000	70.629	168.8990
315.000000	70.569	169.1480
320.000000	70.501	169.4519
325.000000	70.443	169.7506
330.000000	70.392	170.0638
335.000000	70.349	170.3484
340.000000	70.317	170.5538
345.000000	70.287	170.7405
350.000000	70.246	170.9884
355.000000	70.193	171.3087
360.000000	70.138	171.6618
365.000000	70.090	171.9990
370.000000	70.050	172.2935
375.000000	70.016	172.5508
382.000000	69.972	172.9233
387.000000	69.944	173.2214
395.000000	69.902	173.7252
400.000000	69.877	174.0435
406.000000	69.847	174.3955
412.000000	69.815	174.6942
418.000000	69.782	174.9673
425.000000	69.749	175.3268
431.000000	69.727	175.6797
437.000000	69.708	176.0379
444.000000	69.685	176.4398
450.000000	69.665	176.7923
455.000000	69.648	177.0968
462.000000	69.624	177.5340
468.000000	69.605	177.9141
475.000000	69.590	178.3342
482.000000	69.581	178.7336
487.000000	69.573	179.0250
494.000000	69.557	179.4363
500.000000	69.543	179.7674
508.000000	69.521	-179.8113
515.000000	69.500	-179.4193
522.000000	69.480	-178.9919
530.000000	69.463	-178.4930
538.000000	69.453	-178.0031
545.000000	69.449	-177.5734
552.000000	69.446	-177.1495
560.000000	69.448	-176.6759
570.000000	69.453	-176.0780
580.000000	69.458	-175.4559
590.000000	69.456	-174.8158
600.000000	69.454	-174.2055
608.000000	69.460	-173.7506
615.000000	69.469	-173.3671
622.000000	69.478	-172.9822
630.000000	69.491	-172.5151
640.000000	69.510	-171.8766
650.000000	69.533	-171.2095
660.000000	69.558	-170.5600
670.000000	69.586	-169.9625
680.000000	69.616	-169.4206
690.000000	69.651	-168.8844
700.000000	69.688	-168.3274
710.000000	69.721	-167.7684
720.000000	69.749	-167.2371
730.000000	69.778	-166.7242
740.000000	69.812	-166.1939
750.000000	69.853	-165.6411
762.000000	69.906	-164.9784
775.000000	69.963	-164.2671
788.000000	70.027	-163.5347
800.000000	70.094	-162.8483
812.000000	70.167	-162.1956
825.000000	70.246	-161.5597
838.000000	70.320	-160.9374
850.000000	70.387	-160.3586
862.000000	70.458	-159.8199
