* Measurement data measured by REW V5.30.9
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Baseus AS01, Baseus AS01
* Dated: 02-Mar-2024 12:30:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Baseus AS01
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	48.682
20.600000	49.602
20.900000	51.131
21.200001	52.811
21.400000	53.775
21.799999	55.003
22.000000	55.266
22.400000	55.374
22.700001	55.479
23.000000	55.849
23.299999	56.377
23.600000	56.790
24.000000	56.822
24.299999	56.377
24.700001	55.208
25.000000	53.993
25.400000	52.134
25.799999	50.267
26.200001	48.550
26.500000	47.321
26.900000	45.801
27.200001	45.098
27.600000	45.189
28.000000	45.922
28.500000	46.931
29.000000	48.123
29.500000	49.044
30.000000	49.345
30.400000	49.655
30.700001	50.146
31.100000	50.835
31.500000	51.223
32.000000	51.730
32.500000	52.979
33.000000	54.183
33.500000	54.520
34.000000	54.388
34.500000	54.921
35.000000	56.142
35.500000	57.070
36.000000	57.278
36.500000	56.874
37.000000	56.098
37.500000	55.054
38.200001	53.331
38.700001	52.896
39.500000	55.559
40.000000	58.008
40.599998	60.378
41.200001	61.834
41.799999	62.314
42.500000	61.647
43.099998	60.416
43.700001	59.761
44.400002	60.641
45.000000	61.590
45.500000	61.807
46.200001	61.032
46.799999	59.675
47.500000	58.047
48.200001	57.087
48.700001	57.055
49.400002	57.693
50.000000	58.197
50.799999	57.926
51.500000	56.633
52.200001	54.715
53.000000	52.685
53.799999	51.506
54.500000	50.794
55.200001	49.935
56.000000	48.813
57.000000	47.133
58.000000	45.642
59.000000	45.946
60.000000	48.071
60.799999	49.667
61.500000	50.372
62.200001	50.376
63.000000	49.857
64.000000	49.357
65.000000	49.546
66.000000	50.026
67.000000	50.154
68.000000	50.162
69.000000	50.896
70.000000	51.853
71.000000	52.024
72.000000	51.580
73.000000	51.329
74.000000	51.669
75.000000	52.340
76.199997	52.914
77.500000	53.640
78.800003	54.794
80.000000	55.497
81.199997	55.467
82.500000	54.905
83.800003	55.000
85.000000	55.599
86.199997	55.856
87.500000	56.021
88.500000	56.331
90.000000	56.828
91.199997	57.069
92.500000	57.437
93.800003	57.825
95.000000	57.839
96.199997	57.639
97.500000	57.457
98.800003	57.100
100.000000	56.469
101.500000	55.574
103.000000	55.163
104.400002	55.620
106.000000	56.271
107.500000	56.105
109.000000	55.302
110.599998	54.758
112.000000	55.145
113.800003	56.211
115.000000	56.764
117.199997	57.267
118.000000	57.373
120.599998	57.813
122.000000	58.287
124.099998	59.019
125.000000	59.137
126.500000	59.089
128.000000	59.072
131.500000	59.504
132.000000	59.579
134.000000	60.015
136.000000	60.534
138.000000	60.821
140.000000	60.728
143.000000	60.735
145.000000	61.258
147.500000	62.166
150.000000	62.831
152.500000	63.007
155.000000	62.930
157.500000	62.733
160.000000	62.467
162.500000	62.185
165.000000	62.124
167.500000	62.281
170.000000	62.531
172.500000	62.832
175.000000	63.140
177.500000	63.435
180.000000	63.695
182.500000	63.901
185.000000	64.109
187.500000	64.299
190.000000	64.360
192.500000	64.374
195.000000	64.489
197.500000	64.714
200.000000	64.956
203.000000	65.139
206.000000	65.149
209.000000	65.143
212.000000	65.275
214.000000	65.366
218.000000	65.339
220.000000	65.264
224.000000	65.355
227.000000	65.714
230.000000	66.113
233.000000	66.432
236.000000	66.674
240.000000	66.908
243.000000	66.995
247.000000	67.146
250.000000	67.319
254.000000	67.476
258.000000	67.578
262.000000	67.730
265.000000	67.870
269.000000	68.070
272.000000	68.239
276.000000	68.487
280.000000	68.764
285.000000	69.121
290.000000	69.313
295.000000	69.344
300.000000	69.403
304.000000	69.552
307.000000	69.702
311.000000	69.888
315.000000	70.032
320.000000	70.185
325.000000	70.311
330.000000	70.400
335.000000	70.523
340.000000	70.697
345.000000	70.855
350.000000	70.977
355.000000	71.081
360.000000	71.185
365.000000	71.319
370.000000	71.502
375.000000	71.721
382.000000	71.994
387.000000	72.077
395.000000	72.053
400.000000	72.045
406.000000	72.085
412.000000	72.124
418.000000	72.154
425.000000	72.201
431.000000	72.237
437.000000	72.255
444.000000	72.278
450.000000	72.332
455.000000	72.396
462.000000	72.515
468.000000	72.655
475.000000	72.826
482.000000	72.927
487.000000	72.940
494.000000	72.914
500.000000	72.921
508.000000	73.013
515.000000	73.105
522.000000	73.176
530.000000	73.248
538.000000	73.303
545.000000	73.350
552.000000	73.436
560.000000	73.583
570.000000	73.776
580.000000	73.957
590.000000	74.117
600.000000	74.207
608.000000	74.254
615.000000	74.301
622.000000	74.359
630.000000	74.446
640.000000	74.582
650.000000	74.729
660.000000	74.864
670.000000	74.922
680.000000	74.882
690.000000	74.836
700.000000	74.846
710.000000	74.906
720.000000	75.009
730.000000	75.132
740.000000	75.237
750.000000	75.320
762.000000	75.420
775.000000	75.512
788.000000	75.633
800.000000	75.812
812.000000	76.039
825.000000	76.261
838.000000	76.404
850.000000	76.466
862.000000	76.503
875.000000	76.568
885.000000	76.648
900.000000	76.797
912.000000	76.933
925.000000	77.107
938.000000	77.306
950.000000	77.515
962.000000	77.746
975.000000	78.018
988.000000	78.314
1000.000000	78.603
1015.000000	78.970
1030.000000	79.346
1044.000000	79.715
1060.000000	80.161
1075.000000	80.593
1090.000000	81.022
1106.000000	81.475
1120.000000	81.881
1138.000000	82.426
1150.000000	82.793
1172.000000	83.434
1180.000000	83.657
1206.000000	84.391
1220.000000	84.806
1241.000000	85.433
1250.000000	85.698
1265.000000	86.137
1280.000000	86.578
1315.000000	87.557
1320.000000	87.682
1340.000000	88.146
1360.000000	88.579
1380.000000	88.987
1400.000000	89.364
1430.000000	89.908
1450.000000	90.290
1475.000000	90.777
1500.000000	91.251
1525.000000	91.711
1550.000000	92.136
1575.000000	92.504
1600.000000	92.825
1625.000000	93.130
1650.000000	93.434
1675.000000	93.723
1700.000000	93.993
1725.000000	94.256
1750.000000	94.506
1775.000000	94.736
1800.000000	94.956
1825.000000	95.174
1850.000000	95.372
1875.000000	95.531
1900.000000	95.644
1925.000000	95.733
1950.000000	95.827
1975.000000	95.939
2000.000000	96.065
2030.000000	96.230
2060.000000	96.400
2090.000000	96.546
2120.000000	96.655
2140.000000	96.718
2180.000000	96.863
2200.000000	96.954
2240.000000	97.169
2270.000000	97.341
2300.000000	97.495
2330.000000	97.622
2360.000000	97.740
2400.000000	97.926
2430.000000	98.088
2470.000000	98.308
2500.000000	98.449
2540.000000	98.568
2580.000000	98.602
2620.000000	98.559
2650.000000	98.485
2690.000000	98.327
2720.000000	98.160
2760.000000	97.894
2800.000000	97.613
2850.000000	97.271
2900.000000	96.977
2950.000000	96.751
3000.000000	96.585
3040.000000	96.484
3070.000000	96.428
3110.000000	96.377
3150.000000	96.329
3200.000000	96.257
3250.000000	96.170
3300.000000	96.061
3350.000000	95.904
3400.000000	95.678
3450.000000	95.423
3500.000000	95.215
3550.000000	95.068
3600.000000	94.946
3650.000000	94.823
3700.000000	94.718
3750.000000	94.666
3820.000000	94.702
3870.000000	94.796
3950.000000	94.939
4000.000000	94.937
4060.000000	94.811
4120.000000	94.588
4180.000000	94.377
4250.000000	94.306
4310.000000	94.386
4370.000000	94.469
4440.000000	94.489
4500.000000	94.477
4550.000000	94.475
4620.000000	94.483
4680.000000	94.485
4750.000000	94.490
4820.000000	94.506
4870.000000	94.504
4940.000000	94.472
5000.000000	94.458
5080.000000	94.500
5150.000000	94.543
5220.000000	94.567
5300.000000	94.626
5380.000000	94.761
5450.000000	94.928
5520.000000	95.111
5600.000000	95.311
5700.000000	95.592
5800.000000	95.994
5900.000000	96.493
6000.000000	97.036
6080.000000	97.490
6150.000000	97.900
6220.000000	98.312
6300.000000	98.772
6400.000000	99.315
6500.000000	99.795
6600.000000	100.159
6700.000000	100.343
6800.000000	100.306
6900.000000	100.064
7000.000000	99.661
7100.000000	99.152
7200.000000	98.588
7300.000000	98.006
7400.000000	97.423
7500.000000	96.861
7620.000000	96.258
7750.000000	95.759
7880.000000	95.453
8000.000000	95.358
8120.000000	95.484
8250.000000	95.939
8380.000000	96.789
8500.000000	97.911
8620.000000	99.221
8750.000000	100.563
8850.000000	101.321
9000.000000	101.701
9120.000000	101.261
9250.000000	100.145
9380.000000	98.620
9500.000000	97.112
9620.000000	95.715
9750.000000	94.473
9880.000000	93.566
10000.000000	93.015
10150.000000	92.652
10300.000000	92.577
10440.000000	92.722
10600.000000	93.112
10750.000000	93.651
10900.000000	94.299
11060.000000	95.000
11200.000000	95.505
11380.000000	95.877
11500.000000	95.930
11720.000000	95.688
11800.000000	95.527
12060.000000	94.991
12200.000000	94.831
12410.000000	94.906
12500.000000	95.066
12650.000000	95.476
12800.000000	96.003
13150.000000	97.086
13200.000000	97.162
13400.000000	97.120
13600.000000	96.418
13800.000000	95.088
14000.000000	93.344
14300.000000	90.591
14500.000000	89.026
14750.000000	87.590
15000.000000	86.738
15250.000000	86.402
15500.000000	86.577
15750.000000	87.197
16000.000000	87.862
16250.000000	87.990
16500.000000	87.261
16750.000000	85.773
17000.000000	83.891
17250.000000	82.027
17500.000000	80.527
17750.000000	79.635
18000.000000	79.425
18250.000000	79.748
18500.000000	80.286
18750.000000	80.757
19000.000000	81.024
19250.000000	81.075
19500.000000	80.975
19750.000000	80.826
20000.000000	80.726
