* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 31-Jan-2025 16:23:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CAA2 A L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.125	-120.4298
20.600000	91.191	-121.4359
20.900000	91.280	-122.7067
21.200001	91.380	-124.0912
21.400000	91.447	-125.0475
21.799999	91.565	-126.9929
22.000000	91.614	-127.9600
22.400000	91.687	-129.8290
22.700001	91.723	-131.1432
23.000000	91.749	-132.3751
23.299999	91.771	-133.5394
23.600000	91.794	-134.6630
24.000000	91.827	-136.1470
24.299999	91.853	-137.2701
24.700001	91.884	-138.7779
25.000000	91.905	-139.8955
25.400000	91.926	-141.3293
25.799999	91.942	-142.6707
26.200001	91.955	-143.9205
26.500000	91.965	-144.8138
26.900000	91.977	-145.9738
27.200001	91.983	-146.8336
27.600000	91.989	-147.9710
28.000000	91.991	-149.0891
28.500000	91.990	-150.4404
29.000000	91.989	-151.7349
29.500000	91.990	-152.9867
30.000000	91.992	-154.2098
30.400000	91.991	-155.1663
30.700001	91.989	-155.8670
31.100000	91.988	-156.7769
31.500000	91.988	-157.6617
32.000000	91.990	-158.7433
32.500000	91.990	-159.8052
33.000000	91.983	-160.8412
33.500000	91.970	-161.8407
34.000000	91.956	-162.8088
34.500000	91.947	-163.7698
35.000000	91.942	-164.7461
35.500000	91.938	-165.7335
36.000000	91.930	-166.7034
36.500000	91.919	-167.6312
37.000000	91.907	-168.5215
37.500000	91.892	-169.4009
38.200001	91.863	-170.6463
38.700001	91.835	-171.5310
39.500000	91.788	-172.8928
40.000000	91.762	-173.7186
40.599998	91.731	-174.7107
41.200001	91.699	-175.7074
41.799999	91.663	-176.6917
42.500000	91.620	-177.8114
43.099998	91.580	-178.7501
43.700001	91.534	-179.6698
44.400002	91.473	179.2913
45.000000	91.416	178.4426
45.500000	91.368	177.7730
46.200001	91.304	176.8940
46.799999	91.252	176.1770
47.500000	91.191	175.3550
48.200001	91.124	174.5473
48.700001	91.074	173.9883
49.400002	91.002	173.2313
50.000000	90.937	172.5974
50.799999	90.843	171.7763
51.500000	90.754	171.1010
52.200001	90.664	170.4769
53.000000	90.563	169.8242
53.799999	90.463	169.2345
54.500000	90.377	168.7668
55.200001	90.297	168.3321
56.000000	90.213	167.8554
57.000000	90.120	167.2628
58.000000	90.024	166.6832
59.000000	89.922	166.1632
60.000000	89.823	165.7162
60.799999	89.753	165.3915
61.500000	89.699	165.1196
62.200001	89.648	164.8582
63.000000	89.593	164.5753
64.000000	89.527	164.2426
65.000000	89.465	163.9228
66.000000	89.405	163.5996
67.000000	89.347	163.2617
68.000000	89.287	162.9265
69.000000	89.228	162.6232
70.000000	89.169	162.3625
71.000000	89.112	162.1212
72.000000	89.059	161.8646
73.000000	89.008	161.5835
74.000000	88.959	161.2905
75.000000	88.912	161.0022
76.199997	88.861	160.6596
77.500000	88.811	160.2700
78.800003	88.760	159.8720
80.000000	88.708	159.5233
81.199997	88.654	159.2128
82.500000	88.599	158.9238
83.800003	88.545	158.6651
85.000000	88.493	158.4215
86.199997	88.445	158.1547
87.500000	88.398	157.8487
88.500000	88.364	157.6186
90.000000	88.311	157.2844
91.199997	88.266	157.0132
92.500000	88.215	156.7176
93.800003	88.162	156.4169
95.000000	88.114	156.1310
96.199997	88.068	155.8546
97.500000	88.020	155.5925
98.800003	87.976	155.3782
100.000000	87.936	155.2088
101.500000	87.887	154.9933
103.000000	87.838	154.7429
104.400002	87.795	154.4974
106.000000	87.749	154.2494
107.500000	87.708	154.0623
109.000000	87.665	153.8871
110.599998	87.618	153.6728
112.000000	87.577	153.4676
113.800003	87.526	153.2222
115.000000	87.492	153.0839
