* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 31-Jan-2025 16:26:02
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CAA2 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.663	-126.8747
20.600000	90.722	-128.0702
20.900000	90.789	-129.5381
21.200001	90.852	-131.0595
21.400000	90.889	-132.0581
21.799999	90.952	-133.9790
22.000000	90.980	-134.8975
22.400000	91.030	-136.6582
22.700001	91.066	-137.9261
23.000000	91.101	-139.1663
23.299999	91.135	-140.3950
23.600000	91.169	-141.6248
24.000000	91.207	-143.2745
24.299999	91.228	-144.5124
24.700001	91.245	-146.1379
25.000000	91.251	-147.3175
25.400000	91.252	-148.8152
25.799999	91.248	-150.2231
26.200001	91.242	-151.5575
26.500000	91.237	-152.5257
26.900000	91.228	-153.7906
27.200001	91.219	-154.7249
27.600000	91.205	-155.9501
28.000000	91.189	-157.1449
28.500000	91.169	-158.5862
29.000000	91.150	-159.9690
29.500000	91.134	-161.3051
30.000000	91.118	-162.6126
30.400000	91.103	-163.6471
30.700001	91.090	-164.4163
31.100000	91.069	-165.4258
31.500000	91.047	-166.4046
32.000000	91.020	-167.5681
32.500000	90.997	-168.6645
33.000000	90.977	-169.7134
33.500000	90.954	-170.7370
34.000000	90.925	-171.7437
34.500000	90.890	-172.7343
35.000000	90.852	-173.7159
35.500000	90.817	-174.7022
36.000000	90.785	-175.6990
36.500000	90.757	-176.6968
37.000000	90.729	-177.6819
37.500000	90.699	-178.6486
38.200001	90.645	-179.9663
38.700001	90.598	179.1395
39.500000	90.516	177.8487
40.000000	90.469	177.1205
40.599998	90.418	176.2652
41.200001	90.363	175.3857
41.799999	90.296	174.4953
42.500000	90.205	173.4843
43.099998	90.128	172.6244
43.700001	90.056	171.7293
44.400002	89.973	170.6438
45.000000	89.901	169.7266
45.500000	89.843	168.9937
46.200001	89.760	168.0164
46.799999	89.687	167.2303
47.500000	89.598	166.3986
48.200001	89.512	165.6524
48.700001	89.452	165.1481
49.400002	89.365	164.4662
50.000000	89.281	163.9117
50.799999	89.157	163.2113
51.500000	89.047	162.6116
52.200001	88.941	162.0314
53.000000	88.835	161.4297
53.799999	88.742	160.8924
54.500000	88.660	160.4546
55.200001	88.568	160.0470
56.000000	88.453	159.6268
57.000000	88.311	159.1542
58.000000	88.181	158.6797
59.000000	88.053	158.1759
60.000000	87.919	157.7318
60.799999	87.823	157.4603
61.500000	87.753	157.2714
62.200001	87.694	157.1353
63.000000	87.633	157.0746
64.000000	87.557	157.1300
65.000000	87.477	157.2094
66.000000	87.399	157.1934
67.000000	87.335	157.0650
68.000000	87.285	156.8653
69.000000	87.240	156.6215
70.000000	87.191	156.3356
71.000000	87.142	156.0186
72.000000	87.096	155.7014
73.000000	87.049	155.4084
74.000000	86.998	155.1547
75.000000	86.942	154.9504
76.199997	86.880	154.7597
77.500000	86.822	154.5447
78.800003	86.762	154.2668
80.000000	86.706	154.0141
81.199997	86.653	153.7774
82.500000	86.591	153.5810
83.800003	86.542	153.4442
85.000000	86.506	153.2948
86.199997	86.458	153.1414
87.500000	86.396	152.9915
88.500000	86.350	152.8511
90.000000	86.288	152.5665
91.199997	86.242	152.2803
92.500000	86.194	151.9425
93.800003	86.149	151.6212
95.000000	86.110	151.3754
96.199997	86.068	151.2072
97.500000	86.022	151.1035
98.800003	85.981	151.0259
100.000000	85.945	150.9272
101.500000	85.890	150.7402
103.000000	85.833	150.4855
104.400002	85.791	150.2379
106.000000	85.751	150.0104
107.500000	85.708	149.8541
109.000000	85.660	149.7326
110.599998	85.610	149.6240
112.000000	85.569	149.5188
113.800003	85.519	149.3409
115.000000	85.484	149.2090
117.199997	85.418	148.9630
118.000000	85.395	148.8803
120.599998	85.330	148.6984
122.000000	85.301	148.6374
124.099998	85.265	148.5007
125.000000	85.251	148.4107
126.500000	85.226	148.2292
128.000000	85.196	148.0450
131.500000	85.100	147.6869
132.000000	85.082	147.6379
134.000000	85.009	147.4684
136.000000	84.932	147.3929
138.000000	84.852	147.4193
140.000000	84.775	147.5160
143.000000	84.695	147.8422
145.000000	84.678	148.1558
147.500000	84.694	148.4592
150.000000	84.733	148.5894
152.500000	84.773	148.5376
155.000000	84.804	148.2916
157.500000	84.825	147.9472
160.000000	84.834	147.5933
162.500000	84.835	147.2696
165.000000	84.831	146.9802
167.500000	84.823	146.7257
170.000000	84.819	146.5037
172.500000	84.821	146.2671
175.000000	84.823	145.9583
177.500000	84.817	145.5838
180.000000	84.799	145.2000
182.500000	84.767	144.8219
185.000000	84.718	144.4462
187.500000	84.657	144.0816
190.000000	84.595	143.7318
192.500000	84.538	143.3884
195.000000	84.490	143.0472
197.500000	84.452	142.7069
200.000000	84.423	142.3790
203.000000	84.397	142.0351
206.000000	84.381	141.7651
209.000000	84.376	141.5504
212.000000	84.379	141.3363
214.000000	84.379	141.1602
218.000000	84.367	140.7069
220.000000	84.356	140.4539
224.000000	84.335	139.9514
227.000000	84.316	139.6054
230.000000	84.285	139.3005
233.000000	84.245	139.0101
236.000000	84.198	138.7109
240.000000	84.130	138.2766
243.000000	84.085	137.9501
247.000000	84.029	137.5479
250.000000	83.987	137.2723
254.000000	83.927	136.9199
258.000000	83.862	136.5679
262.000000	83.800	136.2271
265.000000	83.760	136.0096
269.000000	83.709	135.7879
272.000000	83.669	135.6612
276.000000	83.614	135.5177
280.000000	83.566	135.3775
285.000000	83.518	135.1729
290.000000	83.477	134.9251
