* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -36.5 dBFS, measurement signal peak level -36.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 11-May-2023 16:43:25
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CCA CRA
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	72.260	-105.6469
20.299999	72.538	-106.8747
20.600000	72.784	-107.8149
20.900000	72.995	-108.4926
21.200001	73.172	-108.9374
21.400000	73.274	-109.1307
21.799999	73.443	-109.3485
22.000000	73.513	-109.4232
22.400000	73.622	-109.6137
22.700001	73.676	-109.8585
23.000000	73.704	-110.2228
23.299999	73.708	-110.7056
23.600000	73.691	-111.3038
24.000000	73.648	-112.2870
24.299999	73.610	-113.1784
24.700001	73.559	-114.5868
25.000000	73.527	-115.7971
25.400000	73.500	-117.5702
25.799999	73.498	-119.4505
26.200001	73.529	-121.3663
26.500000	73.575	-122.7910
26.900000	73.664	-124.6321
27.200001	73.748	-125.9364
27.600000	73.875	-127.5346
28.000000	74.015	-128.9488
28.500000	74.193	-130.4697
29.000000	74.357	-131.7587
29.500000	74.489	-132.8425
30.000000	74.584	-133.7426
30.400000	74.634	-134.3646
30.700001	74.657	-134.7997
31.100000	74.672	-135.3732
31.500000	74.672	-135.9669
32.000000	74.654	-136.7714
32.500000	74.628	-137.6772
33.000000	74.600	-138.7090
33.500000	74.578	-139.8665
34.000000	74.567	-141.1241
34.500000	74.571	-142.4471
35.000000	74.589	-143.8018
35.500000	74.618	-145.1444
36.000000	74.655	-146.4267
36.500000	74.695	-147.6118
37.000000	74.736	-148.6825
37.500000	74.772	-149.6409
38.200001	74.811	-150.8234
38.700001	74.829	-151.5914
39.500000	74.837	-152.7835
40.000000	74.828	-153.5377
40.599998	74.807	-154.4528
41.200001	74.779	-155.3695
41.799999	74.754	-156.2897
42.500000	74.732	-157.3754
43.099998	74.721	-158.3134
43.700001	74.717	-159.2558
44.400002	74.716	-160.3664
45.000000	74.712	-161.3181
45.500000	74.702	-162.0854
46.200001	74.678	-163.0836
46.799999	74.655	-163.8652
47.500000	74.631	-164.7294
48.200001	74.614	-165.5884
48.700001	74.604	-166.2121
49.400002	74.589	-167.0962
50.000000	74.571	-167.8503
50.799999	74.535	-168.8245
51.500000	74.495	-169.6219
52.200001	74.454	-170.3507
53.000000	74.413	-171.1190
53.799999	74.380	-171.8763
54.500000	74.351	-172.5598
55.200001	74.319	-173.2583
56.000000	74.280	-174.0631
57.000000	74.231	-175.0699
58.000000	74.182	-176.0428
59.000000	74.135	-176.9271
60.000000	74.094	-177.7285
60.799999	74.062	-178.3474
61.500000	74.031	-178.8919
62.200001	73.994	-179.4476
63.000000	73.943	179.9043
64.000000	73.869	179.0971
65.000000	73.794	178.3170
66.000000	73.726	177.5594
67.000000	73.667	176.8241
68.000000	73.614	176.1262
69.000000	73.561	175.4635
70.000000	73.505	174.8289
71.000000	73.444	174.2299
72.000000	73.380	173.6650
73.000000	73.319	173.1172
74.000000	73.260	172.5698
75.000000	73.202	172.0247
76.199997	73.131	171.3963
77.500000	73.055	170.7573
78.800003	72.980	170.1561
80.000000	72.911	169.6235
81.199997	72.842	169.1103
82.500000	72.770	168.5708
83.800003	72.699	168.0335
85.000000	72.632	167.5428
86.199997	72.562	167.0755
87.500000	72.488	166.5970
88.500000	72.433	166.2345
90.000000	72.355	165.6984
91.199997	72.293	165.2913
92.500000	72.224	164.8766
93.800003	72.154	164.4737
95.000000	72.085	164.1067
96.199997	72.013	163.7595
97.500000	71.939	163.4123
98.800003	71.871	163.0791
100.000000	71.809	162.7722
101.500000	71.727	162.4083
103.000000	71.641	162.0845
104.400002	71.565	161.7877
106.000000	71.483	161.4101
107.500000	71.409	161.0460
109.000000	71.334	160.7417
110.599998	71.258	160.5080
112.000000	71.195	160.3385
113.800003	71.114	160.1077
115.000000	71.059	159.9381
117.199997	70.954	159.6062
118.000000	70.915	159.4847
120.599998	70.789	159.1221
122.000000	70.723	158.9491
124.099998	70.631	158.6809
125.000000	70.592	158.5536
126.500000	70.527	158.3323
128.000000	70.461	158.1222
131.500000	70.311	157.7565
132.000000	70.289	157.7175
134.000000	70.203	157.5878
136.000000	70.113	157.4910
138.000000	70.026	157.4085
140.000000	69.943	157.3145
143.000000	69.823	157.1387
145.000000	69.740	157.0257
147.500000	69.639	156.8960
150.000000	69.551	156.7568
152.500000	69.479	156.6365
155.000000	69.413	156.5917
157.500000	69.339	156.6123
160.000000	69.255	156.6371
162.500000	69.166	156.6438
165.000000	69.078	156.6518
167.500000	68.992	156.6643
170.000000	68.915	156.6501
172.500000	68.846	156.6101
175.000000	68.782	156.6064
177.500000	68.719	156.6501
180.000000	68.652	156.7000
182.500000	68.574	156.7396
185.000000	68.482	156.7858
187.500000	68.380	156.8551
190.000000	68.274	156.9320
192.500000	68.172	156.9951
195.000000	68.080	157.0557
197.500000	67.999	157.1544
200.000000	67.935	157.3172
203.000000	67.880	157.5505
206.000000	67.844	157.7354
209.000000	67.816	157.8532
212.000000	67.781	157.9511
214.000000	67.752	158.0261
218.000000	67.681	158.1887
220.000000	67.644	158.2546
224.000000	67.568	158.3594
227.000000	67.507	158.4693
