* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -36.2 dBFS, measurement signal peak level -36.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 11-May-2023 16:42:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CCA CRA
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	72.782	-107.7099
20.299999	73.064	-108.7388
20.600000	73.324	-109.5407
20.900000	73.555	-110.1679
21.200001	73.748	-110.6432
21.400000	73.857	-110.8799
21.799999	74.031	-111.1984
22.000000	74.101	-111.3139
22.400000	74.212	-111.5576
22.700001	74.270	-111.8357
23.000000	74.304	-112.2492
23.299999	74.310	-112.7993
23.600000	74.292	-113.4681
24.000000	74.240	-114.5132
24.299999	74.191	-115.4035
24.700001	74.131	-116.7510
25.000000	74.097	-117.9011
25.400000	74.073	-119.6260
25.799999	74.071	-121.5265
26.200001	74.089	-123.5060
26.500000	74.116	-124.9665
26.900000	74.170	-126.7918
27.200001	74.226	-128.0229
27.600000	74.326	-129.4588
28.000000	74.451	-130.6904
28.500000	74.629	-132.0382
29.000000	74.799	-133.2568
29.500000	74.938	-134.3509
30.000000	75.038	-135.2990
30.400000	75.092	-135.9712
30.700001	75.120	-136.4506
31.100000	75.140	-137.0950
31.500000	75.145	-137.7729
32.000000	75.132	-138.6916
32.500000	75.107	-139.7016
33.000000	75.079	-140.8094
33.500000	75.055	-142.0101
34.000000	75.042	-143.2844
34.500000	75.043	-144.6033
35.000000	75.057	-145.9322
35.500000	75.081	-147.2249
36.000000	75.112	-148.4371
36.500000	75.149	-149.5428
37.000000	75.188	-150.5402
37.500000	75.223	-151.4445
38.200001	75.260	-152.5938
38.700001	75.271	-153.3572
39.500000	75.266	-154.5194
40.000000	75.252	-155.2305
40.599998	75.232	-156.1010
41.200001	75.213	-157.0227
41.799999	75.196	-158.0047
42.500000	75.180	-159.2093
43.099998	75.168	-160.2712
43.700001	75.154	-161.3274
44.400002	75.132	-162.4835
45.000000	75.113	-163.3628
45.500000	75.100	-164.0258
46.200001	75.089	-164.9081
46.799999	75.079	-165.6647
47.500000	75.063	-166.5468
48.200001	75.044	-167.4058
48.700001	75.031	-168.0038
49.400002	75.013	-168.8257
50.000000	74.994	-169.5190
50.799999	74.962	-170.4360
51.500000	74.926	-171.2307
52.200001	74.884	-171.9908
53.000000	74.836	-172.7965
53.799999	74.793	-173.5751
54.500000	74.757	-174.2729
55.200001	74.719	-174.9869
56.000000	74.675	-175.8114
57.000000	74.620	-176.8477
58.000000	74.566	-177.8538
59.000000	74.515	-178.7783
60.000000	74.468	-179.6063
60.799999	74.433	179.7814
61.500000	74.401	179.2612
62.200001	74.366	178.7419
63.000000	74.322	178.1397
64.000000	74.260	177.3758
65.000000	74.195	176.6212
66.000000	74.136	175.8810
67.000000	74.082	175.1379
68.000000	74.027	174.4022
69.000000	73.964	173.7129
70.000000	73.896	173.0898
71.000000	73.826	172.5231
72.000000	73.760	171.9815
73.000000	73.699	171.4269
74.000000	73.640	170.8494
75.000000	73.579	170.2703
76.199997	73.505	169.6013
77.500000	73.425	168.9257
78.800003	73.347	168.3019
80.000000	73.276	167.7598
81.199997	73.205	167.2570
82.500000	73.131	166.7529
83.800003	73.058	166.2673
85.000000	72.990	165.8204
86.199997	72.920	165.3646
87.500000	72.843	164.8540
88.500000	72.783	164.4541
90.000000	72.691	163.8880
91.199997	72.619	163.5031
92.500000	72.546	163.1314
93.800003	72.473	162.7501
95.000000	72.401	162.3802
96.199997	72.325	162.0165
97.500000	72.246	161.6435
98.800003	72.176	161.2874
100.000000	72.117	160.9759
101.500000	72.048	160.6205
103.000000	71.977	160.3063
104.400002	71.905	160.0458
106.000000	71.817	159.7650
107.500000	71.734	159.4934
109.000000	71.653	159.2007
110.599998	71.568	158.8884
112.000000	71.494	158.6431
113.800003	71.402	158.3740
115.000000	71.341	158.2111
117.199997	71.228	157.8998
118.000000	71.186	157.7793
120.599998	71.051	157.3813
122.000000	70.985	157.1731
124.099998	70.891	156.8993
125.000000	70.850	156.8041
126.500000	70.782	156.6747
128.000000	70.712	156.5674
131.500000	70.549	156.2907
132.000000	70.526	156.2433
134.000000	70.434	156.0507
136.000000	70.344	155.8969
138.000000	70.264	155.7939
140.000000	70.192	155.6964
143.000000	70.081	155.5121
145.000000	70.002	155.3765
147.500000	69.900	155.2229
150.000000	69.803	155.1079
152.500000	69.714	155.0354
155.000000	69.627	154.9903
157.500000	69.536	154.9475
160.000000	69.449	154.8932
162.500000	69.371	154.8354
165.000000	69.301	154.8167
167.500000	69.231	154.8689
170.000000	69.158	154.9531
172.500000	69.078	155.0134
175.000000	68.992	155.0469
177.500000	68.900	155.0753
180.000000	68.810	155.1028
182.500000	68.721	155.1142
185.000000	68.625	155.1360
187.500000	68.520	155.2036
190.000000	68.416	155.2981
192.500000	68.320	155.3843
195.000000	68.234	155.4548
197.500000	68.158	155.5243
200.000000	68.094	155.6089
203.000000	68.034	155.7364
206.000000	67.982	155.8884
209.000000	67.933	156.0567
212.000000	67.887	156.2351
214.000000	67.858	156.3531
218.000000	67.804	156.5686
220.000000	67.776	156.6772
224.000000	67.709	156.9053
227.000000	67.648	157.0520
230.000000	67.582	157.1695
233.000000	67.513	157.2829
236.000000	67.442	157.3988
240.000000	67.347	157.5652
243.000000	67.282	157.7267
247.000000	67.202	157.9862
250.000000	67.142	158.1992
254.000000	67.062	158.4891
258.000000	66.994	158.7403
262.000000	66.937	158.9718
265.000000	66.893	159.1731
269.000000	66.830	159.4937
272.000000	66.782	159.7601
276.000000	66.721	160.1250
280.000000	66.657	160.4828
285.000000	66.575	160.8843
290.000000	66.498	161.2237
295.000000	66.427	161.5443
300.000000	66.361	161.8326
304.000000	66.316	162.0256
307.000000	66.287	162.1805
311.000000	66.251	162.4413
315.000000	66.213	162.7492
320.000000	66.159	163.1311
325.000000	66.104	163.5072
330.000000	66.047	163.9423
335.000000	65.984	164.3994
340.000000	65.923	164.7726
345.000000	65.875	165.0858
350.000000	65.835	165.3977
355.000000	65.792	165.7073
360.000000	65.746	166.0281
365.000000	65.700	166.3788
370.000000	65.657	166.7467
375.000000	65.617	167.1163
382.000000	65.566	167.6496
387.000000	65.535	168.0765
395.000000	65.499	168.8691
400.000000	65.480	169.3416
406.000000	65.453	169.7691
412.000000	65.419	170.0762
418.000000	65.383	170.3805
425.000000	65.348	170.8095
431.000000	65.321	171.2130
437.000000	65.292	171.6313
444.000000	65.254	172.1289
450.000000	65.225	172.5478
455.000000	65.202	172.9026
462.000000	65.164	173.4084
468.000000	65.129	173.8389
475.000000	65.097	174.3510
482.000000	65.076	174.8618
487.000000	65.063	175.1955
494.000000	65.043	175.6116
500.000000	65.023	175.9442
508.000000	64.991	176.4160
515.000000	64.965	176.8926
522.000000	64.946	177.3786
530.000000	64.931	177.9064
538.000000	64.913	178.4665
545.000000	64.896	179.0101
552.000000	64.877	179.5572
560.000000	64.856	-179.8798
570.000000	64.837	-179.2607
580.000000	64.828	-178.6470
590.000000	64.807	-177.9839
600.000000	64.777	-177.3160
608.000000	64.762	-176.8073
615.000000	64.758	-176.3685
622.000000	64.758	-175.9175
630.000000	64.758	-175.3806
640.000000	64.762	-174.6951
650.000000	64.771	-174.0183
660.000000	64.778	-173.3265
670.000000	64.783	-172.5950
680.000000	64.804	-171.8766
690.000000	64.839	-171.2071
