* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -37.9 dBFS, measurement signal peak level -37.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 14-May-2023 10:45:27
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CCZ Emerald L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	64.850	-69.4942
20.299999	65.415	-72.2128
20.600000	65.966	-74.2168
20.900000	66.478	-75.5811
21.200001	66.939	-76.3809
21.400000	67.219	-76.6571
21.799999	67.713	-76.7432
22.000000	67.925	-76.6401
22.400000	68.276	-76.3106
22.700001	68.469	-76.0281
23.000000	68.600	-75.7330
23.299999	68.679	-75.4213
23.600000	68.718	-75.1224
24.000000	68.727	-74.8522
24.299999	68.712	-74.8677
24.700001	68.669	-75.3125
25.000000	68.621	-76.0004
25.400000	68.542	-77.3591
25.799999	68.464	-79.1383
26.200001	68.413	-81.2546
26.500000	68.403	-83.0124
26.900000	68.434	-85.4966
27.200001	68.491	-87.3757
27.600000	68.614	-89.7730
28.000000	68.788	-91.9293
28.500000	69.067	-94.2185
29.000000	69.382	-96.1002
29.500000	69.690	-97.6366
30.000000	69.957	-98.8453
30.400000	70.130	-99.5791
30.700001	70.237	-100.0075
31.100000	70.352	-100.4636
31.500000	70.439	-100.8574
32.000000	70.513	-101.3795
32.500000	70.551	-102.0287
33.000000	70.557	-102.8364
33.500000	70.547	-103.7954
34.000000	70.539	-104.9094
34.500000	70.548	-106.1922
35.000000	70.578	-107.6293
35.500000	70.629	-109.1569
36.000000	70.698	-110.6886
36.500000	70.785	-112.1483
37.000000	70.884	-113.4767
37.500000	70.991	-114.6456
38.200001	71.145	-116.0492
38.700001	71.250	-116.9574
39.500000	71.382	-118.3632
40.000000	71.436	-119.2147
40.599998	71.475	-120.2048
41.200001	71.499	-121.2051
41.799999	71.512	-122.2625
42.500000	71.513	-123.5300
43.099998	71.512	-124.5469
43.700001	71.530	-125.4747
44.400002	71.588	-126.5509
45.000000	71.657	-127.5580
45.500000	71.714	-128.4449
46.200001	71.783	-129.6712
46.799999	71.833	-130.6532
47.500000	71.888	-131.7207
48.200001	71.941	-132.7332
48.700001	71.978	-133.4350
49.400002	72.027	-134.3979
50.000000	72.062	-135.2087
50.799999	72.099	-136.2665
51.500000	72.125	-137.1640
52.200001	72.150	-138.0342
53.000000	72.182	-139.0139
53.799999	72.211	-140.0029
54.500000	72.230	-140.8722
55.200001	72.243	-141.7279
56.000000	72.254	-142.6866
57.000000	72.269	-143.8782
58.000000	72.285	-145.0486
59.000000	72.304	-146.1419
60.000000	72.332	-147.1553
60.799999	72.354	-147.9456
61.500000	72.369	-148.6320
62.200001	72.376	-149.3077
63.000000	72.377	-150.0676
64.000000	72.374	-151.0266
65.000000	72.371	-152.0364
66.000000	72.368	-153.0922
67.000000	72.365	-154.1292
68.000000	72.365	-155.0944
69.000000	72.368	-155.9818
70.000000	72.369	-156.8000
71.000000	72.370	-157.5694
72.000000	72.369	-158.3257
73.000000	72.366	-159.0922
74.000000	72.361	-159.8720
75.000000	72.354	-160.6540
76.199997	72.344	-161.5693
77.500000	72.333	-162.5171
78.800003	72.321	-163.4280
80.000000	72.307	-164.2413
81.199997	72.292	-165.0364
82.500000	72.278	-165.8884
83.800003	72.268	-166.7467
85.000000	72.258	-167.5422
86.199997	72.243	-168.3124
87.500000	72.224	-169.1102
88.500000	72.207	-169.7049
90.000000	72.177	-170.5555
91.199997	72.153	-171.2114
92.500000	72.125	-171.9258
93.800003	72.093	-172.6436
95.000000	72.064	-173.3129
96.199997	72.036	-174.0060
97.500000	72.005	-174.7614
98.800003	71.972	-175.4598
100.000000	71.944	-176.0299
101.500000	71.915	-176.6746
103.000000	71.888	-177.3091
104.400002	71.860	-177.9342
106.000000	71.821	-178.6687
107.500000	71.782	-179.3357
109.000000	71.743	-179.9633
110.599998	71.700	179.4125
112.000000	71.662	178.8841
113.800003	71.613	178.2032
115.000000	71.580	177.7509
117.199997	71.524	176.9448
118.000000	71.506	176.6536
120.599998	71.442	175.6591
122.000000	71.399	175.1231
124.099998	71.333	174.3878
125.000000	71.309	174.0925
126.500000	71.273	173.5997
128.000000	71.240	173.0988
131.500000	71.156	172.0144
132.000000	71.143	171.8732
134.000000	71.094	171.3237
136.000000	71.041	170.7769
138.000000	70.982	170.2435
140.000000	70.920	169.7419
143.000000	70.831	169.0198
145.000000	70.774	168.5146
147.500000	70.701	167.8300
150.000000	70.622	167.1690
152.500000	70.543	166.6541
155.000000	70.468	166.2516
157.500000	70.391	165.8599
160.000000	70.317	165.4327
162.500000	70.254	164.9920
165.000000	70.200	164.5670
167.500000	70.148	164.1484
170.000000	70.096	163.7207
172.500000	70.043	163.2900
175.000000	69.988	162.8663
177.500000	69.928	162.4623
180.000000	69.856	162.0869
182.500000	69.770	161.7153
185.000000	69.665	161.3240
187.500000	69.552	160.9272
190.000000	69.446	160.5498
192.500000	69.352	160.1985
195.000000	69.270	159.8765
197.500000	69.199	159.5944
200.000000	69.139	159.3415
203.000000	69.078	159.0330
206.000000	69.025	158.7044
209.000000	68.977	158.3828
212.000000	68.932	158.0777
214.000000	68.901	157.8809
218.000000	68.828	157.5415
220.000000	68.784	157.4103
224.000000	68.683	157.1586
227.000000	68.602	156.9227
230.000000	68.527	156.6575
233.000000	68.456	156.3937
236.000000	68.386	156.1453
240.000000	68.285	155.8610
243.000000	68.205	155.6886
247.000000	68.100	155.4786
250.000000	68.022	155.3173
254.000000	67.917	155.0892
258.000000	67.815	154.8585
262.000000	67.716	154.6673
265.000000	67.641	154.5720
269.000000	67.540	154.4888
272.000000	67.468	154.4217
276.000000	67.380	154.3038
280.000000	67.300	154.1835
285.000000	67.202	154.0587
290.000000	67.099	153.9761
295.000000	66.994	153.9601
300.000000	66.884	153.9436
304.000000	66.795	153.8804
307.000000	66.731	153.8190
311.000000	66.646	153.7493
315.000000	66.563	153.7172
320.000000	66.456	153.7457
325.000000	66.350	153.8407
330.000000	66.243	153.9959
335.000000	66.137	154.1759
340.000000	66.041	154.3229
345.000000	65.950	154.4780
350.000000	65.860	154.6990
355.000000	65.766	154.9469
360.000000	65.673	155.1801
365.000000	65.589	155.3846
370.000000	65.520	155.5526
375.000000	65.469	155.6867
382.000000	65.400	155.8520
387.000000	65.338	155.9460
395.000000	65.220	156.0176
400.000000	65.141	156.0449
406.000000	65.047	156.0717
412.000000	64.959	156.1012
418.000000	64.874	156.1588
425.000000	64.773	156.3074
431.000000	64.682	156.5107
437.000000	64.586	156.7417
444.000000	64.470	157.0215
450.000000	64.375	157.2749
455.000000	64.302	157.4977
462.000000	64.213	157.8030
468.000000	64.139	158.0391
475.000000	64.037	158.3087
482.000000	63.926	158.6259
487.000000	63.852	158.9059
494.000000	63.764	159.3860
500.000000	63.697	159.8613
508.000000	63.605	160.4493
515.000000	63.518	160.8283
522.000000	63.426	161.1527
530.000000	63.314	161.5966
538.000000	63.205	162.1250
545.000000	63.120	162.6138
552.000000	63.044	163.0988
560.000000	62.963	163.6381
570.000000	62.864	164.3269
580.000000	62.763	165.0599
590.000000	62.651	165.8482
600.000000	62.531	166.6056
608.000000	62.446	167.1902
615.000000	62.380	167.7562
622.000000	62.320	168.4037
630.000000	62.253	169.1810
640.000000	62.161	170.0869
650.000000	62.062	170.9125
660.000000	61.966	171.7287
670.000000	61.884	172.6229
680.000000	61.823	173.6161
690.000000	61.772	174.6241
700.000000	61.715	175.6107
710.000000	61.651	176.6216
720.000000	61.594	177.6501
730.000000	61.548	178.6492
740.000000	61.513	179.6606
750.000000	61.488	-179.2484
762.000000	61.465	-177.8667
775.000000	61.451	-176.3472
788.000000	61.449	-174.7957
800.000000	61.444	-173.3429
812.000000	61.442	-171.8752
825.000000	61.467	-170.2498
838.000000	61.522	-168.6575
850.000000	61.583	-167.2979
862.000000	61.644	-166.0545
875.000000	61.716	-164.7886
885.000000	61.784	-163.8458
