* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -40.8 dBFS, measurement signal peak level -38.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 14-May-2023 10:46:02
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CCZ Emerald R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	66.306	122.4046
20.299999	66.298	122.1370
20.600000	66.279	121.6768
20.900000	66.262	120.9514
21.200001	66.254	119.8740
21.400000	66.253	118.9359
21.799999	66.258	116.5845
22.000000	66.263	115.2268
22.400000	66.285	112.3234
22.700001	66.325	110.1315
23.000000	66.400	108.0370
23.299999	66.520	106.0789
23.600000	66.684	104.2632
24.000000	66.963	102.0506
24.299999	67.201	100.5293
24.700001	67.533	98.6696
25.000000	67.776	97.4003
25.400000	68.073	95.8895
25.799999	68.328	94.6196
26.200001	68.536	93.6198
26.500000	68.666	93.0403
26.900000	68.814	92.4440
27.200001	68.910	92.0647
27.600000	69.020	91.5534
28.000000	69.110	90.9426
28.500000	69.188	89.9650
29.000000	69.231	88.7514
29.500000	69.250	87.3554
30.000000	69.263	85.8473
30.400000	69.283	84.5968
30.700001	69.310	83.6428
31.100000	69.365	82.3535
31.500000	69.442	81.0490
32.000000	69.564	79.4190
32.500000	69.704	77.8367
33.000000	69.849	76.3619
33.500000	69.990	75.0400
34.000000	70.123	73.8948
34.500000	70.247	72.9100
35.000000	70.362	72.0270
35.500000	70.464	71.1660
36.000000	70.548	70.2791
36.500000	70.611	69.3663
37.000000	70.658	68.4406
37.500000	70.698	67.4906
38.200001	70.749	66.0663
38.700001	70.782	64.9829
39.500000	70.834	63.2537
40.000000	70.875	62.2252
40.599998	70.941	61.0389
41.200001	71.021	59.8854
41.799999	71.108	58.7679
42.500000	71.213	57.5007
43.099998	71.298	56.4042
43.700001	71.367	55.2821
44.400002	71.420	53.9927
45.000000	71.447	52.9589
45.500000	71.464	52.1535
46.200001	71.486	51.0861
46.799999	71.507	50.2053
47.500000	71.541	49.1942
48.200001	71.584	48.1725
48.700001	71.617	47.4296
49.400002	71.660	46.3849
50.000000	71.687	45.5056
50.799999	71.709	44.3786
51.500000	71.720	43.4420
52.200001	71.734	42.5386
