* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09-Jun-2025 09:52:06
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Classical R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.249	154.6233
20.600000	88.263	154.1453
20.900000	88.280	153.5279
21.200001	88.297	152.8480
21.400000	88.307	152.3796
21.799999	88.327	151.4373
22.000000	88.337	150.9731
22.400000	88.361	150.0729
22.700001	88.381	149.4248
23.000000	88.402	148.7948
23.299999	88.423	148.1735
23.600000	88.443	147.5502
24.000000	88.464	146.7003
24.299999	88.475	146.0429
24.700001	88.483	145.1406
25.000000	88.489	144.4509
25.400000	88.498	143.5273
25.799999	88.512	142.6128
26.200001	88.533	141.7184
26.500000	88.552	141.0652
26.900000	88.578	140.2224
27.200001	88.596	139.6137
27.600000	88.615	138.8316
28.000000	88.631	138.0690
28.500000	88.648	137.0981
29.000000	88.664	136.0508
29.500000	88.676	134.9099
30.000000	88.683	133.7286
30.400000	88.685	132.8114
30.700001	88.688	132.1607
31.100000	88.694	131.3442
31.500000	88.706	130.5654
32.000000	88.723	129.5949
32.500000	88.737	128.5898
33.000000	88.743	127.5483
33.500000	88.743	126.4915
34.000000	88.745	125.4333
34.500000	88.753	124.3723
35.000000	88.768	123.3015
35.500000	88.784	122.2207
36.000000	88.800	121.1387
36.500000	88.812	120.0686
37.000000	88.822	119.0209
37.500000	88.829	118.0010
38.200001	88.835	116.6157
38.700001	88.837	115.6453
39.500000	88.840	114.0910
40.000000	88.839	113.1012
40.599998	88.836	111.8892
41.200001	88.832	110.6583
41.799999	88.828	109.4175
42.500000	88.822	107.9644
43.099998	88.816	106.7235
43.700001	88.808	105.5008
44.400002	88.800	104.1082
45.000000	88.795	102.9442
45.500000	88.789	101.9937
46.200001	88.779	100.6875
46.799999	88.770	99.5737
47.500000	88.761	98.2484
48.200001	88.754	96.8723
48.700001	88.749	95.8586
49.400002	88.736	94.4107
50.000000	88.713	93.1659
50.799999	88.662	91.5529
51.500000	88.608	90.2183
52.200001	88.560	88.9438
53.000000	88.517	87.4973
53.799999	88.483	85.9986
54.500000	88.453	84.6411
55.200001	88.419	83.2864
56.000000	88.375	81.7948
57.000000	88.318	79.9926
58.000000	88.260	78.1854
59.000000	88.203	76.3760
60.000000	88.146	74.5642
60.799999	88.089	73.1160
61.500000	88.029	71.8643
62.200001	87.968	70.6252
63.000000	87.902	69.2077
64.000000	87.825	67.4149
65.000000	87.749	65.6113
66.000000	87.672	63.8366
67.000000	87.596	62.1153
68.000000	87.515	60.4349
69.000000	87.426	58.7742
70.000000	87.331	57.1394
71.000000	87.236	55.5605
72.000000	87.139	54.0503
73.000000	87.033	52.5793
74.000000	86.916	51.1008
75.000000	86.797	49.5984
76.199997	86.658	47.8087
77.500000	86.512	45.9780
78.800003	86.367	44.2642
80.000000	86.230	42.6875
81.199997	86.087	41.0456
82.500000	85.921	39.2346
83.800003	85.755	37.5125
85.000000	85.611	36.0439
86.199997	85.470	34.6469
87.500000	85.309	33.1579
88.500000	85.183	32.0155
90.000000	85.002	30.3362
91.199997	84.860	29.0659
92.500000	84.708	27.7640
93.800003	84.560	26.5162
95.000000	84.424	25.4131
96.199997	84.281	24.3519
97.500000	84.118	23.2562
98.800003	83.952	22.2401
100.000000	83.800	21.3609
101.500000	83.618	20.2752
103.000000	83.450	19.1729
104.400002	83.302	18.1748
106.000000	83.137	17.1869
107.500000	82.988	16.4442
109.000000	82.848	15.7674
