* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09-Jun-2025 09:49:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rock
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	87.292	151.2759
20.600000	87.298	151.0331
20.900000	87.311	150.7572
21.200001	87.334	150.4841
21.400000	87.355	150.2994
21.799999	87.408	149.8926
22.000000	87.438	149.6592
22.400000	87.499	149.1252
22.700001	87.540	148.6790
23.000000	87.574	148.2158
23.299999	87.602	147.7567
23.600000	87.627	147.3168
24.000000	87.661	146.7671
24.299999	87.691	146.3724
24.700001	87.740	145.8396
25.000000	87.785	145.4143
25.400000	87.848	144.7950
25.799999	87.910	144.1210
26.200001	87.964	143.4179
26.500000	87.998	142.8896
26.900000	88.039	142.1963
27.200001	88.069	141.6821
27.600000	88.111	140.9884
28.000000	88.156	140.2685
28.500000	88.214	139.3281
29.000000	88.273	138.3696
29.500000	88.335	137.4204
30.000000	88.403	136.4723
30.400000	88.458	135.6954
30.700001	88.498	135.0964
31.100000	88.547	134.2821
31.500000	88.591	133.4646
32.000000	88.644	132.4592
32.500000	88.700	131.4728
33.000000	88.761	130.4839
33.500000	88.823	129.4730
34.000000	88.885	128.4358
34.500000	88.944	127.3758
35.000000	89.000	126.2939
35.500000	89.053	125.1895
36.000000	89.103	124.0681
36.500000	89.151	122.9405
37.000000	89.198	121.8141
37.500000	89.242	120.6873
38.200001	89.295	119.1026
38.700001	89.325	117.9713
39.500000	89.365	116.1917
40.000000	89.393	115.1019
40.599998	89.435	113.7953
41.200001	89.482	112.4629
41.799999	89.527	111.1001
42.500000	89.563	109.5009
43.099998	89.580	108.1436
43.700001	89.591	106.7880
44.400002	89.605	105.1704
45.000000	89.623	103.7371
45.500000	89.640	102.5226
46.200001	89.663	100.8372
46.799999	89.679	99.4433
47.500000	89.691	97.8894
48.200001	89.702	96.3811
48.700001	89.709	95.3053
49.400002	89.719	93.7857
50.000000	89.721	92.4791
50.799999	89.712	90.7445
51.500000	89.694	89.2210
52.200001	89.668	87.6764
53.000000	89.634	85.8946
53.799999	89.603	84.1188
54.500000	89.581	82.5798
55.200001	89.563	81.0565
56.000000	89.540	79.3344
57.000000	89.505	77.1901
58.000000	89.467	75.0320
59.000000	89.432	72.8798
60.000000	89.395	70.7579
60.799999	89.359	69.0918
61.500000	89.320	67.6658
62.200001	89.277	66.2636
63.000000	89.228	64.6685
64.000000	89.165	62.6739
65.000000	89.101	60.7137
66.000000	89.036	58.7989
67.000000	88.964	56.8992
68.000000	88.879	55.0262
69.000000	88.789	53.2051
70.000000	88.709	51.4024
71.000000	88.640	49.5751
72.000000	88.571	47.7340
73.000000	88.489	45.9231
74.000000	88.393	44.1582
75.000000	88.294	42.4021
76.199997	88.177	40.2623
77.500000	88.054	37.9798
78.800003	87.922	35.8175
80.000000	87.787	33.9383
81.199997	87.652	32.1714
82.500000	87.512	30.3366
83.800003	87.374	28.4812
85.000000	87.245	26.6840
86.199997	87.114	24.8826
87.500000	86.970	23.0547
88.500000	86.858	21.7313
90.000000	86.693	19.7779
91.199997	86.565	18.2351
92.500000	86.429	16.6133
93.800003	86.291	15.0372
95.000000	86.158	13.6230
96.199997	86.018	12.2413
97.500000	85.859	10.7654
98.800003	85.699	9.2991
100.000000	85.559	7.9719
101.500000	85.403	6.4091
103.000000	85.262	4.9622
104.400002	85.131	3.6659
106.000000	84.980	2.2054
107.500000	84.844	0.8465
109.000000	84.718	-0.4791
110.599998	84.588	-1.8232
112.000000	84.476	-2.9667
113.800003	84.335	-4.4356
115.000000	84.245	-5.4207
117.199997	84.101	-7.2213
118.000000	84.055	-7.8511
120.599998	83.908	-9.7742
122.000000	83.824	-10.7851
124.099998	83.703	-12.3315
125.000000	83.658	-13.0033
126.500000	83.591	-14.1353
128.000000	83.529	-15.3023
131.500000	83.381	-18.1641
132.000000	83.361	-18.5759
134.000000	83.289	-20.1916
136.000000	83.226	-21.7193
138.000000	83.168	-23.1801
140.000000	83.115	-24.6739
143.000000	83.031	-27.0739
145.000000	82.966	-28.6397
147.500000	82.888	-30.5011
150.000000	82.817	-32.4199
152.500000	82.745	-34.3591
155.000000	82.678	-36.2954
157.500000	82.617	-38.3360
160.000000	82.562	-40.4600
162.500000	82.512	-42.5974
165.000000	82.467	-44.6423
167.500000	82.422	-46.5324
170.000000	82.377	-48.3448
172.500000	82.332	-50.1849
175.000000	82.282	-52.1302
177.500000	82.218	-54.1356
180.000000	82.139	-56.1100
182.500000	82.048	-57.9952
185.000000	81.949	-59.7806
187.500000	81.850	-61.5184
190.000000	81.764	-63.2476
192.500000	81.692	-64.9775
195.000000	81.631	-66.7010
197.500000	81.578	-68.4086
200.000000	81.529	-70.0914
203.000000	81.480	-72.0738
206.000000	81.450	-74.0213
209.000000	81.434	-75.9663
212.000000	81.420	-77.9188
214.000000	81.408	-79.2030
218.000000	81.378	-81.7335
220.000000	81.363	-82.9874
224.000000	81.330	-85.4378
227.000000	81.303	-87.2245
230.000000	81.279	-88.9925
233.000000	81.261	-90.7769
236.000000	81.248	-92.6124
240.000000	81.242	-95.1546
243.000000	81.244	-97.0786
247.000000	81.248	-99.6003
250.000000	81.251	-101.4564
254.000000	81.258	-103.9125
258.000000	81.265	-106.3801
262.000000	81.272	-108.8526
265.000000	81.279	-110.7133
269.000000	81.298	-113.2045
272.000000	81.319	-115.0674
276.000000	81.352	-117.5276
280.000000	81.385	-119.9728
285.000000	81.434	-123.0374
290.000000	81.496	-126.1095
295.000000	81.561	-129.1604
300.000000	81.623	-132.2672
304.000000	81.670	-134.8024
307.000000	81.705	-136.7120
311.000000	81.754	-139.2633
315.000000	81.804	-141.8307
320.000000	81.866	-145.0615
325.000000	81.927	-148.2872
330.000000	81.988	-151.4921
335.000000	82.047	-154.6371
340.000000	82.103	-157.7522
345.000000	82.154	-160.9364
350.000000	82.204	-164.2224
355.000000	82.258	-167.5710
360.000000	82.322	-170.9110
365.000000	82.398	-174.1933
370.000000	82.476	-177.4453
375.000000	82.545	179.2875
382.000000	82.624	174.7028
387.000000	82.679	171.4697
395.000000	82.768	166.3441
400.000000	82.813	163.1282
406.000000	82.856	159.2726
412.000000	82.898	155.3915
418.000000	82.950	151.5173
425.000000	83.018	147.1060
431.000000	83.068	143.3639
437.000000	83.104	139.5565
444.000000	83.141	134.9807
450.000000	83.170	131.0217
455.000000	83.193	127.7711
462.000000	83.221	123.3318
468.000000	83.241	119.5943
475.000000	83.264	115.2607
482.000000	83.286	110.9896
487.000000	83.301	108.0016
494.000000	83.326	103.8722
500.000000	83.355	100.3379
508.000000	83.400	95.6053
515.000000	83.436	91.4397
522.000000	83.468	87.2927
530.000000	83.500	82.6414
538.000000	83.520	78.0725
545.000000	83.527	74.1078
