* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09-Jun-2025 09:48:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Elec
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.303	139.1531
20.600000	94.316	138.2623
20.900000	94.328	137.1373
21.200001	94.336	135.9300
21.400000	94.339	135.1128
21.799999	94.343	133.4837
22.000000	94.345	132.6783
22.400000	94.351	131.0910
22.700001	94.358	129.9209
23.000000	94.365	128.7672
23.299999	94.371	127.6286
23.600000	94.377	126.5039
24.000000	94.379	125.0225
24.299999	94.379	123.9211
24.700001	94.378	122.4569
25.000000	94.379	121.3564
25.400000	94.383	119.8801
25.799999	94.389	118.3940
26.200001	94.396	116.9058
26.500000	94.399	115.7958
26.900000	94.400	114.3341
27.200001	94.398	113.2553
27.600000	94.392	111.8392
28.000000	94.383	110.4403
28.500000	94.369	108.6966
29.000000	94.353	106.9434
29.500000	94.336	105.1857
30.000000	94.321	103.4451
30.400000	94.311	102.0764
30.700001	94.305	101.0633
31.100000	94.298	99.7222
31.500000	94.293	98.3805
32.000000	94.286	96.6931
32.500000	94.274	95.0069
33.000000	94.258	93.3498
33.500000	94.240	91.7363
34.000000	94.226	90.1498
34.500000	94.213	88.5574
35.000000	94.197	86.9408
35.500000	94.173	85.3117
36.000000	94.146	83.6972
36.500000	94.122	82.1130
37.000000	94.105	80.5523
37.500000	94.093	78.9959
38.200001	94.070	76.8013
38.700001	94.039	75.2267
39.500000	93.964	72.7174
40.000000	93.913	71.1511
40.599998	93.861	69.2511
41.200001	93.826	67.3218
41.799999	93.803	65.3984
42.500000	93.777	63.2319
43.099998	93.746	61.4560
43.700001	93.706	59.7169
44.400002	93.652	57.6863
45.000000	93.605	55.9352
45.500000	93.571	54.4678
46.200001	93.527	52.3934
46.799999	93.486	50.6025
47.500000	93.430	48.5258
48.200001	93.377	46.4663
48.700001	93.345	44.9896
49.400002	93.303	42.9115
50.000000	93.259	41.1489
50.799999	93.177	38.8643
51.500000	93.091	36.9061
52.200001	93.001	34.9477
53.000000	92.906	32.6986
53.799999	92.820	30.4459
54.500000	92.746	28.4678
55.200001	92.666	26.4809
56.000000	92.565	24.2244
57.000000	92.433	21.4947
58.000000	92.307	18.8683
59.000000	92.178	16.2305
60.000000	92.041	13.5201
60.799999	91.929	11.3377
61.500000	91.831	9.4547
62.200001	91.734	7.6171
63.000000	91.621	5.5815
64.000000	91.484	3.1150
65.000000	91.352	0.7029
66.000000	91.219	-1.6797
67.000000	91.072	-4.0742
68.000000	90.908	-6.4819
69.000000	90.736	-8.8344
70.000000	90.567	-11.0815
71.000000	90.403	-13.2392
72.000000	90.242	-15.3770
73.000000	90.085	-17.5721
74.000000	89.928	-19.8347
75.000000	89.768	-22.0963
76.199997	89.569	-24.6982
77.500000	89.343	-27.3303
78.800003	89.116	-29.8233
80.000000	88.909	-32.0770
81.199997	88.704	-34.3326
82.500000	88.485	-36.7608
83.800003	88.274	-39.1356
85.000000	88.082	-41.2679
86.199997	87.882	-43.3676
87.500000	87.656	-45.6446
88.500000	87.479	-47.3866
90.000000	87.219	-49.8866
91.199997	87.026	-51.7323
92.500000	86.829	-53.6275
93.800003	86.637	-55.4973
95.000000	86.458	-57.2432
96.199997	86.274	-59.0410
97.500000	86.069	-61.0270
98.800003	85.863	-62.9603
100.000000	85.676	-64.6186
101.500000	85.451	-66.5093
103.000000	85.236	-68.2971
104.400002	85.036	-69.9509
106.000000	84.806	-71.8146
107.500000	84.593	-73.5063
109.000000	84.388	-75.1567
110.599998	84.180	-76.8814
112.000000	84.009	-78.3726
113.800003	83.804	-80.2748
115.000000	83.676	-81.5415
117.199997	83.452	-83.8581
118.000000	83.375	-84.6952
120.599998	83.143	-87.3712
122.000000	83.032	-88.7472
124.099998	82.884	-90.7527
125.000000	82.824	-91.5862
126.500000	82.725	-92.9132
128.000000	82.623	-94.1815
131.500000	82.390	-97.2003
132.000000	82.362	-97.6569
134.000000	82.270	-99.5290
136.000000	82.184	-101.4479
138.000000	82.086	-103.4375
140.000000	81.990	-105.4299
143.000000	81.859	-108.2389
145.000000	81.768	-110.0989
147.500000	81.674	-112.4477
150.000000	81.617	-114.7631
152.500000	81.576	-117.0789
155.000000	81.541	-119.4639
157.500000	81.518	-121.9313
160.000000	81.500	-124.4517
162.500000	81.484	-127.1044
165.000000	81.469	-129.8256
167.500000	81.445	-132.5161
170.000000	81.418	-135.1761
172.500000	81.398	-137.7939
175.000000	81.387	-140.3677
177.500000	81.382	-142.9232
180.000000	81.374	-145.5102
182.500000	81.352	-148.1542
185.000000	81.313	-150.8375
187.500000	81.271	-153.5274
190.000000	81.235	-156.1948
192.500000	81.206	-158.8691
195.000000	81.186	-161.5567
197.500000	81.181	-164.2294
200.000000	81.194	-166.8576
203.000000	81.224	-169.9758
206.000000	81.267	-173.1785
209.000000	81.329	-176.5034
212.000000	81.394	-179.8371
214.000000	81.426	177.9651
218.000000	81.461	173.6063
220.000000	81.470	171.4476
224.000000	81.482	167.1534
227.000000	81.488	163.9463
230.000000	81.501	160.7542
233.000000	81.532	157.5783
236.000000	81.577	154.3884
240.000000	81.645	150.0143
243.000000	81.690	146.6339
247.000000	81.739	142.0495
250.000000	81.769	138.5776
254.000000	81.809	133.8983
258.000000	81.855	129.1726
262.000000	81.900	124.5176
265.000000	81.928	121.1019
269.000000	81.962	116.6112
272.000000	81.983	113.2672
276.000000	82.011	108.7954
280.000000	82.044	104.3047
285.000000	82.090	98.7298
290.000000	82.131	93.1866
295.000000	82.165	87.6095
300.000000	82.198	81.9536
304.000000	82.227	77.4018
307.000000	82.252	74.0008
311.000000	82.290	69.4803
315.000000	82.328	64.9735
320.000000	82.365	59.3756
325.000000	82.391	53.8282
330.000000	82.421	48.2963
335.000000	82.454	42.7036
340.000000	82.490	37.0792
345.000000	82.533	31.5085
350.000000	82.577	25.9863
355.000000	82.611	20.4520
360.000000	82.632	14.8912
365.000000	82.641	9.3899
370.000000	82.652	4.0102
375.000000	82.673	-1.3162
382.000000	82.705	-8.9117
387.000000	82.725	-14.4034
395.000000	82.758	-23.0394
400.000000	82.780	-28.3585
406.000000	82.798	-34.7717
412.000000	82.802	-41.2405
418.000000	82.802	-47.7428
425.000000	82.813	-55.2469
431.000000	82.830	-61.5786
437.000000	82.849	-67.8812
444.000000	82.872	-75.2654
450.000000	82.889	-81.6015
455.000000	82.896	-86.8632
462.000000	82.896	-94.2180
468.000000	82.887	-100.4966
475.000000	82.869	-107.7361
482.000000	82.851	-114.9230
487.000000	82.842	-120.0742
494.000000	82.834	-127.2610
500.000000	82.829	-133.3331
508.000000	82.831	-141.2929
515.000000	82.833	-148.1879
522.000000	82.831	-155.0834
530.000000	82.824	-162.9698
538.000000	82.813	-170.8481
545.000000	82.800	-177.7288
552.000000	82.787	175.4358
560.000000	82.770	167.6837
570.000000	82.749	158.0307
580.000000	82.729	148.4196
590.000000	82.702	138.9120
600.000000	82.666	129.5559
608.000000	82.633	122.1682
