* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09-Jun-2025 09:54:12
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Pop ANC off L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.492	153.9439
20.600000	94.501	153.1968
20.900000	94.513	152.2610
21.200001	94.526	151.2593
21.400000	94.535	150.5779
21.799999	94.556	149.2014
22.000000	94.568	148.5110
22.400000	94.592	147.1391
22.700001	94.610	146.1297
23.000000	94.626	145.1464
23.299999	94.640	144.1928
23.600000	94.652	143.2668
24.000000	94.665	142.0622
24.299999	94.675	141.1682
24.700001	94.687	139.9704
25.000000	94.698	139.0600
25.400000	94.714	137.8284
25.799999	94.731	136.5848
26.200001	94.749	135.3443
26.500000	94.762	134.4242
26.900000	94.778	133.2174
27.200001	94.788	132.3269
27.600000	94.798	131.1542
28.000000	94.802	129.9920
28.500000	94.801	128.5484
29.000000	94.795	127.1158
29.500000	94.789	125.6971
30.000000	94.789	124.2906
30.400000	94.793	123.1739
30.700001	94.797	122.3437
31.100000	94.804	121.2518
31.500000	94.810	120.1814
32.000000	94.819	118.8678
32.500000	94.830	117.5543
33.000000	94.839	116.2068
33.500000	94.844	114.8134
34.000000	94.842	113.3972
34.500000	94.834	111.9996
35.000000	94.826	110.6494
35.500000	94.819	109.3461
36.000000	94.816	108.0690
36.500000	94.815	106.7993
37.000000	94.811	105.5318
37.500000	94.804	104.2698
38.200001	94.788	102.5088
38.700001	94.773	101.2419
39.500000	94.749	99.1853
40.000000	94.734	97.8923
40.599998	94.719	96.3506
41.200001	94.710	94.8266
41.799999	94.703	93.3194
42.500000	94.695	91.5723
43.099998	94.684	90.0670
43.700001	94.671	88.5420
44.400002	94.654	86.7552
45.000000	94.640	85.2518
45.500000	94.629	84.0307
46.200001	94.609	82.3519
46.799999	94.585	80.9150
47.500000	94.551	79.2204
48.200001	94.518	77.4964
48.700001	94.498	76.2484
49.400002	94.469	74.5028
50.000000	94.438	73.0413
50.799999	94.387	71.1656
51.500000	94.339	69.5658
52.200001	94.290	67.9741
53.000000	94.232	66.1514
53.799999	94.170	64.3038
54.500000	94.113	62.6492
55.200001	94.058	60.9750
56.000000	94.004	59.0803
57.000000	93.944	56.7815
58.000000	93.872	54.5689
59.000000	93.783	52.3813
60.000000	93.688	50.1455
60.799999	93.611	48.3603
61.500000	93.543	46.8349
62.200001	93.475	45.3428
63.000000	93.397	43.6708
64.000000	93.305	41.6132
65.000000	93.218	39.5485
66.000000	93.124	37.4593
67.000000	93.013	35.3610
68.000000	92.889	33.2811
69.000000	92.759	31.2504
70.000000	92.627	29.2964
71.000000	92.502	27.4227
72.000000	92.385	25.5798
73.000000	92.273	23.7298
74.000000	92.161	21.8824
75.000000	92.045	20.0540
76.199997	91.896	17.9025
77.500000	91.715	15.6597
78.800003	91.530	13.5515
80.000000	91.367	11.6882
81.199997	91.210	9.8028
82.500000	91.036	7.7190
83.800003	90.855	5.6933
85.000000	90.689	3.9100
86.199997	90.531	2.1756
87.500000	90.369	0.3343
88.500000	90.250	-1.0702
90.000000	90.071	-3.1708
91.199997	89.923	-4.8036
92.500000	89.757	-6.4955
93.800003	89.586	-8.1465
95.000000	89.427	-9.6672
96.199997	89.272	-11.1819
97.500000	89.114	-12.8035
98.800003	88.965	-14.3722
100.000000	88.831	-15.7402
101.500000	88.663	-17.3467
103.000000	88.491	-18.8837
104.400002	88.324	-20.2578
106.000000	88.135	-21.7724
107.500000	87.971	-23.1728
109.000000	87.824	-24.5119
110.599998	87.676	-25.8823
112.000000	87.553	-27.0976
113.800003	87.396	-28.7132
115.000000	87.290	-29.8115
117.199997	87.100	-31.8404
118.000000	87.035	-32.5703
120.599998	86.840	-34.8499
122.000000	86.745	-35.9951
124.099998	86.606	-37.5984
125.000000	86.547	-38.2637
126.500000	86.454	-39.3844
128.000000	86.371	-40.5736
131.500000	86.212	-43.6601
132.000000	86.190	-44.1096
134.000000	86.103	-45.8543
136.000000	86.008	-47.4618
138.000000	85.901	-48.9428
140.000000	85.791	-50.3934
143.000000	85.650	-52.6438
145.000000	85.572	-54.1115
147.500000	85.473	-55.8823
150.000000	85.363	-57.7855
152.500000	85.267	-59.8489
155.000000	85.195	-61.9387
157.500000	85.125	-63.9368
160.000000	85.051	-65.8847
162.500000	84.992	-67.7971
165.000000	84.951	-69.6643
167.500000	84.914	-71.5590
170.000000	84.869	-73.4882
172.500000	84.813	-75.3982
175.000000	84.749	-77.3458
177.500000	84.685	-79.3556
180.000000	84.626	-81.3436
182.500000	84.571	-83.2563
185.000000	84.512	-85.1029
187.500000	84.446	-86.8791
190.000000	84.371	-88.6047
192.500000	84.297	-90.3435
195.000000	84.238	-92.0849
197.500000	84.202	-93.8096
200.000000	84.189	-95.5363
203.000000	84.193	-97.6074
206.000000	84.210	-99.7037
209.000000	84.237	-101.8391
212.000000	84.262	-104.0171
214.000000	84.271	-105.5180
218.000000	84.270	-108.5987
220.000000	84.267	-110.1243
224.000000	84.276	-113.0446
227.000000	84.294	-115.1321
230.000000	84.320	-117.2027
233.000000	84.350	-119.3038
236.000000	84.384	-121.4659
240.000000	84.424	-124.5020
243.000000	84.448	-126.8718
247.000000	84.475	-130.0539
250.000000	84.498	-132.4258
254.000000	84.537	-135.5560
258.000000	84.576	-138.6673
262.000000	84.614	-141.7848
265.000000	84.643	-144.1323
269.000000	84.679	-147.2805
272.000000	84.702	-149.6350
276.000000	84.727	-152.7169
280.000000	84.752	-155.7516
285.000000	84.792	-159.5930
290.000000	84.832	-163.4846
295.000000	84.877	-167.3713
300.000000	84.927	-171.2389
304.000000	84.966	-174.3366
307.000000	84.993	-176.6686
311.000000	85.026	-179.7918
315.000000	85.052	177.0728
320.000000	85.079	173.1420
325.000000	85.109	169.2110
330.000000	85.141	165.2807
335.000000	85.178	161.3564
340.000000	85.222	157.4111
345.000000	85.259	153.4751
350.000000	85.279	149.5817
355.000000	85.282	145.7335
360.000000	85.282	141.9391
365.000000	85.293	138.1526
370.000000	85.312	134.3215
375.000000	85.338	130.4608
382.000000	85.376	125.1070
387.000000	85.399	121.3557
395.000000	85.417	115.4143
400.000000	85.417	111.7443
406.000000	85.411	107.4019
412.000000	85.404	103.0973
418.000000	85.392	98.8017
425.000000	85.374	93.7059
431.000000	85.363	89.1896
437.000000	85.356	84.6290
444.000000	85.351	79.4026
450.000000	85.357	75.0781
455.000000	85.362	71.5831
462.000000	85.364	66.7114
468.000000	85.359	62.4924
475.000000	85.343	57.6143
482.000000	85.314	52.8901
487.000000	85.288	49.5837
494.000000	85.250	44.9592
500.000000	85.223	40.9853
508.000000	85.195	35.7141
515.000000	85.172	31.1191
522.000000	85.145	26.5345
530.000000	85.112	21.3348
538.000000	85.072	16.1709
545.000000	85.031	11.6785
552.000000	84.988	7.2309
560.000000	84.945	2.2269
570.000000	84.900	-3.9153
580.000000	84.852	-10.0024
590.000000	84.795	-16.0527
600.000000	84.739	-21.9989
608.000000	84.700	-26.6824
615.000000	84.668	-30.7495
622.000000	84.638	-34.8084
630.000000	84.604	-39.4390
640.000000	84.556	-45.1547
650.000000	84.504	-50.8073
660.000000	84.456	-56.4247
670.000000	84.408	-61.9413
680.000000	84.351	-67.3259
690.000000	84.286	-72.6810
700.000000	84.217	-77.9872
710.000000	84.145	-83.1689
720.000000	84.080	-88.3044
730.000000	84.033	-93.4381
740.000000	84.002	-98.5536
750.000000	83.972	-103.5955
762.000000	83.922	-109.4899
775.000000	83.854	-115.7623
788.000000	83.788	-121.9424
800.000000	83.730	-127.5791
