* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09-Jun-2025 09:53:16
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Pop R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.472	152.8829
20.600000	94.482	152.2125
20.900000	94.496	151.3862
21.200001	94.511	150.5022
21.400000	94.523	149.8921
21.799999	94.546	148.6232
22.000000	94.557	147.9669
22.400000	94.580	146.6283
22.700001	94.597	145.6197
23.000000	94.614	144.6212
23.299999	94.631	143.6404
23.600000	94.648	142.6816
24.000000	94.667	141.4389
24.299999	94.679	140.5311
24.700001	94.695	139.3404
25.000000	94.707	138.4484
25.400000	94.724	137.2395
25.799999	94.740	135.9981
26.200001	94.750	134.7347
26.500000	94.754	133.7883
26.900000	94.755	132.5470
27.200001	94.754	131.6355
27.600000	94.754	130.4381
28.000000	94.755	129.2465
28.500000	94.756	127.7565
29.000000	94.755	126.2867
29.500000	94.755	124.8630
30.000000	94.762	123.4771
30.400000	94.770	122.3707
30.700001	94.776	121.5318
31.100000	94.781	120.4011
31.500000	94.780	119.2684
32.000000	94.775	117.8759
32.500000	94.770	116.5225
33.000000	94.772	115.1952
33.500000	94.779	113.8689
34.000000	94.790	112.5275
34.500000	94.799	111.1721
35.000000	94.803	109.8134
35.500000	94.802	108.4623
36.000000	94.799	107.1232
36.500000	94.796	105.7947
37.000000	94.792	104.4746
37.500000	94.786	103.1639
38.200001	94.773	101.3517
38.700001	94.760	100.0764
39.500000	94.738	98.0664
40.000000	94.727	96.8262
40.599998	94.720	95.3467
41.200001	94.718	93.8634
41.799999	94.716	92.3648
42.500000	94.701	90.5997
43.099998	94.674	89.0842
43.700001	94.640	87.5717
44.400002	94.604	85.8016
45.000000	94.587	84.2660
45.500000	94.580	82.9720
46.200001	94.573	81.1659
46.799999	94.561	79.6584
47.500000	94.539	77.9557
48.200001	94.514	76.2697
48.700001	94.494	75.0588
49.400002	94.463	73.3772
50.000000	94.433	71.9753
50.799999	94.388	70.1435
51.500000	94.340	68.5217
52.200001	94.285	66.8610
53.000000	94.217	64.9383
53.799999	94.153	63.0190
54.500000	94.103	61.3573
55.200001	94.055	59.7155
56.000000	93.998	57.8547
57.000000	93.921	55.5340
58.000000	93.841	53.2112
59.000000	93.764	50.9017
60.000000	93.687	48.6233
60.799999	93.619	46.8309
61.500000	93.553	45.2941
62.200001	93.482	43.7844
63.000000	93.401	42.0714
64.000000	93.300	39.9310
65.000000	93.196	37.8276
66.000000	93.094	35.7750
67.000000	92.987	33.7407
68.000000	92.868	31.7395
69.000000	92.744	29.8026
70.000000	92.629	27.8983
71.000000	92.525	25.9791
72.000000	92.423	24.0506
73.000000	92.309	22.1520
74.000000	92.182	20.2959
75.000000	92.050	18.4484
76.199997	91.896	16.2120
77.500000	91.735	13.8477
78.800003	91.568	11.6147
80.000000	91.400	9.6697
81.199997	91.232	7.8319
82.500000	91.058	5.9169
83.800003	90.890	3.9835
85.000000	90.734	2.1218
86.199997	90.578	0.2596
87.500000	90.408	-1.6392
88.500000	90.274	-3.0185
90.000000	90.078	-5.0555
91.199997	89.928	-6.6733
92.500000	89.772	-8.3782
93.800003	89.615	-10.0263
95.000000	89.465	-11.5037
96.199997	89.308	-12.9583
97.500000	89.130	-14.5301
98.800003	88.950	-16.1036
100.000000	88.791	-17.5310
101.500000	88.611	-19.2189
103.000000	88.448	-20.7858
104.400002	88.298	-22.1821
106.000000	88.122	-23.7368
107.500000	87.966	-25.1784
109.000000	87.820	-26.6017
110.599998	87.670	-28.0751
112.000000	87.539	-29.3465
113.800003	87.373	-30.9830
115.000000	87.265	-32.0735
117.199997	87.086	-34.0519
118.000000	87.028	-34.7399
120.599998	86.846	-36.8289
122.000000	86.746	-37.9291
124.099998	86.600	-39.6231
125.000000	86.544	-40.3595
126.500000	86.458	-41.5888
128.000000	86.377	-42.8370
131.500000	86.177	-45.8847
132.000000	86.149	-46.3248
134.000000	86.046	-48.0457
136.000000	85.957	-49.6592
138.000000	85.877	-51.1989
140.000000	85.802	-52.7782
143.000000	85.685	-55.3087
145.000000	85.601	-56.9795
147.500000	85.500	-58.9728
150.000000	85.406	-60.9371
152.500000	85.309	-62.8576
155.000000	85.222	-64.7679
157.500000	85.149	-66.7915
160.000000	85.087	-68.9117
162.500000	85.032	-71.0529
165.000000	84.982	-73.0828
167.500000	84.933	-74.9500
170.000000	84.886	-76.7699
172.500000	84.842	-78.6386
175.000000	84.795	-80.6054
177.500000	84.738	-82.6301
180.000000	84.667	-84.6368
182.500000	84.584	-86.5739
185.000000	84.496	-88.4289
187.500000	84.411	-90.2495
190.000000	84.342	-92.0700
192.500000	84.293	-93.8860
195.000000	84.258	-95.6786
197.500000	84.232	-97.4522
200.000000	84.211	-99.2301
203.000000	84.201	-101.3967
206.000000	84.214	-103.5876
209.000000	84.241	-105.8018
212.000000	84.265	-108.0211
214.000000	84.276	-109.4847
218.000000	84.288	-112.3857
220.000000	84.296	-113.8288
224.000000	84.316	-116.7033
227.000000	84.331	-118.8545
230.000000	84.348	-121.0208
233.000000	84.367	-123.2394
236.000000	84.390	-125.5247
240.000000	84.427	-128.6304
243.000000	84.456	-130.9756
247.000000	84.491	-134.1072
250.000000	84.515	-136.4473
254.000000	84.549	-139.5615
258.000000	84.581	-142.7015
262.000000	84.609	-145.8629
265.000000	84.628	-148.2473
269.000000	84.656	-151.4358
272.000000	84.682	-153.8123
276.000000	84.720	-156.9401
280.000000	84.755	-160.0485
285.000000	84.803	-163.9676
290.000000	84.860	-167.9065
295.000000	84.915	-171.8192
300.000000	84.965	-175.7711
304.000000	85.001	-178.9590
307.000000	85.025	178.6539
311.000000	85.057	175.4748
315.000000	85.087	172.2866
320.000000	85.120	168.2895
325.000000	85.149	164.3045
330.000000	85.177	160.3558
335.000000	85.201	156.4942
340.000000	85.223	152.6834
345.000000	85.237	148.8085
350.000000	85.248	144.8345
355.000000	85.264	140.8208
360.000000	85.288	136.8436
365.000000	85.323	132.9429
370.000000	85.359	129.0831
375.000000	85.385	125.2204
382.000000	85.405	119.8301
387.000000	85.418	116.0373
395.000000	85.439	110.0453
400.000000	85.443	106.3047
406.000000	85.435	101.8321
412.000000	85.428	97.3422
418.000000	85.430	92.8653
425.000000	85.439	87.7674
431.000000	85.440	83.4537
437.000000	85.429	79.0909
444.000000	85.408	73.8854
450.000000	85.389	69.3985
455.000000	85.372	65.7192
462.000000	85.346	60.6939
468.000000	85.320	56.4599
475.000000	85.288	51.5521
482.000000	85.258	46.7140
487.000000	85.237	43.3287
494.000000	85.211	38.6523
500.000000	85.196	34.6525
508.000000	85.184	29.3069
515.000000	85.171	24.6236
522.000000	85.156	19.9734
530.000000	85.136	14.7498
538.000000	85.104	9.6097
545.000000	85.068	5.1541
552.000000	85.027	0.7258
560.000000	84.982	-4.3246
570.000000	84.929	-10.6219
580.000000	84.880	-16.8766
590.000000	84.837	-23.0507
600.000000	84.792	-29.1083
608.000000	84.746	-33.8898
615.000000	84.700	-38.0562
622.000000	84.654	-42.2013
630.000000	84.603	-46.8912
640.000000	84.537	-52.6572
650.000000	84.472	-58.3110
660.000000	84.411	-63.8973
670.000000	84.356	-69.4019
680.000000	84.305	-74.8186
690.000000	84.254	-80.1638
700.000000	84.201	-85.4254
710.000000	84.149	-90.6761
720.000000	84.099	-95.9724
730.000000	84.047	-101.2721
740.000000	83.996	-106.5223
750.000000	83.948	-111.6626
762.000000	83.898	-117.6062
775.000000	83.847	-123.8766
788.000000	83.794	-130.1882
800.000000	83.745	-135.9951
812.000000	83.699	-141.6270
825.000000	83.646	-147.5613
838.000000	83.597	-153.4339
850.000000	83.558	-158.8201
862.000000	83.526	-164.1714
875.000000	83.500	-169.8893
885.000000	83.482	-174.1994
900.000000	83.453	179.4519
912.000000	83.432	174.4156
925.000000	83.416	169.0033
938.000000	83.406	163.6226
950.000000	83.404	158.6893
962.000000	83.407	153.7993
975.000000	83.413	148.5205
988.000000	83.421	143.2325
1000.000000	83.435	138.3596
1015.000000	83.464	132.3467
1030.000000	83.496	126.4457
1044.000000	83.527	120.9926
1060.000000	83.573	114.8299
1075.000000	83.620	109.1193
1090.000000	83.663	103.4701
1106.000000	83.703	97.5358
1120.000000	83.739	92.4045
1138.000000	83.799	85.8492
1150.000000	83.848	81.4935
1172.000000	83.938	73.5352
1180.000000	83.969	70.6536
1206.000000	84.073	61.3676
1220.000000	84.139	56.4474
1241.000000	84.246	49.1685
1250.000000	84.296	46.0710
1265.000000	84.389	40.9444
1280.000000	84.493	35.8728
1315.000000	84.735	24.2881
1320.000000	84.763	22.6563
1340.000000	84.847	16.1703
1360.000000	84.880	9.7733
1380.000000	84.877	3.4839
1400.000000	84.867	-2.6877
1430.000000	84.886	-11.8005
1450.000000	84.930	-17.7881
1475.000000	85.014	-25.0854
1500.000000	85.134	-32.1846
1525.000000	85.284	-39.1091
1550.000000	85.447	-45.9124
1575.000000	85.622	-52.6783
1600.000000	85.810	-59.4317
1625.000000	86.012	-66.1129
1650.000000	86.224	-72.6638
1675.000000	86.439	-79.1754
1700.000000	86.655	-85.7225
1725.000000	86.879	-92.2724
1750.000000	87.113	-98.7853
1775.000000	87.351	-105.2336
1800.000000	87.586	-111.6179
1825.000000	87.813	-117.9584
1850.000000	88.032	-124.2676
1875.000000	88.242	-130.5641
1900.000000	88.441	-136.8369
1925.000000	88.630	-143.0468
1950.000000	88.812	-149.1819
1975.000000	88.993	-155.2449
2000.000000	89.180	-161.2360
2030.000000	89.405	-168.3120
2060.000000	89.615	-175.2843
2090.000000	89.812	177.7756
2120.000000	90.009	170.8579
2140.000000	90.139	166.2799
2180.000000	90.394	157.2241
2200.000000	90.514	152.7700
2240.000000	90.730	144.0518
2270.000000	90.871	137.6444
2300.000000	90.998	131.3376
2330.000000	91.115	125.1396
2360.000000	91.229	119.0737
