* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09-Jun-2025 09:54:27
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Pop ANC off R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.453	163.4545
20.600000	94.457	162.8217
20.900000	94.459	162.0322
21.200001	94.462	161.1908
21.400000	94.466	160.6196
21.799999	94.482	159.4604
22.000000	94.495	158.8709
22.400000	94.530	157.6693
22.700001	94.561	156.7521
23.000000	94.593	155.8313
23.299999	94.621	154.9198
23.600000	94.645	154.0306
24.000000	94.668	152.8919
24.299999	94.680	152.0710
24.700001	94.695	151.0009
25.000000	94.705	150.1996
25.400000	94.719	149.1150
25.799999	94.731	148.0125
26.200001	94.740	146.9102
26.500000	94.746	146.0958
26.900000	94.752	145.0316
27.200001	94.757	144.2453
27.600000	94.763	143.2022
28.000000	94.767	142.1618
28.500000	94.767	140.8849
29.000000	94.763	139.6683
29.500000	94.763	138.5178
30.000000	94.772	137.3954
30.400000	94.781	136.4868
30.700001	94.786	135.7910
31.100000	94.791	134.8441
31.500000	94.793	133.8782
32.000000	94.794	132.6442
32.500000	94.796	131.3798
33.000000	94.796	130.1014
33.500000	94.793	128.8424
34.000000	94.790	127.6241
34.500000	94.790	126.4333
35.000000	94.790	125.2385
35.500000	94.786	124.0274
36.000000	94.778	122.8230
36.500000	94.767	121.6610
37.000000	94.759	120.5554
37.500000	94.757	119.4853
38.200001	94.757	117.9757
38.700001	94.752	116.8619
39.500000	94.728	115.0533
40.000000	94.709	113.9430
40.599998	94.692	112.6434
41.200001	94.685	111.3643
41.799999	94.684	110.0946
42.500000	94.680	108.6227
43.099998	94.671	107.3454
43.700001	94.657	106.0117
44.400002	94.633	104.3674
45.000000	94.605	102.9331
45.500000	94.581	101.7735
46.200001	94.550	100.2538
46.799999	94.529	99.0349
47.500000	94.507	97.6489
48.200001	94.485	96.2483
48.700001	94.471	95.2281
49.400002	94.453	93.7721
50.000000	94.435	92.5027
50.799999	94.390	90.8055
51.500000	94.328	89.3532
52.200001	94.257	87.9461
53.000000	94.186	86.3587
53.799999	94.135	84.7430
54.500000	94.095	83.2999
55.200001	94.049	81.8630
56.000000	93.986	80.2641
57.000000	93.905	78.3045
58.000000	93.826	76.3324
59.000000	93.746	74.3382
60.000000	93.664	72.2806
60.799999	93.592	70.6071
61.500000	93.525	69.1864
62.200001	93.458	67.8379
63.000000	93.384	66.3627
64.000000	93.292	64.5399
65.000000	93.188	62.7205
66.000000	93.075	60.9366
67.000000	92.963	59.1771
68.000000	92.861	57.4257
69.000000	92.762	55.7000
70.000000	92.655	54.0323
71.000000	92.536	52.4363
72.000000	92.408	50.8742
73.000000	92.276	49.3150
74.000000	92.143	47.7625
75.000000	92.014	46.2029
76.199997	91.859	44.3167
77.500000	91.678	42.3472
78.800003	91.485	40.5115
80.000000	91.311	38.8970
81.199997	91.160	37.3040
82.500000	91.015	35.5968
83.800003	90.867	33.9209
85.000000	90.719	32.3971
86.199997	90.569	30.9507
87.500000	90.409	29.5331
88.500000	90.281	28.5277
90.000000	90.078	27.0237
91.199997	89.915	25.7438
92.500000	89.738	24.3210
93.800003	89.562	22.9216
95.000000	89.405	21.6512
96.199997	89.256	20.3868
97.500000	89.102	19.0375
98.800003	88.950	17.7765
100.000000	88.809	16.7159
101.500000	88.640	15.4343
103.000000	88.478	14.1055
104.400002	88.324	12.8498
106.000000	88.147	11.5445
107.500000	87.987	10.5422
109.000000	87.832	9.6511
110.599998	87.671	8.6718
112.000000	87.536	7.7758
113.800003	87.377	6.6302
115.000000	87.278	5.8717
117.199997	87.109	4.4337
