* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09-Jun-2025 09:47:05
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rock
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.834	157.3935
20.600000	94.862	156.6164
20.900000	94.896	155.6414
21.200001	94.929	154.5962
21.400000	94.949	153.8849
21.799999	94.987	152.4476
22.000000	95.004	151.7256
22.400000	95.038	150.2834
22.700001	95.063	149.2101
23.000000	95.088	148.1495
23.299999	95.115	147.1048
23.600000	95.142	146.0773
24.000000	95.177	144.7344
24.299999	95.204	143.7466
24.700001	95.237	142.4530
25.000000	95.263	141.4975
25.400000	95.297	140.2353
25.799999	95.331	138.9743
26.200001	95.365	137.7003
26.500000	95.391	136.7303
26.900000	95.423	135.4165
27.200001	95.444	134.4202
27.600000	95.469	133.0910
28.000000	95.488	131.7800
28.500000	95.505	130.1924
29.000000	95.520	128.6662
29.500000	95.536	127.1732
30.000000	95.555	125.6704
30.400000	95.571	124.4437
30.700001	95.582	123.5103
31.100000	95.595	122.2589
31.500000	95.606	121.0146
32.000000	95.620	119.4873
32.500000	95.634	117.9953
33.000000	95.647	116.5266
33.500000	95.660	115.0620
34.000000	95.670	113.5874
34.500000	95.677	112.1044
35.000000	95.680	110.6318
35.500000	95.681	109.1907
36.000000	95.684	107.7827
36.500000	95.690	106.3850
37.000000	95.696	104.9714
37.500000	95.699	103.5379
38.200001	95.694	101.5403
38.700001	95.686	100.1503
39.500000	95.675	97.9862
40.000000	95.667	96.6450
40.599998	95.657	95.0206
41.200001	95.646	93.3641
41.799999	95.638	91.6778
42.500000	95.634	89.7176
43.099998	95.635	88.0932
43.700001	95.642	86.5345
44.400002	95.650	84.7693
45.000000	95.648	83.2705
45.500000	95.638	82.0210
46.200001	95.611	80.2687
46.799999	95.582	78.7677
47.500000	95.548	77.0208
48.200001	95.523	75.2665
48.700001	95.513	73.9997
49.400002	95.501	72.2163
50.000000	95.488	70.7063
50.799999	95.461	68.7487
51.500000	95.434	67.0667
52.200001	95.403	65.3755
53.000000	95.363	63.4240
53.799999	95.319	61.4952
54.500000	95.284	59.8533
55.200001	95.258	58.2270
56.000000	95.234	56.3262
57.000000	95.195	53.8714
58.000000	95.142	51.4036
59.000000	95.085	48.9800
60.000000	95.033	46.6149
60.799999	94.995	44.7585
61.500000	94.961	43.1661
62.200001	94.925	41.6124
63.000000	94.883	39.8708
64.000000	94.831	37.6915
65.000000	94.779	35.5023
66.000000	94.729	33.3530
67.000000	94.680	31.2334
68.000000	94.624	29.0919
69.000000	94.554	26.9279
70.000000	94.477	24.7578
71.000000	94.398	22.5923
72.000000	94.321	20.4653
73.000000	94.251	18.4043
74.000000	94.186	16.3715
75.000000	94.118	14.3072
76.199997	94.021	11.8046
77.500000	93.907	9.1618
78.800003	93.795	6.6162
