* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06-Jun-2025 10:16:06
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Cap3 Pro Plus L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.557	170.0573
20.600000	85.579	170.7290
20.900000	85.612	171.5455
21.200001	85.657	172.3733
21.400000	85.692	172.9017
21.799999	85.774	173.8734
22.000000	85.821	174.3127
22.400000	85.924	175.1003
22.700001	86.007	175.6177
23.000000	86.093	176.0804
23.299999	86.182	176.4958
23.600000	86.272	176.8703
24.000000	86.394	177.3116
24.299999	86.486	177.5974
24.700001	86.613	177.9073
25.000000	86.709	178.0765
25.400000	86.839	178.2069
25.799999	86.965	178.2301
26.200001	87.084	178.1631
26.500000	87.167	178.0696
26.900000	87.271	177.9070
27.200001	87.344	177.7658
27.600000	87.437	177.5578
28.000000	87.529	177.3285
28.500000	87.640	177.0121
29.000000	87.749	176.6595
29.500000	87.855	176.2575
30.000000	87.955	175.7878
30.400000	88.026	175.3614
30.700001	88.073	175.0204
31.100000	88.125	174.5562
31.500000	88.170	174.1011
32.000000	88.222	173.5583
32.500000	88.274	173.0269
33.000000	88.326	172.4743
33.500000	88.371	171.8907
34.000000	88.407	171.2973
34.500000	88.435	170.7202
35.000000	88.460	170.1617
35.500000	88.485	169.6023
36.000000	88.510	169.0284
36.500000	88.531	168.4500
37.000000	88.546	167.8906
37.500000	88.557	167.3627
38.200001	88.568	166.6566
38.700001	88.572	166.1505
39.500000	88.574	165.3186
40.000000	88.570	164.7919
40.599998	88.560	164.1671
41.200001	88.545	163.5646
41.799999	88.526	162.9921
42.500000	88.506	162.3486
43.099998	88.490	161.7995
43.700001	88.472	161.2533
44.400002	88.448	160.6413
45.000000	88.427	160.1478
45.500000	88.408	159.7527
46.200001	88.378	159.2119
46.799999	88.351	158.7559
47.500000	88.320	158.2308
48.200001	88.292	157.7096
48.700001	88.273	157.3426
49.400002	88.248	156.8505
50.000000	88.222	156.4625
50.799999	88.183	155.9939
51.500000	88.146	155.6058
52.200001	88.111	155.2169
53.000000	88.074	154.7776
53.799999	88.043	154.3561
54.500000	88.021	153.9864
55.200001	88.003	153.5956
56.000000	87.981	153.1204
57.000000	87.955	152.4847
58.000000	87.931	151.7993
59.000000	87.904	151.0942
60.000000	87.874	150.3845
60.799999	87.849	149.8081
61.500000	87.824	149.2984
62.200001	87.796	148.7837
63.000000	87.761	148.1869
64.000000	87.710	147.4396
65.000000	87.653	146.7313
66.000000	87.591	146.0853
67.000000	87.523	145.4695
68.000000	87.447	144.8470
69.000000	87.361	144.2206
70.000000	87.272	143.6113
71.000000	87.189	143.0081
72.000000	87.113	142.3940
73.000000	87.037	141.8040
74.000000	86.959	141.2828
75.000000	86.881	140.8203
76.199997	86.784	140.2923
77.500000	86.675	139.7270
78.800003	86.565	139.1720
80.000000	86.469	138.6731
81.199997	86.378	138.1794
82.500000	86.282	137.6673
83.800003	86.183	137.2265
85.000000	86.090	136.8677
86.199997	85.996	136.5087
87.500000	85.897	136.0979
88.500000	85.824	135.7657
90.000000	85.713	135.2582
91.199997	85.623	134.8594
92.500000	85.527	134.4278
93.800003	85.434	133.9919
95.000000	85.348	133.6094
96.199997	85.259	133.2575
97.500000	85.163	132.9126
98.800003	85.066	132.6089
100.000000	84.975	132.3498
101.500000	84.860	132.0141
103.000000	84.743	131.6475
104.400002	84.632	131.2803
106.000000	84.503	130.8594
107.500000	84.381	130.4967
109.000000	84.262	130.1595
110.599998	84.134	129.8016
112.000000	84.020	129.4735
113.800003	83.873	129.0342
115.000000	83.775	128.7474
117.199997	83.595	128.2794
118.000000	83.530	128.1253
120.599998	83.315	127.6446
122.000000	83.200	127.4061
124.099998	83.033	127.0657
125.000000	82.960	126.9274
126.500000	82.835	126.7192
128.000000	82.707	126.5508
131.500000	82.412	126.3055
132.000000	82.372	126.2798
134.000000	82.211	126.1815
136.000000	82.051	126.0639
138.000000	81.890	125.9270
140.000000	81.722	125.8173
143.000000	81.466	125.7837
145.000000	81.302	125.8153
147.500000	81.097	125.9212
150.000000	80.890	126.1195
152.500000	80.687	126.3048
155.000000	80.487	126.4351
157.500000	80.288	126.6248
160.000000	80.094	126.9064
162.500000	79.906	127.2709
165.000000	79.722	127.7039
167.500000	79.538	128.1326
170.000000	79.359	128.5644
172.500000	79.183	129.0436
175.000000	79.014	129.5536
177.500000	78.849	130.0917
180.000000	78.682	130.7110
182.500000	78.513	131.4190
185.000000	78.341	132.1648
187.500000	78.166	132.9308
190.000000	77.991	133.7027
192.500000	77.823	134.4714
195.000000	77.668	135.2576
