* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06-Jun-2025 10:16:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Cap3 Pro Plus R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.686	170.0828
20.600000	85.709	170.7404
20.900000	85.743	171.5410
21.200001	85.787	172.3572
21.400000	85.822	172.8822
21.799999	85.902	173.8588
22.000000	85.948	174.3061
22.400000	86.050	175.1177
22.700001	86.132	175.6563
23.000000	86.219	176.1388
23.299999	86.308	176.5690
23.600000	86.400	176.9501
24.000000	86.523	177.3847
24.299999	86.616	177.6557
24.700001	86.740	177.9419
25.000000	86.834	178.0984
25.400000	86.959	178.2292
25.799999	87.083	178.2753
26.200001	87.202	178.2454
26.500000	87.288	178.1797
26.900000	87.397	178.0426
27.200001	87.474	177.9067
27.600000	87.572	177.6856
28.000000	87.664	177.4228
28.500000	87.773	177.0441
29.000000	87.872	176.6234
29.500000	87.963	176.1755
30.000000	88.048	175.7094
30.400000	88.112	175.3231
30.700001	88.158	175.0234
31.100000	88.215	174.6080
31.500000	88.270	174.1743
32.000000	88.333	173.6129
32.500000	88.392	173.0425
33.000000	88.447	172.4726
33.500000	88.496	171.9031
34.000000	88.539	171.3286
34.500000	88.572	170.7503
35.000000	88.596	170.1797
35.500000	88.613	169.6287
36.000000	88.627	169.0965
36.500000	88.642	168.5687
37.000000	88.657	168.0302
37.500000	88.669	167.4769
38.200001	88.677	166.6921
38.700001	88.677	166.1345
39.500000	88.672	165.2544
40.000000	88.666	164.7180
40.599998	88.657	164.0991
41.200001	88.648	163.5070
41.799999	88.639	162.9265
42.500000	88.624	162.2483
43.099998	88.604	161.6759
43.700001	88.579	161.1295
44.400002	88.552	160.5312
45.000000	88.531	160.0437
45.500000	88.514	159.6498
46.200001	88.490	159.1138
46.799999	88.468	158.6639
47.500000	88.443	158.1432
48.200001	88.415	157.6329
48.700001	88.395	157.2854
49.400002	88.365	156.8336
50.000000	88.335	156.4780
50.799999	88.288	156.0339
51.500000	88.243	155.6556
52.200001	88.203	155.2763
53.000000	88.167	154.8407
53.799999	88.141	154.3992
54.500000	88.122	154.0019
55.200001	88.103	153.6004
56.000000	88.081	153.1490
57.000000	88.058	152.5826
58.000000	88.037	151.9803
59.000000	88.015	151.3298
60.000000	87.988	150.6248
60.799999	87.962	150.0348
61.500000	87.935	149.5136
62.200001	87.904	148.9893
63.000000	87.866	148.3824
64.000000	87.813	147.6235
65.000000	87.754	146.8889
66.000000	87.688	146.1795
67.000000	87.615	145.4924
68.000000	87.535	144.8469
69.000000	87.453	144.2436
70.000000	87.369	143.6493
71.000000	87.286	143.0484
72.000000	87.207	142.4626
73.000000	87.135	141.9037
74.000000	87.067	141.3642
75.000000	87.000	140.8498
76.199997	86.914	140.2826
77.500000	86.807	139.7103
78.800003	86.689	139.1459
80.000000	86.581	138.6518
81.199997	86.479	138.2005
82.500000	86.379	137.7166
83.800003	86.285	137.2116
85.000000	86.194	136.7493
86.199997	86.095	136.3076
87.500000	85.984	135.8780
88.500000	85.903	135.5886
90.000000	85.792	135.1583
91.199997	85.711	134.7686
92.500000	85.622	134.3177
93.800003	85.526	133.8898
95.000000	85.433	133.5301
96.199997	85.341	133.1891
97.500000	85.242	132.8320
98.800003	85.142	132.4956
100.000000	85.048	132.2138
101.500000	84.933	131.8832
103.000000	84.826	131.5209
104.400002	84.729	131.1349
106.000000	84.614	130.6817
107.500000	84.498	130.2865
109.000000	84.380	129.9238
110.599998	84.256	129.5758
112.000000	84.149	129.3020
113.800003	84.008	128.9716
115.000000	83.912	128.7536
117.199997	83.730	128.3713
118.000000	83.663	128.2382
120.599998	83.439	127.7889
122.000000	83.318	127.5502
124.099998	83.138	127.2282
125.000000	83.062	127.1096
126.500000	82.938	126.9392
128.000000	82.814	126.7872
131.500000	82.522	126.4449
132.000000	82.480	126.4021
134.000000	82.317	126.2498
136.000000	82.157	126.1132
138.000000	81.993	126.0047
140.000000	81.824	125.9395
143.000000	81.564	125.8744
145.000000	81.394	125.8553
147.500000	81.185	125.9261
150.000000	80.979	126.1082
152.500000	80.776	126.3462
155.000000	80.579	126.5710
157.500000	80.385	126.7801
160.000000	80.190	127.0246
162.500000	80.000	127.3328
165.000000	79.815	127.7170
