* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06-Jun-2025 10:14:06
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Cap3 Pro Plus Cl R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	86.671	-178.4196
20.600000	86.713	-177.6981
20.900000	86.772	-176.8201
21.200001	86.843	-175.9280
21.400000	86.895	-175.3568
21.799999	87.011	-174.2996
22.000000	87.073	-173.8163
22.400000	87.205	-172.9383
22.700001	87.312	-172.3556
23.000000	87.424	-171.8377
23.299999	87.541	-171.3847
23.600000	87.662	-170.9947
24.000000	87.824	-170.5634
24.299999	87.945	-170.2973
24.700001	88.106	-170.0074
25.000000	88.227	-169.8362
25.400000	88.387	-169.6727
25.799999	88.545	-169.5888
26.200001	88.695	-169.5848
26.500000	88.803	-169.6289
26.900000	88.939	-169.7398
27.200001	89.036	-169.8563
27.600000	89.162	-170.0529
28.000000	89.284	-170.2985
28.500000	89.432	-170.6757
29.000000	89.572	-171.1193
29.500000	89.704	-171.6023
30.000000	89.829	-172.1010
30.400000	89.924	-172.5071
30.700001	89.993	-172.8188
31.100000	90.081	-173.2482
31.500000	90.164	-173.6951
32.000000	90.261	-174.2712
32.500000	90.350	-174.8546
33.000000	90.433	-175.4404
33.500000	90.513	-176.0370
34.000000	90.588	-176.6547
34.500000	90.657	-177.2924
35.000000	90.717	-177.9383
35.500000	90.769	-178.5824
36.000000	90.816	-179.2270
36.500000	90.862	-179.8803
37.000000	90.904	179.4562
37.500000	90.944	178.7941
38.200001	90.994	177.8997
38.700001	91.027	177.2956
39.500000	91.074	176.3794
40.000000	91.098	175.8235
40.599998	91.121	175.1588
41.200001	91.137	174.4920
41.799999	91.151	173.8297
42.500000	91.166	173.0788
43.099998	91.180	172.4579
43.700001	91.196	171.8488
44.400002	91.211	171.1345
45.000000	91.219	170.5092
45.500000	91.219	169.9815
46.200001	91.212	169.2509
46.799999	91.204	168.6501
47.500000	91.198	167.9876
48.200001	91.200	167.3609
48.700001	91.206	166.9302
49.400002	91.217	166.3455
50.000000	91.222	165.8574
50.799999	91.215	165.2255
51.500000	91.198	164.6901
52.200001	91.180	164.1588
53.000000	91.166	163.5338
53.799999	91.160	162.8857
54.500000	91.161	162.3181
55.200001	91.162	161.7703
56.000000	91.163	161.1669
57.000000	91.163	160.3879
58.000000	91.165	159.5264
59.000000	91.163	158.6253
60.000000	91.155	157.7267
60.799999	91.144	156.9917
61.500000	91.131	156.3261
62.200001	91.115	155.6456
63.000000	91.095	154.8638
64.000000	91.066	153.9003
65.000000	91.028	152.9549
66.000000	90.981	152.0261
67.000000	90.923	151.1312
68.000000	90.856	150.2891
69.000000	90.781	149.4987
70.000000	90.705	148.7404
71.000000	90.634	147.9949
72.000000	90.567	147.2596
73.000000	90.500	146.5436
74.000000	90.432	145.8552
75.000000	90.363	145.2056
76.199997	90.278	144.4825
77.500000	90.184	143.7327
78.800003	90.086	142.9907
80.000000	89.996	142.3078
81.199997	89.908	141.6089
82.500000	89.815	140.8480
83.800003	89.728	140.1303
85.000000	89.649	139.5155
86.199997	89.565	138.9276
87.500000	89.471	138.3150
88.500000	89.401	137.8619
90.000000	89.297	137.1972
91.199997	89.214	136.6718
92.500000	89.121	136.1136
93.800003	89.027	135.5602
95.000000	88.940	135.0468
96.199997	88.851	134.5358
97.500000	88.754	133.9939
98.800003	88.659	133.4607
100.000000	88.573	132.9693
101.500000	88.470	132.3743
103.000000	88.372	131.8175
104.400002	88.277	131.3091
106.000000	88.161	130.6966
107.500000	88.047	130.1023
109.000000	87.934	129.5156
110.599998	87.813	128.9119
112.000000	87.706	128.4050
113.800003	87.568	127.7942
115.000000	87.476	127.4114
117.199997	87.311	126.7328
118.000000	87.251	126.4936
120.599998	87.047	125.7581
122.000000	86.929	125.3895
124.099998	86.747	124.8696
125.000000	86.669	124.6507
126.500000	86.537	124.2898
128.000000	86.402	123.9506
131.500000	86.094	123.3157
132.000000	86.052	123.2387
134.000000	85.884	122.9094
136.000000	85.719	122.5031
138.000000	85.556	122.0950
140.000000	85.390	121.7762
143.000000	85.136	121.4530
145.000000	84.958	121.2999
147.500000	84.731	121.1051
150.000000	84.510	120.8865
152.500000	84.303	120.7411
155.000000	84.102	120.7110
157.500000	83.899	120.7765
160.000000	83.699	120.8867
162.500000	83.507	121.0283
165.000000	83.318	121.2180
167.500000	83.125	121.4268
170.000000	82.929	121.6586
172.500000	82.735	121.9440
175.000000	82.550	122.2793
177.500000	82.375	122.6508
180.000000	82.200	123.0496
182.500000	82.015	123.4966
185.000000	81.822	124.0137
187.500000	81.625	124.5882
190.000000	81.432	125.1858
192.500000	81.249	125.7866
195.000000	81.084	126.3959
197.500000	80.941	127.0192
200.000000	80.820	127.6569
203.000000	80.699	128.4398
206.000000	80.598	129.2271
209.000000	80.509	130.0075
212.000000	80.427	130.8055
214.000000	80.372	131.3467
218.000000	80.259	132.4272
220.000000	80.203	132.9820
224.000000	80.099	134.1579
227.000000	80.026	135.0817
230.000000	79.956	136.0023
233.000000	79.896	136.8904
236.000000	79.847	137.7543
240.000000	79.805	138.8622
243.000000	79.786	139.6222
247.000000	79.764	140.5582
250.000000	79.746	141.2281
254.000000	79.722	142.0859
258.000000	79.706	142.9016
262.000000	79.697	143.6189
265.000000	79.695	144.1071
269.000000	79.697	144.7126
272.000000	79.702	145.1365
276.000000	79.709	145.6854
280.000000	79.718	146.2288
285.000000	79.730	146.8981
290.000000	79.742	147.5220
295.000000	79.751	148.0833
300.000000	79.763	148.6126
304.000000	79.780	149.0229
307.000000	79.796	149.3203
311.000000	79.822	149.6958
315.000000	79.847	150.0287
320.000000	79.875	150.3682
325.000000	79.902	150.6467
330.000000	79.931	150.8919
335.000000	79.960	151.0932
340.000000	79.985	151.2419
345.000000	80.005	151.3556
350.000000	80.022	151.4556
355.000000	80.040	151.5264
360.000000	80.059	151.5606
365.000000	80.074	151.5801
370.000000	80.085	151.5721
375.000000	80.093	151.5367
382.000000	80.108	151.4920
387.000000	80.123	151.4376
395.000000	80.145	151.2411
400.000000	80.147	151.0748
406.000000	80.138	150.8829
412.000000	80.114	150.6924
418.000000	80.081	150.4496
425.000000	80.046	150.0975
431.000000	80.020	149.8055
437.000000	79.990	149.5647
444.000000	79.944	149.3570
450.000000	79.899	149.2455
455.000000	79.860	149.1866
462.000000	79.801	149.0881
468.000000	79.744	148.9632
475.000000	79.672	148.8565
482.000000	79.599	148.8397
487.000000	79.546	148.8635
494.000000	79.472	148.9135
500.000000	79.408	148.9864
508.000000	79.324	149.1284
515.000000	79.251	149.2584
522.000000	79.179	149.3793
530.000000	79.101	149.5396
538.000000	79.028	149.7601
545.000000	78.967	149.9903
552.000000	78.907	150.2288
560.000000	78.838	150.4963
570.000000	78.749	150.8644
580.000000	78.657	151.3140
590.000000	78.567	151.8012
600.000000	78.485	152.2663
608.000000	78.424	152.6479
615.000000	78.375	153.0101
622.000000	78.330	153.4029
630.000000	78.285	153.8953
640.000000	78.236	154.5774
650.000000	78.196	155.2723
660.000000	78.167	155.9403
670.000000	78.151	156.5862
680.000000	78.142	157.1920
690.000000	78.139	157.7600
700.000000	78.135	158.3050
710.000000	78.137	158.8274
720.000000	78.149	159.3232
730.000000	78.167	159.8014
740.000000	78.180	160.2815
750.000000	78.186	160.7493
762.000000	78.191	161.2640
775.000000	78.205	161.7769
788.000000	78.235	162.2646
800.000000	78.267	162.7149
812.000000	78.291	163.1831
825.000000	78.311	163.7109
838.000000	78.333	164.2511
850.000000	78.358	164.7259
862.000000	78.390	165.1631
875.000000	78.431	165.5787
885.000000	78.463	165.8624
900.000000	78.513	166.2641
912.000000	78.552	166.5718
925.000000	78.590	166.8915
938.000000	78.624	167.1963
950.000000	78.656	167.4712
962.000000	78.696	167.7433
975.000000	78.750	168.0345
988.000000	78.809	168.3402
1000.000000	78.862	168.6367
1015.000000	78.924	168.9680
1030.000000	78.986	169.2306
1044.000000	79.047	169.4328
1060.000000	79.122	169.6129
1075.000000	79.194	169.7055
1090.000000	79.259	169.7254
1106.000000	79.322	169.7157
1120.000000	79.375	169.7037
1138.000000	79.439	169.6616
1150.000000	79.479	169.6110
1172.000000	79.554	169.5054
1180.000000	79.583	169.4780
1206.000000	79.679	169.4278
1220.000000	79.733	169.4158
1241.000000	79.822	169.3834
1250.000000	79.865	169.3588
1265.000000	79.943	169.3126
1280.000000	80.022	169.2660
1315.000000	80.177	169.2095
1320.000000	80.193	169.2114
1340.000000	80.227	169.2462
1360.000000	80.217	169.3190
1380.000000	80.177	169.4175
1400.000000	80.128	169.5383
1430.000000	80.078	169.7478
1450.000000	80.075	169.8837
1475.000000	80.100	170.0433
1500.000000	80.154	170.2467
1525.000000	80.234	170.5284
1550.000000	80.330	170.8288
1575.000000	80.434	171.0751
1600.000000	80.539	171.2564
1625.000000	80.646	171.4026
1650.000000	80.754	171.5659
1675.000000	80.859	171.7942
1700.000000	80.974	172.0966
1725.000000	81.108	172.4283
1750.000000	81.255	172.7025
1775.000000	81.413	172.8623
1800.000000	81.579	172.9221
1825.000000	81.748	172.8947
1850.000000	81.914	172.7736
1875.000000	82.073	172.5702
1900.000000	82.222	172.3176
1925.000000	82.366	172.0355
1950.000000	82.504	171.7142
1975.000000	82.638	171.3437
2000.000000	82.770	170.9355
2030.000000	82.926	170.4462
2060.000000	83.082	169.9973
2090.000000	83.236	169.5631
2120.000000	83.394	169.0875
2140.000000	83.500	168.7459
2180.000000	83.706	168.0074
2200.000000	83.806	167.6055
2240.000000	84.007	166.7582
2270.000000	84.160	166.0699
2300.000000	84.314	165.3118
2330.000000	84.466	164.4899
2360.000000	84.612	163.6369
2400.000000	84.799	162.4682
2430.000000	84.934	161.5513
2470.000000	85.106	160.2708
2500.000000	85.228	159.2687
2540.000000	85.380	157.8899
2580.000000	85.523	156.4713
2620.000000	85.659	154.9987
2650.000000	85.754	153.8459
2690.000000	85.868	152.2579
2720.000000	85.944	151.0479
2760.000000	86.034	149.4149
2800.000000	86.115	147.7723
2850.000000	86.200	145.7288
2900.000000	86.255	143.6935
2950.000000	86.282	141.6807
3000.000000	86.288	139.7047
3040.000000	86.280	138.1486
3070.000000	86.265	136.9982
3110.000000	86.235	135.5047
3150.000000	86.192	134.0893
3200.000000	86.126	132.4435
3250.000000	86.052	130.9055
3300.000000	85.969	129.4729
3350.000000	85.875	128.1577
3400.000000	85.770	126.9612
3450.000000	85.655	125.8678
3500.000000	85.534	124.8780
3550.000000	85.412	124.0025
3600.000000	85.295	123.2397
3650.000000	85.186	122.5670
3700.000000	85.091	121.9606
3750.000000	85.011	121.4147
3820.000000	84.924	120.7376
3870.000000	84.876	120.3148
3950.000000	84.821	119.7647
4000.000000	84.792	119.5157
4060.000000	84.755	119.3063
4120.000000	84.713	119.1638
4180.000000	84.673	119.0441
4250.000000	84.641	118.8981
4310.000000	84.633	118.7303
4370.000000	84.645	118.5002
4440.000000	84.695	118.1249
4500.000000	84.772	117.6640
4550.000000	84.856	117.1378
4620.000000	84.994	116.1420
4680.000000	85.120	115.0339
4750.000000	85.258	113.4330
4820.000000	85.368	111.4934
4870.000000	85.418	109.9029
4940.000000	85.432	107.4172
5000.000000	85.380	105.1071
5080.000000	85.210	101.9162
5150.000000	84.953	99.2016
5220.000000	84.595	96.7724
5300.000000	84.084	94.5780
5380.000000	83.497	93.2016
5450.000000	82.948	92.7325
5520.000000	82.394	92.9275
5600.000000	81.789	93.8905
5700.000000	81.117	96.0468
5800.000000	80.563	99.0775
5900.000000	80.153	102.7632
6000.000000	79.896	106.8732
6080.000000	79.800	110.3079
6150.000000	79.791	113.3117
6220.000000	79.846	116.2344
6300.000000	79.979	119.3878
6400.000000	80.245	122.9326
6500.000000	80.612	125.9285
6600.000000	81.069	128.2583
6700.000000	81.600	129.8000
6800.000000	82.190	130.4613
6900.000000	82.810	130.1524
7000.000000	83.421	128.7732
7100.000000	83.984	126.2517
7200.000000	84.455	122.6205
7300.000000	84.779	118.0681
7400.000000	84.905	112.9490
7500.000000	84.817	107.7468
7620.000000	84.447	102.0705
7750.000000	83.764	97.3067
7880.000000	82.848	94.4679
8000.000000	81.865	93.6852
8120.000000	80.825	94.5368
8250.000000	79.716	96.9744
8380.000000	78.702	100.5858
8500.000000	77.900	104.6421
8620.000000	77.246	109.1425
8750.000000	76.694	114.2891
8850.000000	76.360	118.3465
9000.000000	75.974	124.5081
9120.000000	75.746	129.4457
9250.000000	75.569	134.7391
9380.000000	75.453	139.9698
9500.000000	75.395	144.7610
9620.000000	75.388	149.5262
9750.000000	75.436	154.6594
9880.000000	75.541	159.7471
10000.000000	75.688	164.3976
10150.000000	75.934	170.1240
10300.000000	76.244	175.7041
10440.000000	76.587	-179.2525
10600.000000	77.040	-173.7021
10750.000000	77.523	-168.7163
10900.000000	78.065	-163.9602
11060.000000	78.709	-159.1414
11200.000000	79.333	-155.1031
11380.000000	80.233	-150.0840
11500.000000	80.922	-146.8250
11720.000000	82.475	-141.2334
11800.000000	83.157	-139.5095
12060.000000	85.792	-136.7551
12200.000000	87.350	-138.1559
12410.000000	89.507	-145.2316
12500.000000	90.242	-150.0767
12650.000000	91.054	-159.9759
12800.000000	91.244	-170.9508
13150.000000	89.399	168.4736
13200.000000	88.953	166.7152
13400.000000	86.978	163.0770
13600.000000	85.021	164.2834
13800.000000	83.431	168.9270
14000.000000	82.411	175.2891
14300.000000	81.935	-175.4537
14500.000000	82.080	-171.1497
14750.000000	82.374	-168.4572
15000.000000	82.468	-167.7025
15250.000000	82.246	-166.9151
15500.000000	81.828	-164.5983
15750.000000	81.492	-160.7569
16000.000000	81.551	-156.5614
16250.000000	82.163	-154.1054
16500.000000	83.098	-155.4659
16750.000000	83.907	-161.2298
17000.000000	84.169	-170.3993
17250.000000	83.642	179.2894
17500.000000	82.318	170.3940
17750.000000	80.356	165.2477
18000.000000	78.028	167.3959
18250.000000	75.961	-178.2894
18500.000000	74.915	-158.0741
18750.000000	74.707	-143.6769
19000.000000	74.795	-136.0047
19250.000000	74.903	-133.1268
19500.000000	74.969	-131.4317
19750.000000	74.990	-129.7077
20000.000000	74.986	-128.5750
