* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06-Jun-2025 10:20:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Cap3 Pro Plus F L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.278	157.3398
20.600000	84.280	157.9604
20.900000	84.286	158.7150
21.200001	84.299	159.4782
21.400000	84.312	159.9637
21.799999	84.345	160.8537
22.000000	84.365	161.2577
22.400000	84.412	161.9967
22.700001	84.452	162.5031
23.000000	84.497	162.9754
23.299999	84.549	163.4121
23.600000	84.605	163.8057
24.000000	84.687	164.2461
24.299999	84.750	164.5047
24.700001	84.834	164.7548
25.000000	84.894	164.8805
25.400000	84.972	164.9842
25.799999	85.047	165.0316
26.200001	85.119	165.0310
26.500000	85.171	164.9990
26.900000	85.239	164.9125
27.200001	85.287	164.8150
27.600000	85.347	164.6462
28.000000	85.401	164.4416
28.500000	85.462	164.1520
29.000000	85.516	163.8381
29.500000	85.566	163.5024
30.000000	85.612	163.1378
30.400000	85.646	162.8224
30.700001	85.667	162.5743
31.100000	85.691	162.2359
31.500000	85.711	161.8981
32.000000	85.731	161.4825
32.500000	85.752	161.0614
33.000000	85.771	160.6092
33.500000	85.785	160.1099
34.000000	85.792	159.5735
34.500000	85.790	159.0286
35.000000	85.782	158.5034
35.500000	85.770	158.0091
36.000000	85.757	157.5386
36.500000	85.745	157.0772
37.000000	85.730	156.6174
37.500000	85.710	156.1642
38.200001	85.674	155.5599
38.700001	85.643	155.1527
39.500000	85.589	154.5249
40.000000	85.550	154.1444
40.599998	85.496	153.7113
41.200001	85.441	153.3073
41.799999	85.388	152.9176
42.500000	85.328	152.4615
43.099998	85.276	152.0729
43.700001	85.223	151.6958
44.400002	85.157	151.2756
45.000000	85.096	150.9395
45.500000	85.042	150.6827
46.200001	84.969	150.3526
46.799999	84.909	150.0822
47.500000	84.842	149.7876
48.200001	84.778	149.5498
48.700001	84.735	149.4165
49.400002	84.677	149.2451
50.000000	84.622	149.0862
50.799999	84.534	148.8740
51.500000	84.453	148.7216
52.200001	84.380	148.6065
53.000000	84.307	148.5126
53.799999	84.243	148.4610
54.500000	84.194	148.4462
55.200001	84.154	148.4414
56.000000	84.119	148.4169
57.000000	84.082	148.3137
58.000000	84.043	148.1184
59.000000	83.996	147.8766
60.000000	83.947	147.6513
60.799999	83.910	147.4909
61.500000	83.876	147.3494
62.200001	83.840	147.1959
63.000000	83.798	147.0006
64.000000	83.747	146.7284
65.000000	83.695	146.4366
66.000000	83.640	146.1409
67.000000	83.583	145.8512
68.000000	83.525	145.5686
69.000000	83.464	145.3070
70.000000	83.398	145.0891
71.000000	83.331	144.9144
72.000000	83.269	144.7558
73.000000	83.215	144.5873
74.000000	83.166	144.4138
75.000000	83.118	144.2533
76.199997	83.054	144.0690
77.500000	82.981	143.8364
78.800003	82.907	143.5850
80.000000	82.842	143.3622
81.199997	82.775	143.1525
82.500000	82.700	142.9439
83.800003	82.634	142.6955
85.000000	82.580	142.4275
86.199997	82.525	142.1848
87.500000	82.464	141.9568
88.500000	82.413	141.7603
90.000000	82.332	141.4173
91.199997	82.267	141.1421
92.500000	82.199	140.8669
93.800003	82.130	140.6318
95.000000	82.065	140.4511
96.199997	81.999	140.2844
97.500000	81.924	140.0787
98.800003	81.846	139.8149
100.000000	81.773	139.5475
101.500000	81.687	139.2589
103.000000	81.607	139.0216
104.400002	81.537	138.8027
106.000000	81.458	138.5459
107.500000	81.377	138.2946
109.000000	81.286	138.0177
110.599998	81.184	137.7142
112.000000	81.089	137.4733
113.800003	80.960	137.2321
115.000000	80.872	137.1086
117.199997	80.717	136.8957
118.000000	80.663	136.8132
120.599998	80.493	136.5010
122.000000	80.400	136.3024
124.099998	80.261	136.0240
125.000000	80.202	135.9231
126.500000	80.103	135.7852
128.000000	80.003	135.6852
131.500000	79.763	135.5795
132.000000	79.728	135.5763
134.000000	79.585	135.5618
136.000000	79.445	135.5314
138.000000	79.308	135.5287
140.000000	79.168	135.5776
143.000000	78.967	135.7059
145.000000	78.834	135.8331
147.500000	78.656	136.0198
150.000000	78.471	136.1393
152.500000	78.295	136.2821
155.000000	78.130	136.5213
157.500000	77.961	136.8382
160.000000	77.790	137.2061
162.500000	77.621	137.5920
165.000000	77.453	137.9591
167.500000	77.283	138.3576
170.000000	77.120	138.8343
172.500000	76.965	139.3825
175.000000	76.815	139.9712
177.500000	76.668	140.5667
180.000000	76.521	141.1789
