* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06-Jun-2025 10:21:07
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Cap3 Pro Plus F R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.295	157.3853
20.600000	84.286	157.9815
20.900000	84.279	158.7092
21.200001	84.281	159.4504
21.400000	84.288	159.9249
21.799999	84.317	160.8007
22.000000	84.338	161.1996
22.400000	84.394	161.9261
22.700001	84.445	162.4181
23.000000	84.502	162.8718
23.299999	84.563	163.2893
23.600000	84.626	163.6689
24.000000	84.710	164.1080
24.299999	84.771	164.3806
24.700001	84.850	164.6618
25.000000	84.908	164.8098
25.400000	84.982	164.9265
25.799999	85.055	164.9602
26.200001	85.125	164.9258
26.500000	85.175	164.8665
26.900000	85.239	164.7578
27.200001	85.284	164.6622
27.600000	85.340	164.5224
28.000000	85.392	164.3671
28.500000	85.453	164.1388
29.000000	85.508	163.8555
29.500000	85.559	163.5106
30.000000	85.605	163.1141
30.400000	85.639	162.7726
30.700001	85.662	162.5092
31.100000	85.691	162.1544
31.500000	85.715	161.8005
32.000000	85.739	161.3638
32.500000	85.756	160.9315
33.000000	85.768	160.4935
33.500000	85.775	160.0343
34.000000	85.781	159.5428
34.500000	85.784	159.0237
35.000000	85.782	158.4980
35.500000	85.774	157.9914
36.000000	85.760	157.5184
36.500000	85.744	157.0751
37.000000	85.724	156.6460
37.500000	85.700	156.2171
38.200001	85.661	155.6116
38.700001	85.630	155.1841
39.500000	85.577	154.5312
40.000000	85.541	154.1480
40.599998	85.497	153.7072
41.200001	85.450	153.2730
41.799999	85.401	152.8354
42.500000	85.340	152.3251
43.099998	85.284	151.9012
43.700001	85.224	151.5034
44.400002	85.152	151.0894
45.000000	85.091	150.7861
45.500000	85.041	150.5642
46.200001	84.973	150.2753
46.799999	84.915	150.0289
47.500000	84.848	149.7445
48.200001	84.784	149.4833
48.700001	84.741	149.3176
49.400002	84.684	149.1098
50.000000	84.630	148.9501
50.799999	84.540	148.7789
51.500000	84.453	148.6827
52.200001	84.373	148.6175
53.000000	84.298	148.5339
53.799999	84.235	148.4371
54.500000	84.186	148.3751
55.200001	84.141	148.3495
56.000000	84.095	148.3459
57.000000	84.046	148.3217
58.000000	84.007	148.2126
59.000000	83.972	148.0172
60.000000	83.939	147.7670
60.799999	83.911	147.5299
61.500000	83.881	147.3120
62.200001	83.847	147.1051
63.000000	83.807	146.8834
64.000000	83.756	146.6133
65.000000	83.700	146.3638
66.000000	83.643	146.1344
67.000000	83.588	145.8954
68.000000	83.531	145.6491
69.000000	83.470	145.4178
70.000000	83.410	145.2000
71.000000	83.354	144.9820
72.000000	83.301	144.7652
73.000000	83.248	144.5574
74.000000	83.194	144.3508
75.000000	83.139	144.1427
76.199997	83.070	143.9164
77.500000	82.993	143.6959
78.800003	82.916	143.4523
80.000000	82.848	143.2104
81.199997	82.785	142.9994
82.500000	82.720	142.8031
83.800003	82.658	142.5951
85.000000	82.601	142.3839
86.199997	82.539	142.1676
87.500000	82.466	141.9150
88.500000	82.411	141.7023
90.000000	82.335	141.3899
91.199997	82.279	141.1579
92.500000	82.218	140.9111
93.800003	82.155	140.6647
95.000000	82.090	140.4278
96.199997	82.020	140.1780
97.500000	81.941	139.9039
98.800003	81.862	139.6237
100.000000	81.788	139.3522
101.500000	81.698	139.0113
103.000000	81.609	138.6855
104.400002	81.527	138.4124
106.000000	81.431	138.1719
107.500000	81.339	137.9942
109.000000	81.247	137.8014
110.599998	81.149	137.5721
112.000000	81.062	137.3903
113.800003	80.945	137.1910
115.000000	80.866	137.0657
117.199997	80.722	136.8275
118.000000	80.670	136.7265
120.599998	80.501	136.3425
122.000000	80.410	136.1435
124.099998	80.274	135.9277
125.000000	80.215	135.8620
126.500000	80.113	135.7668
128.000000	80.008	135.6853
131.500000	79.758	135.5969
132.000000	79.722	135.5937
134.000000	79.582	135.5884
136.000000	79.438	135.5936
138.000000	79.289	135.6101
140.000000	79.145	135.6208
143.000000	78.938	135.6104
145.000000	78.800	135.6244
147.500000	78.628	135.6733
150.000000	78.459	135.8089
152.500000	78.290	136.0706
155.000000	78.111	136.3737
157.500000	77.930	136.6780
160.000000	77.760	137.0295
162.500000	77.603	137.4059
165.000000	77.455	137.7855
167.500000	77.307	138.2061
170.000000	77.149	138.7211
172.500000	76.985	139.3564
175.000000	76.825	140.0441
177.500000	76.670	140.6825
180.000000	76.521	141.2710
182.500000	76.370	141.8925
185.000000	76.215	142.5935
187.500000	76.056	143.3389
190.000000	75.900	144.0983
192.500000	75.751	144.8634
195.000000	75.617	145.6454
197.500000	75.506	146.4618
200.000000	75.417	147.3159
203.000000	75.329	148.3941
206.000000	75.255	149.5078
209.000000	75.193	150.6105
212.000000	75.141	151.6914
214.000000	75.110	152.4167
218.000000	75.046	153.8736
220.000000	75.013	154.5920
224.000000	74.943	156.0256
227.000000	74.893	157.0854
230.000000	74.848	158.0942
233.000000	74.813	159.0687
236.000000	74.789	160.0564
240.000000	74.769	161.4056
243.000000	74.761	162.4120
247.000000	74.757	163.6764
250.000000	74.760	164.5793
254.000000	74.770	165.7737
258.000000	74.778	166.9692
262.000000	74.783	168.1700
265.000000	74.793	169.0759
269.000000	74.823	170.3011
272.000000	74.858	171.2334
276.000000	74.922	172.4637
280.000000	75.007	173.6305
285.000000	75.134	174.9428
290.000000	75.269	176.0459
295.000000	75.398	176.9434
300.000000	75.521	177.7368
304.000000	75.617	178.3385
307.000000	75.687	178.7522
311.000000	75.775	179.2463
315.000000	75.857	179.7165
320.000000	75.959	-179.7127
325.000000	76.068	-179.2149
330.000000	76.177	-178.8145
335.000000	76.279	-178.4855
340.000000	76.379	-178.1839
345.000000	76.481	-177.8783
350.000000	76.583	-177.5973
355.000000	76.682	-177.3863
360.000000	76.773	-177.2302
365.000000	76.860	-177.1205
370.000000	76.948	-177.0605
375.000000	77.036	-177.0220
382.000000	77.150	-176.9547
387.000000	77.226	-176.8698
395.000000	77.337	-176.6775
400.000000	77.402	-176.5760
406.000000	77.474	-176.5760
412.000000	77.539	-176.7139
418.000000	77.596	-176.8857
425.000000	77.655	-177.0776
431.000000	77.703	-177.2317
437.000000	77.751	-177.3566
444.000000	77.801	-177.4496
450.000000	77.835	-177.5300
455.000000	77.857	-177.6204
462.000000	77.875	-177.7637
468.000000	77.883	-177.8512
475.000000	77.885	-177.8753
482.000000	77.888	-177.8335
487.000000	77.895	-177.7695
494.000000	77.906	-177.6302
500.000000	77.912	-177.4720
508.000000	77.923	-177.2632
515.000000	77.944	-177.1474
522.000000	77.971	-177.0797
530.000000	77.995	-177.0070
538.000000	78.013	-176.8954
545.000000	78.029	-176.7657
552.000000	78.046	-176.6158
560.000000	78.066	-176.4121
570.000000	78.088	-176.1115
580.000000	78.110	-175.7881
590.000000	78.134	-175.4415
600.000000	78.164	-175.0720
608.000000	78.196	-174.7765
615.000000	78.229	-174.5190
622.000000	78.263	-174.2413
630.000000	78.304	-173.8964
640.000000	78.355	-173.5060
650.000000	78.406	-173.1754
660.000000	78.461	-172.8327
670.000000	78.521	-172.4656
680.000000	78.582	-172.1039
690.000000	78.647	-171.7394
700.000000	78.725	-171.3794
710.000000	78.818	-171.0772
720.000000	78.913	-170.8519
730.000000	79.005	-170.6945
740.000000	79.095	-170.5644
750.000000	79.180	-170.4024
762.000000	79.281	-170.1572
775.000000	79.395	-169.9590
788.000000	79.512	-169.9024
800.000000	79.618	-169.9089
812.000000	79.718	-169.9142
825.000000	79.826	-169.8858
838.000000	79.933	-169.8311
850.000000	80.033	-169.7559
862.000000	80.135	-169.6910
875.000000	80.244	-169.6870
885.000000	80.322	-169.7179
900.000000	80.433	-169.7685
912.000000	80.521	-169.8331
925.000000	80.619	-169.9575
938.000000	80.725	-170.1223
950.000000	80.824	-170.2832
962.000000	80.919	-170.4346
975.000000	81.016	-170.6066
988.000000	81.110	-170.8151
1000.000000	81.197	-171.0338
1015.000000	81.307	-171.2903
1030.000000	81.420	-171.5282
1044.000000	81.528	-171.7821
1060.000000	81.646	-172.1479
1075.000000	81.748	-172.5451
1090.000000	81.842	-172.9548
1106.000000	81.940	-173.4008
1120.000000	82.026	-173.8180
1138.000000	82.138	-174.4009
1150.000000	82.211	-174.8179
1172.000000	82.335	-175.6151
1180.000000	82.378	-175.9000
1206.000000	82.508	-176.7686
1220.000000	82.577	-177.2251
1241.000000	82.688	-177.9245
1250.000000	82.742	-178.2256
1265.000000	82.838	-178.7121
1280.000000	82.938	-179.1724
1315.000000	83.144	179.8402
1320.000000	83.166	179.7085
1340.000000	83.222	179.2122
1360.000000	83.227	178.7672
1380.000000	83.198	178.3525
1400.000000	83.159	177.9348
1430.000000	83.119	177.3394
1450.000000	83.119	177.0003
1475.000000	83.149	176.6171
1500.000000	83.210	176.2488
1525.000000	83.300	175.8934
1550.000000	83.407	175.5661
1575.000000	83.517	175.2326
1600.000000	83.621	174.8993
1625.000000	83.725	174.5645
1650.000000	83.833	174.1922
1675.000000	83.946	173.7776
1700.000000	84.062	173.3418
1725.000000	84.183	172.9329
1750.000000	84.305	172.5411
1775.000000	84.424	172.1364
1800.000000	84.541	171.6951
1825.000000	84.656	171.1953
1850.000000	84.765	170.6489
1875.000000	84.872	170.0930
1900.000000	84.978	169.5330
1925.000000	85.085	168.9492
1950.000000	85.191	168.3441
1975.000000	85.298	167.7335
2000.000000	85.410	167.1074
2030.000000	85.547	166.3244
2060.000000	85.681	165.5550
2090.000000	85.807	164.7742
2120.000000	85.926	163.9513
2140.000000	86.006	163.3784
2180.000000	86.171	162.1853
2200.000000	86.254	161.5717
2240.000000	86.414	160.3178
2270.000000	86.531	159.3374
2300.000000	86.651	158.3107
2330.000000	86.773	157.2541
2360.000000	86.890	156.1710
2400.000000	87.036	154.6826
2430.000000	87.139	153.5403
2470.000000	87.271	151.9702
2500.000000	87.364	150.7516
2540.000000	87.482	149.0903
2580.000000	87.590	147.3870
2620.000000	87.683	145.6317
2650.000000	87.741	144.2910
2690.000000	87.805	142.4725
2720.000000	87.845	141.0980
2760.000000	87.893	139.2715
2800.000000	87.928	137.4413
2850.000000	87.955	135.1556
2900.000000	87.961	132.9307
2950.000000	87.943	130.7577
3000.000000	87.904	128.6431
3040.000000	87.855	126.9887
3070.000000	87.808	125.7642
3110.000000	87.737	124.1687
3150.000000	87.664	122.6443
3200.000000	87.572	120.8642
3250.000000	87.474	119.2186
3300.000000	87.361	117.6831
3350.000000	87.235	116.2410
3400.000000	87.096	114.8992
3450.000000	86.947	113.6768
3500.000000	86.790	112.5732
3550.000000	86.627	111.5745
3600.000000	86.466	110.6760
3650.000000	86.316	109.8768
3700.000000	86.183	109.1654
3750.000000	86.062	108.5447
3820.000000	85.912	107.8454
3870.000000	85.817	107.4331
3950.000000	85.687	106.9247
4000.000000	85.612	106.6892
4060.000000	85.524	106.4676
4120.000000	85.440	106.3193
4180.000000	85.362	106.2104
4250.000000	85.281	106.0838
4310.000000	85.227	105.9642
4370.000000	85.191	105.8100
4440.000000	85.183	105.5447
4500.000000	85.207	105.2005
4550.000000	85.248	104.8127
4620.000000	85.328	104.0975
4680.000000	85.410	103.3024
4750.000000	85.506	102.1381
4820.000000	85.590	100.6973
4870.000000	85.634	99.4980
4940.000000	85.662	97.5905
5000.000000	85.648	95.7554
5080.000000	85.562	93.0687
5150.000000	85.412	90.5834
5220.000000	85.179	88.0934
5300.000000	84.803	85.4223
5380.000000	84.313	83.1661
5450.000000	83.803	81.7089
5520.000000	83.237	80.8459
5600.000000	82.557	80.6813
5700.000000	81.716	81.8030
5800.000000	80.952	84.3365
5900.000000	80.326	87.9884
6000.000000	79.876	92.3712
6080.000000	79.647	96.1525
6150.000000	79.533	99.5063
6220.000000	79.492	102.8045
6300.000000	79.521	106.4170
6400.000000	79.662	110.5938
6500.000000	79.903	114.3268
6600.000000	80.229	117.5713
6700.000000	80.632	120.2793
6800.000000	81.106	122.4073
6900.000000	81.645	123.9001
7000.000000	82.235	124.6490
7100.000000	82.861	124.5121
7200.000000	83.497	123.3609
7300.000000	84.102	121.1298
7400.000000	84.626	117.8677
7500.000000	85.028	113.7520
7620.000000	85.298	108.0370
7750.000000	85.246	101.5712
7880.000000	84.792	95.7995
8000.000000	84.058	91.8031
8120.000000	83.116	89.4314
8250.000000	81.980	88.7204
8380.000000	80.845	89.7092
8500.000000	79.882	91.8199
8620.000000	79.037	94.7577
8750.000000	78.264	98.5628
8850.000000	77.760	101.7955
9000.000000	77.131	107.0116
9120.000000	76.718	111.4105
9250.000000	76.343	116.2991
9380.000000	76.034	121.2512
9500.000000	75.808	125.8522
9620.000000	75.644	130.4688
9750.000000	75.529	135.4637
9880.000000	75.472	140.4273
10000.000000	75.468	144.9760
10150.000000	75.528	150.6116
10300.000000	75.648	156.1543
10440.000000	75.804	161.2044
10600.000000	76.027	166.8002
10750.000000	76.278	171.8616
10900.000000	76.567	176.7560
11060.000000	76.910	-178.1763
11200.000000	77.231	-173.8229
11380.000000	77.673	-168.2149
11500.000000	77.998	-164.3816
11720.000000	78.719	-157.0022
11800.000000	79.040	-154.1962
12060.000000	80.389	-144.8356
12200.000000	81.365	-139.9772
12410.000000	83.203	-133.9417
12500.000000	84.113	-132.2061
12650.000000	85.728	-131.0333
12800.000000	87.353	-132.5346
13150.000000	90.227	-147.3417
13200.000000	90.443	-150.4902
13400.000000	90.671	-164.0418
13600.000000	89.922	-176.3933
13800.000000	88.510	175.1552
14000.000000	86.892	171.4438
14300.000000	84.947	172.5135
14500.000000	84.212	174.7488
14750.000000	83.703	176.5454
15000.000000	83.220	176.9130
15250.000000	82.481	177.2990
15500.000000	81.479	179.3023
15750.000000	80.398	-176.4893
16000.000000	79.503	-170.2572
16250.000000	79.084	-163.0503
16500.000000	79.225	-156.5791
16750.000000	79.792	-152.2329
17000.000000	80.530	-151.1496
17250.000000	81.115	-153.7090
17500.000000	81.228	-159.0290
17750.000000	80.653	-164.6170
18000.000000	79.453	-165.8857
18250.000000	78.232	-158.4196
18500.000000	77.671	-147.0280
18750.000000	77.568	-138.6940
19000.000000	77.539	-134.2335
19250.000000	77.408	-133.7710
19500.000000	77.161	-134.6205
