* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06-Jun-2025 10:19:03
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Cap3 Pro Plus Pop L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	82.684	158.1407
20.600000	82.662	158.9541
20.900000	82.639	159.9459
21.200001	82.622	160.9572
21.400000	82.614	161.6100
21.799999	82.605	162.8457
22.000000	82.605	163.4321
22.400000	82.616	164.5562
22.700001	82.633	165.3629
23.000000	82.658	166.1367
23.299999	82.691	166.8728
23.600000	82.729	167.5672
24.000000	82.782	168.4301
24.299999	82.822	169.0364
24.700001	82.876	169.8002
25.000000	82.918	170.3413
25.400000	82.977	171.0137
25.799999	83.038	171.6189
26.200001	83.100	172.1527
26.500000	83.145	172.5114
26.900000	83.202	172.9487
27.200001	83.244	173.2558
27.600000	83.299	173.6466
28.000000	83.355	174.0169
28.500000	83.428	174.4425
29.000000	83.502	174.8163
29.500000	83.576	175.1355
30.000000	83.647	175.4076
30.400000	83.701	175.6004
30.700001	83.740	175.7350
31.100000	83.790	175.9032
31.500000	83.842	176.0572
32.000000	83.907	176.2225
32.500000	83.973	176.3553
33.000000	84.036	176.4675
33.500000	84.094	176.5787
34.000000	84.151	176.6953
34.500000	84.209	176.8011
35.000000	84.269	176.8683
35.500000	84.328	176.8780
36.000000	84.386	176.8328
36.500000	84.441	176.7553
37.000000	84.495	176.6767
37.500000	84.547	176.6190
38.200001	84.619	176.5670
38.700001	84.669	176.5163
39.500000	84.737	176.3601
40.000000	84.770	176.2254
40.599998	84.803	176.0538
41.200001	84.837	175.8830
41.799999	84.875	175.7147
42.500000	84.923	175.5275
43.099998	84.964	175.3716
43.700001	85.004	175.2019
44.400002	85.045	174.9740
45.000000	85.074	174.7668
45.500000	85.096	174.5992
46.200001	85.124	174.3826
