* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.800
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Jan-2025 16:50:01
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Cap3 Pro Plus off R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.682	173.4118
20.600000	101.685	174.0469
20.900000	101.699	174.8479
21.200001	101.729	175.6742
21.400000	101.759	176.1924
21.799999	101.838	177.0750
22.000000	101.885	177.4260
22.400000	101.984	177.9663
22.700001	102.059	178.2764
23.000000	102.132	178.5550
23.299999	102.207	178.8358
23.600000	102.286	179.1312
24.000000	102.400	179.5284
24.299999	102.491	179.7972
24.700001	102.616	-179.9279
25.000000	102.708	-179.7990
25.400000	102.824	-179.7255
25.799999	102.930	-179.7413
26.200001	103.030	-179.8226
26.500000	103.104	-179.9196
26.900000	103.203	179.9045
27.200001	103.277	179.7385
27.600000	103.375	179.4792
28.000000	103.468	179.1904
28.500000	103.578	178.8075
29.000000	103.678	178.4007
29.500000	103.771	177.9458
30.000000	103.856	177.4209
30.400000	103.917	176.9547
30.700001	103.959	176.5895
31.100000	104.010	176.1002
31.500000	104.058	175.6248
32.000000	104.116	175.0590
32.500000	104.173	174.5101
33.000000	104.226	173.9487
33.500000	104.271	173.3535
34.000000	104.309	172.7245
34.500000	104.342	172.0786
35.000000	104.373	171.4365
35.500000	104.404	170.8121
36.000000	104.435	170.2099
36.500000	104.462	169.6280
37.000000	104.482	169.0620
37.500000	104.493	168.5070
38.200001	104.494	167.7385
38.700001	104.493	167.1866
39.500000	104.495	166.2823
40.000000	104.499	165.7096
40.599998	104.500	165.0437
41.200001	104.497	164.4268
41.799999	104.490	163.8524
42.500000	104.479	163.1901
43.099998	104.465	162.6040
43.700001	104.450	162.0003
44.400002	104.440	161.2722
45.000000	104.433	160.6360
45.500000	104.425	160.1253
46.200001	104.404	159.4882
46.799999	104.379	159.0032
47.500000	104.343	158.4399
48.200001	104.301	157.8609
48.700001	104.274	157.4669
49.400002	104.251	156.9582
50.000000	104.246	156.5282
50.799999	104.236	155.9234
51.500000	104.213	155.4035
52.200001	104.183	154.9374
53.000000	104.154	154.4521
53.799999	104.138	153.9571
54.500000	104.129	153.4846
55.200001	104.119	152.9708
56.000000	104.107	152.3445
57.000000	104.094	151.5277
58.000000	104.078	150.6964
59.000000	104.055	149.8623
60.000000	104.028	149.0177
60.799999	104.007	148.3270
61.500000	103.990	147.7099
62.200001	103.970	147.0796
63.000000	103.939	146.3450
64.000000	103.888	145.4244
65.000000	103.827	144.5171
66.000000	103.757	143.6167
67.000000	103.678	142.7293
68.000000	103.591	141.8813
69.000000	103.506	141.0934
70.000000	103.425	140.3548
71.000000	103.347	139.6414
72.000000	103.269	138.9540
73.000000	103.190	138.2990
74.000000	103.108	137.6603
75.000000	103.021	137.0221
76.199997	102.909	136.2517
77.500000	102.784	135.4208
78.800003	102.660	134.6165
80.000000	102.549	133.9187
81.199997	102.443	133.2790
82.500000	102.330	132.6242
83.800003	102.222	131.9866
85.000000	102.122	131.4296
86.199997	102.014	130.9065
87.500000	101.889	130.3505
88.500000	101.789	129.9307
90.000000	101.637	129.3209
91.199997	101.518	128.8296
92.500000	101.394	128.2937
93.800003	101.280	127.7653
95.000000	101.178	127.2738
96.199997	101.073	126.7862
97.500000	100.953	126.2797
98.800003	100.830	125.8078
100.000000	100.718	125.4143
101.500000	100.581	124.9675
103.000000	100.440	124.5173
104.400002	100.301	124.0962
106.000000	100.141	123.6617
107.500000	99.997	123.3197
109.000000	99.861	123.0242
110.599998	99.720	122.7175
112.000000	99.591	122.4289
113.800003	99.416	122.0275
115.000000	99.298	121.7508
117.199997	99.089	121.2749
118.000000	99.013	121.1300
120.599998	98.766	120.7770
122.000000	98.637	120.6309
124.099998	98.447	120.4361
125.000000	98.365	120.3620
126.500000	98.225	120.2586
128.000000	98.083	120.1814
131.500000	97.772	120.0293
132.000000	97.729	120.0057
134.000000	97.558	119.9097
136.000000	97.379	119.8053
138.000000	97.191	119.6983
140.000000	97.003	119.6452
143.000000	96.733	119.7000
145.000000	96.554	119.7758
147.500000	96.337	119.9118
150.000000	96.133	120.1278
152.500000	95.929	120.3866
155.000000	95.718	120.6460
157.500000	95.507	120.9270
160.000000	95.306	121.2368
162.500000	95.115	121.5576
165.000000	94.932	121.9689
167.500000	94.751	122.5114
170.000000	94.572	123.1062
172.500000	94.397	123.6532
175.000000	94.228	124.1634
177.500000	94.063	124.7217
180.000000	93.897	125.3705
182.500000	93.726	126.0947
185.000000	93.553	126.8541
187.500000	93.382	127.6266
190.000000	93.212	128.4053
192.500000	93.048	129.1920
195.000000	92.899	129.9740
197.500000	92.770	130.7353
200.000000	92.665	131.4960
203.000000	92.565	132.4458
206.000000	92.485	133.4495
209.000000	92.417	134.4709
212.000000	92.354	135.4635
214.000000	92.311	136.1122
218.000000	92.217	137.4033
220.000000	92.167	138.0582
224.000000	92.078	139.4006
227.000000	92.018	140.4007
230.000000	91.958	141.3808
233.000000	91.896	142.3699
236.000000	91.837	143.3752
240.000000	91.770	144.7326
243.000000	91.728	145.7680
247.000000	91.686	147.1644
250.000000	91.668	148.2164
254.000000	91.670	149.6394
258.000000	91.702	151.0903
262.000000	91.768	152.4502
265.000000	91.834	153.3092
269.000000	91.929	154.1860
272.000000	91.997	154.6922
276.000000	92.079	155.2638
280.000000	92.149	155.7773
285.000000	92.221	156.3838
290.000000	92.280	156.9739
295.000000	92.331	157.5231
300.000000	92.375	158.0040
304.000000	92.408	158.3586
307.000000	92.433	158.6149
311.000000	92.464	158.9541
315.000000	92.490	159.3170
320.000000	92.526	159.8154
325.000000	92.570	160.3026
330.000000	92.621	160.7149
335.000000	92.676	161.0637
340.000000	92.728	161.4243
345.000000	92.777	161.8128
350.000000	92.825	162.1600
355.000000	92.869	162.4476
360.000000	92.907	162.7233
365.000000	92.941	162.9945
370.000000	92.974	163.2471
375.000000	93.009	163.4849
382.000000	93.064	163.7879
387.000000	93.109	163.9815
395.000000	93.192	164.2672
400.000000	93.244	164.4563
406.000000	93.303	164.6672
412.000000	93.358	164.7974
418.000000	93.406	164.8631
425.000000	93.454	164.9569
431.000000	93.488	165.0751
437.000000	93.519	165.1869
444.000000	93.552	165.3115
450.000000	93.580	165.4456
455.000000	93.603	165.5742
462.000000	93.635	165.7325
468.000000	93.658	165.8456
475.000000	93.683	165.9703
482.000000	93.713	166.0431
487.000000	93.742	166.0604
494.000000	93.786	166.0945
500.000000	93.821	166.1669
508.000000	93.867	166.2856
515.000000	93.907	166.3822
522.000000	93.943	166.4712
530.000000	93.980	166.5458
538.000000	94.016	166.5875
545.000000	94.051	166.6298
552.000000	94.087	166.6862
560.000000	94.127	166.7412
570.000000	94.179	166.7932
580.000000	94.226	166.8390
590.000000	94.263	166.8949
600.000000	94.296	166.9555
608.000000	94.322	166.9884
615.000000	94.346	167.0199
622.000000	94.370	167.0758
630.000000	94.401	167.1823
640.000000	94.446	167.3526
650.000000	94.496	167.4887
660.000000	94.541	167.5643
670.000000	94.585	167.6418
680.000000	94.636	167.7665
690.000000	94.694	167.9042
700.000000	94.756	168.0195
710.000000	94.820	168.1299
720.000000	94.878	168.2485
730.000000	94.928	168.3594
740.000000	94.980	168.4310
750.000000	95.033	168.4716
762.000000	95.093	168.5190
775.000000	95.165	168.6064
788.000000	95.244	168.7458
800.000000	95.315	168.9183
812.000000	95.383	169.0632
825.000000	95.463	169.1513
838.000000	95.548	169.2435
850.000000	95.630	169.3492
862.000000	95.718	169.4345
875.000000	95.819	169.4994
885.000000	95.898	169.5343
900.000000	96.017	169.5535
912.000000	96.113	169.5415
925.000000	96.218	169.5112
938.000000	96.322	169.4558
950.000000	96.419	169.3906
962.000000	96.520	169.3178
975.000000	96.636	169.2193
988.000000	96.755	169.0871
1000.000000	96.863	168.9289
1015.000000	96.992	168.6543
1030.000000	97.118	168.2838
1044.000000	97.237	167.8976
1060.000000	97.373	167.4512
1075.000000	97.498	167.0459
1090.000000	97.619	166.6474
1106.000000	97.742	166.1645
1120.000000	97.848	165.6769
1138.000000	97.985	165.0108
1150.000000	98.079	164.5628
1172.000000	98.250	163.7287
1180.000000	98.311	163.4158
1206.000000	98.510	162.3778
1220.000000	98.616	161.8219
1241.000000	98.782	160.9899
1250.000000	98.858	160.6332
1265.000000	98.990	160.0434
1280.000000	99.122	159.4619
1315.000000	99.396	158.1341
1320.000000	99.428	157.9486
1340.000000	99.529	157.2113
1360.000000	99.586	156.4716
1380.000000	99.609	155.7343
1400.000000	99.619	155.0183
1430.000000	99.654	153.9933
1450.000000	99.706	153.3147
1475.000000	99.804	152.4825
1500.000000	99.928	151.6920
1525.000000	100.074	150.8843
1550.000000	100.235	150.0359
1575.000000	100.393	149.1641
1600.000000	100.543	148.2609
1625.000000	100.691	147.3135
1650.000000	100.842	146.3425
1675.000000	100.993	145.3741
1700.000000	101.139	144.4189
1725.000000	101.278	143.4609
1750.000000	101.413	142.4806
1775.000000	101.549	141.4739
1800.000000	101.686	140.4510
1825.000000	101.824	139.4123
1850.000000	101.959	138.3603
1875.000000	102.090	137.2962
1900.000000	102.218	136.2150
1925.000000	102.346	135.0975
1950.000000	102.472	133.9326
1975.000000	102.594	132.7356
2000.000000	102.713	131.5202
2030.000000	102.856	130.0476
2060.000000	103.005	128.5772
2090.000000	103.149	127.0947
2120.000000	103.280	125.5876
2140.000000	103.359	124.5753
2180.000000	103.514	122.5069
2200.000000	103.591	121.4594
2240.000000	103.747	119.3654
2270.000000	103.859	117.7626
2300.000000	103.966	116.1185
2330.000000	104.066	114.4699
2360.000000	104.163	112.8348
2400.000000	104.285	110.6441
2430.000000	104.370	108.9824
2470.000000	104.474	106.7542
2500.000000	104.542	105.0725
2540.000000	104.622	102.8115
2580.000000	104.693	100.5511
2620.000000	104.756	98.3153
