* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.800
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Jan-2025 14:05:30
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Creative Aurvana Ace 2 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.973	-119.5234
20.600000	79.036	-120.5923
20.900000	79.111	-121.8868
21.200001	79.188	-123.2259
21.400000	79.237	-124.1176
21.799999	79.328	-125.8978
22.000000	79.368	-126.7901
22.400000	79.437	-128.5733
22.700001	79.481	-129.8933
23.000000	79.520	-131.1814
23.299999	79.559	-132.4294
23.600000	79.601	-133.6398
24.000000	79.658	-135.2126
24.299999	79.700	-136.3731
24.700001	79.748	-137.8933
25.000000	79.775	-138.9982
25.400000	79.798	-140.3963
25.799999	79.813	-141.6961
26.200001	79.829	-142.9217
26.500000	79.844	-143.8235
26.900000	79.869	-145.0413
27.200001	79.887	-145.9755
27.600000	79.905	-147.2318
28.000000	79.916	-148.4611
28.500000	79.920	-149.9129
29.000000	79.924	-151.2790
29.500000	79.930	-152.6122
30.000000	79.934	-153.9346
30.400000	79.933	-154.9625
30.700001	79.931	-155.7005
31.100000	79.931	-156.6378
31.500000	79.936	-157.5401
32.000000	79.947	-158.6643
32.500000	79.952	-159.8074
33.000000	79.948	-160.9449
33.500000	79.940	-162.0444
34.000000	79.938	-163.1139
34.500000	79.944	-164.1903
35.000000	79.950	-165.2852
35.500000	79.945	-166.3604
36.000000	79.928	-167.3643
36.500000	79.905	-168.2832
37.000000	79.884	-169.1526
37.500000	79.866	-170.0215
38.200001	79.843	-171.2794
38.700001	79.825	-172.1981
39.500000	79.795	-173.6660
40.000000	79.771	-174.5686
40.599998	79.737	-175.6249
41.200001	79.698	-176.6473
41.799999	79.656	-177.6421
42.500000	79.607	-178.7788
43.099998	79.562	-179.7355
43.700001	79.516	179.3182
44.400002	79.461	178.2156
45.000000	79.409	177.2803
45.500000	79.361	176.5294
46.200001	79.291	175.5519
