* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06-Feb-2025 20:37:45
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Creative Aurvana Mimi A R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.566	5.9136
20.600000	79.549	5.4491
20.900000	79.524	4.9052
21.200001	79.495	4.3727
21.400000	79.474	4.0385
21.799999	79.432	3.4235
22.000000	79.410	3.1406
22.400000	79.365	2.6216
22.700001	79.330	2.2748
23.000000	79.294	1.9667
23.299999	79.258	1.6967
23.600000	79.224	1.4603
24.000000	79.184	1.1826
24.299999	79.159	0.9898
24.700001	79.131	0.7400
25.000000	79.116	0.5564
25.400000	79.099	0.3243
25.799999	79.085	0.1212
26.200001	79.073	-0.0441
26.500000	79.065	-0.1465
26.900000	79.058	-0.2695
27.200001	79.055	-0.3650
27.600000	79.052	-0.5124
28.000000	79.051	-0.6903
28.500000	79.052	-0.9505
29.000000	79.056	-1.2382
29.500000	79.065	-1.5438
30.000000	79.077	-1.8639
30.400000	79.086	-2.1263
30.700001	79.091	-2.3231
31.100000	79.096	-2.5821
31.500000	79.100	-2.8381
32.000000	79.107	-3.1650
32.500000	79.117	-3.5175
33.000000	79.128	-3.9057
33.500000	79.136	-4.3223
34.000000	79.142	-4.7486
34.500000	79.144	-5.1693
35.000000	79.143	-5.5831
35.500000	79.142	-6.0002
36.000000	79.140	-6.4323
36.500000	79.137	-6.8820
37.000000	79.131	-7.3429
37.500000	79.122	-7.8071
38.200001	79.108	-8.4617
38.700001	79.096	-8.9403
39.500000	79.075	-9.7279
40.000000	79.060	-10.2175
40.599998	79.038	-10.7787
41.200001	79.013	-11.3060
41.799999	78.987	-11.8171
42.500000	78.952	-12.4225
43.099998	78.915	-12.9551
43.700001	78.874	-13.4935
44.400002	78.826	-14.1286
45.000000	78.783	-14.6797
45.500000	78.746	-15.1344
46.200001	78.691	-15.7393
46.799999	78.643	-16.2167
47.500000	78.585	-16.7259
48.200001	78.521	-17.1832
48.700001	78.473	-17.4834
49.400002	78.404	-17.8985
50.000000	78.342	-18.2846
50.799999	78.250	-18.8548
51.500000	78.164	-19.3598
52.200001	78.078	-19.8213
53.000000	77.984	-20.2850
53.799999	77.892	-20.7028
54.500000	77.808	-21.0374
55.200001	77.722	-21.3351
56.000000	77.621	-21.6367
57.000000	77.495	-22.0033
