* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06-Feb-2025 20:38:56
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Creative Aurvana Mimi R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	81.453	23.5344
20.600000	81.475	23.0707
20.900000	81.501	22.4816
21.200001	81.528	21.8385
21.400000	81.545	21.3943
21.799999	81.575	20.4885
22.000000	81.588	20.0347
22.400000	81.611	19.1419
22.700001	81.626	18.4939
23.000000	81.641	17.8665
23.299999	81.656	17.2561
23.600000	81.670	16.6569
24.000000	81.686	15.8663
24.299999	81.695	15.2763
24.700001	81.703	14.4942
25.000000	81.707	13.9135
25.400000	81.713	13.1496
25.799999	81.718	12.3975
26.200001	81.722	11.6561
26.500000	81.723	11.1071
26.900000	81.722	10.3869
27.200001	81.718	9.8576
27.600000	81.709	9.1679
28.000000	81.697	8.4949
28.500000	81.679	7.6700
29.000000	81.659	6.8550
29.500000	81.637	6.0456
30.000000	81.614	5.2422
30.400000	81.594	4.6044
30.700001	81.578	4.1291
31.100000	81.555	3.5005
31.500000	81.530	2.8804
32.000000	81.496	2.1231
32.500000	81.460	1.3899
33.000000	81.425	0.6788
33.500000	81.389	-0.0177
34.000000	81.353	-0.7039
34.500000	81.314	-1.3744
35.000000	81.273	-2.0171
35.500000	81.229	-2.6239
36.000000	81.184	-3.2007
36.500000	81.141	-3.7653
37.000000	81.096	-4.3349
37.500000	81.049	-4.9140
38.200001	80.974	-5.7222
38.700001	80.918	-6.2795
39.500000	80.828	-7.1190
40.000000	80.771	-7.6134
40.599998	80.702	-8.1860
41.200001	80.631	-8.7489
41.799999	80.560	-9.3099
42.500000	80.475	-9.9499
43.099998	80.401	-10.4637
43.700001	80.328	-10.9404
44.400002	80.244	-11.4760
45.000000	80.169	-11.9343
45.500000	80.102	-12.3058
46.200001	80.005	-12.7819
46.799999	79.921	-13.1385
47.500000	79.820	-13.4891
48.200001	79.716	-13.7624
48.700001	79.647	-13.9352
49.400002	79.562	-14.2330
50.000000	79.494	-14.5964
50.799999	79.394	-15.1778
51.500000	79.296	-15.6508
52.200001	79.194	-16.0305
53.000000	79.073	-16.3692
53.799999	78.949	-16.6376
54.500000	78.845	-16.8366
55.200001	78.747	-17.0145
56.000000	78.638	-17.1903
57.000000	78.503	-17.3747
58.000000	78.364	-17.5367
59.000000	78.227	-17.6630
60.000000	78.091	-17.7436
60.799999	77.980	-17.7751
61.500000	77.882	-17.7806
62.200001	77.786	-17.7716
63.000000	77.682	-17.7528
64.000000	77.562	-17.7312
65.000000	77.448	-17.7167
66.000000	77.332	-17.6933
67.000000	77.216	-17.6428
68.000000	77.100	-17.5434
69.000000	76.985	-17.3733
70.000000	76.873	-17.1425
71.000000	76.765	-16.8870
72.000000	76.659	-16.6285
73.000000	76.560	-16.3734
74.000000	76.469	-16.1361
75.000000	76.385	-15.9140
76.199997	76.288	-15.6108
77.500000	76.184	-15.1986
78.800003	76.077	-14.7538
80.000000	75.979	-14.3630
81.199997	75.885	-13.9760
82.500000	75.794	-13.5422
83.800003	75.715	-13.1159
85.000000	75.646	-12.7280
86.199997	75.577	-12.3496
87.500000	75.505	-11.9508
88.500000	75.453	-11.6430
90.000000	75.380	-11.1744
91.199997	75.326	-10.8032
92.500000	75.270	-10.4082
93.800003	75.218	-10.0247
95.000000	75.172	-9.6807
96.199997	75.128	-9.3348
97.500000	75.079	-8.9499
98.800003	75.029	-8.5637
100.000000	74.981	-8.2329
101.500000	74.920	-7.8665
103.000000	74.861	-7.4905
104.400002	74.813	-7.0830
106.000000	74.766	-6.6118
107.500000	74.726	-6.2574
109.000000	74.688	-5.9847
110.599998	74.647	-5.7119
112.000000	74.611	-5.4570
113.800003	74.560	-5.1150
115.000000	74.525	-4.8887
117.199997	74.464	-4.4963
118.000000	74.446	-4.3638
120.599998	74.394	-3.9596
122.000000	74.365	-3.7390
124.099998	74.314	-3.3958
125.000000	74.290	-3.2435
126.500000	74.247	-2.9931
128.000000	74.205	-2.7664
131.500000	74.118	-2.2893
132.000000	74.106	-2.2182
134.000000	74.055	-1.9361
136.000000	74.002	-1.6587
138.000000	73.948	-1.3719
140.000000	73.891	-1.0888
143.000000	73.802	-0.6490
145.000000	73.745	-0.3292
147.500000	73.672	0.0458
150.000000	73.597	0.3851
152.500000	73.526	0.7462
155.000000	73.461	1.1368
157.500000	73.397	1.5675
160.000000	73.332	2.0232
162.500000	73.267	2.4224
165.000000	73.201	2.7861
167.500000	73.134	3.1681
170.000000	73.065	3.5454
172.500000	72.999	3.9088
175.000000	72.930	4.2710
177.500000	72.859	4.6374
180.000000	72.787	5.0298
182.500000	72.713	5.4618
185.000000	72.629	5.9007
187.500000	72.531	6.3251
190.000000	72.420	6.7663
192.500000	72.310	7.2341
195.000000	72.211	7.7086
197.500000	72.127	8.1728
200.000000	72.057	8.6291
203.000000	71.989	9.1904
206.000000	71.934	9.7703
209.000000	71.887	10.3610
212.000000	71.841	10.9655
214.000000	71.808	11.3823
218.000000	71.734	12.2599
220.000000	71.693	12.7146
224.000000	71.603	13.6059
227.000000	71.531	14.2212
230.000000	71.457	14.8088
233.000000	71.379	15.4152
236.000000	71.296	16.0567
240.000000	71.183	16.9221
243.000000	71.097	17.5550
247.000000	70.978	18.4036
250.000000	70.886	19.0794
254.000000	70.767	20.1024
258.000000	70.656	21.3117
262.000000	70.562	22.7176
265.000000	70.510	23.8796
269.000000	70.475	25.4632
272.000000	70.475	26.5827
276.000000	70.506	27.8689
280.000000	70.554	28.8660
285.000000	70.602	29.7895
290.000000	70.611	30.5346
295.000000	70.585	31.1877
300.000000	70.540	31.8093
304.000000	70.496	32.3469
307.000000	70.460	32.7733
311.000000	70.408	33.3754
315.000000	70.355	34.0312
320.000000	70.293	34.9246
325.000000	70.235	35.8386
330.000000	70.174	36.7371
335.000000	70.111	37.6456
340.000000	70.053	38.5673
345.000000	69.998	39.4699
350.000000	69.939	40.3731
355.000000	69.871	41.3186
360.000000	69.800	42.2852
365.000000	69.735	43.2396
370.000000	69.676	44.1756
375.000000	69.626	45.1065
382.000000	69.562	46.4231
387.000000	69.519	47.3950
395.000000	69.449	48.9951
400.000000	69.404	49.9972
406.000000	69.349	51.1817
412.000000	69.296	52.3191
418.000000	69.244	53.4158
425.000000	69.181	54.6882
431.000000	69.125	55.8025
437.000000	69.069	56.9497
444.000000	69.007	58.2975
450.000000	68.955	59.4422
455.000000	68.914	60.3931
462.000000	68.857	61.7318
468.000000	68.809	62.8974
475.000000	68.755	64.2949
482.000000	68.703	65.7362
487.000000	68.668	66.7929
494.000000	68.621	68.3135
500.000000	68.588	69.6280
508.000000	68.561	71.2935
515.000000	68.552	72.5923
522.000000	68.543	73.7791
530.000000	68.520	75.1163
538.000000	68.479	76.5221
545.000000	68.436	77.8431
552.000000	68.397	79.2724
560.000000	68.367	81.0060
570.000000	68.358	83.1732
580.000000	68.369	85.1456
590.000000	68.375	86.9003
600.000000	68.367	88.5925
608.000000	68.354	89.9391
615.000000	68.342	91.1032
622.000000	68.327	92.2570
630.000000	68.308	93.5852
640.000000	68.284	95.3096
650.000000	68.267	97.0701
660.000000	68.255	98.8225
670.000000	68.255	100.5816
680.000000	68.266	102.3521
690.000000	68.277	104.1313
700.000000	68.288	105.9062
710.000000	68.301	107.6503
720.000000	68.311	109.3636
730.000000	68.317	111.0615
740.000000	68.325	112.7542
750.000000	68.338	114.4273
762.000000	68.357	116.4061
775.000000	68.381	118.5646
788.000000	68.410	120.7074
800.000000	68.444	122.6338
812.000000	68.485	124.5526
825.000000	68.538	126.6424
838.000000	68.597	128.7193
850.000000	68.653	130.6257
862.000000	68.710	132.5252
875.000000	68.775	134.5570
885.000000	68.828	136.0828
900.000000	68.909	138.2673
912.000000	68.971	139.9249
925.000000	69.039	141.6552
938.000000	69.116	143.3311
950.000000	69.197	144.8496
962.000000	69.287	146.3618
975.000000	69.385	147.9879
988.000000	69.477	149.5770
1000.000000	69.555	151.0034
1015.000000	69.648	152.7358
1030.000000	69.738	154.4133
1044.000000	69.826	155.9069
1060.000000	69.927	157.4961
1075.000000	70.019	158.8771
1090.000000	70.101	160.1925
1106.000000	70.178	161.5723
1120.000000	70.239	162.7706
1138.000000	70.320	164.3116
1150.000000	70.376	165.3469
1172.000000	70.477	167.2462
1180.000000	70.512	167.9316
1206.000000	70.625	170.1362
1220.000000	70.687	171.3029
1241.000000	70.782	173.0077
1250.000000	70.824	173.7302
1265.000000	70.898	174.9442
1280.000000	70.975	176.1806
1315.000000	71.137	179.0449
1320.000000	71.152	179.4373
1340.000000	71.183	-179.0481
1360.000000	71.159	-177.5790
1380.000000	71.093	-176.0746
1400.000000	71.007	-174.4902
1430.000000	70.889	-171.9335
1450.000000	70.840	-170.1432
1475.000000	70.818	-167.8389
1500.000000	70.830	-165.4868
1525.000000	70.866	-163.1360
1550.000000	70.919	-160.8342
1575.000000	70.974	-158.5855
1600.000000	71.021	-156.4034
1625.000000	71.060	-154.2766
1650.000000	71.096	-152.1157
1675.000000	71.137	-149.8571
1700.000000	71.183	-147.4880
