* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07-Aug-2024 19:40:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Creative Outlier Free Pro +L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	48.611	104.1905
20.600000	48.195	99.1681
20.900000	47.406	93.6909
21.200001	46.244	89.4450
21.400000	45.321	87.9566
21.799999	43.450	89.3506
22.000000	42.690	92.1004
22.400000	41.755	99.3078
22.700001	41.379	104.3944
23.000000	41.000	109.0384
23.299999	40.502	113.7681
23.600000	39.926	118.4183
24.000000	39.203	121.6394
24.299999	38.740	118.6547
24.700001	38.285	102.5200
25.000000	38.198	78.9709
25.400000	38.431	41.5930
25.799999	38.547	13.1118
26.200001	37.979	-8.9906
26.500000	37.075	-28.3422
26.900000	35.763	-81.1504
27.200001	35.206	-133.0907
27.600000	35.036	-160.6140
28.000000	34.813	-168.4665
28.500000	33.867	-171.5652
29.000000	32.322	179.6966
29.500000	31.416	140.3378
30.000000	32.655	106.9138
30.400000	34.889	138.2071
30.700001	36.856	158.9869
31.100000	39.250	164.1174
31.500000	40.868	159.3410
32.000000	41.503	147.9420
32.500000	40.749	133.7377
33.000000	39.310	125.3307
33.500000	38.788	151.4828
34.000000	39.976	174.2841
34.500000	41.289	173.9064
35.000000	41.566	173.5635
35.500000	40.869	-176.8198
36.000000	40.116	-149.5671
36.500000	40.106	-127.5315
37.000000	40.808	-161.1765
37.500000	42.097	111.8390
38.200001	43.621	100.3056
38.700001	43.636	101.7360
39.500000	42.281	114.4987
40.000000	42.126	134.4292
40.599998	44.213	-168.0308
41.200001	47.463	172.3109
41.799999	50.436	145.8828
42.500000	52.690	130.3987
43.099998	53.144	122.0423
43.700001	52.183	118.0002
44.400002	49.828	121.2142
45.000000	47.869	125.5467
45.500000	47.039	121.7324
46.200001	46.887	108.6116
46.799999	46.885	96.5673
47.500000	46.800	68.9559
48.200001	47.077	-29.9442
48.700001	47.360	-49.7488
49.400002	47.354	-45.0767
50.000000	47.054	-25.6116
50.799999	46.480	2.9551
51.500000	45.497	21.9880
52.200001	44.300	37.6245
53.000000	43.500	35.8777
53.799999	43.538	11.7103
54.500000	43.954	-5.4097
55.200001	44.451	-13.1149
56.000000	45.074	-19.4388
57.000000	45.681	-35.5743
58.000000	45.818	-55.1550
59.000000	45.875	-61.5912
60.000000	46.222	-57.7866
60.799999	46.361	-55.5500
61.500000	46.160	-56.3370
62.200001	45.665	-59.1689
63.000000	44.940	-62.6411
64.000000	44.485	-62.6362
65.000000	45.003	-57.2173
66.000000	46.153	-50.9252
67.000000	47.445	-50.0311
68.000000	48.401	-56.9246
69.000000	48.861	-67.8452
70.000000	49.003	-76.0427
71.000000	49.279	-76.3229
72.000000	49.998	-71.9478
73.000000	50.653	-70.5612
74.000000	50.701	-72.9431
75.000000	50.222	-76.0478
76.199997	49.797	-77.1476
77.500000	50.614	-75.2762
78.800003	52.462	-70.9891
80.000000	54.428	-67.1823
81.199997	56.218	-68.5406
82.500000	57.930	-76.8834
83.800003	59.483	-88.1307
85.000000	60.721	-97.3196
86.199997	61.748	-104.9612
87.500000	62.729	-112.1835
88.500000	63.478	-117.5614
90.000000	64.586	-126.8827
91.199997	65.392	-135.5695
92.500000	66.186	-144.9456
93.800003	66.901	-153.3268
95.000000	67.530	-160.2560
96.199997	68.196	-166.9308
97.500000	68.969	-174.2797
98.800003	69.763	177.9266
100.000000	70.495	169.9518
101.500000	71.394	158.7427
103.000000	72.228	146.6602
104.400002	72.861	135.0431
106.000000	73.313	121.4365
107.500000	73.433	108.6704
109.000000	73.283	96.5180
110.599998	72.887	84.7964
112.000000	72.408	75.7197
113.800003	71.723	65.4327
