* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -30.8 dBFS, measurement signal peak level -26.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 05-Jun-2023 09:23:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Creative R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	77.085	-112.0383
20.299999	77.272	-113.3028
20.600000	77.441	-114.4785
20.900000	77.592	-115.5546
21.200001	77.723	-116.5262
21.400000	77.801	-117.1212
21.799999	77.938	-118.2129
22.000000	77.997	-118.7291
22.400000	78.102	-119.7481
22.700001	78.167	-120.5300
23.000000	78.219	-121.3427
23.299999	78.260	-122.1867
23.600000	78.291	-123.0609
24.000000	78.321	-124.2744
24.299999	78.338	-125.2246
24.700001	78.356	-126.5477
25.000000	78.368	-127.5744
25.400000	78.384	-128.9655
25.799999	78.406	-130.3469
26.200001	78.437	-131.6927
26.500000	78.469	-132.6749
26.900000	78.523	-133.9518
27.200001	78.570	-134.8870
27.600000	78.637	-136.1004
28.000000	78.704	-137.2608
28.500000	78.781	-138.6054
29.000000	78.848	-139.8018
29.500000	78.905	-140.8463
30.000000	78.956	-141.7758
30.400000	78.992	-142.4777
30.700001	79.015	-142.9986
31.100000	79.038	-143.6995
31.500000	79.054	-144.4106
32.000000	79.065	-145.3101
32.500000	79.070	-146.2204
33.000000	79.072	-147.1479
33.500000	79.076	-148.0964
34.000000	79.084	-149.0617
34.500000	79.097	-150.0368
35.000000	79.115	-151.0166
35.500000	79.136	-151.9914
36.000000	79.160	-152.9440
36.500000	79.184	-153.8565
37.000000	79.208	-154.7179
37.500000	79.231	-155.5282
38.200001	79.257	-156.5878
38.700001	79.271	-157.2997
39.500000	79.289	-158.3856
40.000000	79.299	-159.0534
40.599998	79.310	-159.8705
41.200001	79.321	-160.7220
41.799999	79.329	-161.6054
42.500000	79.332	-162.6536
43.099998	79.330	-163.5443
43.700001	79.324	-164.4141
44.400002	79.315	-165.3928
45.000000	79.305	-166.1940
45.500000	79.298	-166.8344
46.200001	79.289	-167.7028
46.799999	79.285	-168.4432
47.500000	79.282	-169.3200
48.200001	79.279	-170.1955
48.700001	79.277	-170.8034
49.400002	79.277	-171.6224
50.000000	79.276	-172.3094
50.799999	79.270	-173.2347
51.500000	79.258	-174.0594
52.200001	79.239	-174.8852
53.000000	79.213	-175.8129
53.799999	79.181	-176.7085
54.500000	79.151	-177.4584
55.200001	79.121	-178.1821
56.000000	79.088	-178.9947
57.000000	79.053	179.9820
58.000000	79.019	178.9413
59.000000	78.982	177.9213
60.000000	78.946	176.9591
60.799999	78.918	176.2213
61.500000	78.892	175.5906
62.200001	78.862	174.9784
63.000000	78.826	174.3051
64.000000	78.779	173.4872
65.000000	78.732	172.6703
66.000000	78.682	171.8548
67.000000	78.631	171.0625
68.000000	78.580	170.3125
69.000000	78.529	169.6031
70.000000	78.478	168.9280
71.000000	78.429	168.2870
72.000000	78.382	167.6648
73.000000	78.337	167.0410
74.000000	78.290	166.4082
75.000000	78.239	165.7704
76.199997	78.169	165.0197
77.500000	78.091	164.2449
78.800003	78.018	163.4938
80.000000	77.956	162.7961
81.199997	77.896	162.0973
82.500000	77.832	161.3721
83.800003	77.770	160.6907
85.000000	77.712	160.0869
86.199997	77.651	159.5020
87.500000	77.579	158.9015
88.500000	77.522	158.4708
90.000000	77.441	157.8702
91.199997	77.381	157.4189
92.500000	77.318	156.9579
93.800003	77.255	156.5308
95.000000	77.198	156.1528
96.199997	77.141	155.7709
97.500000	77.081	155.3385
98.800003	77.023	154.8781
100.000000	76.972	154.4389
101.500000	76.912	153.9098
103.000000	76.855	153.4397
104.400002	76.805	153.0526
106.000000	76.750	152.6388
107.500000	76.699	152.2503
109.000000	76.651	151.8287
110.599998	76.602	151.3249
112.000000	76.558	150.8669
113.800003	76.502	150.3089
115.000000	76.466	149.9710
117.199997	76.404	149.4263
118.000000	76.383	149.2448
120.599998	76.316	148.6682
122.000000	76.280	148.3694
124.099998	76.232	147.9415
125.000000	76.215	147.7535
126.500000	76.190	147.4211
128.000000	76.168	147.0695
131.500000	76.135	146.2667
132.000000	76.132	146.1581
134.000000	76.122	145.7184
136.000000	76.107	145.2406
138.000000	76.079	144.7358
140.000000	76.042	144.2357
143.000000	75.992	143.5017
145.000000	75.966	143.0142
147.500000	75.943	142.4206
150.000000	75.934	141.8513
152.500000	75.942	141.2616
155.000000	75.953	140.6132
157.500000	75.952	139.9208
160.000000	75.944	139.2144
162.500000	75.939	138.5248
165.000000	75.938	137.8899
167.500000	75.940	137.3113
170.000000	75.946	136.7209
172.500000	75.960	136.0575
175.000000	75.974	135.3410
177.500000	75.982	134.6181
180.000000	75.974	133.9005
182.500000	75.950	133.1879
185.000000	75.917	132.4781
187.500000	75.883	131.7539
190.000000	75.851	130.9962
192.500000	75.823	130.2050
195.000000	75.803	129.4023
197.500000	75.794	128.6180
200.000000	75.796	127.8694
203.000000	75.812	127.0055
206.000000	75.844	126.1277
209.000000	75.889	125.1869
212.000000	75.935	124.1920
214.000000	75.960	123.5232
218.000000	75.988	122.1966
220.000000	75.991	121.5245
224.000000	75.988	120.1450
227.000000	75.987	119.1122
230.000000	75.988	118.1055
233.000000	75.987	117.1169
236.000000	75.985	116.1320
240.000000	75.988	114.8023
243.000000	75.993	113.7827
247.000000	75.995	112.4032
250.000000	75.996	111.3632
254.000000	76.000	109.9699
258.000000	76.010	108.5685
262.000000	76.020	107.1563
265.000000	76.028	106.0897
269.000000	76.036	104.6706
272.000000	76.040	103.6136
276.000000	76.045	102.1956
280.000000	76.050	100.7412
285.000000	76.059	98.8601
290.000000	76.068	96.9447
295.000000	76.071	95.0536
300.000000	76.072	93.1870
304.000000	76.073	91.6762
307.000000	76.077	90.5233
311.000000	76.086	88.9621
315.000000	76.095	87.3884
320.000000	76.104	85.4260
325.000000	76.113	83.4667
330.000000	76.122	81.5161
335.000000	76.130	79.5901
340.000000	76.138	77.6777
345.000000	76.152	75.7402
350.000000	76.164	73.7520
355.000000	76.168	71.7213
360.000000	76.166	69.6771
365.000000	76.167	67.6400
370.000000	76.172	65.6088
375.000000	76.178	63.5708
382.000000	76.179	60.6948
387.000000	76.176	58.6460
395.000000	76.173	55.3669
400.000000	76.171	53.2729
406.000000	76.169	50.6898
412.000000	76.165	48.0332
418.000000	76.160	45.3179
425.000000	76.150	42.1032
431.000000	76.138	39.3201
437.000000	76.123	36.4764
444.000000	76.098	33.0635
450.000000	76.071	30.0972
455.000000	76.049	27.6262
462.000000	76.013	24.2070
468.000000	75.976	21.3589
475.000000	75.928	18.1972
482.000000	75.879	15.2251
487.000000	75.843	13.1976
494.000000	75.794	10.4822
