* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Creative Sensemore Air, Creative Sensemore Air
* Dated: 03-Jul-2023 10:59:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Creative Sensemore Air L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	65.612
20.299999	66.787
20.600000	67.802
20.900000	68.656
21.200001	69.371
21.400000	69.788
21.799999	70.497
22.000000	70.795
22.400000	71.272
22.700001	71.520
23.000000	71.673
23.299999	71.749
23.600000	71.769
24.000000	71.738
24.299999	71.682
24.700001	71.561
25.000000	71.430
25.400000	71.211
25.799999	70.994
26.200001	70.849
26.500000	70.818
26.900000	70.885
27.200001	70.999
27.600000	71.210
28.000000	71.465
28.500000	71.834
29.000000	72.241
29.500000	72.647
30.000000	73.005
30.400000	73.238
30.700001	73.380
31.100000	73.534
31.500000	73.657
32.000000	73.774
32.500000	73.849
33.000000	73.881
33.500000	73.883
34.000000	73.885
34.500000	73.908
35.000000	73.961
35.500000	74.043
36.000000	74.158
36.500000	74.307
37.000000	74.480
37.500000	74.660
38.200001	74.893
38.700001	75.038
39.500000	75.230
40.000000	75.329
40.599998	75.429
41.200001	75.513
41.799999	75.589
42.500000	75.680
43.099998	75.768
43.700001	75.876
44.400002	76.032
45.000000	76.177
45.500000	76.284
46.200001	76.384
46.799999	76.435
47.500000	76.498
48.200001	76.603
48.700001	76.699
49.400002	76.836
50.000000	76.935
50.799999	77.029
51.500000	77.086
52.200001	77.138
53.000000	77.198
53.799999	77.258
54.500000	77.313
55.200001	77.372
56.000000	77.446
57.000000	77.543
58.000000	77.648
59.000000	77.759
60.000000	77.861
60.799999	77.930
61.500000	77.978
62.200001	78.019
63.000000	78.063
64.000000	78.124
65.000000	78.192
66.000000	78.264
67.000000	78.338
68.000000	78.410
69.000000	78.478
70.000000	78.541
71.000000	78.598
72.000000	78.646
73.000000	78.683
74.000000	78.713
75.000000	78.748
76.199997	78.809
77.500000	78.898
78.800003	78.983
80.000000	79.038
81.199997	79.086
82.500000	79.146
83.800003	79.213
85.000000	79.271
86.199997	79.316
87.500000	79.354
88.500000	79.379
90.000000	79.415
91.199997	79.442
92.500000	79.475
93.800003	79.522
95.000000	79.581
96.199997	79.645
97.500000	79.703
98.800003	79.740
100.000000	79.762
101.500000	79.791
103.000000	79.830
104.400002	79.872
106.000000	79.916
107.500000	79.946
109.000000	79.972
110.599998	80.003
112.000000	80.032
113.800003	80.065
115.000000	80.082
117.199997	80.120
118.000000	80.136
120.599998	80.178
122.000000	80.200
124.099998	80.235
125.000000	80.250
126.500000	80.270
128.000000	80.283
131.500000	80.291
132.000000	80.292
134.000000	80.297
136.000000	80.306
138.000000	80.320
140.000000	80.340
143.000000	80.388
145.000000	80.431
147.500000	80.482
150.000000	80.520
152.500000	80.549
155.000000	80.571
157.500000	80.588
160.000000	80.601
162.500000	80.611
165.000000	80.619
167.500000	80.623
170.000000	80.618
172.500000	80.607
175.000000	80.592
177.500000	80.569
180.000000	80.533
182.500000	80.482
185.000000	80.422
187.500000	80.362
190.000000	80.315
192.500000	80.294
195.000000	80.303
197.500000	80.335
200.000000	80.378
203.000000	80.431
206.000000	80.479
209.000000	80.520
212.000000	80.549
214.000000	80.561
218.000000	80.566
220.000000	80.561
224.000000	80.536
227.000000	80.514
230.000000	80.491
233.000000	80.467
236.000000	80.436
240.000000	80.387
243.000000	80.346
247.000000	80.289
250.000000	80.245
254.000000	80.186
258.000000	80.129
262.000000	80.077
265.000000	80.041
269.000000	79.996
272.000000	79.960
276.000000	79.908
280.000000	79.852
285.000000	79.778
290.000000	79.703
295.000000	79.622
300.000000	79.538
304.000000	79.470
307.000000	79.419
311.000000	79.350
315.000000	79.280
320.000000	79.193
325.000000	79.108
330.000000	79.024
335.000000	78.942
340.000000	78.864
345.000000	78.787
350.000000	78.704
355.000000	78.613
360.000000	78.519
365.000000	78.427
370.000000	78.338
375.000000	78.254
382.000000	78.140
387.000000	78.057
395.000000	77.917
400.000000	77.830
406.000000	77.729
412.000000	77.631
418.000000	77.534
425.000000	77.422
431.000000	77.331
437.000000	77.242
444.000000	77.133
450.000000	77.037
455.000000	76.958
462.000000	76.847
468.000000	76.753
475.000000	76.644
482.000000	76.536
487.000000	76.460
494.000000	76.357
500.000000	76.272
508.000000	76.164
515.000000	76.073
522.000000	75.982
530.000000	75.877
538.000000	75.775
545.000000	75.689
552.000000	75.607
560.000000	75.513
570.000000	75.394
580.000000	75.276
590.000000	75.163
600.000000	75.057
608.000000	74.973
615.000000	74.901
622.000000	74.831
630.000000	74.750
640.000000	74.652
650.000000	74.566
660.000000	74.495
670.000000	74.427
680.000000	74.354
690.000000	74.280
700.000000	74.208
710.000000	74.136
720.000000	74.064
730.000000	73.992
740.000000	73.925
750.000000	73.868
762.000000	73.819
775.000000	73.777
788.000000	73.734
800.000000	73.690
812.000000	73.645
825.000000	73.602
838.000000	73.570
850.000000	73.552
862.000000	73.547
875.000000	73.554
885.000000	73.564
900.000000	73.579
912.000000	73.591
925.000000	73.606
938.000000	73.631
950.000000	73.663
962.000000	73.699
975.000000	73.740
988.000000	73.784
1000.000000	73.828
1015.000000	73.885
1030.000000	73.945
1044.000000	74.004
1060.000000	74.069
1075.000000	74.128
1090.000000	74.188
1106.000000	74.256
1120.000000	74.317
1138.000000	74.392
1150.000000	74.440
1172.000000	74.528
1180.000000	74.561
1206.000000	74.672
1220.000000	74.737
1241.000000	74.842
1250.000000	74.891
1265.000000	74.976
1280.000000	75.063
1315.000000	75.235
1320.000000	75.252
1340.000000	75.293
1360.000000	75.291
1380.000000	75.259
1400.000000	75.215
1430.000000	75.168
1450.000000	75.162
1475.000000	75.173
1500.000000	75.200
1525.000000	75.247
1550.000000	75.304
1575.000000	75.362
1600.000000	75.421
1625.000000	75.484
1650.000000	75.553
1675.000000	75.630
1700.000000	75.715
1725.000000	75.804
1750.000000	75.891
1775.000000	75.975
1800.000000	76.058
1825.000000	76.145
1850.000000	76.240
1875.000000	76.339
1900.000000	76.439
1925.000000	76.537
1950.000000	76.638
1975.000000	76.746
2000.000000	76.859
2030.000000	76.993
2060.000000	77.117
2090.000000	77.242
2120.000000	77.381
2140.000000	77.479
2180.000000	77.682
2200.000000	77.784
2240.000000	77.995
2270.000000	78.162
2300.000000	78.336
2330.000000	78.516
2360.000000	78.701
2400.000000	78.954
2430.000000	79.147
2470.000000	79.401
2500.000000	79.586
2540.000000	79.829
2580.000000	80.073
2620.000000	80.319
2650.000000	80.502
2690.000000	80.744
2720.000000	80.925
2760.000000	81.162
2800.000000	81.392
2850.000000	81.665
2900.000000	81.916
2950.000000	82.138
3000.000000	82.332
3040.000000	82.467
3070.000000	82.556
3110.000000	82.660
3150.000000	82.746
3200.000000	82.834
3250.000000	82.891
3300.000000	82.896
3350.000000	82.837
3400.000000	82.732
3450.000000	82.600
3500.000000	82.448
3550.000000	82.280
3600.000000	82.094
3650.000000	81.894
3700.000000	81.691
3750.000000	81.494
3820.000000	81.242
3870.000000	81.077
3950.000000	80.827
4000.000000	80.677
4060.000000	80.496
4120.000000	80.307
4180.000000	80.106
4250.000000	79.856
4310.000000	79.630
4370.000000	79.402
4440.000000	79.152
4500.000000	78.960
4550.000000	78.817
4620.000000	78.641
4680.000000	78.508
4750.000000	78.365
4820.000000	78.233
4870.000000	78.143
4940.000000	78.026
5000.000000	77.935
5080.000000	77.823
5150.000000	77.733
5220.000000	77.645
5300.000000	77.543
5380.000000	77.447
5450.000000	77.372
5520.000000	77.314
5600.000000	77.274
5700.000000	77.264
5800.000000	77.297
5900.000000	77.386
6000.000000	77.528
6080.000000	77.671
6150.000000	77.811
6220.000000	77.960
6300.000000	78.144
6400.000000	78.399
6500.000000	78.695
6600.000000	79.038
6700.000000	79.433
6800.000000	79.888
6900.000000	80.411
7000.000000	81.015
7100.000000	81.712
7200.000000	82.506
7300.000000	83.398
7400.000000	84.391
7500.000000	85.478
7620.000000	86.860
7750.000000	88.341
7880.000000	89.657
8000.000000	90.611
8120.000000	91.246
8250.000000	91.548
8380.000000	91.467
