* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of SoundPEATS Air4 Pro, SoundPEATS Air4 Pro
* Dated: 09-Nov-2023 23:52:06
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: RMS Average 1
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz)	SPL(dB)
2.200000	77.996
2.240000	78.127
2.270000	78.225
2.300000	78.323
2.330000	78.421
2.360000	78.519
2.400000	78.650
2.430000	78.748
2.470000	78.879
2.500000	78.977
2.540000	79.107
2.580000	79.207
2.620000	79.270
2.650000	79.321
2.690000	79.381
2.720000	79.415
2.760000	79.434
2.800000	79.413
2.850000	79.312
2.900000	79.105
2.950000	78.773
3.000000	78.350
3.040000	77.952
3.070000	77.618
3.110000	77.123
3.150000	76.572
3.200000	75.802
3.250000	74.938
3.300000	73.977
3.350000	72.725
3.400000	71.157
3.450000	69.437
3.500000	67.732
3.550000	66.204
3.600000	65.020
3.650000	64.344
3.700000	64.313
3.750000	64.859
3.820000	66.291
3.870000	67.575
3.950000	69.643
4.000000	70.695
4.060000	71.532
4.120000	72.184
4.180000	72.720
4.250000	73.213
4.310000	73.535
4.370000	73.778
4.440000	73.966
4.500000	74.031
4.550000	74.017
4.620000	73.899
4.680000	73.709
4.750000	73.390
4.820000	72.937
4.870000	72.516
4.940000	71.827
5.000000	71.184
5.080000	70.309
5.150000	69.568
5.220000	68.694
5.300000	67.613
5.380000	66.646
5.450000	66.056
5.520000	65.850
5.600000	66.114
5.700000	66.897
5.800000	67.787
5.900000	68.419
6.000000	68.991
6.080000	69.403
6.150000	69.678
6.220000	69.832
6.300000	69.854
6.400000	69.707
6.500000	69.368
6.600000	68.838
6.700000	68.033
6.800000	67.014
6.900000	65.951
7.000000	64.960
7.100000	63.822
7.200000	62.769
7.300000	62.145
7.400000	62.255
7.500000	62.978
7.620000	64.110
7.750000	65.035
7.880000	65.846
8.000000	66.467
8.120000	66.849
8.250000	67.006
8.380000	67.021
8.500000	66.977
8.620000	66.832
8.750000	66.652
8.850000	66.555
9.000000	66.438
9.120000	66.350
9.250000	66.264
9.380000	66.192
9.500000	66.073
9.620000	65.863
9.750000	65.561
9.880000	65.212
10.000000	64.808
10.150000	64.253
10.300000	63.919
10.440000	63.818
10.600000	63.938
10.750000	64.374
10.900000	65.026
11.060000	65.631
11.200000	66.120
11.380000	66.566
11.500000	66.709
11.720000	66.704
11.800000	66.610
12.060000	66.003
12.200000	65.527
12.410000	64.655
12.500000	64.284
12.650000	63.636
12.800000	63.040
13.150000	62.075
13.200000	61.970
13.400000	61.657
13.600000	61.366
13.800000	61.040
14.000000	60.682
14.300000	60.140
14.500000	59.932
14.750000	59.980
15.000000	60.402
15.250000	61.061
15.500000	61.812
15.750000	62.596
16.000000	63.401
16.250000	64.284
16.500000	65.251
16.750000	66.298
17.000000	67.337
17.250000	68.317
17.500000	69.171
17.750000	69.856
18.000000	70.363
18.250000	70.684
18.500000	70.834
18.750000	70.841
19.000000	70.730
19.250000	70.566
19.500000	70.401
19.750000	70.276
20.000000	70.232
20.299999	70.257
20.600000	70.316
20.900000	70.335
21.200001	70.256
21.400000	70.143
21.799999	69.815
22.000000	69.639
22.400000	69.366
22.700001	69.288
23.000000	69.321
23.299999	69.417
23.600000	69.544
24.000000	69.749
24.299999	69.968
24.700001	70.407
25.000000	70.852
25.400000	71.525
25.799999	72.150
26.200001	72.614
26.500000	72.827
26.900000	72.947
27.200001	72.944
27.600000	72.878
28.000000	72.807
28.500000	72.785
29.000000	72.862
29.500000	73.036
30.000000	73.298
30.400000	73.550
30.700001	73.747
31.100000	73.987
31.500000	74.175
32.000000	74.320
32.500000	74.393
33.000000	74.463
33.500000	74.584
34.000000	74.758
34.500000	74.941
35.000000	75.091
35.500000	75.203
36.000000	75.293
36.500000	75.377
37.000000	75.450
37.500000	75.493
38.200001	75.491
38.700001	75.459
39.500000	75.420
40.000000	75.428
40.599998	75.474
41.200001	75.546
41.799999	75.617
42.500000	75.678
43.099998	75.707
43.700001	75.730
44.400002	75.777
45.000000	75.836
45.500000	75.887
46.200001	75.939
46.799999	75.964
47.500000	75.988
48.200001	76.012
48.700001	76.019
49.400002	75.996
50.000000	75.946
50.799999	75.863
51.500000	75.802
52.200001	75.769
53.000000	75.767
53.799999	75.780
54.500000	75.779
55.200001	75.761
56.000000	75.727
57.000000	75.673
58.000000	75.597
59.000000	75.502
60.000000	75.413
60.799999	75.367
61.500000	75.347
62.200001	75.336
63.000000	75.324
64.000000	75.301
65.000000	75.269
66.000000	75.233
67.000000	75.187
68.000000	75.119
69.000000	75.036
70.000000	74.961
71.000000	74.903
72.000000	74.862
73.000000	74.827
74.000000	74.786
75.000000	74.724
76.199997	74.622
77.500000	74.495
78.800003	74.375
80.000000	74.279
81.199997	74.198
82.500000	74.125
83.800003	74.062
85.000000	74.001
86.199997	73.928
87.500000	73.830
88.500000	73.744
90.000000	73.613
91.199997	73.515
92.500000	73.415
93.800003	73.314
95.000000	73.221
96.199997	73.126
97.500000	73.017
98.800003	72.901
100.000000	72.796
101.500000	72.679
103.000000	72.583
104.400002	72.508
106.000000	72.436
107.500000	72.379
109.000000	72.325
110.599998	72.259
112.000000	72.193
113.800003	72.114
115.000000	72.075
117.199997	72.034
118.000000	72.027
120.599998	72.008
122.000000	71.993
124.099998	71.965
125.000000	71.951
126.500000	71.926
128.000000	71.897
131.500000	71.820
132.000000	71.808
134.000000	71.760
136.000000	71.714
138.000000	71.669
140.000000	71.625
143.000000	71.561
145.000000	71.529
147.500000	71.506
150.000000	71.492
152.500000	71.479
155.000000	71.462
157.500000	71.439
160.000000	71.414
162.500000	71.392
165.000000	71.374
167.500000	71.358
170.000000	71.343
172.500000	71.330
175.000000	71.322
177.500000	71.319
180.000000	71.316
182.500000	71.306
185.000000	71.285
187.500000	71.251
190.000000	71.205
192.500000	71.147
195.000000	71.076
197.500000	70.994
200.000000	70.907
203.000000	70.802
206.000000	70.692
209.000000	70.575
212.000000	70.450
214.000000	70.362
218.000000	70.177
220.000000	70.081
224.000000	69.886
227.000000	69.736
230.000000	69.584
233.000000	69.433
236.000000	69.287
240.000000	69.106
243.000000	68.977
247.000000	68.808
250.000000	68.676
254.000000	68.502
258.000000	68.343
262.000000	68.204
265.000000	68.105
269.000000	67.971
272.000000	67.867
276.000000	67.729
280.000000	67.599
285.000000	67.448
290.000000	67.308
295.000000	67.177
300.000000	67.054
304.000000	66.961
307.000000	66.897
311.000000	66.820
315.000000	66.754
320.000000	66.688
325.000000	66.645
330.000000	66.623
335.000000	66.605
340.000000	66.577
345.000000	66.536
350.000000	66.491
355.000000	66.450
360.000000	66.422
365.000000	66.412
370.000000	66.421
375.000000	66.442
382.000000	66.485
387.000000	66.522
395.000000	66.590
400.000000	66.637
406.000000	66.697
412.000000	66.754
418.000000	66.801
425.000000	66.833
431.000000	66.840
437.000000	66.832
444.000000	66.815
450.000000	66.801
455.000000	66.794
462.000000	66.792
468.000000	66.794
475.000000	66.796
482.000000	66.795
487.000000	66.793
494.000000	66.792
500.000000	66.792
508.000000	66.793
515.000000	66.789
522.000000	66.778
530.000000	66.757
538.000000	66.728
545.000000	66.697
552.000000	66.660
560.000000	66.610
570.000000	66.535
580.000000	66.453
590.000000	66.364
600.000000	66.259
608.000000	66.160
615.000000	66.063
622.000000	65.959
630.000000	65.829
640.000000	65.649
650.000000	65.443
660.000000	65.210
670.000000	64.952
680.000000	64.674
690.000000	64.382
700.000000	64.071
710.000000	63.742
720.000000	63.402
730.000000	63.063
740.000000	62.740
750.000000	62.446
762.000000	62.144
775.000000	61.889
788.000000	61.718
800.000000	61.638
812.000000	61.634
825.000000	61.713
838.000000	61.872
850.000000	62.081
862.000000	62.339
875.000000	62.652
885.000000	62.908
900.000000	63.308
912.000000	63.639
925.000000	64.005
938.000000	64.368
950.000000	64.687
962.000000	64.986
975.000000	65.286
988.000000	65.566
1000.000000	65.812
1015.000000	66.113
1030.000000	66.407
1044.000000	66.676
1060.000000	66.977
1075.000000	67.260
1090.000000	67.553
1106.000000	67.873
1120.000000	68.157
1138.000000	68.524
1150.000000	68.768
1172.000000	69.210
1180.000000	69.367
1206.000000	69.867
1220.000000	70.131
1241.000000	70.520
1250.000000	70.685
1265.000000	70.957
1280.000000	71.224
1315.000000	71.827
1320.000000	71.910
1340.000000	72.237
1360.000000	72.554
1380.000000	72.856
1400.000000	73.139
1430.000000	73.511
1450.000000	73.705
1475.000000	73.870
1500.000000	73.972
1525.000000	74.096
1550.000000	74.313
1575.000000	74.601
1600.000000	74.899
1625.000000	75.169
1650.000000	75.407
1675.000000	75.617
1700.000000	75.801
1725.000000	75.961
1750.000000	76.095
1775.000000	76.201
1800.000000	76.284
1825.000000	76.351
1850.000000	76.407
1875.000000	76.454
1900.000000	76.488
1925.000000	76.508
1950.000000	76.519
1975.000000	76.525
2000.000000	76.531
2030.000000	76.542
2060.000000	76.561
2090.000000	76.589
2120.000000	76.620
2140.000000	76.641
2180.000000	76.688
2200.000000	76.721
2240.000000	76.804
2270.000000	76.857
2300.000000	76.880
2330.000000	76.863
2360.000000	76.807
2400.000000	76.688
2430.000000	76.588
2470.000000	76.484
2500.000000	76.447
2540.000000	76.444
2580.000000	76.457
2620.000000	76.459
2650.000000	76.452
2690.000000	76.447
2720.000000	76.454
2760.000000	76.474
2800.000000	76.488
2850.000000	76.465
2900.000000	76.366
2950.000000	76.198
3000.000000	75.993
3040.000000	75.817
3070.000000	75.675
3110.000000	75.457
3150.000000	75.188
3200.000000	74.780
3250.000000	74.358
3300.000000	74.048
3350.000000	73.942
3400.000000	73.996
3450.000000	74.051
3500.000000	73.950
3550.000000	73.609
3600.000000	73.016
3650.000000	72.255
3700.000000	71.531
3750.000000	71.111
3820.000000	71.214
3870.000000	71.556
3950.000000	72.022
4000.000000	72.153
4060.000000	72.160
4120.000000	72.045
4180.000000	71.906
4250.000000	71.906
4310.000000	72.048
4370.000000	72.138
4440.000000	72.015
4500.000000	71.736
4550.000000	71.459
4620.000000	71.141
4680.000000	71.021
4750.000000	71.075
4820.000000	71.271
4870.000000	71.436
4940.000000	71.623
5000.000000	71.691
5080.000000	71.644
5150.000000	71.542
5220.000000	71.465
5300.000000	71.458
5380.000000	71.536
5450.000000	71.659
5520.000000	71.812
5600.000000	72.005
5700.000000	72.231
5800.000000	72.370
5900.000000	72.344
6000.000000	72.129
6080.000000	71.832
6150.000000	71.497
6220.000000	71.110
6300.000000	70.623
6400.000000	69.977
6500.000000	69.355
6600.000000	68.876
6700.000000	68.645
6800.000000	68.680
6900.000000	68.934
7000.000000	69.357
7100.000000	69.908
7200.000000	70.547
7300.000000	71.244
7400.000000	71.976
7500.000000	72.728
7620.000000	73.624
7750.000000	74.533
7880.000000	75.317
8000.000000	75.872
8120.000000	76.231
8250.000000	76.398
8380.000000	76.356
8500.000000	76.164
8620.000000	75.879
8750.000000	75.521
8850.000000	75.227
9000.000000	74.741
9120.000000	74.288
9250.000000	73.698
9380.000000	72.983
9500.000000	72.206
9620.000000	71.325
9750.000000	70.265
9880.000000	69.120
10000.000000	68.037
10150.000000	66.775
10300.000000	65.781
10440.000000	65.185
10600.000000	64.869
10750.000000	64.821
10900.000000	64.907
11060.000000	65.066
11200.000000	65.217
11380.000000	65.382
11500.000000	65.455
11720.000000	65.479
11800.000000	65.444
12060.000000	65.146
12200.000000	64.877
12410.000000	64.375
12500.000000	64.125
12650.000000	63.634
12800.000000	63.000
13150.000000	60.644
13200.000000	60.189
13400.000000	58.070
13600.000000	55.608
13800.000000	53.251
14000.000000	51.692
14300.000000	51.241
14500.000000	51.796
14750.000000	53.201
15000.000000	55.024
15250.000000	56.780
15500.000000	58.096
15750.000000	58.768
16000.000000	58.773
16250.000000	58.255
16500.000000	57.450
16750.000000	56.460
17000.000000	55.152
17250.000000	53.358
17500.000000	51.096
17750.000000	48.663
18000.000000	46.678
18250.000000	45.676
18500.000000	45.454
18750.000000	45.484
19000.000000	45.500
19250.000000	45.439
19500.000000	45.290
19750.000000	45.070
