* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Jan-2025 18:34:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Dunu Kima 2 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	70.707	-137.9335
20.600000	70.726	-138.3649
20.900000	70.750	-138.9032
21.200001	70.774	-139.4772
21.400000	70.789	-139.8658
21.799999	70.820	-140.6437
22.000000	70.834	-141.0290
22.400000	70.864	-141.7840
22.700001	70.885	-142.3312
23.000000	70.907	-142.8600
23.299999	70.928	-143.3712
23.600000	70.948	-143.8675
24.000000	70.973	-144.5121
24.299999	70.989	-144.9863
24.700001	71.009	-145.6087
25.000000	71.022	-146.0681
25.400000	71.039	-146.6694
25.799999	71.056	-147.2558
26.200001	71.073	-147.8264
26.500000	71.084	-148.2438
26.900000	71.098	-148.7868
27.200001	71.108	-149.1846
27.600000	71.120	-149.7039
28.000000	71.132	-150.2122
28.500000	71.145	-150.8339
29.000000	71.157	-151.4408
29.500000	71.168	-152.0314
30.000000	71.178	-152.6042
30.400000	71.186	-153.0497
30.700001	71.192	-153.3768
31.100000	71.198	-153.8042
31.500000	71.204	-154.2223
32.000000	71.212	-154.7329
32.500000	71.220	-155.2307
33.000000	71.228	-155.7168
33.500000	71.234	-156.1917
34.000000	71.241	-156.6559
34.500000	71.246	-157.1093
35.000000	71.251	-157.5522
35.500000	71.255	-157.9853
36.000000	71.258	-158.4091
36.500000	71.261	-158.8239
37.000000	71.264	-159.2291
37.500000	71.267	-159.6249
38.200001	71.268	-160.1651
38.700001	71.267	-160.5426
39.500000	71.265	-161.1323
40.000000	71.263	-161.4905
40.599998	71.262	-161.9088
41.200001	71.262	-162.3154
41.799999	71.264	-162.7115
42.500000	71.267	-163.1627
43.099998	71.268	-163.5423
43.700001	71.267	-163.9159
44.400002	71.265	-164.3423
45.000000	71.262	-164.6978
45.500000	71.259	-164.9877
46.200001	71.254	-165.3858
46.799999	71.249	-165.7221
47.500000	71.247	-166.1122
48.200001	71.248	-166.5028
48.700001	71.251	-166.7788
49.400002	71.257	-167.1504
50.000000	71.259	-167.4491
50.799999	71.252	-167.8259
51.500000	71.238	-168.1475
52.200001	71.224	-168.4676
53.000000	71.210	-168.8317
