* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Jan-2025 18:34:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Dunu Kima 2 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	70.413	-137.5051
20.600000	70.431	-137.9411
20.900000	70.454	-138.4840
21.200001	70.477	-139.0610
21.400000	70.492	-139.4503
21.799999	70.522	-140.2269
22.000000	70.537	-140.6107
22.400000	70.567	-141.3624
22.700001	70.589	-141.9077
23.000000	70.612	-142.4353
23.299999	70.634	-142.9460
23.600000	70.655	-143.4419
24.000000	70.681	-144.0855
24.299999	70.697	-144.5583
24.700001	70.717	-145.1778
25.000000	70.731	-145.6345
25.400000	70.749	-146.2316
25.799999	70.766	-146.8140
26.200001	70.783	-147.3805
26.500000	70.796	-147.7948
26.900000	70.811	-148.3333
27.200001	70.822	-148.7277
27.600000	70.835	-149.2426
28.000000	70.848	-149.7472
28.500000	70.863	-150.3653
29.000000	70.876	-150.9687
29.500000	70.889	-151.5543
30.000000	70.901	-152.1204
30.400000	70.910	-152.5600
30.700001	70.916	-152.8831
31.100000	70.923	-153.3059
31.500000	70.930	-153.7200
32.000000	70.938	-154.2253
32.500000	70.947	-154.7172
33.000000	70.956	-155.1973
33.500000	70.965	-155.6672
34.000000	70.974	-156.1266
34.500000	70.981	-156.5737
35.000000	70.986	-157.0078
35.500000	70.990	-157.4309
36.000000	70.993	-157.8475
36.500000	70.998	-158.2613
37.000000	71.003	-158.6718
37.500000	71.007	-159.0741
38.200001	71.010	-159.6128
38.700001	71.009	-159.9782
39.500000	71.007	-160.5430
40.000000	71.005	-160.8923
40.599998	71.005	-161.3096
41.200001	71.006	-161.7197
41.799999	71.011	-162.1169
42.500000	71.016	-162.5632
43.099998	71.018	-162.9351
43.700001	71.018	-163.3010
44.400002	71.016	-163.7215
45.000000	71.014	-164.0749
45.500000	71.012	-164.3628
46.200001	71.008	-164.7550
46.799999	71.005	-165.0833
47.500000	71.003	-165.4640
48.200001	71.005	-165.8470
48.700001	71.008	-166.1183
49.400002	71.015	-166.4837
50.000000	71.017	-166.7781
50.799999	71.012	-167.1508
51.500000	71.001	-167.4705
52.200001	70.989	-167.7885
53.000000	70.977	-168.1479
53.799999	70.967	-168.5018
54.500000	70.960	-168.8056
55.200001	70.954	-169.1027
56.000000	70.947	-169.4352
57.000000	70.937	-169.8431
58.000000	70.928	-170.2418
59.000000	70.917	-170.6284
60.000000	70.907	-171.0033
60.799999	70.899	-171.2974
61.500000	70.892	-171.5518
62.200001	70.886	-171.8027
63.000000	70.878	-172.0834
64.000000	70.870	-172.4249
65.000000	70.861	-172.7582
66.000000	70.852	-173.0849
67.000000	70.843	-173.4060
68.000000	70.832	-173.7213
69.000000	70.819	-174.0307
70.000000	70.804	-174.3339
71.000000	70.789	-174.6305
72.000000	70.777	-174.9201
73.000000	70.766	-175.2028
74.000000	70.756	-175.4793
75.000000	70.745	-175.7498
76.199997	70.729	-176.0654
77.500000	70.709	-176.3945
78.800003	70.690	-176.7070
80.000000	70.672	-176.9780
81.199997	70.656	-177.2334
82.500000	70.642	-177.4997
83.800003	70.630	-177.7650
85.000000	70.621	-178.0161
86.199997	70.611	-178.2751
87.500000	70.597	-178.5604
88.500000	70.586	-178.7781
90.000000	70.568	-179.0974
91.199997	70.553	-179.3477
92.500000	70.538	-179.6143
93.800003	70.523	-179.8764
95.000000	70.507	179.8846
96.199997	70.490	179.6479
97.500000	70.470	179.3961
98.800003	70.449	179.1505
100.000000	70.431	178.9288
101.500000	70.411	178.6582
103.000000	70.393	178.3942
104.400002	70.376	178.1535
106.000000	70.356	177.8846
107.500000	70.335	177.6374
109.000000	70.312	177.3959
110.599998	70.288	177.1483
112.000000	70.267	176.9403
113.800003	70.240	176.6829
115.000000	70.223	176.5168
117.199997	70.191	176.2225
118.000000	70.180	176.1177
120.599998	70.145	175.7800
122.000000	70.127	175.5975
124.099998	70.100	175.3232
125.000000	70.088	175.2062
126.500000	70.068	175.0131
128.000000	70.047	174.8239
131.500000	69.996	174.3974
132.000000	69.988	174.3379
134.000000	69.959	174.1035
136.000000	69.928	173.8750
138.000000	69.897	173.6514
140.000000	69.864	173.4335
143.000000	69.816	173.1184
145.000000	69.785	172.9153
147.500000	69.745	172.6682
150.000000	69.706	172.4285
152.500000	69.669	172.1968
155.000000	69.632	171.9735
157.500000	69.592	171.7585
160.000000	69.551	171.5513
162.500000	69.512	171.3522
165.000000	69.475	171.1607
167.500000	69.439	170.9764
170.000000	69.402	170.7987
172.500000	69.364	170.6260
175.000000	69.324	170.4576
177.500000	69.280	170.2940
180.000000	69.228	170.1370
182.500000	69.166	169.9875
185.000000	69.090	169.8474
187.500000	69.002	169.7192
190.000000	68.906	169.6057
192.500000	68.812	169.5121
195.000000	68.725	169.4471
197.500000	68.648	169.4202
200.000000	68.579	169.4413
203.000000	68.510	169.5455
206.000000	68.452	169.7598
209.000000	68.406	170.1145
212.000000	68.371	170.6243
214.000000	68.357	171.0402
218.000000	68.363	171.9508
220.000000	68.386	172.3723
224.000000	68.466	172.9728
227.000000	68.537	173.1363
230.000000	68.601	173.0677
233.000000	68.648	172.8338
236.000000	68.675	172.5089
240.000000	68.681	172.0337
243.000000	68.668	171.6909
247.000000	68.633	171.2862
250.000000	68.599	171.0277
254.000000	68.552	170.7395
258.000000	68.504	170.5085
262.000000	68.453	170.3256
265.000000	68.415	170.2147
269.000000	68.364	170.0952
272.000000	68.325	170.0227
276.000000	68.275	169.9455
280.000000	68.225	169.8876
285.000000	68.165	169.8381
290.000000	68.105	169.8101
295.000000	68.045	169.8010
300.000000	67.985	169.8108
304.000000	67.936	169.8309
307.000000	67.900	169.8525
311.000000	67.851	169.8889
315.000000	67.804	169.9334
320.000000	67.746	170.0003
325.000000	67.689	170.0777
330.000000	67.635	170.1636
335.000000	67.585	170.2572
340.000000	67.538	170.3595
345.000000	67.493	170.4715
350.000000	67.444	170.5930
355.000000	67.390	170.7230
360.000000	67.335	170.8626
365.000000	67.283	171.0127
370.000000	67.234	171.1732
375.000000	67.185	171.3443
382.000000	67.116	171.6015
387.000000	67.069	171.7952
395.000000	66.999	172.1177
400.000000	66.956	172.3278
406.000000	66.905	172.5928
412.000000	66.853	172.8768
418.000000	66.802	173.1832
425.000000	66.746	173.5680
431.000000	66.704	173.9135
437.000000	66.665	174.2640
444.000000	66.624	174.6699
