* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04-Feb-2025 18:28:40
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Dunu DK3001BD
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.078	-158.8580
20.600000	84.074	-159.3734
20.900000	84.068	-160.0187
21.200001	84.061	-160.7090
21.400000	84.055	-161.1777
21.799999	84.044	-162.1198
22.000000	84.039	-162.5892
22.400000	84.030	-163.5162
22.700001	84.023	-164.1952
23.000000	84.016	-164.8570
23.299999	84.010	-165.5012
23.600000	84.003	-166.1290
24.000000	83.992	-166.9445
24.299999	83.982	-167.5425
24.700001	83.966	-168.3243
25.000000	83.953	-168.8995
25.400000	83.936	-169.6517
25.799999	83.918	-170.3871
26.200001	83.899	-171.1062
26.500000	83.884	-171.6353
26.900000	83.864	-172.3283
27.200001	83.848	-172.8395
27.600000	83.826	-173.5111
28.000000	83.804	-174.1724
28.500000	83.775	-174.9851
29.000000	83.745	-175.7815
29.500000	83.714	-176.5600
30.000000	83.683	-177.3196
30.400000	83.658	-177.9135
30.700001	83.638	-178.3511
31.100000	83.611	-178.9248
31.500000	83.583	-179.4884
32.000000	83.550	179.8192
32.500000	83.517	179.1390
33.000000	83.484	178.4714
33.500000	83.450	177.8174
34.000000	83.417	177.1769
34.500000	83.382	176.5488
35.000000	83.347	175.9319
35.500000	83.311	175.3265
36.000000	83.275	174.7325
36.500000	83.240	174.1489
37.000000	83.205	173.5753
37.500000	83.169	173.0131
38.200001	83.113	172.2520
38.700001	83.070	171.7279
39.500000	83.001	170.9139
40.000000	82.958	170.4133
40.599998	82.908	169.8190
41.200001	82.860	169.2342
41.799999	82.815	168.6619
42.500000	82.763	168.0105
43.099998	82.716	167.4652
43.700001	82.668	166.9308
44.400002	82.611	166.3194
45.000000	82.561	165.8050
45.500000	82.519	165.3839
46.200001	82.458	164.8083
46.799999	82.407	164.3292
47.500000	82.348	163.7844
48.200001	82.294	163.2501
48.700001	82.258	162.8740
49.400002	82.208	162.3584
50.000000	82.162	161.9301
50.799999	82.090	161.3783
51.500000	82.020	160.9088
52.200001	81.950	160.4479
53.000000	81.872	159.9325
53.799999	81.798	159.4312
54.500000	81.735	159.0060
55.200001	81.673	158.5942
56.000000	81.601	158.1390
57.000000	81.511	157.5888
58.000000	81.420	157.0517
59.000000	81.329	156.5284
60.000000	81.236	156.0272
60.799999	81.163	155.6428
61.500000	81.099	155.3168
62.200001	81.037	155.0000
63.000000	80.965	154.6493
64.000000	80.876	154.2281
65.000000	80.787	153.8250
66.000000	80.698	153.4378
67.000000	80.609	153.0659
68.000000	80.517	152.7090
69.000000	80.424	152.3666
70.000000	80.328	152.0401
71.000000	80.235	151.7310
72.000000	80.143	151.4389
73.000000	80.054	151.1632
74.000000	79.965	150.9032
75.000000	79.876	150.6581
76.199997	79.767	150.3836
77.500000	79.648	150.1117
78.800003	79.529	149.8655
80.000000	79.421	149.6602
81.199997	79.313	149.4780
82.500000	79.197	149.3077
83.800003	79.083	149.1644
85.000000	78.979	149.0564
86.199997	78.877	148.9703
87.500000	78.769	148.8951
88.500000	78.686	148.8434
90.000000	78.563	148.7656
91.199997	78.465	148.7040
92.500000	78.359	148.6494
93.800003	78.253	148.6172
95.000000	78.154	148.6087
96.199997	78.054	148.6178
97.500000	77.946	148.6456
98.800003	77.838	148.6920
100.000000	77.741	148.7511
101.500000	77.624	148.8448
103.000000	77.511	148.9585
104.400002	77.409	149.0824
106.000000	77.292	149.2473
107.500000	77.183	149.4261
109.000000	77.074	149.6249
110.599998	76.960	149.8546
112.000000	76.862	150.0706
113.800003	76.739	150.3696
115.000000	76.658	150.5837
117.199997	76.513	151.0103
118.000000	76.461	151.1754
120.599998	76.300	151.7358
122.000000	76.217	152.0499
124.099998	76.096	152.5433
125.000000	76.046	152.7629
126.500000	75.963	153.1385
128.000000	75.883	153.5254
131.500000	75.705	154.4590
132.000000	75.681	154.5952
134.000000	75.585	155.1478
136.000000	75.493	155.7139
138.000000	75.403	156.2955
140.000000	75.316	156.8920
143.000000	75.192	157.8094
145.000000	75.114	158.4365
147.500000	75.021	159.2421
150.000000	74.937	160.0748
152.500000	74.864	160.9239
155.000000	74.799	161.7741
157.500000	74.737	162.6222
160.000000	74.680	163.4730
162.500000	74.631	164.3295
165.000000	74.589	165.1837
167.500000	74.553	166.0266
170.000000	74.516	166.8598
172.500000	74.477	167.7015
175.000000	74.434	168.5857
177.500000	74.386	169.5524
180.000000	74.337	170.6360
182.500000	74.291	171.8586
185.000000	74.255	173.2218
187.500000	74.243	174.6913
190.000000	74.271	176.1834
192.500000	74.353	177.5688
195.000000	74.484	178.7134
197.500000	74.650	179.5358
200.000000	74.827	-179.9639
203.000000	75.031	-179.6983
206.000000	75.214	-179.6736
209.000000	75.367	-179.7811
212.000000	75.485	-179.9327
214.000000	75.544	179.9758
218.000000	75.627	179.8523
220.000000	75.656	179.8207
224.000000	75.698	179.8175
227.000000	75.720	179.8701
230.000000	75.738	179.9630
233.000000	75.755	-179.9129
236.000000	75.772	-179.7628
240.000000	75.795	-179.5284
243.000000	75.812	-179.3290
247.000000	75.837	-179.0371
250.000000	75.860	-178.8054
254.000000	75.901	-178.5027
258.000000	75.950	-178.2444
262.000000	76.001	-178.0548
265.000000	76.038	-177.9560
269.000000	76.081	-177.8610
272.000000	76.109	-177.8005
276.000000	76.141	-177.7157
280.000000	76.170	-177.6176
285.000000	76.204	-177.4771
290.000000	76.237	-177.3275
295.000000	76.270	-177.1780
300.000000	76.302	-177.0325
304.000000	76.326	-176.9219
307.000000	76.344	-176.8434
311.000000	76.368	-176.7452
315.000000	76.391	-176.6556
320.000000	76.418	-176.5577
325.000000	76.442	-176.4705
330.000000	76.463	-176.3774
335.000000	76.483	-176.2638
340.000000	76.506	-176.1190
345.000000	76.530	-175.9357
350.000000	76.556	-175.7180
355.000000	76.584	-175.4836
360.000000	76.620	-175.2614
365.000000	76.667	-175.0862
370.000000	76.720	-174.9845
375.000000	76.771	-174.9582
382.000000	76.832	-175.0080
387.000000	76.868	-175.0722
395.000000	76.918	-175.1895
400.000000	76.947	-175.2697
406.000000	76.976	-175.3755
412.000000	76.999	-175.4885
418.000000	77.017	-175.6022
425.000000	77.031	-175.7309
431.000000	77.040	-175.8333
437.000000	77.045	-175.9228
444.000000	77.046	-176.0067
450.000000	77.045	-176.0601
455.000000	77.045	-176.0918
462.000000	77.046	-176.1175
468.000000	77.047	-176.1246
475.000000	77.048	-176.1209
482.000000	77.049	-176.1124
487.000000	77.049	-176.1079
494.000000	77.047	-176.1061
500.000000	77.043	-176.1071
508.000000	77.039	-176.1071
515.000000	77.034	-176.1006
522.000000	77.027	-176.0848
530.000000	77.017	-176.0556
538.000000	77.005	-176.0151
545.000000	76.994	-175.9681
552.000000	76.984	-175.9085
560.000000	76.973	-175.8273
570.000000	76.962	-175.7166
580.000000	76.950	-175.6057
590.000000	76.935	-175.4917
600.000000	76.917	-175.3635
608.000000	76.901	-175.2462
615.000000	76.887	-175.1331
622.000000	76.873	-175.0112
630.000000	76.859	-174.8621
640.000000	76.842	-174.6657
650.000000	76.829	-174.4636
660.000000	76.817	-174.2583
670.000000	76.805	-174.0487
680.000000	76.792	-173.8295
690.000000	76.776	-173.5955
700.000000	76.760	-173.3470
710.000000	76.745	-173.0852
720.000000	76.732	-172.8100
730.000000	76.720	-172.5209
740.000000	76.709	-172.2185
750.000000	76.701	-171.9054
762.000000	76.692	-171.5193
775.000000	76.683	-171.0884
788.000000	76.676	-170.6416
800.000000	76.672	-170.2161
812.000000	76.669	-169.7798
825.000000	76.669	-169.2964
838.000000	76.672	-168.8050
850.000000	76.678	-168.3486
862.000000	76.690	-167.8938
875.000000	76.707	-167.4065
885.000000	76.724	-167.0376
900.000000	76.752	-166.4946
912.000000	76.776	-166.0686
925.000000	76.804	-165.6164
938.000000	76.835	-165.1773
950.000000	76.867	-164.7874
962.000000	76.901	-164.4155
975.000000	76.941	-164.0368
988.000000	76.984	-163.6862
1000.000000	77.024	-163.3886
1015.000000	77.075	-163.0525
1030.000000	77.125	-162.7547
1044.000000	77.172	-162.5085
1060.000000	77.226	-162.2608
1075.000000	77.274	-162.0561
1090.000000	77.320	-161.8741
1106.000000	77.366	-161.7020
1120.000000	77.406	-161.5675
1138.000000	77.455	-161.4126
1150.000000	77.488	-161.3186
1172.000000	77.546	-161.1619
1180.000000	77.567	-161.1084
1206.000000	77.640	-160.9408
1220.000000	77.685	-160.8523
1241.000000	77.761	-160.7180
1250.000000	77.798	-160.6596
1265.000000	77.865	-160.5611
1280.000000	77.936	-160.4610
1315.000000	78.078	-160.2185
1320.000000	78.091	-160.1819
1340.000000	78.115	-160.0270
1360.000000	78.087	-159.8525
1380.000000	78.022	-159.6539
1400.000000	77.941	-159.4290
1430.000000	77.840	-159.0391
1450.000000	77.801	-158.7441
1475.000000	77.787	-158.3374
1500.000000	77.803	-157.8938
1525.000000	77.838	-157.4220
1550.000000	77.885	-156.9285
1575.000000	77.935	-156.4200
1600.000000	77.988	-155.8997
1625.000000	78.043	-155.3673
1650.000000	78.099	-154.8235
1675.000000	78.158	-154.2694
1700.000000	78.219	-153.7055
1725.000000	78.283	-153.1326
1750.000000	78.351	-152.5528
1775.000000	78.422	-151.9685
1800.000000	78.496	-151.3828
1825.000000	78.576	-150.8000
1850.000000	78.661	-150.2229
1875.000000	78.751	-149.6540
1900.000000	78.846	-149.0956
1925.000000	78.945	-148.5497
1950.000000	79.049	-148.0199
1975.000000	79.158	-147.5119
2000.000000	79.273	-147.0312
2030.000000	79.418	-146.4988
2060.000000	79.570	-146.0225
2090.000000	79.729	-145.6049
2120.000000	79.891	-145.2451
2140.000000	80.001	-145.0364
2180.000000	80.225	-144.6919
2200.000000	80.340	-144.5567
2240.000000	80.576	-144.3679
2270.000000	80.756	-144.3040
2300.000000	80.939	-144.3105
2330.000000	81.123	-144.3898
2360.000000	81.307	-144.5448
2400.000000	81.550	-144.8727
2430.000000	81.731	-145.2123
2470.000000	81.969	-145.7939
2500.000000	82.144	-146.3270
2540.000000	82.369	-147.1677
2580.000000	82.584	-148.1601
2620.000000	82.788	-149.3050
2650.000000	82.932	-150.2633
2690.000000	83.107	-151.6722
2720.000000	83.223	-152.8239
2760.000000	83.354	-154.4745
2800.000000	83.456	-156.2296
2850.000000	83.535	-158.4980
2900.000000	83.557	-160.7306
2950.000000	83.528	-162.7913
3000.000000	83.462	-164.5794
3040.000000	83.397	-165.7985
3070.000000	83.347	-166.6066
3110.000000	83.283	-167.5779
3150.000000	83.225	-168.4715
3200.000000	83.159	-169.5310
3250.000000	83.091	-170.5522
3300.000000	83.018	-171.5337
3350.000000	82.933	-172.4598
3400.000000	82.836	-173.3123
3450.000000	82.724	-174.0751
3500.000000	82.601	-174.7358
3550.000000	82.469	-175.2837
3600.000000	82.334	-175.7095
3650.000000	82.202	-176.0089
3700.000000	82.079	-176.1816
3750.000000	81.970	-176.2318
3820.000000	81.843	-176.1157
3870.000000	81.769	-175.9167
3950.000000	81.674	-175.4363
4000.000000	81.624	-175.0575
4060.000000	81.568	-174.5457
4120.000000	81.512	-173.9904
4180.000000	81.455	-173.4090
4250.000000	81.390	-172.7151
4310.000000	81.338	-172.1167
4370.000000	81.298	-171.5199
4440.000000	81.274	-170.8304
4500.000000	81.280	-170.2490
4550.000000	81.304	-169.7738
4620.000000	81.363	-169.1281
4680.000000	81.431	-168.5988
4750.000000	81.525	-168.0197
4820.000000	81.629	-167.4955
4870.000000	81.709	-167.1630
4940.000000	81.825	-166.7664
5000.000000	81.928	-166.4985
5080.000000	82.068	-166.2545
5150.000000	82.189	-166.1528
5220.000000	82.307	-166.1568
5300.000000	82.435	-166.2853
5380.000000	82.551	-166.5341
5450.000000	82.641	-166.8377
5520.000000	82.726	-167.2094
5600.000000	82.819	-167.7010
5700.000000	82.933	-168.3872
5800.000000	83.049	-169.1318
5900.000000	83.177	-169.9398
6000.000000	83.314	-170.8454
6080.000000	83.422	-171.6779
6150.000000	83.510	-172.5150
6220.000000	83.585	-173.4742
6300.000000	83.651	-174.7328
6400.000000	83.693	-176.5308
6500.000000	83.681	-178.4928
6600.000000	83.609	179.5352
6700.000000	83.484	177.7325
6800.000000	83.328	176.2458
6900.000000	83.167	175.1442
7000.000000	83.029	174.3968
7100.000000	82.940	173.8754
7200.000000	82.920	173.3818
7300.000000	82.973	172.6922
7400.000000	83.088	171.5992
7500.000000	83.241	169.9420
7620.000000	83.423	167.0986
7750.000000	83.517	163.0287
7880.000000	83.387	158.2607
8000.000000	83.006	153.7293
8120.000000	82.375	149.5924
8250.000000	81.455	146.0558
8380.000000	80.375	143.8360
8500.000000	79.319	143.0681
8620.000000	78.269	143.5034
8750.000000	77.186	145.2234
8850.000000	76.407	147.3497
9000.000000	75.344	151.7554
9120.000000	74.606	156.2787
9250.000000	73.963	161.9598
9380.000000	73.518	167.8121
9500.000000	73.249	172.7740
9620.000000	73.047	177.3820
9750.000000	72.882	-177.5222
9880.000000	72.805	-172.0107
10000.000000	72.856	-166.5916
10150.000000	73.125	-159.6604
10300.000000	73.646	-153.0283
10440.000000	74.356	-147.6782
10600.000000	75.379	-143.3202
10750.000000	76.434	-141.5057
10900.000000	77.440	-142.0075
11060.000000	78.320	-144.6115
11200.000000	78.865	-147.8911
11380.000000	79.269	-152.3489
11500.000000	79.408	-155.0323
11720.000000	79.538	-159.1126
11800.000000	79.573	-160.4059
12060.000000	79.650	-164.4514
12200.000000	79.642	-166.6929
12410.000000	79.511	-170.0884
12500.000000	79.401	-171.4695
12650.000000	79.136	-173.5096
12800.000000	78.770	-175.0423
13150.000000	77.572	-175.6462
13200.000000	77.375	-175.3276
13400.000000	76.589	-172.9798
13600.000000	75.959	-169.0724
13800.000000	75.692	-164.2556
14000.000000	75.893	-159.7401
14300.000000	76.865	-156.3299
14500.000000	77.649	-157.1207
14750.000000	78.470	-160.9659
15000.000000	78.992	-166.7816
15250.000000	79.183	-173.7581
15500.000000	78.985	178.5530
15750.000000	78.354	170.9503
16000.000000	77.354	164.6389
16250.000000	76.161	160.6384
16500.000000	74.988	159.3819
16750.000000	74.013	160.7239
17000.000000	73.363	164.0405
17250.000000	73.100	168.2744
17500.000000	73.202	172.2998
17750.000000	73.609	175.3569
18000.000000	74.253	176.9037
18250.000000	75.018	176.4279
18500.000000	75.734	173.7001
18750.000000	76.243	169.0110
19000.000000	76.450	163.0397
19250.000000	76.316	156.5969
19500.000000	75.867	150.5112
19750.000000	75.247	145.6664
20000.000000	74.789	143.0109
