* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Jan-2025 17:51:12
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Dunu Falcon Ultra B R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	68.812	-115.1060
20.600000	68.868	-115.7063
20.900000	68.937	-116.4553
21.200001	69.010	-117.2538
21.400000	69.058	-117.7943
21.799999	69.152	-118.8767
22.000000	69.197	-119.4144
22.400000	69.287	-120.4752
22.700001	69.353	-121.2535
23.000000	69.417	-122.0150
23.299999	69.480	-122.7603
23.600000	69.542	-123.4915
24.000000	69.619	-124.4491
24.299999	69.674	-125.1571
24.700001	69.744	-126.0896
25.000000	69.794	-126.7805
25.400000	69.858	-127.6895
25.799999	69.920	-128.5835
26.200001	69.980	-129.4620
26.500000	70.023	-130.1105
26.900000	70.078	-130.9612
27.200001	70.117	-131.5889
27.600000	70.167	-132.4125
28.000000	70.215	-133.2218
28.500000	70.272	-134.2150
29.000000	70.325	-135.1896
29.500000	70.376	-136.1463
30.000000	70.424	-137.0848
30.400000	70.460	-137.8221
30.700001	70.485	-138.3673
31.100000	70.518	-139.0839
31.500000	70.549	-139.7889
32.000000	70.587	-140.6543
32.500000	70.624	-141.5021
33.000000	70.659	-142.3331
33.500000	70.692	-143.1484
34.000000	70.722	-143.9495
34.500000	70.751	-144.7367
35.000000	70.776	-145.5097
35.500000	70.800	-146.2681
36.000000	70.821	-147.0129
36.500000	70.843	-147.7456
37.000000	70.863	-148.4668
37.500000	70.881	-149.1765
38.200001	70.902	-150.1503
38.700001	70.914	-150.8321
39.500000	70.931	-151.8988
40.000000	70.939	-152.5493
40.599998	70.949	-153.3127
41.200001	70.959	-154.0590
41.799999	70.970	-154.7911
42.500000	70.981	-155.6290
43.099998	70.989	-156.3328
43.700001	70.994	-157.0230
44.400002	70.998	-157.8110
45.000000	71.000	-158.4722
45.500000	71.000	-159.0138
46.200001	70.998	-159.7594
46.799999	70.995	-160.3863
47.500000	70.994	-161.1009
48.200001	70.997	-161.7971
48.700001	71.001	-162.2855
49.400002	71.006	-162.9601
50.000000	71.005	-163.5303
50.799999	70.991	-164.2752
51.500000	70.972	-164.9107
52.200001	70.953	-165.5317
53.000000	70.933	-166.2264
53.799999	70.915	-166.9071
54.500000	70.899	-167.4913
55.200001	70.883	-168.0641
56.000000	70.865	-168.7050
57.000000	70.841	-169.4857
58.000000	70.816	-170.2437
59.000000	70.789	-170.9796
60.000000	70.762	-171.6945
60.799999	70.740	-172.2521
61.500000	70.721	-172.7303
62.200001	70.701	-173.1994
63.000000	70.679	-173.7242
64.000000	70.650	-174.3641
65.000000	70.620	-174.9875
66.000000	70.590	-175.5956
67.000000	70.559	-176.1886
68.000000	70.526	-176.7660
69.000000	70.491	-177.3280
70.000000	70.453	-177.8752
71.000000	70.415	-178.4074
72.000000	70.380	-178.9247
73.000000	70.345	-179.4270
74.000000	70.311	-179.9142
75.000000	70.275	179.6131
76.199997	70.231	179.0631
77.500000	70.181	178.4865
78.800003	70.130	177.9312
80.000000	70.082	177.4406
81.199997	70.035	176.9719
82.500000	69.985	176.4864
83.800003	69.937	176.0231
85.000000	69.893	175.6122
86.199997	69.848	175.2158
87.500000	69.798	174.8080
88.500000	69.760	174.5115
90.000000	69.705	174.0895
91.199997	69.665	173.7643
92.500000	69.626	173.4124
93.800003	69.589	173.0482
95.000000	69.553	172.7014
96.199997	69.515	172.3535
97.500000	69.471	171.9798
