* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 29-Jan-2025 17:52:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Dunu Falcon Ultra G L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	71.410	-129.6427
20.600000	71.444	-130.2385
20.900000	71.486	-130.9832
21.200001	71.530	-131.7785
21.400000	71.559	-132.3178
21.799999	71.615	-133.4002
22.000000	71.642	-133.9385
22.400000	71.697	-135.0002
22.700001	71.736	-135.7774
23.000000	71.775	-136.5353
23.299999	71.812	-137.2742
23.600000	71.848	-137.9962
24.000000	71.892	-138.9379
24.299999	71.922	-139.6319
24.700001	71.959	-140.5437
25.000000	71.985	-141.2180
25.400000	72.017	-142.1033
25.799999	72.049	-142.9716
26.200001	72.078	-143.8211
26.500000	72.099	-144.4455
26.900000	72.125	-145.2610
27.200001	72.142	-145.8606
27.600000	72.164	-146.6457
28.000000	72.185	-147.4169
28.500000	72.209	-148.3648
29.000000	72.230	-149.2959
29.500000	72.249	-150.2084
30.000000	72.266	-151.0996
30.400000	72.278	-151.7964
30.700001	72.285	-152.3096
31.100000	72.295	-152.9822
31.500000	72.303	-153.6428
32.000000	72.313	-154.4531
32.500000	72.322	-155.2475
33.000000	72.330	-156.0264
33.500000	72.337	-156.7898
34.000000	72.342	-157.5375
34.500000	72.345	-158.2695
35.000000	72.347	-158.9855
35.500000	72.346	-159.6855
36.000000	72.344	-160.3708
36.500000	72.342	-161.0434
37.000000	72.340	-161.7047
37.500000	72.336	-162.3550
38.200001	72.327	-163.2448
38.700001	72.318	-163.8649
39.500000	72.303	-164.8325
40.000000	72.292	-165.4232
40.599998	72.279	-166.1180
41.200001	72.267	-166.7973
41.799999	72.256	-167.4619
42.500000	72.243	-168.2202
43.099998	72.230	-168.8553
43.700001	72.215	-169.4776
44.400002	72.196	-170.1890
45.000000	72.179	-170.7865
45.500000	72.163	-171.2745
46.200001	72.140	-171.9406
46.799999	72.120	-172.4966
47.500000	72.098	-173.1309
48.200001	72.079	-173.7521
48.700001	72.068	-174.1879
49.400002	72.054	-174.7868
50.000000	72.038	-175.2894
50.799999	72.006	-175.9428
51.500000	71.971	-176.4982
52.200001	71.935	-177.0403
53.000000	71.896	-177.6472
53.799999	71.859	-178.2427
54.500000	71.829	-178.7536
55.200001	71.799	-179.2532
56.000000	71.765	-179.8099
57.000000	71.721	179.5134
58.000000	71.677	178.8565
59.000000	71.632	178.2213
60.000000	71.587	177.6073
60.799999	71.551	177.1295
61.500000	71.520	176.7203
62.200001	71.488	176.3190
63.000000	71.453	175.8703
64.000000	71.408	175.3237
65.000000	71.364	174.7936
66.000000	71.319	174.2814
67.000000	71.274	173.7854
68.000000	71.227	173.3023
