* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01-Aug-2024 14:36:14
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Dunu Titan S2 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.839	-88.1860
20.600000	105.933	-88.9830
20.900000	106.052	-89.9832
21.200001	106.179	-91.0577
21.400000	106.265	-91.7896
21.799999	106.435	-93.2627
22.000000	106.518	-93.9961
22.400000	106.683	-95.4398
22.700001	106.802	-96.4918
23.000000	106.916	-97.5124
23.299999	107.027	-98.5024
23.600000	107.134	-99.4674
24.000000	107.272	-100.7303
24.299999	107.371	-101.6703
24.700001	107.499	-102.9250
25.000000	107.592	-103.8686
25.400000	107.712	-105.1252
25.799999	107.828	-106.3701
26.200001	107.941	-107.5930
26.500000	108.024	-108.4925
26.900000	108.131	-109.6681
27.200001	108.209	-110.5340
27.600000	108.308	-111.6710
28.000000	108.403	-112.7914
28.500000	108.513	-114.1712
29.000000	108.618	-115.5284
29.500000	108.718	-116.8618
30.000000	108.815	-118.1682
30.400000	108.889	-119.1913
30.700001	108.944	-119.9448
31.100000	109.014	-120.9313
31.500000	109.081	-121.8988
32.000000	109.161	-123.0868
32.500000	109.238	-124.2573
33.000000	109.313	-125.4134
33.500000	109.385	-126.5536
34.000000	109.454	-127.6727
34.500000	109.521	-128.7652
35.000000	109.585	-129.8289
35.500000	109.646	-130.8664
36.000000	109.704	-131.8834
36.500000	109.759	-132.8854
37.000000	109.811	-133.8743
37.500000	109.861	-134.8485
38.200001	109.931	-136.1823
38.700001	109.979	-137.1114
39.500000	110.054	-138.5591
40.000000	110.098	-139.4437
40.599998	110.147	-140.4902
41.200001	110.192	-141.5228
41.799999	110.236	-142.5391
42.500000	110.285	-143.7007
43.099998	110.328	-144.6801
43.700001	110.369	-145.6529
44.400002	110.415	-146.7819
45.000000	110.450	-147.7348
45.500000	110.477	-148.5116
46.200001	110.513	-149.5728
46.799999	110.543	-150.4665
47.500000	110.574	-151.4996
48.200001	110.600	-152.5214
48.700001	110.616	-153.2415
49.400002	110.638	-154.2344
50.000000	110.656	-155.0729
50.799999	110.678	-156.1743
51.500000	110.695	-157.1217
52.200001	110.711	-158.0555
53.000000	110.727	-159.1137
53.799999	110.741	-160.1678
54.500000	110.751	-161.0799
55.200001	110.759	-161.9688
56.000000	110.766	-162.9482
57.000000	110.772	-164.1288
58.000000	110.774	-165.2861
