* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01-Aug-2024 14:35:25
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Dunu Titan S2 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	105.851	-80.3576
20.600000	105.940	-81.0285
20.900000	106.051	-81.8653
21.200001	106.168	-82.7595
21.400000	106.247	-83.3672
21.799999	106.403	-84.5924
22.000000	106.481	-85.2052
22.400000	106.635	-86.4208
22.700001	106.748	-87.3163
23.000000	106.859	-88.1933
23.299999	106.966	-89.0505
23.600000	107.069	-89.8893
24.000000	107.201	-90.9840
24.299999	107.294	-91.7914
24.700001	107.413	-92.8546
25.000000	107.499	-93.6441
25.400000	107.608	-94.6872
25.799999	107.715	-95.7184
26.200001	107.818	-96.7350
26.500000	107.894	-97.4855
26.900000	107.991	-98.4669
27.200001	108.061	-99.1875
27.600000	108.151	-100.1275
28.000000	108.236	-101.0470
28.500000	108.337	-102.1755
29.000000	108.433	-103.2921
29.500000	108.525	-104.4043
30.000000	108.614	-105.5098
30.400000	108.683	-106.3817
30.700001	108.734	-107.0228
31.100000	108.799	-107.8551
31.500000	108.862	-108.6584
32.000000	108.936	-109.6246
32.500000	109.005	-110.5594
33.000000	109.069	-111.4761
33.500000	109.129	-112.3828
34.000000	109.186	-113.2804
34.500000	109.242	-114.1652
35.000000	109.297	-115.0314
35.500000	109.351	-115.8745
36.000000	109.402	-116.6927
36.500000	109.450	-117.4887
37.000000	109.495	-118.2689
37.500000	109.537	-119.0401
38.200001	109.594	-120.1075
38.700001	109.634	-120.8533
39.500000	109.696	-121.9978
40.000000	109.733	-122.6798
40.599998	109.774	-123.4700
41.200001	109.810	-124.2361
41.799999	109.845	-124.9861
42.500000	109.886	-125.8556
43.099998	109.922	-126.6023
43.700001	109.956	-127.3411
44.400002	109.992	-128.1739
45.000000	110.022	-128.8597
45.500000	110.045	-129.4177
46.200001	110.076	-130.1868
46.799999	110.100	-130.8361
47.500000	110.123	-131.5807
48.200001	110.141	-132.3101
48.700001	110.152	-132.8198
49.400002	110.165	-133.5177
50.000000	110.177	-134.1057
50.799999	110.194	-134.8811
51.500000	110.205	-135.5464
52.200001	110.214	-136.1932
53.000000	110.218	-136.9130
53.799999	110.220	-137.6192
54.500000	110.219	-138.2261
55.200001	110.217	-138.8196
56.000000	110.214	-139.4812
57.000000	110.209	-140.2868
58.000000	110.202	-141.0691
59.000000	110.194	-141.8238
60.000000	110.186	-142.5476
60.799999	110.178	-143.1055
61.500000	110.171	-143.5795
62.200001	110.162	-144.0405
63.000000	110.151	-144.5506
64.000000	110.134	-145.1635
65.000000	110.116	-145.7512
66.000000	110.097	-146.3163
67.000000	110.079	-146.8628
68.000000	110.061	-147.3959
69.000000	110.042	-147.9204
70.000000	110.021	-148.4369
71.000000	109.999	-148.9411
72.000000	109.975	-149.4287
73.000000	109.950	-149.8970
74.000000	109.924	-150.3452
75.000000	109.895	-150.7715
76.199997	109.859	-151.2514
77.500000	109.818	-151.7346
78.800003	109.775	-152.1850
80.000000	109.735	-152.5706
81.199997	109.695	-152.9262
82.500000	109.653	-153.2831
83.800003	109.614	-153.6185
85.000000	109.581	-153.9206
86.199997	109.552	-154.2261
87.500000	109.521	-154.5653
88.500000	109.496	-154.8291
90.000000	109.455	-155.2169
91.199997	109.419	-155.5112
92.500000	109.379	-155.8120
93.800003	109.338	-156.0994
95.000000	109.300	-156.3553
96.199997	109.262	-156.6009
97.500000	109.222	-156.8531
98.800003	109.180	-157.0899
100.000000	109.142	-157.2956
101.500000	109.095	-157.5401
103.000000	109.048	-157.7742
104.400002	109.005	-157.9839
106.000000	108.954	-158.2149
107.500000	108.906	-158.4273
109.000000	108.857	-158.6367
110.599998	108.803	-158.8549
112.000000	108.757	-159.0385
113.800003	108.696	-159.2623
115.000000	108.655	-159.4044
117.199997	108.577	-159.6526
118.000000	108.548	-159.7385
120.599998	108.454	-159.9995
122.000000	108.402	-160.1290
124.099998	108.322	-160.3082
125.000000	108.287	-160.3779
126.500000	108.228	-160.4804
128.000000	108.166	-160.5620
131.500000	108.012	-160.6673
132.000000	107.988	-160.6728
134.000000	107.892	-160.6687
136.000000	107.793	-160.6135
138.000000	107.689	-160.4910
140.000000	107.580	-160.2766
143.000000	107.412	-159.6956
145.000000	107.305	-159.0811
147.500000	107.197	-158.0367
150.000000	107.142	-156.7477
152.500000	107.158	-155.4046
155.000000	107.248	-154.2997
157.500000	107.380	-153.6824
160.000000	107.508	-153.5966
162.500000	107.600	-153.8863
165.000000	107.642	-154.3418
167.500000	107.639	-154.8147
170.000000	107.602	-155.2357
172.500000	107.539	-155.5795
175.000000	107.460	-155.8405
177.500000	107.372	-156.0260
180.000000	107.280	-156.1508
182.500000	107.188	-156.2302
185.000000	107.097	-156.2742
187.500000	107.012	-156.2844
190.000000	106.932	-156.2555
192.500000	106.857	-156.1854
195.000000	106.786	-156.0794
197.500000	106.719	-155.9436
200.000000	106.653	-155.7818
203.000000	106.577	-155.5557
206.000000	106.501	-155.3023
209.000000	106.428	-155.0333
212.000000	106.360	-154.7553
214.000000	106.316	-154.5674
218.000000	106.232	-154.1960
220.000000	106.189	-154.0170
224.000000	106.102	-153.6687
227.000000	106.035	-153.4041
230.000000	105.966	-153.1279
233.000000	105.898	-152.8359
236.000000	105.833	-152.5259
240.000000	105.751	-152.0813
243.000000	105.691	-151.7204
247.000000	105.612	-151.1895
250.000000	105.554	-150.7496
254.000000	105.477	-150.1224
258.000000	105.399	-149.4773
262.000000	105.323	-148.8414
265.000000	105.267	-148.3784
269.000000	105.194	-147.7760
272.000000	105.140	-147.3313
276.000000	105.067	-146.7496
280.000000	104.995	-146.1865
285.000000	104.905	-145.5133
290.000000	104.819	-144.8672
295.000000	104.736	-144.2301
300.000000	104.656	-143.5914
304.000000	104.593	-143.0839
307.000000	104.547	-142.7067
311.000000	104.485	-142.2034
315.000000	104.424	-141.6926
320.000000	104.350	-141.0364
325.000000	104.277	-140.3559
330.000000	104.208	-139.6525
335.000000	104.142	-138.9346
340.000000	104.080	-138.2137
345.000000	104.019	-137.5000
350.000000	103.958	-136.7959
355.000000	103.895	-136.1021
360.000000	103.834	-135.4222
365.000000	103.775	-134.7589
370.000000	103.718	-134.1080
375.000000	103.663	-133.4609
382.000000	103.588	-132.5477
387.000000	103.535	-131.8909
395.000000	103.452	-130.8433
400.000000	103.402	-130.1902
406.000000	103.343	-129.4014
412.000000	103.285	-128.6045
418.000000	103.229	-127.8038
425.000000	103.167	-126.8665
431.000000	103.115	-126.0494
437.000000	103.064	-125.2086
444.000000	103.008	-124.1951
450.000000	102.961	-123.2972
455.000000	102.924	-122.5267
462.000000	102.875	-121.4141
468.000000	102.837	-120.4400
