* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07-Feb-2025 14:19:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: EPZ G10 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.861	-153.6658
20.600000	79.866	-154.1832
20.900000	79.870	-154.8315
21.200001	79.874	-155.5255
21.400000	79.876	-155.9969
21.799999	79.878	-156.9424
22.000000	79.879	-157.4114
22.400000	79.881	-158.3315
22.700001	79.882	-159.0000
23.000000	79.884	-159.6481
23.299999	79.886	-160.2774
23.600000	79.887	-160.8910
24.000000	79.887	-161.6906
24.299999	79.883	-162.2786
24.700001	79.877	-163.0478
25.000000	79.870	-163.6126
25.400000	79.860	-164.3484
25.799999	79.850	-165.0649
26.200001	79.840	-165.7632
26.500000	79.831	-166.2759
26.900000	79.818	-166.9451
27.200001	79.808	-167.4366
27.600000	79.792	-168.0786
28.000000	79.777	-168.7070
28.500000	79.756	-169.4751
29.000000	79.734	-170.2242
29.500000	79.712	-170.9525
30.000000	79.689	-171.6587
30.400000	79.670	-172.2084
30.700001	79.655	-172.6125
31.100000	79.634	-173.1413
31.500000	79.612	-173.6595
32.000000	79.586	-174.2925
32.500000	79.560	-174.9094
33.000000	79.533	-175.5106
33.500000	79.507	-176.0966
34.000000	79.479	-176.6677
34.500000	79.452	-177.2240
35.000000	79.423	-177.7657
35.500000	79.393	-178.2929
36.000000	79.363	-178.8062
36.500000	79.333	-179.3067
37.000000	79.303	-179.7960
37.500000	79.273	179.7247
38.200001	79.227	179.0710
38.700001	79.193	178.6181
39.500000	79.138	177.9186
40.000000	79.104	177.4958
40.599998	79.064	177.0019
41.200001	79.025	176.5226
41.799999	78.988	176.0577
42.500000	78.945	175.5325
43.099998	78.907	175.0965
43.700001	78.867	174.6730
44.400002	78.821	174.1935
45.000000	78.781	173.7939
45.500000	78.747	173.4689
46.200001	78.699	173.0261
46.799999	78.658	172.6577
47.500000	78.613	172.2416
48.200001	78.572	171.8415
48.700001	78.546	171.5644
49.400002	78.512	171.1854
50.000000	78.478	170.8671
50.799999	78.423	170.4537
51.500000	78.367	170.1052
52.200001	78.312	169.7699
53.000000	78.252	169.4009
53.799999	78.196	169.0441
54.500000	78.149	168.7413
55.200001	78.102	168.4487
56.000000	78.050	168.1274
57.000000	77.984	167.7432
58.000000	77.919	167.3756
59.000000	77.855	167.0236
60.000000	77.792	166.6877
60.799999	77.742	166.4303
61.500000	77.698	166.2121
62.200001	77.656	166.0000
63.000000	77.608	165.7655
64.000000	77.549	165.4853
65.000000	77.491	165.2193
66.000000	77.433	164.9661
67.000000	77.376	164.7249
68.000000	77.318	164.4950
69.000000	77.258	164.2758
70.000000	77.197	164.0673
71.000000	77.139	163.8694
72.000000	77.083	163.6822
73.000000	77.029	163.5044
74.000000	76.976	163.3350
75.000000	76.924	163.1743
76.199997	76.860	162.9940
77.500000	76.791	162.8128
78.800003	76.723	162.6431
80.000000	76.661	162.4969
81.199997	76.600	162.3620
82.500000	76.535	162.2283
83.800003	76.473	162.1057
85.000000	76.417	161.9997
86.199997	76.360	161.9006
87.500000	76.298	161.8012
88.500000	76.251	161.7299
90.000000	76.181	161.6333
91.199997	76.126	161.5655
92.500000	76.068	161.5007
93.800003	76.011	161.4437
95.000000	75.958	161.3972
96.199997	75.905	161.3571
97.500000	75.848	161.3209
98.800003	75.791	161.2911
100.000000	75.740	161.2681
101.500000	75.680	161.2426
103.000000	75.625	161.2200
104.400002	75.574	161.2045
106.000000	75.515	161.1959
107.500000	75.459	161.1978
109.000000	75.402	161.2083
110.599998	75.343	161.2270
112.000000	75.292	161.2494
113.800003	75.228	161.2866
115.000000	75.186	161.3159
117.199997	75.110	161.3783
118.000000	75.083	161.4041
120.599998	74.998	161.4989
122.000000	74.954	161.5554
124.099998	74.890	161.6459
125.000000	74.864	161.6864
126.500000	74.820	161.7556
128.000000	74.776	161.8270
131.500000	74.677	161.9991
132.000000	74.663	162.0238
134.000000	74.608	162.1233
136.000000	74.553	162.2257
138.000000	74.498	162.3335
140.000000	74.444	162.4461
143.000000	74.366	162.6225
145.000000	74.315	162.7452
147.500000	74.253	162.9042
150.000000	74.194	163.0704
152.500000	74.139	163.2449
155.000000	74.086	163.4261
157.500000	74.033	163.6130
160.000000	73.982	163.8035
162.500000	73.935	163.9935
165.000000	73.893	164.1811
167.500000	73.853	164.3661
170.000000	73.813	164.5508
172.500000	73.773	164.7372
175.000000	73.733	164.9252
177.500000	73.691	165.1158
180.000000	73.643	165.3095
182.500000	73.588	165.5053
185.000000	73.522	165.7029
187.500000	73.447	165.9028
190.000000	73.368	166.1059
192.500000	73.294	166.3120
195.000000	73.232	166.5200
197.500000	73.184	166.7294
200.000000	73.148	166.9409
203.000000	73.122	167.1980
206.000000	73.110	167.4588
209.000000	73.104	167.7240
212.000000	73.096	167.9948
214.000000	73.086	168.1785
218.000000	73.054	168.5540
220.000000	73.034	168.7458
224.000000	72.989	169.1360
227.000000	72.953	169.4328
230.000000	72.917	169.7321
233.000000	72.883	170.0322
236.000000	72.851	170.3289
240.000000	72.812	170.7145
243.000000	72.783	170.9988
247.000000	72.742	171.3773
250.000000	72.710	171.6646
254.000000	72.670	172.0598
258.000000	72.633	172.4769
262.000000	72.598	172.9220
265.000000	72.574	173.2762
269.000000	72.546	173.7747
272.000000	72.530	174.1667
276.000000	72.517	174.7074
280.000000	72.519	175.2464
285.000000	72.540	175.8478
290.000000	72.574	176.2865
295.000000	72.604	176.5455
300.000000	72.616	176.6909
304.000000	72.610	176.7835
307.000000	72.599	176.8604
311.000000	72.576	176.9879
315.000000	72.549	177.1527
320.000000	72.514	177.4098
325.000000	72.481	177.7131
330.000000	72.452	178.0466
335.000000	72.428	178.3928
340.000000	72.409	178.7437
345.000000	72.391	179.1038
350.000000	72.370	179.4794
355.000000	72.345	179.8719
360.000000	72.323	-179.7215
365.000000	72.308	-179.3073
370.000000	72.299	-178.8952
375.000000	72.292	-178.4947
382.000000	72.286	-177.9665
387.000000	72.283	-177.6159
395.000000	72.279	-177.0912
400.000000	72.276	-176.7735
406.000000	72.271	-176.3918
