* Measurement data measured by REW V5.31.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07-Feb-2025 14:19:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: EPZ G10 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.972	-153.6682
20.600000	79.976	-154.1905
20.900000	79.980	-154.8439
21.200001	79.982	-155.5412
21.400000	79.984	-156.0132
21.799999	79.985	-156.9566
22.000000	79.985	-157.4233
22.400000	79.986	-158.3379
22.700001	79.987	-159.0026
23.000000	79.988	-159.6476
23.299999	79.989	-160.2742
23.600000	79.989	-160.8856
24.000000	79.988	-161.6827
24.299999	79.984	-162.2696
24.700001	79.976	-163.0388
25.000000	79.969	-163.6049
25.400000	79.959	-164.3436
25.799999	79.948	-165.0628
26.200001	79.936	-165.7625
26.500000	79.927	-166.2751
26.900000	79.913	-166.9436
27.200001	79.902	-167.4346
27.600000	79.886	-168.0764
28.000000	79.869	-168.7047
28.500000	79.847	-169.4722
29.000000	79.824	-170.2202
29.500000	79.801	-170.9480
30.000000	79.776	-171.6551
30.400000	79.756	-172.2062
30.700001	79.740	-172.6112
31.100000	79.718	-173.1408
31.500000	79.695	-173.6591
32.000000	79.667	-174.2923
32.500000	79.640	-174.9103
33.000000	79.613	-175.5129
33.500000	79.585	-176.0996
34.000000	79.557	-176.6700
34.500000	79.528	-177.2246
35.000000	79.498	-177.7646
35.500000	79.467	-178.2911
36.000000	79.435	-178.8045
36.500000	79.404	-179.3054
37.000000	79.373	-179.7949
37.500000	79.342	179.7263
38.200001	79.295	179.0738
38.700001	79.260	178.6209
39.500000	79.203	177.9189
40.000000	79.168	177.4930
40.599998	79.126	176.9946
41.200001	79.086	176.5110
41.799999	79.048	176.0436
42.500000	79.004	175.5177
43.099998	78.965	175.0812
43.700001	78.926	174.6561
44.400002	78.879	174.1733
45.000000	78.838	173.7714
45.500000	78.803	173.4456
46.200001	78.754	173.0043
46.799999	78.712	172.6390
47.500000	78.666	172.2260
48.200001	78.624	171.8271
48.700001	78.597	171.5511
49.400002	78.560	171.1753
50.000000	78.525	170.8600
50.799999	78.468	170.4476
51.500000	78.413	170.0965
52.200001	78.357	169.7574
53.000000	78.296	169.3848
53.799999	78.238	169.0265
54.500000	78.190	168.7241
55.200001	78.143	168.4318
56.000000	78.089	168.1094
57.000000	78.022	167.7237
58.000000	77.956	167.3564
59.000000	77.890	167.0064
60.000000	77.825	166.6718
60.799999	77.773	166.4143
61.500000	77.729	166.1967
62.200001	77.685	165.9863
63.000000	77.636	165.7543
64.000000	77.575	165.4758
65.000000	77.515	165.2093
66.000000	77.456	164.9545
67.000000	77.397	164.7119
68.000000	77.337	164.4817
69.000000	77.276	164.2631
70.000000	77.214	164.0550
71.000000	77.154	163.8574
72.000000	77.096	163.6706
73.000000	77.041	163.4936
74.000000	76.986	163.3256
75.000000	76.932	163.1661
76.199997	76.867	162.9846
77.500000	76.796	162.8005
78.800003	76.725	162.6303
80.000000	76.662	162.4849
81.199997	76.599	162.3495
82.500000	76.533	162.2139
83.800003	76.468	162.0898
85.000000	76.410	161.9843
86.199997	76.352	161.8862
87.500000	76.289	161.7884
88.500000	76.240	161.7196
90.000000	76.167	161.6267
91.199997	76.111	161.5599
92.500000	76.052	161.4946
93.800003	75.993	161.4368
95.000000	75.939	161.3903
96.199997	75.884	161.3504
97.500000	75.825	161.3130
98.800003	75.766	161.2804
100.000000	75.713	161.2554
101.500000	75.652	161.2327
103.000000	75.594	161.2169
104.400002	75.541	161.2065
106.000000	75.480	161.2000
107.500000	75.422	161.2007
109.000000	75.365	161.2103
110.599998	75.304	161.2293
112.000000	75.252	161.2509
113.800003	75.186	161.2849
115.000000	75.142	161.3128
117.199997	75.063	161.3769
118.000000	75.035	161.4040
120.599998	74.948	161.5024
122.000000	74.903	161.5599
124.099998	74.839	161.6492
125.000000	74.812	161.6887
126.500000	74.766	161.7560
128.000000	74.722	161.8248
131.500000	74.620	161.9911
132.000000	74.606	162.0159
134.000000	74.549	162.1182
136.000000	74.493	162.2239
138.000000	74.437	162.3325
140.000000	74.381	162.4452
143.000000	74.300	162.6227
145.000000	74.248	162.7469
147.500000	74.183	162.9077
150.000000	74.121	163.0743
152.500000	74.064	163.2478
155.000000	74.010	163.4280
157.500000	73.955	163.6144
160.000000	73.902	163.8043
162.500000	73.854	163.9926
165.000000	73.810	164.1785
167.500000	73.768	164.3633
170.000000	73.726	164.5485
172.500000	73.685	164.7362
175.000000	73.643	164.9272
177.500000	73.599	165.1208
180.000000	73.550	165.3162
182.500000	73.493	165.5128
185.000000	73.426	165.7103
187.500000	73.350	165.9095
190.000000	73.270	166.1111
192.500000	73.196	166.3155
195.000000	73.133	166.5223
197.500000	73.084	166.7315
200.000000	73.047	166.9434
203.000000	73.020	167.2012
206.000000	73.007	167.4629
209.000000	72.999	167.7290
212.000000	72.990	168.0013
214.000000	72.979	168.1864
218.000000	72.945	168.5635
220.000000	72.924	168.7558
224.000000	72.877	169.1502
227.000000	72.840	169.4524
230.000000	72.804	169.7562
233.000000	72.770	170.0581
236.000000	72.737	170.3553
240.000000	72.697	170.7438
243.000000	72.666	171.0304
247.000000	72.624	171.4105
250.000000	72.591	171.6993
254.000000	72.551	172.0996
258.000000	72.514	172.5254
262.000000	72.479	172.9784
265.000000	72.455	173.3356
269.000000	72.429	173.8346
272.000000	72.414	174.2256
276.000000	72.403	174.7644
280.000000	72.406	175.2990
285.000000	72.430	175.8844
290.000000	72.462	176.2960
295.000000	72.487	176.5324
300.000000	72.495	176.6680
304.000000	72.487	176.7618
307.000000	72.474	176.8449
311.000000	72.451	176.9839
315.000000	72.425	177.1583
320.000000	72.390	177.4242
325.000000	72.357	177.7338
330.000000	72.328	178.0707
335.000000	72.304	178.4175
340.000000	72.285	178.7685
345.000000	72.268	179.1300
350.000000	72.247	179.5090
355.000000	72.222	179.9060
360.000000	72.201	-179.6842
365.000000	72.187	-179.2720
370.000000	72.179	-178.8690
375.000000	72.174	-178.4840
382.000000	72.168	-177.9825
387.000000	72.164	-177.6489
395.000000	72.158	-177.1389
400.000000	72.154	-176.8241
406.000000	72.147	-176.4416
412.000000	72.139	-176.0514
418.000000	72.130	-175.6556
425.000000	72.121	-175.1890
431.000000	72.115	-174.7868
437.000000	72.111	-174.3867
444.000000	72.107	-173.9296
450.000000	72.106	-173.5517
455.000000	72.106	-173.2475
462.000000	72.108	-172.8338
468.000000	72.108	-172.4842
475.000000	72.107	-172.0733
482.000000	72.104	-171.6540
487.000000	72.100	-171.3494
494.000000	72.095	-170.9190
500.000000	72.092	-170.5500
508.000000	72.091	-170.0612
515.000000	72.092	-169.6350
522.000000	72.091	-169.2082
530.000000	72.090	-168.7159
538.000000	72.088	-168.2161
545.000000	72.086	-167.7735
552.000000	72.087	-167.3268
560.000000	72.090	-166.8106
570.000000	72.096	-166.1576
580.000000	72.106	-165.4992
590.000000	72.118	-164.8425
600.000000	72.131	-164.1964
608.000000	72.142	-163.6903
615.000000	72.153	-163.2549
622.000000	72.163	-162.8243
630.000000	72.175	-162.3342
640.000000	72.190	-161.7160
650.000000	72.207	-161.0859
660.000000	72.229	-160.4487
670.000000	72.254	-159.8141
680.000000	72.279	-159.1870
690.000000	72.303	-158.5670
700.000000	72.327	-157.9497
710.000000	72.352	-157.3296
720.000000	72.379	-156.7038
730.000000	72.408	-156.0731
740.000000	72.440	-155.4392
750.000000	72.474	-154.8035
762.000000	72.516	-154.0404
775.000000	72.564	-153.2146
788.000000	72.615	-152.3903
800.000000	72.666	-151.6306
812.000000	72.719	-150.8721
825.000000	72.779	-150.0543
838.000000	72.842	-149.2442
850.000000	72.905	-148.5063
862.000000	72.972	-147.7811
875.000000	73.052	-147.0134
885.000000	73.116	-146.4377
900.000000	73.215	-145.6015
912.000000	73.296	-144.9574
925.000000	73.386	-144.2835
938.000000	73.477	-143.6339
950.000000	73.564	-143.0569
962.000000	73.653	-142.5038
975.000000	73.752	-141.9337
988.000000	73.854	-141.3962
1000.000000	73.950	-140.9309
1015.000000	74.070	-140.3938
1030.000000	74.191	-139.9065
1044.000000	74.304	-139.4946
1060.000000	74.433	-139.0712
1075.000000	74.552	-138.7158
1090.000000	74.669	-138.3971
1106.000000	74.791	-138.0934
1120.000000	74.897	-137.8563
1138.000000	75.033	-137.5913
1150.000000	75.123	-137.4409
1172.000000	75.287	-137.2231
1180.000000	75.346	-137.1632
1206.000000	75.535	-137.0361
1220.000000	75.635	-137.0005
1241.000000	75.781	-136.9512
1250.000000	75.843	-136.9141
1265.000000	75.947	-136.8064
1280.000000	76.054	-136.6269
1315.000000	76.303	-135.9958
1320.000000	76.334	-135.8957
1340.000000	76.439	-135.4981
1360.000000	76.503	-135.1167
1380.000000	76.538	-134.7608
1400.000000	76.565	-134.4388
1430.000000	76.630	-134.0244
1450.000000	76.702	-133.7851
1475.000000	76.823	-133.5141
1500.000000	76.969	-133.2653
1525.000000	77.130	-133.0356
