* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 27-May-2025 14:20:04
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: EPZ Q1 Pro R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.006	-162.1726
20.600000	89.006	-162.5607
20.900000	89.004	-163.0497
21.200001	89.002	-163.5775
21.400000	89.000	-163.9387
21.799999	88.996	-164.6696
22.000000	88.994	-165.0347
22.400000	88.993	-165.7531
22.700001	88.993	-166.2738
23.000000	88.995	-166.7751
23.299999	88.998	-167.2570
23.600000	89.000	-167.7228
24.000000	89.002	-168.3269
24.299999	89.002	-168.7725
24.700001	88.998	-169.3612
25.000000	88.993	-169.7987
25.400000	88.985	-170.3741
25.799999	88.976	-170.9371
26.200001	88.965	-171.4855
26.500000	88.957	-171.8876
26.900000	88.945	-172.4132
27.200001	88.936	-172.8016
27.600000	88.923	-173.3145
28.000000	88.909	-173.8245
28.500000	88.891	-174.4598
29.000000	88.870	-175.0910
29.500000	88.849	-175.7117
30.000000	88.828	-176.3145
30.400000	88.812	-176.7807
30.700001	88.799	-177.1209
31.100000	88.784	-177.5634
31.500000	88.769	-177.9950
32.000000	88.751	-178.5217
32.500000	88.733	-179.0346
33.000000	88.715	-179.5329
33.500000	88.695	179.9830
34.000000	88.673	179.5118
34.500000	88.650	179.0514
35.000000	88.625	178.5991
35.500000	88.599	178.1517
36.000000	88.574	177.7071
36.500000	88.549	177.2652
37.000000	88.524	176.8297
37.500000	88.499	176.4055
38.200001	88.461	175.8368
38.700001	88.433	175.4473
39.500000	88.386	174.8404
40.000000	88.356	174.4674
40.599998	88.319	174.0303
41.200001	88.284	173.6089
41.799999	88.252	173.1985
42.500000	88.218	172.7209
43.099998	88.186	172.3137
43.700001	88.153	171.9191
44.400002	88.114	171.4799
45.000000	88.082	171.1165
45.500000	88.055	170.8209
46.200001	88.015	170.4212
46.799999	87.980	170.0901
47.500000	87.942	169.7082
48.200001	87.907	169.3275
48.700001	87.885	169.0598
49.400002	87.856	168.6955
50.000000	87.829	168.3926
50.799999	87.782	167.9977
51.500000	87.735	167.6581
52.200001	87.687	167.3247
53.000000	87.635	166.9558
53.799999	87.586	166.6044
54.500000	87.544	166.3095
55.200001	87.504	166.0233
56.000000	87.458	165.7062
57.000000	87.402	165.3261
58.000000	87.345	164.9642
59.000000	87.288	164.6196
60.000000	87.232	164.2821
60.799999	87.188	164.0142
61.500000	87.150	163.7846
62.200001	87.113	163.5612
63.000000	87.071	163.3135
64.000000	87.019	163.0146
65.000000	86.967	162.7258
66.000000	86.917	162.4484
67.000000	86.867	162.1827
68.000000	86.816	161.9271
69.000000	86.762	161.6830
70.000000	86.708	161.4490
71.000000	86.656	161.2223
72.000000	86.605	161.0054
73.000000	86.556	160.7993
74.000000	86.508	160.6014
75.000000	86.460	160.4119
76.199997	86.402	160.1970
77.500000	86.339	159.9755
78.800003	86.276	159.7634
80.000000	86.219	159.5779
81.199997	86.162	159.3995
82.500000	86.102	159.2158
83.800003	86.044	159.0458
85.000000	85.991	158.8991
86.199997	85.939	158.7579
87.500000	85.883	158.6106
88.500000	85.839	158.5038
90.000000	85.775	158.3561
91.199997	85.725	158.2468
92.500000	85.673	158.1350
93.800003	85.622	158.0303
95.000000	85.574	157.9428
96.199997	85.526	157.8656
97.500000	85.474	157.7894
98.800003	85.423	157.7128
100.000000	85.378	157.6384
101.500000	85.324	157.5464
103.000000	85.273	157.4638
104.400002	85.227	157.3978
106.000000	85.174	157.3299
107.500000	85.124	157.2687
109.000000	85.072	157.2074
110.599998	85.018	157.1429
112.000000	84.971	157.0904
113.800003	84.912	157.0312
115.000000	84.873	156.9974
117.199997	84.802	156.9454
118.000000	84.777	156.9297
120.599998	84.699	156.8922
122.000000	84.659	156.8762
124.099998	84.601	156.8518
125.000000	84.576	156.8439
126.500000	84.536	156.8367
128.000000	84.495	156.8369
131.500000	84.401	156.8684
132.000000	84.387	156.8765
134.000000	84.334	156.9163
136.000000	84.280	156.9649
138.000000	84.226	157.0175
140.000000	84.174	157.0748
143.000000	84.102	157.1706
145.000000	84.057	157.2314
147.500000	84.005	157.2880
150.000000	83.957	157.3322
152.500000	83.912	157.3808
155.000000	83.866	157.4240
