* Measurement data measured by REW V5.30 beta 4
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06-Dec-2023 20:23:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: EPZ Q5 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.848	-97.9207
22.000000	78.991	-101.7313
25.000000	78.992	-108.6667
30.000000	79.027	-118.6984
30.400000	79.177	-119.3834
30.700001	79.213	-119.8813
40.000000	79.275	-132.0587
50.000000	79.495	-140.2395
50.799999	79.502	-140.8073
60.000000	79.399	-146.0102
60.799999	79.384	-146.3944
61.500000	79.370	-146.7224
62.200001	79.355	-147.0403
63.000000	79.337	-147.3884
64.000000	79.312	-147.7995
65.000000	79.286	-148.1859
66.000000	79.258	-148.5570
67.000000	79.226	-148.9139
68.000000	79.191	-149.2560
69.000000	79.154	-149.5886
70.000000	79.118	-149.9080
71.000000	79.082	-150.2195
72.000000	79.046	-150.5246
73.000000	79.012	-150.8108
74.000000	78.979	-151.0659
75.000000	78.947	-151.2768
76.199997	78.909	-151.4736
77.500000	78.867	-151.6645
78.800003	78.822	-151.8660
80.000000	78.782	-152.0681
81.199997	78.744	-152.2694
82.500000	78.702	-152.4475
83.800003	78.656	-152.5926
85.000000	78.611	-152.7210
86.199997	78.566	-152.8334
87.500000	78.520	-152.9218
88.500000	78.484	-152.9736
90.000000	78.426	-153.0363
91.199997	78.381	-153.0649
92.500000	78.337	-153.0757
93.800003	78.293	-153.0801
95.000000	78.253	-153.0733
96.199997	78.215	-153.0465
97.500000	78.179	-153.0102
98.800003	78.144	-152.9827
100.000000	78.111	-152.9560
101.500000	78.070	-152.9040
103.000000	78.029	-152.8429
104.400002	77.992	-152.8009
106.000000	77.951	-152.7805
107.500000	77.911	-152.7644
109.000000	77.870	-152.7200
110.599998	77.827	-152.6311
112.000000	77.792	-152.5292
113.800003	77.748	-152.3969
115.000000	77.719	-152.3203
117.199997	77.667	-152.1949
118.000000	77.647	-152.1482
120.599998	77.577	-151.9869
122.000000	77.535	-151.8980
124.099998	77.470	-151.7565
125.000000	77.441	-151.6895
126.500000	77.394	-151.5686
128.000000	77.349	-151.4378
131.500000	77.250	-151.0787
132.000000	77.237	-151.0217
134.000000	77.185	-150.7805
136.000000	77.133	-150.5164
138.000000	77.081	-150.2362
140.000000	77.026	-149.9443
143.000000	76.937	-149.5147
145.000000	76.877	-149.2553
147.500000	76.806	-148.9534
150.000000	76.738	-148.6410
152.500000	76.668	-148.3104
155.000000	76.594	-147.9887
157.500000	76.520	-147.6769
160.000000	76.449	-147.3425
162.500000	76.379	-146.9688
165.000000	76.309	-146.5739
167.500000	76.239	-146.1614
170.000000	76.167	-145.7435
172.500000	76.093	-145.3149
175.000000	76.018	-144.8653
177.500000	75.941	-144.4020
180.000000	75.865	-143.9259
182.500000	75.790	-143.4501
185.000000	75.713	-142.9700
187.500000	75.636	-142.4691
190.000000	75.564	-141.9556
192.500000	75.498	-141.4465
195.000000	75.437	-140.9335
197.500000	75.378	-140.3992
200.000000	75.321	-139.8407
203.000000	75.255	-139.1577
206.000000	75.191	-138.4786
209.000000	75.129	-137.8095
212.000000	75.067	-137.1552
214.000000	75.024	-136.7271
218.000000	74.935	-135.8606
220.000000	74.892	-135.4091
224.000000	74.807	-134.4668
227.000000	74.746	-133.7316
230.000000	74.685	-132.9763
233.000000	74.622	-132.2055
236.000000	74.556	-131.4240
240.000000	74.468	-130.3551
243.000000	74.405	-129.5103
247.000000	74.329	-128.3039
250.000000	74.280	-127.3401
254.000000	74.227	-126.0059
258.000000	74.194	-124.6616
262.000000	74.188	-123.3564
265.000000	74.199	-122.4527
269.000000	74.226	-121.4055
272.000000	74.248	-120.7441
276.000000	74.273	-120.0082
280.000000	74.285	-119.3935
285.000000	74.275	-118.7151
290.000000	74.237	-118.0528
295.000000	74.180	-117.3401
300.000000	74.113	-116.5439
304.000000	74.057	-115.8426
307.000000	74.014	-115.2775
311.000000	73.958	-114.4703
315.000000	73.905	-113.6120
320.000000	73.843	-112.4985
325.000000	73.787	-111.3536
330.000000	73.732	-110.1902
335.000000	73.678	-109.0280
340.000000	73.622	-107.8847
345.000000	73.567	-106.7650
350.000000	73.511	-105.6629
355.000000	73.457	-104.5689
360.000000	73.407	-103.4773
365.000000	73.359	-102.3962
370.000000	73.313	-101.3201
375.000000	73.267	-100.2359
382.000000	73.203	-98.7032
387.000000	73.158	-97.5795
395.000000	73.096	-95.7581
400.000000	73.064	-94.6370
406.000000	73.025	-93.2978
412.000000	72.983	-91.9306
418.000000	72.941	-90.5181
425.000000	72.897	-88.8187
431.000000	72.863	-87.3265
437.000000	72.833	-85.8413
444.000000	72.802	-84.1810
450.000000	72.782	-82.8254
455.000000	72.771	-81.7183
462.000000	72.756	-80.1879
468.000000	72.743	-78.9073
475.000000	72.727	-77.4368
482.000000	72.706	-75.9773
487.000000	72.687	-74.9331
494.000000	72.659	-73.4608
500.000000	72.634	-72.1871
508.000000	72.603	-70.4688
515.000000	72.579	-68.9484
522.000000	72.558	-67.4158
530.000000	72.535	-65.6575
538.000000	72.510	-63.9062
545.000000	72.489	-62.3833
552.000000	72.469	-60.8621
560.000000	72.447	-59.1129
570.000000	72.424	-56.8984
580.000000	72.404	-54.6550
590.000000	72.388	-52.4093
600.000000	72.376	-50.2063
608.000000	72.368	-48.4988
615.000000	72.361	-47.0495
622.000000	72.353	-45.6442
630.000000	72.342	-44.0854
640.000000	72.326	-42.1903
650.000000	72.310	-40.3330
660.000000	72.297	-38.4744
670.000000	72.292	-36.5982
680.000000	72.295	-34.6920
690.000000	72.306	-32.8030
700.000000	72.315	-30.9988
710.000000	72.315	-29.2690
720.000000	72.305	-27.5603
730.000000	72.285	-25.8287
740.000000	72.258	-24.0379
750.000000	72.234	-22.1666
762.000000	72.230	-19.8287
775.000000	72.259	-17.2612
788.000000	72.308	-14.7349
800.000000	72.359	-12.4268
812.000000	72.408	-10.1138
825.000000	72.461	-7.5736
838.000000	72.515	-4.9708
850.000000	72.570	-2.5236
862.000000	72.629	-0.0817
875.000000	72.695	2.5117
885.000000	72.745	4.4508
900.000000	72.823	7.2434
912.000000	72.890	9.3790
925.000000	72.970	11.5881
938.000000	73.052	13.6706
950.000000	73.127	15.4838
962.000000	73.202	17.2135
975.000000	73.285	19.0410
988.000000	73.374	20.8818
1000.000000	73.463	22.6222
1015.000000	73.581	24.8303
1030.000000	73.703	27.0240
1044.000000	73.815	29.0070
1060.000000	73.938	31.1600
1075.000000	74.056	33.0879
1090.000000	74.179	34.9572
1106.000000	74.312	36.9391
1120.000000	74.427	38.6990
1138.000000	74.568	40.9900
1150.000000	74.659	42.5121
1172.000000	74.825	45.2500
1180.000000	74.886	46.2365
1206.000000	75.082	49.4064
1220.000000	75.183	51.0914
1241.000000	75.327	53.6144
1250.000000	75.383	54.6814
1265.000000	75.468	56.4092
1280.000000	75.549	58.0748
1315.000000	75.740	61.9642
1320.000000	75.767	62.5417
1340.000000	75.877	64.9294
1360.000000	75.987	67.4078
1380.000000	76.094	69.8960
1400.000000	76.193	72.3181
1430.000000	76.334	75.7217
1450.000000	76.425	77.8244
1475.000000	76.530	80.3541
1500.000000	76.637	82.9939
1525.000000	76.762	85.9021
1550.000000	76.900	88.9961
1575.000000	77.035	92.1024
1600.000000	77.168	95.1475
1625.000000	77.303	98.1459
1650.000000	77.438	101.1236
1675.000000	77.573	104.1041
1700.000000	77.710	107.1027
1725.000000	77.849	110.1021
1750.000000	77.987	113.0738
1775.000000	78.125	116.0092
1800.000000	78.268	118.8829
1825.000000	78.416	121.5917
1850.000000	78.561	123.9973
1875.000000	78.698	126.0477
1900.000000	78.831	127.8227
1925.000000	78.968	129.4462
1950.000000	79.109	130.9893
1975.000000	79.250	132.4584
2000.000000	79.387	133.8483
2030.000000	79.550	135.4413
2060.000000	79.713	137.0016
2090.000000	79.875	138.5321
2120.000000	80.036	140.0096
2140.000000	80.143	140.9474
2180.000000	80.359	142.6159
2200.000000	80.463	143.2883
2240.000000	80.657	144.2946
2270.000000	80.797	144.9329
2300.000000	80.940	145.6907
2330.000000	81.089	146.6653
2360.000000	81.240	147.8168
2400.000000	81.438	149.4536
2430.000000	81.577	150.6747
2470.000000	81.746	152.3029
2500.000000	81.863	153.4947
2540.000000	82.013	154.9272
2580.000000	82.152	156.0941
2620.000000	82.279	156.9950
2650.000000	82.368	157.5488
2690.000000	82.480	158.1533
2720.000000	82.556	158.4856
2760.000000	82.640	158.7975
2800.000000	82.715	159.1184
2850.000000	82.802	159.7809
2900.000000	82.882	160.7463
2950.000000	82.948	161.7928
3000.000000	83.000	162.7415
3040.000000	83.034	163.4012
3070.000000	83.054	163.8321
3110.000000	83.075	164.3241
3150.000000	83.089	164.7580
3200.000000	83.104	165.3093
3250.000000	83.117	165.9099
3300.000000	83.126	166.5053
3350.000000	83.131	167.0696
3400.000000	83.134	167.6817
3450.000000	83.141	168.4444
3500.000000	83.153	169.3910
3550.000000	83.169	170.4589
3600.000000	83.187	171.5277
3650.000000	83.204	172.5284
3700.000000	83.225	173.4915
3750.000000	83.252	174.4201
3820.000000	83.288	175.6073
3870.000000	83.316	176.4371
3950.000000	83.371	177.8364
4000.000000	83.413	178.6666
4060.000000	83.472	179.3662
4120.000000	83.535	179.4792
4180.000000	83.595	178.9375
4250.000000	83.657	177.7601
4310.000000	83.713	176.6156
4370.000000	83.774	175.6159
4440.000000	83.851	174.9353
4500.000000	83.926	174.9273
4550.000000	83.994	175.2340
4620.000000	84.081	175.7650
4680.000000	84.145	176.0826
4750.000000	84.210	176.1653
4820.000000	84.257	175.7439
4870.000000	84.274	175.0189
4940.000000	84.268	173.4040
5000.000000	84.236	171.6397
5080.000000	84.158	169.0815
