* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 24-Aug-2024 14:36:19
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Earfun Air 2 NC R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.606	-132.9411
20.600000	78.645	-133.4682
20.900000	78.692	-134.1491
21.200001	78.739	-134.9071
21.400000	78.770	-135.4382
21.799999	78.837	-136.5355
22.000000	78.873	-137.0911
22.400000	78.957	-138.1934
22.700001	79.029	-138.9995
23.000000	79.106	-139.7811
23.299999	79.184	-140.5348
23.600000	79.257	-141.2575
24.000000	79.342	-142.1677
24.299999	79.394	-142.8100
24.700001	79.448	-143.6242
25.000000	79.481	-144.2209
25.400000	79.520	-145.0318
25.799999	79.556	-145.8886
26.200001	79.591	-146.7966
26.500000	79.617	-147.4985
26.900000	79.652	-148.4377
27.200001	79.680	-149.1328
27.600000	79.720	-150.0442
28.000000	79.761	-150.9466
28.500000	79.807	-152.0713
29.000000	79.844	-153.1773
29.500000	79.876	-154.2363
30.000000	79.910	-155.2465
30.400000	79.940	-156.0403
30.700001	79.964	-156.6387
31.100000	79.993	-157.4429
31.500000	80.016	-158.2433
32.000000	80.035	-159.2098
32.500000	80.050	-160.1246
33.000000	80.067	-161.0105
33.500000	80.090	-161.9091
34.000000	80.114	-162.8419
34.500000	80.132	-163.7935
35.000000	80.143	-164.7301
35.500000	80.148	-165.6307
36.000000	80.151	-166.5005
36.500000	80.152	-167.3583
37.000000	80.151	-168.2153
37.500000	80.147	-169.0689
38.200001	80.142	-170.2481
38.700001	80.140	-171.0800
39.500000	80.135	-172.3778
40.000000	80.127	-173.1402
40.599998	80.113	-173.9934
41.200001	80.096	-174.8188
41.799999	80.074	-175.6685
42.500000	80.036	-176.6906
43.099998	79.998	-177.5440
43.700001	79.963	-178.3486
44.400002	79.929	-179.2341
45.000000	79.901	-179.9562
45.500000	79.875	179.4659
46.200001	79.835	178.6789
46.799999	79.794	178.0076
47.500000	79.739	177.2224
48.200001	79.677	176.4339
48.700001	79.630	175.8646
49.400002	79.563	175.0695
50.000000	79.507	174.4185
50.799999	79.439	173.6261
51.500000	79.384	172.9861
52.200001	79.326	172.3651
53.000000	79.251	171.6526
53.799999	79.168	170.9227
54.500000	79.090	170.2915
55.200001	79.011	169.7143
56.000000	78.924	169.1417
57.000000	78.823	168.4869
58.000000	78.725	167.8206
59.000000	78.629	167.1730
60.000000	78.535	166.5941
60.799999	78.458	166.1930
61.500000	78.390	165.8887
62.200001	78.323	165.6099
63.000000	78.250	165.2944
64.000000	78.161	164.9032
65.000000	78.074	164.5409
66.000000	77.987	164.2065
67.000000	77.895	163.9106
68.000000	77.803	163.6573
69.000000	77.715	163.4019
70.000000	77.631	163.1145
71.000000	77.549	162.8358
72.000000	77.465	162.6154
73.000000	77.377	162.4313
74.000000	77.280	162.2454
75.000000	77.179	162.0839
76.199997	77.066	161.9551
77.500000	76.956	161.8365
78.800003	76.851	161.6938
80.000000	76.761	161.5885
81.199997	76.677	161.5132
82.500000	76.589	161.3861
83.800003	76.501	161.1990
85.000000	76.416	161.0895
86.199997	76.324	161.0961
87.500000	76.218	161.1517
88.500000	76.136	161.1790
90.000000	76.014	161.1927
91.199997	75.910	161.2054
92.500000	75.791	161.2373
93.800003	75.675	161.3080
95.000000	75.575	161.4177
96.199997	75.481	161.5635
97.500000	75.388	161.7491
98.800003	75.303	161.9767
100.000000	75.224	162.2249
101.500000	75.118	162.5164
103.000000	75.004	162.7257
104.400002	74.902	162.8803
106.000000	74.793	163.1051
107.500000	74.692	163.3901
109.000000	74.582	163.7153
110.599998	74.455	164.1027
112.000000	74.344	164.5080
113.800003	74.212	165.0339
115.000000	74.133	165.3184
117.199997	73.994	165.7347
118.000000	73.943	165.8868
120.599998	73.772	166.5288
122.000000	73.680	166.9734
124.099998	73.547	167.7263
125.000000	73.493	168.0728
126.500000	73.404	168.6704
128.000000	73.317	169.2856
131.500000	73.128	170.7724
132.000000	73.102	170.9892
134.000000	73.001	171.8472
136.000000	72.895	172.6802
138.000000	72.789	173.5186
140.000000	72.689	174.4178
143.000000	72.567	175.8618
145.000000	72.504	176.8317
147.500000	72.443	178.0991
150.000000	72.395	179.3897
152.500000	72.346	-179.4257
155.000000	72.293	-178.3456
157.500000	72.248	-177.2562
160.000000	72.205	-176.0531
162.500000	72.157	-174.7578
165.000000	72.113	-173.5355
167.500000	72.074	-172.4184
170.000000	72.041	-171.3068
172.500000	72.020	-170.2179
175.000000	72.013	-169.2200
177.500000	72.009	-168.3479
180.000000	72.001	-167.5736
182.500000	71.988	-166.7907
185.000000	71.974	-165.9272
187.500000	71.959	-165.0022
190.000000	71.942	-164.0587
192.500000	71.927	-163.1056
195.000000	71.914	-162.1647
197.500000	71.902	-161.2688
200.000000	71.895	-160.4169
203.000000	71.898	-159.4095
206.000000	71.913	-158.4017
209.000000	71.937	-157.3783
212.000000	71.962	-156.3190
214.000000	71.972	-155.5982
218.000000	71.973	-154.1700
220.000000	71.969	-153.4873
224.000000	71.970	-152.2101
227.000000	71.980	-151.2780
230.000000	71.990	-150.3247
233.000000	71.996	-149.3563
236.000000	72.000	-148.4031
240.000000	72.012	-147.1646
243.000000	72.025	-146.2413
247.000000	72.038	-144.9772
250.000000	72.047	-144.0119
254.000000	72.062	-142.7312
258.000000	72.078	-141.4461
262.000000	72.089	-140.2211
265.000000	72.096	-139.3629
269.000000	72.110	-138.2660
272.000000	72.125	-137.4726
276.000000	72.152	-136.4371
280.000000	72.175	-135.4085
285.000000	72.185	-134.1333
290.000000	72.170	-132.8269
