* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 24-Aug-2024 14:43:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Earfun Air 2 NC (Anc off)
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.792	-106.0007
20.600000	75.859	-106.5338
20.900000	75.941	-107.1367
21.200001	76.024	-107.7057
21.400000	76.080	-108.0581
21.799999	76.188	-108.7359
22.000000	76.240	-109.0849
22.400000	76.335	-109.8516
22.700001	76.395	-110.5057
23.000000	76.445	-111.2278
23.299999	76.487	-112.0066
23.600000	76.524	-112.8265
24.000000	76.574	-113.9564
24.299999	76.617	-114.8113
24.700001	76.683	-115.9294
25.000000	76.738	-116.7281
25.400000	76.819	-117.7089
25.799999	76.903	-118.5796
26.200001	76.989	-119.3598
26.500000	77.053	-119.9162
26.900000	77.132	-120.6675
27.200001	77.183	-121.2611
27.600000	77.240	-122.0996
28.000000	77.282	-122.9695
28.500000	77.326	-124.0462
29.000000	77.373	-125.0757
29.500000	77.432	-126.0735
30.000000	77.496	-127.0712
30.400000	77.542	-127.8693
30.700001	77.571	-128.4579
31.100000	77.603	-129.2178
31.500000	77.631	-129.9474
32.000000	77.667	-130.8361
32.500000	77.703	-131.7248
33.000000	77.738	-132.6162
33.500000	77.767	-133.4865
34.000000	77.788	-134.3134
34.500000	77.805	-135.0950
35.000000	77.820	-135.8431
35.500000	77.838	-136.5739
36.000000	77.863	-137.3051
36.500000	77.894	-138.0526
37.000000	77.925	-138.8141
37.500000	77.947	-139.5588
38.200001	77.959	-140.5024
38.700001	77.962	-141.1071
39.500000	77.975	-142.0884
40.000000	77.987	-142.7677
40.599998	77.997	-143.6158
41.200001	78.000	-144.4185
41.799999	77.998	-145.1378
42.500000	77.989	-145.9162
43.099998	77.974	-146.5888
43.700001	77.956	-147.2910
44.400002	77.939	-148.1356
45.000000	77.932	-148.8455
45.500000	77.930	-149.4005
46.200001	77.927	-150.1046
46.799999	77.916	-150.6541
47.500000	77.887	-151.2530
48.200001	77.843	-151.8075
48.700001	77.810	-152.1793
49.400002	77.771	-152.6908
50.000000	77.744	-153.1467
50.799999	77.708	-153.7956
51.500000	77.670	-154.3931
52.200001	77.625	-154.9993
53.000000	77.569	-155.6695
53.799999	77.514	-156.2846
54.500000	77.470	-156.7699
55.200001	77.427	-157.2095
56.000000	77.374	-157.6666
57.000000	77.303	-158.1986
58.000000	77.230	-158.7144
59.000000	77.158	-159.1982
60.000000	77.087	-159.6391
60.799999	77.031	-159.9987
61.500000	76.980	-160.3387
62.200001	76.930	-160.6987
63.000000	76.874	-161.1243
64.000000	76.808	-161.6487
65.000000	76.746	-162.1156
66.000000	76.690	-162.4943
67.000000	76.636	-162.7722
68.000000	76.572	-162.9716
69.000000	76.491	-163.1516
70.000000	76.399	-163.3627
71.000000	76.307	-163.6205
72.000000	76.218	-163.8734
73.000000	76.133	-164.0503
74.000000	76.052	-164.1584
75.000000	75.977	-164.2656
76.199997	75.894	-164.4285
77.500000	75.809	-164.5841
78.800003	75.720	-164.6749
80.000000	75.627	-164.7051
81.199997	75.526	-164.7019
82.500000	75.414	-164.7314
83.800003	75.304	-164.8036
85.000000	75.213	-164.8546
86.199997	75.129	-164.8783
87.500000	75.038	-164.9048
88.500000	74.970	-164.9301
90.000000	74.872	-164.9510
91.199997	74.794	-164.9463
92.500000	74.707	-164.9111
93.800003	74.617	-164.8241
95.000000	74.527	-164.6945
96.199997	74.430	-164.5316
97.500000	74.320	-164.3470
98.800003	74.212	-164.1760
100.000000	74.120	-164.0253
101.500000	74.019	-163.8007
103.000000	73.930	-163.4992
104.400002	73.853	-163.1600
106.000000	73.768	-162.7479
107.500000	73.685	-162.3817
109.000000	73.598	-162.0802
110.599998	73.502	-161.8076
112.000000	73.413	-161.5508
113.800003	73.293	-161.1505
115.000000	73.216	-160.8420
117.199997	73.083	-160.2159
118.000000	73.037	-159.9702
120.599998	72.885	-159.1146
122.000000	72.801	-158.6102
124.099998	72.681	-157.8360
125.000000	72.631	-157.5200
126.500000	72.551	-157.0205
128.000000	72.472	-156.5341
131.500000	72.314	-155.2673
132.000000	72.297	-155.0662
134.000000	72.239	-154.2475
136.000000	72.188	-153.4778
138.000000	72.131	-152.8360
140.000000	72.068	-152.2891
143.000000	71.967	-151.4036
145.000000	71.895	-150.7477
147.500000	71.807	-149.8227
150.000000	71.721	-148.8448
152.500000	71.631	-147.8772
155.000000	71.540	-146.9770
157.500000	71.454	-146.1792
160.000000	71.376	-145.3497
162.500000	71.301	-144.3740
165.000000	71.233	-143.2988
167.500000	71.182	-142.2397
170.000000	71.131	-141.2331
172.500000	71.067	-140.2760
175.000000	70.999	-139.3324
177.500000	70.941	-138.4205
180.000000	70.895	-137.5204
182.500000	70.854	-136.5834
185.000000	70.813	-135.6353
187.500000	70.769	-134.6977
190.000000	70.727	-133.7538
192.500000	70.694	-132.7841
195.000000	70.666	-131.8087
197.500000	70.639	-130.8752
200.000000	70.607	-129.9954
203.000000	70.564	-128.9403
206.000000	70.526	-127.8101
209.000000	70.505	-126.6214
212.000000	70.491	-125.3971
214.000000	70.481	-124.5701
218.000000	70.450	-122.9595
220.000000	70.434	-122.2009
224.000000	70.416	-120.7746
227.000000	70.415	-119.7235
230.000000	70.418	-118.6446
233.000000	70.415	-117.5477
236.000000	70.406	-116.4375
240.000000	70.387	-114.9484
243.000000	70.371	-113.8502
247.000000	70.348	-112.4245
250.000000	70.329	-111.3736
254.000000	70.303	-109.9563
258.000000	70.281	-108.5029
262.000000	70.258	-107.0377
265.000000	70.237	-105.9447
269.000000	70.204	-104.5025
272.000000	70.179	-103.4400
276.000000	70.145	-102.0291
280.000000	70.107	-100.5589
285.000000	70.064	-98.5695
290.000000	70.045	-96.4759
295.000000	70.065	-94.4806
300.000000	70.123	-92.6716
304.000000	70.191	-91.4034
307.000000	70.244	-90.5671
311.000000	70.311	-89.5710
315.000000	70.365	-88.6595
320.000000	70.408	-87.5759
325.000000	70.430	-86.4950
330.000000	70.443	-85.3931
335.000000	70.450	-84.2582
340.000000	70.448	-83.0980
345.000000	70.435	-81.9527
350.000000	70.427	-80.7914
355.000000	70.431	-79.5676
360.000000	70.436	-78.2902
365.000000	70.436	-77.0008
370.000000	70.438	-75.7477
375.000000	70.439	-74.5102
382.000000	70.432	-72.7032
387.000000	70.425	-71.3697
395.000000	70.424	-69.3355
400.000000	70.426	-68.1988
406.000000	70.431	-66.9148
412.000000	70.439	-65.6211
418.000000	70.439	-64.3332
425.000000	70.423	-62.7989
431.000000	70.406	-61.3606
437.000000	70.399	-59.8037
444.000000	70.406	-57.9655
450.000000	70.414	-56.4287
455.000000	70.416	-55.1157
462.000000	70.407	-53.2471
468.000000	70.386	-51.7091
475.000000	70.351	-49.9838
482.000000	70.322	-48.2636
487.000000	70.310	-47.0543
494.000000	70.304	-45.4224
500.000000	70.305	-44.0508
508.000000	70.303	-42.2054
515.000000	70.292	-40.6135
522.000000	70.279	-39.0443
530.000000	70.272	-37.1975
538.000000	70.267	-35.2694
545.000000	70.259	-33.5628
552.000000	70.246	-31.8612
560.000000	70.227	-29.9260
570.000000	70.201	-27.4991
580.000000	70.186	-25.0512
590.000000	70.183	-22.6109
600.000000	70.172	-20.1886
608.000000	70.148	-18.2382
615.000000	70.122	-16.4784
622.000000	70.100	-14.6808
630.000000	70.079	-12.6471
640.000000	70.063	-10.1374
650.000000	70.056	-7.6342
660.000000	70.045	-5.2484
670.000000	70.026	-3.0365
680.000000	70.014	-0.8441
690.000000	70.017	1.4993
700.000000	70.028	4.0004
710.000000	70.038	6.5545
720.000000	70.044	9.0439
730.000000	70.050	11.4548
740.000000	70.054	13.7832
750.000000	70.059	16.0135
762.000000	70.079	18.6107
775.000000	70.117	21.4104
788.000000	70.149	24.1764
800.000000	70.162	26.6537
812.000000	70.171	29.0473
825.000000	70.189	31.5461
838.000000	70.220	33.9770
850.000000	70.260	36.1871
862.000000	70.303	38.3644
875.000000	70.342	40.7115
885.000000	70.373	42.5569
900.000000	70.429	45.3650
912.000000	70.480	47.5547
925.000000	70.535	49.8575
938.000000	70.597	52.1094
950.000000	70.666	54.1537
962.000000	70.747	56.2127
975.000000	70.833	58.5062
988.000000	70.909	60.8539
1000.000000	70.972	63.0492
1015.000000	71.058	65.7941
1030.000000	71.160	68.4449
1044.000000	71.258	70.7864
1060.000000	71.365	73.3308
1075.000000	71.462	75.6267
1090.000000	71.571	77.9079
1106.000000	71.706	80.3863
1120.000000	71.836	82.5444
1138.000000	71.997	85.2323
1150.000000	72.092	86.9860
1172.000000	72.246	90.1994
1180.000000	72.301	91.3965
1206.000000	72.488	95.4692
1220.000000	72.592	97.7575
1241.000000	72.742	101.2580
1250.000000	72.802	102.7588
1265.000000	72.899	105.2245
1280.000000	72.993	107.6391
1315.000000	73.220	113.2484
1320.000000	73.252	114.0604
1340.000000	73.381	117.3448
1360.000000	73.505	120.6625
1380.000000	73.618	123.9674
1400.000000	73.724	127.2291
1430.000000	73.888	131.9963
1450.000000	74.001	135.0268
1475.000000	74.138	138.6398
1500.000000	74.277	142.1281
1525.000000	74.427	145.5472
1550.000000	74.584	148.9521
1575.000000	74.739	152.3480
1600.000000	74.895	155.7567
1625.000000	75.055	159.2097
1650.000000	75.215	162.7787
1675.000000	75.376	166.5605
1700.000000	75.549	170.5855
1725.000000	75.733	174.7841
1750.000000	75.920	179.1430
1775.000000	76.103	-176.3138
1800.000000	76.283	-171.6700
1825.000000	76.457	-167.0854
1850.000000	76.626	-162.6295
1875.000000	76.797	-158.3041
1900.000000	76.968	-154.1055
1925.000000	77.133	-150.0255
1950.000000	77.295	-146.0440
1975.000000	77.459	-142.1451
