* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -33.3 dBFS, measurement signal peak level -29.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 04-May-2023 14:43:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Earfun Air Pro 3
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	79.436	-134.2722
20.299999	79.511	-135.2462
20.600000	79.555	-136.5033
20.900000	79.546	-137.8970
21.200001	79.477	-139.1832
21.400000	79.412	-139.8545
21.799999	79.281	-140.7242
22.000000	79.240	-140.9891
22.400000	79.243	-141.5250
22.700001	79.303	-142.2797
23.000000	79.365	-143.5303
23.299999	79.379	-145.1402
23.600000	79.325	-146.8004
24.000000	79.165	-148.5359
24.299999	79.038	-149.2240
24.700001	78.964	-149.5095
25.000000	79.014	-149.7178
25.400000	79.176	-150.6505
25.799999	79.310	-152.5729
26.200001	79.300	-154.9128
26.500000	79.189	-156.3106
26.900000	78.977	-157.0928
27.200001	78.862	-156.8361
27.600000	78.875	-155.9127
28.000000	79.087	-155.3682
28.500000	79.436	-156.3521
29.000000	79.614	-158.9039
29.500000	79.533	-161.5394
30.000000	79.306	-162.9011
30.400000	79.159	-162.9801
30.700001	79.127	-162.7472
31.100000	79.198	-162.6118
31.500000	79.346	-163.1143
32.000000	79.517	-164.8362
32.500000	79.566	-167.3251
33.000000	79.464	-169.7275
33.500000	79.263	-171.3817
34.000000	79.061	-172.0792
34.500000	78.953	-172.1299
35.000000	78.973	-172.0724
35.500000	79.087	-172.4003
36.000000	79.233	-173.3401
36.500000	79.352	-174.8840
37.000000	79.396	-176.8512
37.500000	79.335	-178.9199
38.200001	79.074	178.8740
38.700001	78.824	178.2887
39.500000	78.551	178.9174
40.000000	78.542	179.5477
40.599998	78.658	179.7714
41.200001	78.810	179.1865
41.799999	78.930	178.0278
42.500000	79.007	176.3598
43.099998	79.029	174.8629
43.700001	79.020	173.3741
44.400002	78.981	171.6451
45.000000	78.925	170.1298
45.500000	78.854	168.8473
46.200001	78.707	167.1520
46.799999	78.542	165.9897
47.500000	78.348	165.1415
48.200001	78.208	164.7316
48.700001	78.156	164.5246
49.400002	78.130	164.1346
50.000000	78.119	163.6774
50.799999	78.093	163.0182
51.500000	78.065	162.4437
52.200001	78.035	161.7997
53.000000	77.983	160.9406
53.799999	77.907	160.0317
54.500000	77.835	159.2224
55.200001	77.767	158.3300
56.000000	77.692	157.1410
57.000000	77.590	155.5104
58.000000	77.491	153.9462
59.000000	77.405	152.5681
60.000000	77.333	151.5159
