* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -33.2 dBFS, measurement signal peak level -30.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 04-May-2023 14:44:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Earfun Air Pro 3
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	75.871	-140.1697
20.299999	75.905	-140.9847
20.600000	75.934	-141.7439
20.900000	75.957	-142.4606
21.200001	75.972	-143.1493
21.400000	75.977	-143.5970
21.799999	75.976	-144.4724
22.000000	75.972	-144.9054
22.400000	75.956	-145.7770
22.700001	75.940	-146.4493
23.000000	75.922	-147.1456
23.299999	75.901	-147.8622
23.600000	75.880	-148.5930
24.000000	75.854	-149.5828
24.299999	75.839	-150.3405
24.700001	75.830	-151.3853
25.000000	75.829	-152.2021
25.400000	75.835	-153.3290
25.799999	75.845	-154.4676
26.200001	75.857	-155.5761
26.500000	75.869	-156.3695
26.900000	75.890	-157.3689
27.200001	75.908	-158.0769
27.600000	75.935	-158.9727
28.000000	75.962	-159.8199
28.500000	75.990	-160.8124
29.000000	76.010	-161.7288
29.500000	76.022	-162.5786
30.000000	76.029	-163.3987
30.400000	76.030	-164.0658
30.700001	76.026	-164.5828
31.100000	76.015	-165.2917
31.500000	75.997	-166.0080
32.000000	75.968	-166.8898
32.500000	75.942	-167.7541
33.000000	75.923	-168.6269
33.500000	75.911	-169.5290
34.000000	75.901	-170.4532
34.500000	75.893	-171.3738
35.000000	75.886	-172.2706
35.500000	75.880	-173.1348
36.000000	75.875	-173.9645
36.500000	75.870	-174.7617
37.000000	75.864	-175.5323
37.500000	75.855	-176.2828
38.200001	75.831	-177.3019
38.700001	75.806	-178.0007
39.500000	75.762	-179.0670
40.000000	75.736	-179.7216
40.599998	75.708	179.4742
41.200001	75.682	178.6361
41.799999	75.655	177.7792
42.500000	75.620	176.7888
43.099998	75.589	175.9633
43.700001	75.557	175.1611
44.400002	75.517	174.2581
45.000000	75.481	173.5174
45.500000	75.451	172.9213
46.200001	75.411	172.0998
46.799999	75.377	171.3885
