* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01-Aug-2024 14:08:46
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Earfun Air Pro 4 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.715	95.1724
20.600000	103.762	94.1010
20.900000	103.830	92.7234
21.200001	103.917	91.2104
21.400000	103.984	90.1684
21.799999	104.135	88.0782
22.000000	104.216	87.0598
22.400000	104.379	85.1417
22.700001	104.498	83.8420
23.000000	104.611	82.6695
23.299999	104.716	81.6074
23.600000	104.812	80.6223
24.000000	104.927	79.3583
24.299999	105.002	78.4033
24.700001	105.091	77.0824
25.000000	105.150	76.0511
25.400000	105.226	74.6364
25.799999	105.302	73.2051
26.200001	105.380	71.7899
26.500000	105.439	70.7556
26.900000	105.515	69.4283
27.200001	105.568	68.4768
27.600000	105.633	67.2643
28.000000	105.691	66.1008
28.500000	105.758	64.6790
29.000000	105.821	63.2578
29.500000	105.882	61.8315
30.000000	105.942	60.4273
30.400000	105.989	59.3430
30.700001	106.023	58.5594
31.100000	106.067	57.5520
31.500000	106.109	56.5771
32.000000	106.156	55.3798
32.500000	106.196	54.1857
33.000000	106.229	52.9914
33.500000	106.258	51.8116
34.000000	106.284	50.6636
34.500000	106.309	49.5527
35.000000	106.334	48.4711
35.500000	106.356	47.4082
36.000000	106.374	46.3602
36.500000	106.385	45.3297
37.000000	106.393	44.3198
37.500000	106.400	43.3304
38.200001	106.407	41.9787
38.700001	106.412	41.0394
39.500000	106.417	39.5900
40.000000	106.416	38.7192
40.599998	106.412	37.7059
41.200001	106.406	36.7152
41.799999	106.397	35.7320
42.500000	106.389	34.5889
43.099998	106.382	33.6265
43.700001	106.376	32.6993
44.400002	106.365	31.6807
45.000000	106.351	30.8664
45.500000	106.335	30.2197
46.200001	106.313	29.3260
46.799999	106.293	28.5461
47.500000	106.268	27.6383
48.200001	106.242	26.7767
48.700001	106.225	26.1904
49.400002	106.198	25.3787
50.000000	106.166	24.6792
50.799999	106.110	23.7750
51.500000	106.055	23.0326
52.200001	106.002	22.3134
53.000000	105.946	21.4858
53.799999	105.890	20.6586
54.500000	105.842	19.9604
55.200001	105.792	19.3024
56.000000	105.731	18.5964
57.000000	105.648	17.7437
58.000000	105.567	16.8843
59.000000	105.492	16.0540
60.000000	105.418	15.3172
60.799999	105.356	14.7825
61.500000	105.301	14.3325
62.200001	105.248	13.8965
63.000000	105.193	13.4124
64.000000	105.126	12.8017
65.000000	105.050	12.1725
66.000000	104.965	11.5531
67.000000	104.880	10.9840
68.000000	104.799	10.4800
69.000000	104.719	10.0131
70.000000	104.635	9.5654
71.000000	104.551	9.1505
72.000000	104.470	8.7707
73.000000	104.394	8.4039
74.000000	104.318	8.0286
75.000000	104.240	7.6456
76.199997	104.142	7.2119
77.500000	104.033	6.8001
78.800003	103.924	6.4227
80.000000	103.821	6.0885
81.199997	103.718	5.7642
82.500000	103.610	5.4368
83.800003	103.504	5.1623
85.000000	103.405	4.9588
86.199997	103.303	4.7744
87.500000	103.194	4.5753
88.500000	103.113	4.4314
90.000000	102.997	4.2476
91.199997	102.905	4.1135
92.500000	102.805	3.9736
93.800003	102.706	3.8506
95.000000	102.614	3.7678
96.199997	102.523	3.7151
97.500000	102.425	3.6831
98.800003	102.325	3.6697
100.000000	102.230	3.6647
101.500000	102.111	3.6580
103.000000	101.994	3.6896
104.400002	101.888	3.7770
106.000000	101.770	3.8815
107.500000	101.667	3.9512
109.000000	101.570	4.0421
110.599998	101.468	4.2011
112.000000	101.378	4.3733
113.800003	101.262	4.6094
115.000000	101.185	4.7860
117.199997	101.043	5.1530
118.000000	100.989	5.2885
120.599998	100.815	5.7191
122.000000	100.725	5.9530
124.099998	100.598	6.3360
125.000000	100.546	6.5219
126.500000	100.461	6.8504
128.000000	100.380	7.1815
131.500000	100.185	7.9070
132.000000	100.157	8.0030
134.000000	100.050	8.3904
136.000000	99.951	8.8224
138.000000	99.856	9.2984
140.000000	99.763	9.7854
143.000000	99.626	10.5403
145.000000	99.536	11.0575
147.500000	99.426	11.6976
150.000000	99.313	12.3512
152.500000	99.203	13.0131
155.000000	99.106	13.6612
157.500000	99.017	14.3154
160.000000	98.929	14.9961
162.500000	98.845	15.6750
165.000000	98.769	16.3573
167.500000	98.694	17.0592
170.000000	98.614	17.7454
172.500000	98.528	18.4045
175.000000	98.439	19.0378
177.500000	98.354	19.6530
