* Measurement data measured by REW V5.40 beta 104
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 09-Nov-2025 11:12:55
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Earfun Air Pro 4+ ANC L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	78.800	-88.4034
20.299999	78.898	-90.5663
20.600000	78.985	-92.7983
20.900000	79.054	-95.0687
21.200001	79.104	-97.3258
21.400000	79.125	-98.7935
21.799999	79.143	-101.5706
22.000000	79.145	-102.8569
22.400000	79.152	-105.2049
22.700001	79.166	-106.7857
23.000000	79.192	-108.2495
23.299999	79.233	-109.6392
23.600000	79.285	-110.9938
24.000000	79.358	-112.7842
24.299999	79.408	-114.1216
24.700001	79.462	-115.8816
25.000000	79.492	-117.1677
25.400000	79.516	-118.8169
25.799999	79.520	-120.3764
26.200001	79.507	-121.8345
26.500000	79.487	-122.8558
26.900000	79.450	-124.1165
27.200001	79.418	-124.9880
27.600000	79.373	-126.0625
28.000000	79.332	-127.0585
28.500000	79.291	-128.2323
29.000000	79.257	-129.3631
29.500000	79.234	-130.4633
30.000000	79.225	-131.5208
30.400000	79.227	-132.3279
30.700001	79.235	-132.9145
31.100000	79.257	-133.6861
31.500000	79.289	-134.4648
32.000000	79.336	-135.4576
32.500000	79.384	-136.4440
33.000000	79.427	-137.3757
33.500000	79.468	-138.2312
34.000000	79.510	-139.0318
34.500000	79.552	-139.8165
35.000000	79.587	-140.6059
35.500000	79.610	-141.3927
36.000000	79.624	-142.1587
36.500000	79.632	-142.8964
37.000000	79.640	-143.6176
37.500000	79.645	-144.3445
38.200001	79.646	-145.4012
38.700001	79.641	-146.1891
39.500000	79.627	-147.4897
40.000000	79.613	-148.3000
40.599998	79.597	-149.2385
41.200001	79.590	-150.1496
41.799999	79.595	-151.0759
42.500000	79.601	-152.1862
43.099998	79.598	-153.1129
43.700001	79.596	-153.9865
44.400002	79.599	-154.9736
45.000000	79.603	-155.8177
45.500000	79.602	-156.5081
46.200001	79.594	-157.4285
46.799999	79.587	-158.1781
47.500000	79.581	-159.0331
48.200001	79.577	-159.8862
48.700001	79.575	-160.4945
49.400002	79.574	-161.3342
50.000000	79.564	-162.0334
50.799999	79.530	-162.9488
51.500000	79.493	-163.7633
52.200001	79.458	-164.5908
53.000000	79.420	-165.5108
53.799999	79.386	-166.3824
54.500000	79.362	-167.1168
55.200001	79.338	-167.8309
56.000000	79.307	-168.6168
57.000000	79.265	-169.5315
58.000000	79.222	-170.3871
59.000000	79.179	-171.2598
60.000000	79.129	-172.1413
60.799999	79.087	-172.8226
61.500000	79.050	-173.4066
62.200001	79.013	-173.9758
63.000000	78.970	-174.5849
64.000000	78.920	-175.2904
65.000000	78.872	-175.9947
66.000000	78.817	-176.6880
67.000000	78.759	-177.3364
68.000000	78.697	-177.9628
69.000000	78.629	-178.5656
70.000000	78.560	-179.1380
71.000000	78.495	-179.6987
72.000000	78.432	179.7731
73.000000	78.370	179.2902
74.000000	78.307	178.8401
75.000000	78.243	178.4141
76.199997	78.158	177.8951
77.500000	78.058	177.3738
78.800003	77.964	176.9115
80.000000	77.883	176.4811
81.199997	77.799	176.0456
82.500000	77.701	175.6282
83.800003	77.610	175.2762
85.000000	77.532	174.9423
86.199997	77.450	174.6072
87.500000	77.357	174.3050
88.500000	77.288	174.1325
90.000000	77.189	173.9339
91.199997	77.111	173.8018
92.500000	77.022	173.6680
93.800003	76.928	173.5600
95.000000	76.839	173.4540
96.199997	76.748	173.3360
