* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Oct-2024 21:03:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Earfun Air Pro 4 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	81.526	81.5679
20.600000	81.610	81.0814
20.900000	81.714	80.5039
21.200001	81.825	79.8943
21.400000	81.899	79.4621
21.799999	82.035	78.4820
22.000000	82.095	77.9156
22.400000	82.193	76.6164
22.700001	82.247	75.5101
23.000000	82.289	74.3139
23.299999	82.325	73.0487
23.600000	82.362	71.7299
24.000000	82.423	69.9083
24.299999	82.481	68.5119
24.700001	82.572	66.6481
25.000000	82.650	65.2819
25.400000	82.758	63.5503
25.799999	82.864	61.9535
26.200001	82.964	60.4940
26.500000	83.032	59.4727
26.900000	83.112	58.1719
27.200001	83.166	57.2145
27.600000	83.232	55.9248
28.000000	83.294	54.5916
28.500000	83.368	52.8553
29.000000	83.438	51.0889
29.500000	83.503	49.3805
30.000000	83.565	47.7956
30.400000	83.614	46.6164
30.700001	83.649	45.7651
31.100000	83.694	44.6447
31.500000	83.735	43.5164
32.000000	83.780	42.0849
32.500000	83.819	40.6512
33.000000	83.857	39.2485
33.500000	83.894	37.8970
34.000000	83.930	36.5963
34.500000	83.959	35.3323
35.000000	83.979	34.0861
35.500000	83.992	32.8424
36.000000	84.001	31.5952
36.500000	84.012	30.3516
37.000000	84.028	29.1300
37.500000	84.047	27.9502
38.200001	84.073	26.3794
38.700001	84.087	25.2932
39.500000	84.093	23.5457
40.000000	84.087	22.4333
40.599998	84.072	21.1129
41.200001	84.061	19.8664
41.799999	84.060	18.7259
42.500000	84.072	17.4967
43.099998	84.082	16.4703
43.700001	84.080	15.4288
44.400002	84.060	14.1848
45.000000	84.031	13.1088
45.500000	84.005	12.2183
46.200001	83.971	10.9911
46.799999	83.947	9.9612
47.500000	83.922	8.8067
48.200001	83.898	7.7348
48.700001	83.885	7.0128
49.400002	83.872	6.0117
50.000000	83.854	5.1288
50.799999	83.810	3.9411
51.500000	83.758	2.9362
52.200001	83.701	1.9623
53.000000	83.634	0.8730
53.799999	83.565	-0.1541
54.500000	83.515	-0.9786
55.200001	83.479	-1.7721
56.000000	83.447	-2.7059
57.000000	83.393	-3.9001
58.000000	83.321	-5.0349
59.000000	83.248	-6.1251
60.000000	83.181	-7.2031
60.799999	83.127	-8.0281
61.500000	83.078	-8.7043
62.200001	83.030	-9.3426
63.000000	82.975	-10.0463
64.000000	82.904	-10.9122
65.000000	82.832	-11.7650
66.000000	82.764	-12.6109
67.000000	82.700	-13.4472
68.000000	82.631	-14.2524
69.000000	82.552	-15.0197
70.000000	82.464	-15.7573
71.000000	82.375	-16.4657
72.000000	82.292	-17.1286
73.000000	82.217	-17.7449
74.000000	82.146	-18.3421
75.000000	82.071	-18.9468
76.199997	81.974	-19.6706
77.500000	81.866	-20.4059
78.800003	81.763	-21.1161
80.000000	81.671	-21.7794
81.199997	81.578	-22.4145
82.500000	81.474	-23.0216
83.800003	81.367	-23.5668
85.000000	81.271	-24.0239
86.199997	81.179	-24.4327
87.500000	81.079	-24.8757
88.500000	81.001	-25.2406
90.000000	80.891	-25.7788
91.199997	80.808	-26.1646
92.500000	80.723	-26.5437
93.800003	80.637	-26.8973
95.000000	80.555	-27.2193
96.199997	80.470	-27.5502
97.500000	80.371	-27.8731
98.800003	80.267	-28.1260
100.000000	80.173	-28.3457
101.500000	80.065	-28.6648
103.000000	79.967	-29.0366
104.400002	79.879	-29.4155
106.000000	79.779	-29.8598
107.500000	79.683	-30.2548
109.000000	79.583	-30.5958
110.599998	79.477	-30.8546
112.000000	79.384	-30.9521
113.800003	79.261	-31.0092
115.000000	79.180	-31.0650
117.199997	79.034	-31.1886
118.000000	78.983	-31.2286
120.599998	78.823	-31.3341
122.000000	78.743	-31.3654
124.099998	78.628	-31.3373
125.000000	78.579	-31.2862
126.500000	78.499	-31.1484
128.000000	78.425	-30.9738
131.500000	78.262	-30.6174
132.000000	78.237	-30.5883
134.000000	78.135	-30.5111
136.000000	78.034	-30.4107
138.000000	77.945	-30.2056
140.000000	77.864	-29.9202
143.000000	77.746	-29.4825
145.000000	77.665	-29.1822
147.500000	77.563	-28.7955
150.000000	77.469	-28.3888
152.500000	77.380	-27.9564
155.000000	77.292	-27.5419
157.500000	77.202	-27.1437
160.000000	77.113	-26.7271
162.500000	77.032	-26.3147
165.000000	76.958	-25.8622
167.500000	76.889	-25.3472
170.000000	76.825	-24.8337
172.500000	76.766	-24.3317
175.000000	76.714	-23.8370
177.500000	76.661	-23.3534
180.000000	76.597	-22.8689
182.500000	76.523	-22.3814
185.000000	76.441	-21.8897
187.500000	76.358	-21.3852
190.000000	76.277	-20.8854
192.500000	76.201	-20.3888
195.000000	76.133	-19.8776
197.500000	76.077	-19.3456
200.000000	76.039	-18.8032
203.000000	76.017	-18.1451
206.000000	76.015	-17.4916
209.000000	76.020	-16.8651
212.000000	76.020	-16.2525
214.000000	76.014	-15.8476
218.000000	75.991	-15.0387
220.000000	75.977	-14.6275
224.000000	75.948	-13.7887
227.000000	75.925	-13.1658
230.000000	75.901	-12.5512
233.000000	75.872	-11.9393
236.000000	75.841	-11.3217
240.000000	75.800	-10.5123
243.000000	75.769	-9.9144
247.000000	75.721	-9.0515
250.000000	75.691	-8.4018
254.000000	75.664	-7.5929
258.000000	75.640	-6.7262
262.000000	75.618	-5.7510
265.000000	75.605	-4.9983
269.000000	75.597	-3.9793
272.000000	75.602	-3.2270
276.000000	75.617	-2.3042
280.000000	75.637	-1.5005
285.000000	75.667	-0.6716
290.000000	75.690	0.0644
295.000000	75.703	0.8157
300.000000	75.706	1.6043
304.000000	75.702	2.2602
307.000000	75.696	2.7498
311.000000	75.688	3.3922
315.000000	75.679	4.0512
320.000000	75.669	4.9040
325.000000	75.662	5.7513
330.000000	75.662	6.5836
335.000000	75.663	7.4527
340.000000	75.663	8.3969
