* Measurement data measured by REW V5.31.3
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.900
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 21-Jul-2025 13:00:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Earfun Air Pro 4i R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.891	-171.5183
20.600000	89.835	-172.5186
20.900000	89.758	-173.7115
21.200001	89.670	-174.8934
21.400000	89.608	-175.6345
21.799999	89.480	-176.9796
22.000000	89.417	-177.5878
22.400000	89.294	-178.6999
22.700001	89.204	-179.4616
23.000000	89.116	179.8279
23.299999	89.030	179.1664
23.600000	88.947	178.5547
24.000000	88.841	177.8156
24.299999	88.770	177.3110
24.700001	88.687	176.6846
25.000000	88.634	176.2355
25.400000	88.574	175.6518
25.799999	88.521	175.0852
26.200001	88.472	174.5436
26.500000	88.437	174.1565
26.900000	88.393	173.6609
27.200001	88.362	173.2964
27.600000	88.324	172.8054
28.000000	88.290	172.2964
28.500000	88.252	171.6293
29.000000	88.218	170.9366
29.500000	88.187	170.2349
30.000000	88.158	169.5373
30.400000	88.135	168.9852
30.700001	88.116	168.5739
31.100000	88.090	168.0266
31.500000	88.062	167.4782
32.000000	88.026	166.7890
32.500000	87.990	166.0966
33.000000	87.954	165.4044
33.500000	87.918	164.7183
34.000000	87.880	164.0451
34.500000	87.841	163.3892
35.000000	87.800	162.7493
35.500000	87.756	162.1211
36.000000	87.710	161.5042
36.500000	87.661	160.9045
37.000000	87.610	160.3271
37.500000	87.557	159.7675
38.200001	87.477	158.9926
38.700001	87.417	158.4409
39.500000	87.319	157.5911
40.000000	87.261	157.0941
40.599998	87.196	156.5259
41.200001	87.131	155.9801
41.799999	87.064	155.4598
42.500000	86.984	154.8784
43.099998	86.918	154.3754
43.700001	86.853	153.8587
44.400002	86.776	153.2773
45.000000	86.708	152.8344
45.500000	86.651	152.5055
46.200001	86.571	152.0797
46.799999	86.500	151.7278
47.500000	86.420	151.3240
48.200001	86.346	150.9303
48.700001	86.297	150.6622
49.400002	86.233	150.3136
50.000000	86.176	150.0357
50.799999	86.092	149.6775
51.500000	86.013	149.3695
52.200001	85.935	149.0670
53.000000	85.846	148.7299
53.799999	85.758	148.4188
54.500000	85.681	148.1792
55.200001	85.610	147.9556
56.000000	85.534	147.6954
57.000000	85.446	147.3683
58.000000	85.360	147.0692
59.000000	85.269	146.8087
60.000000	85.178	146.5833
60.799999	85.108	146.4133
61.500000	85.050	146.2641
62.200001	84.992	146.1180
63.000000	84.926	145.9632
64.000000	84.846	145.7998
65.000000	84.771	145.6625
66.000000	84.702	145.5085
67.000000	84.638	145.3098
68.000000	84.578	145.0741
69.000000	84.518	144.8288
70.000000	84.454	144.6084
71.000000	84.387	144.4210
72.000000	84.317	144.2470
73.000000	84.247	144.0629
74.000000	84.181	143.8600
75.000000	84.120	143.6479
76.199997	84.048	143.3915
77.500000	83.963	143.0934
78.800003	83.871	142.7690
80.000000	83.790	142.4806
81.199997	83.717	142.2197
82.500000	83.644	141.9514
83.800003	83.575	141.6942
85.000000	83.514	141.4888
86.199997	83.452	141.3031
87.500000	83.383	141.0825
88.500000	83.328	140.8871
90.000000	83.247	140.5582
91.199997	83.185	140.2775
92.500000	83.122	139.9888
93.800003	83.058	139.7397
95.000000	82.997	139.5415
96.199997	82.936	139.3799
97.500000	82.869	139.2546
98.800003	82.804	139.1549
100.000000	82.744	139.0472
101.500000	82.670	138.8556
103.000000	82.599	138.6103
104.400002	82.534	138.3761
106.000000	82.466	138.1131
107.500000	82.408	137.8513
109.000000	82.351	137.5928
110.599998	82.285	137.3605
112.000000	82.222	137.1953
113.800003	82.141	137.0054
115.000000	82.090	136.8906
117.199997	82.000	136.7309
118.000000	81.969	136.6826
120.599998	81.875	136.5100
122.000000	81.826	136.4183
124.099998	81.753	136.2774
125.000000	81.721	136.2006
126.500000	81.667	136.0432
128.000000	81.611	135.8595
131.500000	81.481	135.4208
132.000000	81.463	135.3680
134.000000	81.391	135.1995
136.000000	81.322	135.0888
138.000000	81.256	135.0102
140.000000	81.193	134.9452
143.000000	81.101	134.8005
145.000000	81.043	134.6440
147.500000	80.970	134.4258
150.000000	80.901	134.2395
152.500000	80.839	134.1209
155.000000	80.780	134.0560
157.500000	80.720	133.9853
160.000000	80.665	133.8900
162.500000	80.614	133.7892
165.000000	80.566	133.6874
167.500000	80.517	133.5708
170.000000	80.469	133.4386
172.500000	80.428	133.3167
175.000000	80.391	133.2180
177.500000	80.353	133.1376
180.000000	80.306	133.0566
182.500000	80.249	132.9597
185.000000	80.184	132.8672
187.500000	80.114	132.7822
190.000000	80.049	132.6890
192.500000	79.997	132.5793
195.000000	79.959	132.4665
197.500000	79.932	132.3707
200.000000	79.911	132.2899
203.000000	79.895	132.1801
206.000000	79.895	132.0364
209.000000	79.908	131.8632
212.000000	79.924	131.6647
214.000000	79.932	131.5344
218.000000	79.939	131.2961
220.000000	79.937	131.1762
224.000000	79.922	130.9135
227.000000	79.907	130.7039
230.000000	79.892	130.4923
233.000000	79.881	130.2756
236.000000	79.875	130.0553
240.000000	79.871	129.7609
243.000000	79.866	129.5191
247.000000	79.855	129.1506
250.000000	79.847	128.8550
254.000000	79.846	128.4547
258.000000	79.852	128.0450
262.000000	79.859	127.6231
265.000000	79.861	127.2946
269.000000	79.860	126.8571
272.000000	79.855	126.5551
276.000000	79.845	126.1978
280.000000	79.838	125.8659
285.000000	79.840	125.4922
290.000000	79.852	125.2158
295.000000	79.866	125.0711
300.000000	79.876	125.0657
304.000000	79.881	125.1196
307.000000	79.883	125.1576
311.000000	79.884	125.1842
315.000000	79.883	125.1850
320.000000	79.881	125.1597
325.000000	79.881	125.1163
330.000000	79.880	125.0696
335.000000	79.879	125.0226
340.000000	79.878	124.9611
345.000000	79.876	124.8934
350.000000	79.868	124.8540
355.000000	79.851	124.8510
360.000000	79.832	124.8674
365.000000	79.821	124.8808
370.000000	79.815	124.8827
375.000000	79.809	124.8974
382.000000	79.802	124.9646
387.000000	79.796	125.0191
395.000000	79.775	125.1286
400.000000	79.757	125.2070
406.000000	79.739	125.2662
412.000000	79.720	125.3136
418.000000	79.698	125.3954
425.000000	79.668	125.5515
431.000000	79.641	125.6986
437.000000	79.613	125.8408
444.000000	79.579	126.0438
450.000000	79.553	126.2537
455.000000	79.533	126.4388
462.000000	79.508	126.7029
