* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Vivo TWS 4, Vivo TWS 4, Vivo TWS 4, Vivo TWS 4
* Dated: 31-May-2024 09:56:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: RMS Average 1
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	79.987
20.600000	80.051
20.900000	80.155
21.200001	80.122
21.400000	79.991
21.799999	79.501
22.000000	79.199
22.400000	78.697
22.700001	78.630
23.000000	78.918
23.299999	79.415
23.600000	79.960
24.000000	80.570
24.299999	80.877
24.700001	81.083
25.000000	81.106
25.400000	80.999
25.799999	80.795
26.200001	80.567
26.500000	80.406
26.900000	80.208
27.200001	80.052
27.600000	79.805
28.000000	79.494
28.500000	79.042
29.000000	78.686
29.500000	78.682
30.000000	79.065
30.400000	79.467
30.700001	79.739
31.100000	80.030
31.500000	80.249
32.000000	80.409
32.500000	80.367
33.000000	80.082
33.500000	79.671
34.000000	79.385
34.500000	79.361
35.000000	79.482
35.500000	79.561
36.000000	79.553
36.500000	79.524
37.000000	79.533
37.500000	79.571
38.200001	79.623
38.700001	79.640
39.500000	79.582
40.000000	79.463
40.599998	79.260
41.200001	79.050
41.799999	78.853
42.500000	78.614
43.099998	78.402
43.700001	78.225
44.400002	78.071
45.000000	77.926
45.500000	77.747
46.200001	77.382
46.799999	77.015
47.500000	76.683
48.200001	76.582
48.700001	76.632
49.400002	76.752
50.000000	76.795
50.799999	76.654
51.500000	76.338
52.200001	75.972
53.000000	75.756
53.799999	75.839
54.500000	75.965
55.200001	75.990
56.000000	75.918
57.000000	75.907
58.000000	76.059
59.000000	76.091
60.000000	75.753
60.799999	75.282
61.500000	74.861
62.200001	74.528
63.000000	74.307
64.000000	74.244
65.000000	74.272
66.000000	74.228
67.000000	74.050
68.000000	73.812
69.000000	73.643
70.000000	73.553
71.000000	73.456
72.000000	73.319
73.000000	73.189
74.000000	73.073
75.000000	72.949
76.199997	72.830
77.500000	72.806
78.800003	72.817
80.000000	72.808
81.199997	72.813
82.500000	72.857
83.800003	72.907
85.000000	72.940
86.199997	72.982
87.500000	73.069
88.500000	73.158
90.000000	73.277
91.199997	73.314
92.500000	73.278
93.800003	73.195
95.000000	73.119
96.199997	73.065
97.500000	73.023
98.800003	72.976
100.000000	72.919
101.500000	72.843
103.000000	72.779
104.400002	72.731
106.000000	72.667
107.500000	72.578
109.000000	72.487
110.599998	72.414
112.000000	72.350
113.800003	72.250
115.000000	72.182
117.199997	72.064
118.000000	72.022
120.599998	71.892
