* Measurement data measured by REW V5.20.13
* Source: Microphone (2- USB Audio Device), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -29.9 dBFS, measurement signal peak level -30.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 04-May-2023 12:46:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Edifier NeoBuds Pro L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	67.270	-78.5900
20.299999	67.396	-78.1241
20.600000	67.507	-77.6753
20.900000	67.606	-77.2724
21.200001	67.692	-76.9404
21.400000	67.744	-76.7654
21.799999	67.834	-76.5288
22.000000	67.876	-76.4685
22.400000	67.961	-76.4668
22.700001	68.028	-76.5748
23.000000	68.102	-76.7793
23.299999	68.183	-77.0704
23.600000	68.270	-77.4268
24.000000	68.396	-77.9562
24.299999	68.498	-78.3543
24.700001	68.647	-78.8479
25.000000	68.769	-79.1769
25.400000	68.942	-79.5578
25.799999	69.123	-79.8776
26.200001	69.304	-80.1399
26.500000	69.434	-80.2989
26.900000	69.596	-80.4590
27.200001	69.707	-80.5400
27.600000	69.840	-80.5999
28.000000	69.957	-80.6188
28.500000	70.084	-80.6256
29.000000	70.189	-80.6712
29.500000	70.272	-80.7909
30.000000	70.335	-80.9801
30.400000	70.375	-81.1634
30.700001	70.401	-81.3122
31.100000	70.435	-81.5223
31.500000	70.470	-81.7431
32.000000	70.517	-82.0229
32.500000	70.567	-82.2796
33.000000	70.620	-82.4802
33.500000	70.674	-82.6064
34.000000	70.727	-82.6557
34.500000	70.777	-82.6316
35.000000	70.817	-82.5343
35.500000	70.847	-82.3583
36.000000	70.867	-82.0999
36.500000	70.880	-81.7653
37.000000	70.889	-81.3735
37.500000	70.895	-80.9470
38.200001	70.900	-80.3270
38.700001	70.901	-79.8818
39.500000	70.903	-79.1686
40.000000	70.902	-78.7086
40.599998	70.902	-78.1203
41.200001	70.902	-77.4761
41.799999	70.904	-76.7667
42.500000	70.910	-75.8467
43.099998	70.919	-74.9903
43.700001	70.936	-74.1144
44.400002	70.958	-73.1180
45.000000	70.975	-72.2836
45.500000	70.987	-71.5775
