* Measurement data measured by REW V5.30 beta 1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Edifier WH700, Edifier WH700, Edifier WH700
* Dated: 05-Nov-2023 21:58:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Edifier WH700NB L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.900 Hz
*
* Freq(Hz)	SPL(dB)
20.900000	83.760
21.200001	83.884
21.400000	83.954
21.799999	84.001
22.000000	83.975
22.400000	83.880
22.700001	83.842
23.000000	83.890
23.299999	84.044
23.600000	84.286
24.000000	84.674
24.299999	84.963
24.700001	85.300
25.000000	85.506
25.400000	85.717
25.799999	85.863
26.200001	85.956
26.500000	85.996
26.900000	86.021
27.200001	86.024
27.600000	86.017
28.000000	86.008
28.500000	86.011
29.000000	86.054
29.500000	86.143
30.000000	86.250
30.400000	86.318
30.700001	86.348
31.100000	86.360
31.500000	86.353
32.000000	86.351
32.500000	86.387
33.000000	86.470
33.500000	86.591
34.000000	86.724
34.500000	86.842
35.000000	86.925
35.500000	86.974
36.000000	87.002
36.500000	87.015
37.000000	87.011
37.500000	86.983
38.200001	86.921
38.700001	86.879
39.500000	86.826
40.000000	86.790
40.599998	86.757
41.200001	86.776
41.799999	86.882
42.500000	87.086
43.099998	87.260
43.700001	87.389
44.400002	87.480
45.000000	87.527
45.500000	87.555
46.200001	87.576
46.799999	87.570
47.500000	87.548
48.200001	87.550
48.700001	87.584
49.400002	87.674
50.000000	87.768
50.799999	87.883
51.500000	87.965
52.200001	88.045
53.000000	88.153
53.799999	88.284
54.500000	88.408
55.200001	88.529
56.000000	88.649
57.000000	88.769
58.000000	88.862
59.000000	88.937
60.000000	89.001
60.799999	89.054
61.500000	89.105
62.200001	89.165
63.000000	89.244
64.000000	89.354
65.000000	89.457
66.000000	89.525
67.000000	89.541
68.000000	89.505
69.000000	89.429
70.000000	89.332
71.000000	89.227
72.000000	89.120
73.000000	89.010
74.000000	88.894
75.000000	88.771
76.199997	88.621
77.500000	88.454
78.800003	88.277
80.000000	88.100
81.199997	87.909
82.500000	87.699
83.800003	87.507
85.000000	87.357
86.199997	87.226
87.500000	87.093
88.500000	86.992
90.000000	86.840
91.199997	86.720
92.500000	86.589
93.800003	86.462
95.000000	86.349
96.199997	86.241
97.500000	86.125
98.800003	86.002
100.000000	85.877
101.500000	85.710
103.000000	85.546
104.400002	85.409
106.000000	85.273
107.500000	85.155
109.000000	85.036
110.599998	84.903
112.000000	84.783
113.800003	84.630
115.000000	84.535
117.199997	84.373
118.000000	84.315
120.599998	84.120
122.000000	84.009
124.099998	83.847
125.000000	83.782
126.500000	83.681
128.000000	83.585
131.500000	83.367
132.000000	83.335
134.000000	83.201
136.000000	83.064
138.000000	82.931
140.000000	82.805
143.000000	82.623
145.000000	82.500
147.500000	82.340
150.000000	82.166
152.500000	81.982
155.000000	81.789
157.500000	81.593
160.000000	81.397
162.500000	81.203
165.000000	81.007
167.500000	80.808
170.000000	80.608
172.500000	80.407
175.000000	80.205
177.500000	79.999
180.000000	79.787
182.500000	79.570
185.000000	79.351
187.500000	79.129
190.000000	78.909
192.500000	78.694
195.000000	78.488
197.500000	78.295
200.000000	78.120
203.000000	77.936
206.000000	77.776
209.000000	77.634
212.000000	77.505
214.000000	77.424
218.000000	77.272
220.000000	77.200
224.000000	77.063
227.000000	76.969
230.000000	76.880
233.000000	76.797
236.000000	76.717
240.000000	76.617
243.000000	76.547
247.000000	76.460
250.000000	76.400
254.000000	76.326
258.000000	76.264
262.000000	76.211
265.000000	76.177
269.000000	76.134
272.000000	76.104
276.000000	76.065
280.000000	76.026
285.000000	75.979
290.000000	75.939
295.000000	75.918
300.000000	75.929
304.000000	75.962
307.000000	75.999
311.000000	76.059
315.000000	76.127
320.000000	76.213
325.000000	76.289
330.000000	76.352
335.000000	76.404
340.000000	76.453
345.000000	76.501
350.000000	76.547
355.000000	76.592
360.000000	76.632
365.000000	76.665
370.000000	76.690
375.000000	76.705
382.000000	76.707
387.000000	76.697
395.000000	76.667
400.000000	76.646
406.000000	76.620
412.000000	76.595
418.000000	76.571
425.000000	76.543
431.000000	76.518
437.000000	76.495
444.000000	76.471
450.000000	76.453
455.000000	76.443
462.000000	76.437
468.000000	76.437
475.000000	76.443
482.000000	76.454
487.000000	76.465
494.000000	76.486
500.000000	76.507
508.000000	76.542
515.000000	76.574
522.000000	76.607
530.000000	76.645
538.000000	76.679
545.000000	76.705
552.000000	76.726
560.000000	76.747
570.000000	76.768
580.000000	76.787
590.000000	76.804
600.000000	76.819
608.000000	76.828
615.000000	76.835
622.000000	76.841
630.000000	76.847
640.000000	76.853
650.000000	76.858
660.000000	76.865
670.000000	76.875
680.000000	76.890
690.000000	76.911
700.000000	76.938
710.000000	76.970
720.000000	77.005
730.000000	77.043
740.000000	77.080
750.000000	77.116
762.000000	77.160
775.000000	77.205
788.000000	77.248
800.000000	77.282
812.000000	77.310
825.000000	77.334
838.000000	77.355
850.000000	77.371
862.000000	77.384
875.000000	77.395
885.000000	77.401
900.000000	77.404
912.000000	77.404
925.000000	77.403
938.000000	77.403
950.000000	77.403
962.000000	77.402
975.000000	77.399
988.000000	77.394
1000.000000	77.388
1015.000000	77.381
1030.000000	77.372
1044.000000	77.364
1060.000000	77.353
1075.000000	77.344
1090.000000	77.337
1106.000000	77.333
1120.000000	77.334
1138.000000	77.341
1150.000000	77.348
1172.000000	77.368
1180.000000	77.377
1206.000000	77.417
1220.000000	77.445
1241.000000	77.495
1250.000000	77.519
1265.000000	77.565
1280.000000	77.616
1315.000000	77.731
1320.000000	77.743
1340.000000	77.778
1360.000000	77.781
1380.000000	77.757
1400.000000	77.712
1430.000000	77.628
1450.000000	77.567
1475.000000	77.486
1500.000000	77.417
1525.000000	77.400
1550.000000	77.496
1575.000000	77.743
1600.000000	78.112
1625.000000	78.527
1650.000000	78.935
1675.000000	79.341
1700.000000	79.784
1725.000000	80.286
1750.000000	80.844
1775.000000	81.438
1800.000000	82.041
1825.000000	82.631
1850.000000	83.190
1875.000000	83.705
1900.000000	84.168
1925.000000	84.578
1950.000000	84.937
1975.000000	85.253
2000.000000	85.532
2030.000000	85.835
2060.000000	86.118
2090.000000	86.391
2120.000000	86.662
2140.000000	86.845
2180.000000	87.212
2200.000000	87.395
2240.000000	87.749
2270.000000	87.996
2300.000000	88.224
2330.000000	88.438
2360.000000	88.652
2400.000000	88.970
2430.000000	89.251
2470.000000	89.670
2500.000000	89.987
2540.000000	90.367
