* Measurement data measured by REW V5.30.8
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of RMS Average 1, Edifier W820NB Plus ANC of
* Dated: 16-Feb-2024 11:46:19
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Edifier W820NB Plus ANC of
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	71.962
20.600000	72.160
20.900000	72.350
21.200001	72.390
21.400000	72.309
21.799999	71.907
22.000000	71.616
22.400000	71.000
22.700001	70.677
23.000000	70.628
23.299999	70.890
23.600000	71.370
24.000000	72.073
24.299999	72.485
24.700001	72.760
25.000000	72.747
25.400000	72.507
25.799999	72.158
26.200001	71.869
26.500000	71.752
26.900000	71.748
27.200001	71.861
27.600000	72.170
28.000000	72.617
28.500000	73.191
29.000000	73.564
29.500000	73.663
30.000000	73.619
30.400000	73.618
30.700001	73.674
31.100000	73.799
31.500000	73.911
32.000000	73.945
32.500000	73.869
33.000000	73.771
33.500000	73.726
34.000000	73.745
34.500000	73.828
35.000000	74.025
35.500000	74.372
36.000000	74.792
36.500000	75.142
37.000000	75.340
37.500000	75.421
38.200001	75.524
38.700001	75.657
39.500000	75.876
40.000000	75.967
40.599998	76.075
41.200001	76.256
41.799999	76.510
42.500000	76.812
43.099998	77.011
43.700001	77.133
44.400002	77.199
45.000000	77.221
45.500000	77.229
46.200001	77.248
46.799999	77.320
47.500000	77.509
48.200001	77.731
48.700001	77.838
49.400002	77.907
50.000000	77.957
50.799999	78.105
51.500000	78.308
52.200001	78.556
53.000000	78.856
53.799999	79.097
54.500000	79.228
55.200001	79.325
56.000000	79.447
57.000000	79.621
58.000000	79.756
59.000000	79.820
60.000000	79.835
60.799999	79.803
61.500000	79.731
62.200001	79.632
63.000000	79.507
64.000000	79.337
65.000000	79.133
66.000000	78.897
67.000000	78.637
68.000000	78.368
69.000000	78.113
70.000000	77.888
71.000000	77.671
72.000000	77.453
73.000000	77.241
74.000000	77.017
75.000000	76.751
76.199997	76.382
77.500000	75.996
78.800003	75.692
80.000000	75.477
81.199997	75.272
82.500000	75.008
83.800003	74.715
85.000000	74.453
86.199997	74.206
87.500000	73.984
88.500000	73.871
90.000000	73.767
91.199997	73.663
92.500000	73.486
93.800003	73.245
95.000000	73.000
96.199997	72.786
97.500000	72.616
98.800003	72.499
100.000000	72.401
101.500000	72.253
103.000000	72.078
104.400002	71.926
106.000000	71.790
107.500000	71.664
109.000000	71.502
110.599998	71.285
112.000000	71.079
113.800003	70.821
115.000000	70.661
117.199997	70.430
118.000000	70.377
120.599998	70.280
122.000000	70.236
124.099998	70.171
125.000000	70.150
126.500000	70.123
128.000000	70.092
131.500000	69.920
132.000000	69.882
134.000000	69.727
136.000000	69.618
138.000000	69.572
140.000000	69.537
143.000000	69.407
145.000000	69.260
147.500000	69.075
150.000000	68.945
152.500000	68.852
155.000000	68.750
157.500000	68.609
160.000000	68.424
162.500000	68.214
165.000000	68.000
167.500000	67.789
170.000000	67.571
172.500000	67.316
175.000000	67.012
177.500000	66.685
180.000000	66.366
182.500000	66.067
185.000000	65.790
187.500000	65.547
190.000000	65.354
192.500000	65.207
195.000000	65.079
197.500000	64.956
200.000000	64.853
203.000000	64.783
206.000000	64.756
209.000000	64.739
212.000000	64.717
214.000000	64.701
218.000000	64.662
220.000000	64.632
224.000000	64.537
227.000000	64.448
230.000000	64.360
233.000000	64.284
236.000000	64.216
240.000000	64.129
243.000000	64.062
247.000000	63.972
250.000000	63.905
254.000000	63.810
258.000000	63.703
262.000000	63.603
265.000000	63.546
269.000000	63.491
272.000000	63.450
276.000000	63.388
280.000000	63.329
285.000000	63.277
290.000000	63.233
295.000000	63.185
300.000000	63.145
304.000000	63.119
307.000000	63.100
311.000000	63.077
315.000000	63.062
320.000000	63.054
325.000000	63.048
330.000000	63.045
335.000000	63.055
340.000000	63.077
345.000000	63.100
350.000000	63.116
355.000000	63.128
360.000000	63.141
365.000000	63.159
370.000000	63.183
375.000000	63.216
382.000000	63.268
387.000000	63.307
395.000000	63.373
400.000000	63.410
406.000000	63.444
412.000000	63.468
418.000000	63.488
425.000000	63.505
431.000000	63.519
437.000000	63.536
444.000000	63.567
450.000000	63.605
455.000000	63.641
462.000000	63.693
468.000000	63.742
475.000000	63.806
482.000000	63.877
487.000000	63.929
494.000000	64.002
500.000000	64.063
508.000000	64.141
515.000000	64.205
522.000000	64.263
530.000000	64.322
538.000000	64.379
545.000000	64.429
552.000000	64.480
560.000000	64.536
570.000000	64.600
580.000000	64.653
590.000000	64.700
600.000000	64.745
608.000000	64.780
615.000000	64.809
622.000000	64.836
630.000000	64.867
640.000000	64.909
650.000000	64.955
660.000000	65.004
670.000000	65.059
680.000000	65.114
690.000000	65.166
700.000000	65.215
710.000000	65.264
720.000000	65.316
730.000000	65.370
740.000000	65.424
750.000000	65.474
762.000000	65.526
775.000000	65.576
788.000000	65.627
800.000000	65.680
812.000000	65.735
825.000000	65.792
838.000000	65.843
850.000000	65.889
862.000000	65.940
875.000000	66.005
885.000000	66.066
900.000000	66.183
912.000000	66.301
925.000000	66.448
938.000000	66.609
950.000000	66.756
962.000000	66.881
975.000000	66.976
988.000000	67.031
1000.000000	67.066
1015.000000	67.109
1030.000000	67.157
1044.000000	67.197
1060.000000	67.230
1075.000000	67.260
1090.000000	67.309
1106.000000	67.388
1120.000000	67.471
1138.000000	67.578
1150.000000	67.647
1172.000000	67.776
1180.000000	67.825
1206.000000	67.994
1220.000000	68.084
1241.000000	68.207
1250.000000	68.253
1265.000000	68.313
1280.000000	68.349
1315.000000	68.341
1320.000000	68.335
1340.000000	68.310
1360.000000	68.296
1380.000000	68.295
1400.000000	68.307
1430.000000	68.349
1450.000000	68.390
1475.000000	68.448
1500.000000	68.508
1525.000000	68.565
1550.000000	68.624
1575.000000	68.688
