* Measurement data measured by REW V5.30.4
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Edifier W820NB Plus, RMS Average 1
* Dated: 13-Jan-2024 18:41:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Edifier W820NB Plus
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)
20.600000	74.421
20.900000	74.563
21.200001	74.889
21.400000	75.112
21.799999	75.468
22.000000	75.574
22.400000	75.630
22.700001	75.571
23.000000	75.488
23.299999	75.461
23.600000	75.539
24.000000	75.797
24.299999	76.047
24.700001	76.369
25.000000	76.569
25.400000	76.784
25.799999	76.959
26.200001	77.099
26.500000	77.173
26.900000	77.231
27.200001	77.261
27.600000	77.327
28.000000	77.464
28.500000	77.726
29.000000	77.982
29.500000	78.114
30.000000	78.107
30.400000	78.056
30.700001	78.029
31.100000	78.045
31.500000	78.120
32.000000	78.254
32.500000	78.362
33.000000	78.397
33.500000	78.350
34.000000	78.233
34.500000	78.076
35.000000	77.910
35.500000	77.762
36.000000	77.640
36.500000	77.553
37.000000	77.516
37.500000	77.550
38.200001	77.711
38.700001	77.846
39.500000	77.940
40.000000	77.886
40.599998	77.750
41.200001	77.619
41.799999	77.553
42.500000	77.543
43.099998	77.527
43.700001	77.454
44.400002	77.296
45.000000	77.149
45.500000	77.067
46.200001	77.062
46.799999	77.153
47.500000	77.310
48.200001	77.448
48.700001	77.508
49.400002	77.530
50.000000	77.506
50.799999	77.458
51.500000	77.436
52.200001	77.441
53.000000	77.452
53.799999	77.443
54.500000	77.436
55.200001	77.461
56.000000	77.525
57.000000	77.592
58.000000	77.578
59.000000	77.495
60.000000	77.401
60.799999	77.348
61.500000	77.314
62.200001	77.270
63.000000	77.182
64.000000	76.998
65.000000	76.764
66.000000	76.528
67.000000	76.324
68.000000	76.157
69.000000	76.006
70.000000	75.844
71.000000	75.663
72.000000	75.472
73.000000	75.297
74.000000	75.162
75.000000	75.072
76.199997	75.003
77.500000	74.942
78.800003	74.873
80.000000	74.793
81.199997	74.703
82.500000	74.605
83.800003	74.511
85.000000	74.430
86.199997	74.353
87.500000	74.261
88.500000	74.188
90.000000	74.099
91.199997	74.049
92.500000	74.006
93.800003	73.978
95.000000	73.966
96.199997	73.963
97.500000	73.963
98.800003	73.959
100.000000	73.941
101.500000	73.899
103.000000	73.850
104.400002	73.809
106.000000	73.762
107.500000	73.711
109.000000	73.659
110.599998	73.619
112.000000	73.598
113.800003	73.569
115.000000	73.539
117.199997	73.461
118.000000	73.426
120.599998	73.308
122.000000	73.253
124.099998	73.188
125.000000	73.161
126.500000	73.115
128.000000	73.060
131.500000	72.920
132.000000	72.900
134.000000	72.819
136.000000	72.728
138.000000	72.627
140.000000	72.529
143.000000	72.410
145.000000	72.344
147.500000	72.261
150.000000	72.168
152.500000	72.056
155.000000	71.932
157.500000	71.808
160.000000	71.692
162.500000	71.585
165.000000	71.479
167.500000	71.364
170.000000	71.237
172.500000	71.096
175.000000	70.943
177.500000	70.783
180.000000	70.617
182.500000	70.446
185.000000	70.279
187.500000	70.127
190.000000	69.994
192.500000	69.879
195.000000	69.775
197.500000	69.678
200.000000	69.590
203.000000	69.493
206.000000	69.401
209.000000	69.309
212.000000	69.218
214.000000	69.160
218.000000	69.054
220.000000	69.005
224.000000	68.916
227.000000	68.856
230.000000	68.796
233.000000	68.730
236.000000	68.657
240.000000	68.550
243.000000	68.468
247.000000	68.369
250.000000	68.310
254.000000	68.243
258.000000	68.173
262.000000	68.095
265.000000	68.032
269.000000	67.946
272.000000	67.879
276.000000	67.787
280.000000	67.690
285.000000	67.563
290.000000	67.432
295.000000	67.309
300.000000	67.207
304.000000	67.136
307.000000	67.084
311.000000	67.012
315.000000	66.937
320.000000	66.846
325.000000	66.763
330.000000	66.690
335.000000	66.623
340.000000	66.563
345.000000	66.512
350.000000	66.467
355.000000	66.429
360.000000	66.407
365.000000	66.409
370.000000	66.437
375.000000	66.488
382.000000	66.586
387.000000	66.666
395.000000	66.802
400.000000	66.901
406.000000	67.045
412.000000	67.207
418.000000	67.369
425.000000	67.545
431.000000	67.695
437.000000	67.853
444.000000	68.039
450.000000	68.185
455.000000	68.295
462.000000	68.436
468.000000	68.552
475.000000	68.689
482.000000	68.830
487.000000	68.933
494.000000	69.086
500.000000	69.227
508.000000	69.429
515.000000	69.609
522.000000	69.785
530.000000	69.982
538.000000	70.172
545.000000	70.333
552.000000	70.482
560.000000	70.636
570.000000	70.805
580.000000	70.962
590.000000	71.115
600.000000	71.253
608.000000	71.346
615.000000	71.416
622.000000	71.480
630.000000	71.554
640.000000	71.647
650.000000	71.738
660.000000	71.819
670.000000	71.888
680.000000	71.943
690.000000	71.992
700.000000	72.038
710.000000	72.081
720.000000	72.125
730.000000	72.174
740.000000	72.233
750.000000	72.303
762.000000	72.401
775.000000	72.512
788.000000	72.618
800.000000	72.710
812.000000	72.798
825.000000	72.893
838.000000	72.984
850.000000	73.069
862.000000	73.158
875.000000	73.264
885.000000	73.355
900.000000	73.502
912.000000	73.633
925.000000	73.797
938.000000	73.995
950.000000	74.214
962.000000	74.461
975.000000	74.747
988.000000	75.032
1000.000000	75.279
1015.000000	75.561
1030.000000	75.824
1044.000000	76.069
1060.000000	76.358
1075.000000	76.627
1090.000000	76.877
1106.000000	77.116
1120.000000	77.304
1138.000000	77.527
1150.000000	77.669
1172.000000	77.924
1180.000000	78.015
1206.000000	78.318
1220.000000	78.484
1241.000000	78.725
1250.000000	78.821
1265.000000	78.965
1280.000000	79.081
1315.000000	79.214
1320.000000	79.217
1340.000000	79.197
1360.000000	79.146
1380.000000	79.087
1400.000000	79.027
1430.000000	78.941
1450.000000	78.890
1475.000000	78.833
1500.000000	78.781
1525.000000	78.739
1550.000000	78.710
1575.000000	78.691
1600.000000	78.677
1625.000000	78.664
1650.000000	78.654
1675.000000	78.650
1700.000000	78.653
1725.000000	78.663
1750.000000	78.679
1775.000000	78.707
1800.000000	78.750
1825.000000	78.810
1850.000000	78.886
1875.000000	78.974
1900.000000	79.072
1925.000000	79.180
1950.000000	79.300
1975.000000	79.434
2000.000000	79.583
2030.000000	79.787
2060.000000	80.020
2090.000000	80.282
2120.000000	80.572
2140.000000	80.779
2180.000000	81.219
2200.000000	81.450
2240.000000	81.922
2270.000000	82.279
2300.000000	82.635
2330.000000	82.986
2360.000000	83.329
2400.000000	83.765
2430.000000	84.070
2470.000000	84.444
2500.000000	84.705
2540.000000	85.036
2580.000000	85.366
2620.000000	85.713
2650.000000	85.988
2690.000000	86.365
2720.000000	86.636
2760.000000	86.942
2800.000000	87.138
2850.000000	87.176
2900.000000	86.980
2950.000000	86.597
3000.000000	86.088
3040.000000	85.635
3070.000000	85.290
3110.000000	84.849
3150.000000	84.455
3200.000000	84.064
3250.000000	83.799
3300.000000	83.635
3350.000000	83.531
3400.000000	83.455
3450.000000	83.395
3500.000000	83.355
3550.000000	83.346
3600.000000	83.382
3650.000000	83.469
3700.000000	83.614
3750.000000	83.817
3820.000000	84.176
3870.000000	84.441
3950.000000	84.793
4000.000000	84.945
4060.000000	85.055
4120.000000	85.075
4180.000000	84.994
4250.000000	84.758
4310.000000	84.436
4370.000000	84.015
4440.000000	83.428
4500.000000	82.868
4550.000000	82.380
4620.000000	81.689
4680.000000	81.106
4750.000000	80.455
4820.000000	79.855
4870.000000	79.466
4940.000000	78.987
5000.000000	78.645
5080.000000	78.304
5150.000000	78.118
5220.000000	78.019
5300.000000	77.939
5380.000000	77.796
5450.000000	77.585
5520.000000	77.334
5600.000000	77.082
5700.000000	76.925
5800.000000	76.974
5900.000000	77.197
6000.000000	77.538
6080.000000	77.850
6150.000000	78.121
6220.000000	78.368
6300.000000	78.611
6400.000000	78.882
6500.000000	79.205
6600.000000	79.680
6700.000000	80.318
6800.000000	81.011
6900.000000	81.613
7000.000000	82.008
7100.000000	82.143
7200.000000	82.007
7300.000000	81.619
7400.000000	81.038
7500.000000	80.353
7620.000000	79.566
7750.000000	78.988
7880.000000	78.885
8000.000000	79.203
8120.000000	79.729
8250.000000	80.262
8380.000000	80.570
8500.000000	80.608
8620.000000	80.418
8750.000000	79.946
8850.000000	79.366
9000.000000	78.142
9120.000000	76.935
9250.000000	75.542
9380.000000	74.194
9500.000000	73.087
9620.000000	72.168
9750.000000	71.382
9880.000000	70.739
10000.000000	70.190
10150.000000	69.502
10300.000000	68.848
10440.000000	68.426
10600.000000	68.367
10750.000000	68.690
10900.000000	69.162
11060.000000	69.640
11200.000000	69.953
11380.000000	70.184
11500.000000	70.317
11720.000000	70.926
11800.000000	71.307
12060.000000	72.667
12200.000000	73.127
12410.000000	73.115
12500.000000	72.837
12650.000000	72.077
12800.000000	71.091
13150.000000	68.965
13200.000000	68.728
13400.000000	67.832
13600.000000	66.833
13800.000000	65.671
14000.000000	64.460
14300.000000	62.913
14500.000000	62.176
14750.000000	61.466
15000.000000	60.906
15250.000000	60.918
15500.000000	62.011
15750.000000	63.691
16000.000000	65.113
16250.000000	65.842
16500.000000	65.729
16750.000000	64.805
17000.000000	63.359
17250.000000	62.061
17500.000000	61.760
17750.000000	62.544
18000.000000	63.707
18250.000000	64.679
18500.000000	65.242
18750.000000	65.415
19000.000000	65.364
19250.000000	65.274
19500.000000	65.226
19750.000000	65.205
