* Measurement data measured by REW V5.30.8
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Edifier W820NB Plus Amb, Edifier W820NB Plus Amb
* Dated: 17-Feb-2024 16:15:32
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Edifier W820NB Plus Amb
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)
20.299999	72.345
20.600000	72.289
20.900000	71.988
21.200001	71.488
21.400000	71.226
21.799999	71.394
22.000000	71.808
22.400000	72.719
22.700001	73.122
23.000000	73.185
23.299999	72.960
23.600000	72.552
24.000000	71.934
24.299999	71.528
24.700001	71.138
25.000000	70.992
25.400000	71.109
25.799999	71.703
26.200001	72.660
26.500000	73.415
26.900000	74.256
27.200001	74.729
27.600000	75.238
28.000000	75.735
28.500000	76.379
29.000000	76.896
29.500000	77.139
30.000000	77.073
30.400000	76.858
30.700001	76.696
31.100000	76.649
31.500000	76.917
32.000000	77.544
32.500000	78.111
33.000000	78.371
33.500000	78.318
34.000000	78.098
34.500000	77.935
35.000000	77.989
35.500000	78.198
36.000000	78.370
36.500000	78.385
37.000000	78.282
37.500000	78.220
38.200001	78.444
38.700001	78.720
39.500000	78.921
40.000000	78.868
40.599998	78.865
41.200001	79.128
41.799999	79.530
42.500000	79.889
43.099998	80.071
43.700001	80.170
44.400002	80.110
45.000000	79.843
45.500000	79.533
46.200001	79.232
46.799999	79.236
47.500000	79.411
48.200001	79.523
48.700001	79.512
49.400002	79.417
50.000000	79.303
50.799999	79.127
51.500000	78.985
52.200001	78.872
53.000000	78.741
53.799999	78.587
54.500000	78.466
55.200001	78.408
56.000000	78.459
57.000000	78.601
58.000000	78.588
59.000000	78.414
60.000000	78.236
60.799999	78.085
61.500000	77.933
62.200001	77.785
63.000000	77.624
64.000000	77.367
65.000000	77.031
66.000000	76.711
67.000000	76.474
68.000000	76.281
69.000000	76.057
70.000000	75.794
71.000000	75.537
72.000000	75.335
73.000000	75.200
74.000000	75.087
75.000000	74.953
76.199997	74.762
77.500000	74.565
78.800003	74.417
80.000000	74.296
81.199997	74.182
82.500000	74.074
83.800003	73.982
85.000000	73.921
86.199997	73.872
87.500000	73.800
88.500000	73.717
90.000000	73.587
91.199997	73.512
92.500000	73.440
93.800003	73.367
95.000000	73.319
96.199997	73.299
97.500000	73.296
98.800003	73.296
100.000000	73.282
101.500000	73.234
103.000000	73.150
104.400002	73.052
106.000000	72.947
107.500000	72.883
109.000000	72.854
110.599998	72.836
112.000000	72.815
113.800003	72.769
115.000000	72.729
117.199997	72.657
118.000000	72.629
120.599998	72.525
122.000000	72.474
124.099998	72.418
125.000000	72.393
126.500000	72.341
128.000000	72.284
131.500000	72.160
132.000000	72.143
134.000000	72.073
136.000000	71.999
138.000000	71.919
140.000000	71.832
143.000000	71.692
145.000000	71.597
147.500000	71.474
150.000000	71.363
152.500000	71.264
155.000000	71.159
157.500000	71.033
160.000000	70.895
162.500000	70.778
165.000000	70.687
167.500000	70.592
170.000000	70.481
172.500000	70.358
175.000000	70.223
177.500000	70.072
180.000000	69.913
182.500000	69.756
185.000000	69.608
187.500000	69.473
190.000000	69.348
192.500000	69.228
195.000000	69.110
197.500000	68.991
200.000000	68.877
203.000000	68.761
206.000000	68.662
209.000000	68.555
212.000000	68.435
214.000000	68.350
218.000000	68.180
220.000000	68.096
224.000000	67.919
227.000000	67.785
230.000000	67.666
233.000000	67.563
236.000000	67.464
240.000000	67.326
243.000000	67.218
247.000000	67.067
250.000000	66.960
254.000000	66.841
258.000000	66.735
262.000000	66.631
265.000000	66.560
269.000000	66.471
272.000000	66.405
276.000000	66.319
280.000000	66.238
285.000000	66.142
290.000000	66.050
295.000000	65.962
300.000000	65.879
304.000000	65.817
307.000000	65.774
311.000000	65.720
315.000000	65.669
320.000000	65.615
325.000000	65.583
330.000000	65.576
335.000000	65.587
340.000000	65.597
345.000000	65.600
350.000000	65.607
355.000000	65.636
360.000000	65.692
365.000000	65.770
370.000000	65.855
375.000000	65.932
382.000000	66.026
387.000000	66.095
395.000000	66.235
400.000000	66.342
406.000000	66.488
412.000000	66.648
418.000000	66.826
425.000000	67.060
431.000000	67.266
437.000000	67.460
444.000000	67.669
450.000000	67.844
455.000000	67.993
462.000000	68.207
468.000000	68.394
475.000000	68.617
482.000000	68.840
487.000000	68.993
494.000000	69.192
500.000000	69.353
508.000000	69.570
515.000000	69.766
522.000000	69.963
530.000000	70.177
538.000000	70.370
545.000000	70.523
552.000000	70.666
560.000000	70.819
570.000000	70.985
580.000000	71.129
590.000000	71.262
600.000000	71.390
608.000000	71.487
615.000000	71.568
622.000000	71.651
630.000000	71.746
640.000000	71.855
650.000000	71.949
660.000000	72.030
670.000000	72.102
680.000000	72.169
690.000000	72.231
700.000000	72.289
710.000000	72.343
720.000000	72.400
730.000000	72.464
740.000000	72.536
750.000000	72.610
762.000000	72.691
775.000000	72.772
788.000000	72.847
800.000000	72.912
812.000000	72.969
825.000000	73.020
838.000000	73.060
850.000000	73.090
862.000000	73.121
875.000000	73.158
885.000000	73.191
900.000000	73.255
912.000000	73.326
925.000000	73.432
938.000000	73.568
950.000000	73.706
962.000000	73.841
975.000000	73.971
988.000000	74.077
1000.000000	74.158
1015.000000	74.241
1030.000000	74.317
1044.000000	74.396
1060.000000	74.512
1075.000000	74.635
1090.000000	74.752
1106.000000	74.859
1120.000000	74.941
1138.000000	75.044
1150.000000	75.118
1172.000000	75.271
1180.000000	75.332
1206.000000	75.540
1220.000000	75.653
1241.000000	75.805
1250.000000	75.860
1265.000000	75.931
1280.000000	75.978
1315.000000	76.018
1320.000000	76.020
1340.000000	76.025
1360.000000	76.034
1380.000000	76.053
1400.000000	76.079
1430.000000	76.120
1450.000000	76.149
1475.000000	76.188
1500.000000	76.222
1525.000000	76.254
1550.000000	76.290
1575.000000	76.328
1600.000000	76.366
1625.000000	76.404
1650.000000	76.443
1675.000000	76.486
1700.000000	76.533
1725.000000	76.578
1750.000000	76.625
1775.000000	76.678
1800.000000	76.740
1825.000000	76.811
1850.000000	76.895
1875.000000	76.992
1900.000000	77.106
1925.000000	77.238
1950.000000	77.389
1975.000000	77.556
2000.000000	77.737
2030.000000	77.972
2060.000000	78.229
2090.000000	78.501
2120.000000	78.784
2140.000000	78.979
2180.000000	79.384
2200.000000	79.589
2240.000000	79.995
2270.000000	80.288
2300.000000	80.571
2330.000000	80.852
2360.000000	81.138
2400.000000	81.532
2430.000000	81.832
2470.000000	82.231
2500.000000	82.530
2540.000000	82.935
2580.000000	83.347
2620.000000	83.752
2650.000000	84.039
2690.000000	84.380
2720.000000	84.584
2760.000000	84.753
2800.000000	84.768
2850.000000	84.545
2900.000000	84.088
2950.000000	83.454
3000.000000	82.696
3040.000000	82.024
3070.000000	81.500
3110.000000	80.800
3150.000000	80.127
3200.000000	79.354
3250.000000	78.683
3300.000000	78.109
3350.000000	77.589
3400.000000	77.071
3450.000000	76.525
3500.000000	75.938
3550.000000	75.327
3600.000000	74.738
3650.000000	74.213
3700.000000	73.781
3750.000000	73.472
3820.000000	73.270
3870.000000	73.200
3950.000000	73.006
4000.000000	72.853
4060.000000	72.763
4120.000000	72.876
4180.000000	73.203
4250.000000	73.788
4310.000000	74.394
4370.000000	75.042
4440.000000	75.831
4500.000000	76.546
4550.000000	77.180
4620.000000	78.130
4680.000000	78.976
4750.000000	79.938
4820.000000	80.774
4870.000000	81.238
4940.000000	81.658
5000.000000	81.803
5080.000000	81.717
5150.000000	81.405
5220.000000	80.875
5300.000000	79.986
5380.000000	78.868
5450.000000	77.874
5520.000000	77.035
5600.000000	76.358
5700.000000	75.882
5800.000000	75.667
5900.000000	75.614
6000.000000	75.690
6080.000000	75.850
6150.000000	76.073
6220.000000	76.384
6300.000000	76.857
6400.000000	77.626
6500.000000	78.556
6600.000000	79.572
6700.000000	80.579
6800.000000	81.502
6900.000000	82.311
7000.000000	83.016
7100.000000	83.639
7200.000000	84.167
7300.000000	84.526
7400.000000	84.629
7500.000000	84.441
7620.000000	83.910
7750.000000	83.151
7880.000000	82.415
8000.000000	81.905
8120.000000	81.652
8250.000000	81.694
8380.000000	81.963
8500.000000	82.226
8620.000000	82.312
8750.000000	82.071
8850.000000	81.644
9000.000000	80.696
9120.000000	79.719
9250.000000	78.425
9380.000000	76.879
9500.000000	75.285
9620.000000	73.609
9750.000000	71.815
9880.000000	70.231
10000.000000	69.177
10150.000000	68.631
10300.000000	68.888
10440.000000	69.630
10600.000000	70.799
10750.000000	71.945
10900.000000	72.946
11060.000000	73.832
11200.000000	74.571
11380.000000	75.626
11500.000000	76.336
11720.000000	77.266
11800.000000	77.429
12060.000000	77.375
12200.000000	77.067
12410.000000	76.496
12500.000000	76.292
12650.000000	76.021
12800.000000	75.741
13150.000000	74.553
13200.000000	74.332
13400.000000	73.427
13600.000000	72.545
13800.000000	71.561
14000.000000	70.240
14300.000000	67.451
14500.000000	65.208
14750.000000	62.236
15000.000000	59.435
15250.000000	57.932
15500.000000	58.935
15750.000000	60.919
16000.000000	62.400
16250.000000	63.220
16500.000000	63.512
16750.000000	63.378
17000.000000	63.169
17250.000000	63.343
17500.000000	63.826
17750.000000	64.363
18000.000000	64.969
18250.000000	65.602
18500.000000	66.103
18750.000000	66.370
19000.000000	66.359
19250.000000	66.057
19500.000000	65.518
19750.000000	64.897
20000.000000	64.473
