* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01-Sep-2024 16:21:53
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FIIL GS Bass L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	56.925	-173.6880
20.600000	57.162	-172.2562
20.900000	57.565	-170.6760
21.200001	58.096	-169.6272
21.400000	58.479	-169.4360
21.799999	59.186	-170.3133
22.000000	59.468	-171.2375
22.400000	59.847	-173.5180
22.700001	59.984	-175.1802
23.000000	60.043	-176.5079
23.299999	60.086	-177.3948
23.600000	60.174	-177.8967
24.000000	60.428	-178.2850
24.299999	60.723	-178.6067
24.700001	61.202	-179.2304
25.000000	61.583	-179.7871
25.400000	62.071	179.5396
25.799999	62.512	179.0967
26.200001	62.900	178.8880
26.500000	63.160	178.7974
26.900000	63.470	178.5939
27.200001	63.680	178.2759
27.600000	63.934	177.5467
28.000000	64.165	176.4876
28.500000	64.431	174.9224
29.000000	64.688	173.4807
29.500000	64.952	172.4890
30.000000	65.230	171.9767
30.400000	65.456	171.7590
30.700001	65.620	171.6058
31.100000	65.826	171.3206
31.500000	66.020	170.8800
32.000000	66.266	170.0630
32.500000	66.536	168.9542
33.000000	66.835	167.6518
33.500000	67.148	166.3544
34.000000	67.463	165.2511
34.500000	67.775	164.3835
35.000000	68.081	163.6287
35.500000	68.370	162.8232
36.000000	68.632	161.8991
36.500000	68.866	160.9142
37.000000	69.081	159.9796
37.500000	69.288	159.1572
38.200001	69.574	158.0782
38.700001	69.768	157.1780
39.500000	70.034	155.4175
40.000000	70.184	154.3232
40.599998	70.385	153.2635
41.200001	70.625	152.4692
41.799999	70.872	151.7709
42.500000	71.131	150.9111
43.099998	71.348	150.0198
43.700001	71.592	148.8921
44.400002	71.900	147.4297
45.000000	72.150	146.3879
45.500000	72.328	145.8021
46.200001	72.527	145.2798
46.799999	72.678	144.8012
47.500000	72.897	143.7792
48.200001	73.170	142.1448
48.700001	73.355	140.9265
49.400002	73.547	139.8890
50.000000	73.668	139.9230
50.799999	73.837	140.6087
51.500000	73.998	140.8323
52.200001	74.153	140.4124
53.000000	74.320	139.5642
53.799999	74.489	138.7986
54.500000	74.644	138.3145
55.200001	74.815	137.8846
56.000000	75.026	137.3008
57.000000	75.296	136.4248
58.000000	75.568	135.4183
59.000000	75.840	134.3093
60.000000	76.117	133.3009
60.799999	76.333	132.6215
61.500000	76.505	132.0754
62.200001	76.659	131.5437
63.000000	76.824	130.9512
64.000000	77.031	130.2634
65.000000	77.243	129.6485
66.000000	77.462	129.0582
67.000000	77.695	128.4336
68.000000	77.948	127.7496
69.000000	78.210	127.0127
70.000000	78.462	126.2542
71.000000	78.700	125.4696
72.000000	78.927	124.5850
73.000000	79.150	123.5645
