* Measurement data measured by REW V5.31.3
* Source: Microphone (4- USB Audio Device), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01-Sep-2024 16:22:34
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FIIL GS Treble L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	54.739	-177.6172
20.600000	54.990	-178.5299
20.900000	55.286	-179.9110
21.200001	55.565	178.2984
21.400000	55.726	176.9333
21.799999	55.981	174.0645
22.000000	56.083	172.7172
22.400000	56.275	170.5775
22.700001	56.449	169.6650
23.000000	56.680	169.3760
23.299999	56.980	169.5692
23.600000	57.339	170.0024
24.000000	57.851	170.5360
24.299999	58.212	170.7218
24.700001	58.605	170.6650
25.000000	58.822	170.5076
25.400000	59.027	170.3730
25.799999	59.200	170.4921
26.200001	59.418	170.8249
26.500000	59.642	171.0540
26.900000	60.013	171.0663
27.200001	60.318	170.7468
27.600000	60.706	169.8967
28.000000	61.028	168.7361
28.500000	61.321	167.1914
29.000000	61.532	165.7766
29.500000	61.730	164.4666
30.000000	61.963	163.1165
30.400000	62.184	161.9879
30.700001	62.368	161.1609
31.100000	62.632	160.1716
31.500000	62.910	159.3825
32.000000	63.262	158.6740
32.500000	63.596	158.1274
33.000000	63.892	157.5432
33.500000	64.145	156.7966
34.000000	64.381	155.8611
34.500000	64.637	154.7577
35.000000	64.933	153.5221
35.500000	65.249	152.2328
36.000000	65.540	151.0277
36.500000	65.774	150.0336
37.000000	65.954	149.2430
37.500000	66.108	148.4613
38.200001	66.345	146.8889
38.700001	66.547	145.3486
39.500000	66.913	142.9561
40.000000	67.161	142.0696
40.599998	67.478	141.7100
41.200001	67.796	141.5544
41.799999	68.071	140.9468
42.500000	68.298	139.5147
43.099998	68.444	138.1288
43.700001	68.595	137.0537
44.400002	68.804	136.3134
45.000000	68.998	135.8304
45.500000	69.165	135.2468
46.200001	69.405	133.9766
46.799999	69.635	132.8228
47.500000	69.996	132.0521
48.200001	70.457	131.7149
48.700001	70.758	131.2559
